,Biohydrogen Produced,Biohydrogen Produced,Biohydrogen Produced
t59,214.97678194866202,0.0,0.0
t60,214.97678194866202,0.0,0.0
t61,214.97678194866202,0.0,0.0
t62,214.97678194866202,0.0,0.0
t63,214.97678194866202,0.0,0.0
t64,214.97678194866202,0.0,0.0
t65,214.97678194866202,0.0,0.0
t66,214.97678194866202,0.0,0.0
t67,214.97678194866202,0.0,0.0
t68,214.97678194866202,0.0,0.0
t69,214.97678194866202,0.0,0.0
t70,214.97678194866202,0.0,0.0
t71,214.97678194866202,0.0,0.0
t72,214.97678194866202,0.0,0.0
t73,214.97678194866202,0.0,0.0
t74,214.97678194866202,0.0,0.0
t75,214.97678194866202,0.0,0.0
t76,214.97678194866202,0.0,0.0
t77,214.97678194866202,0.0,0.0
t78,214.97678194866202,0.0,0.0
t79,214.97678194866202,0.0,0.0
t80,214.97678194866202,0.0,0.0
t81,214.97678194866202,0.0,0.0
t82,214.97678194866202,0.0,0.0
t83,214.97678194866202,0.0,0.0
t84,214.97678194866202,0.0,0.0
t85,214.97678194866202,0.0,0.0
t86,214.97678194866202,0.0,0.0
t87,214.97678194866202,0.0,0.0
t88,214.97678194866202,0.0,0.0
t89,214.97678194866202,0.0,0.0
t90,214.97678194866202,0.0,0.0
t91,214.97678194866202,0.0,0.0
t92,214.97678194866202,0.0,0.0
t93,214.97678194866202,0.0,0.0
t94,214.97678194866202,0.0,0.0
t95,214.97678194866202,0.0,0.0
t96,214.97678194866202,0.0,0.0
t97,214.97678194866202,0.0,0.0
t98,214.97678194866202,0.0,0.0
t99,214.97678194866202,0.0,0.0
t100,214.97678194866202,0.0,0.0
t101,214.97678194866202,0.0,0.0
t102,214.97678194866202,0.0,0.0
t103,214.97678194866202,0.0,0.0
t104,214.97678194866202,0.0,0.0
t105,214.97678194866202,0.0,0.0
t106,214.97678194866202,0.0,0.0
t107,214.97678194866202,0.0,0.0
t108,214.97678194866202,0.0,0.0
t109,214.97678194866202,0.0,0.0
t110,214.97678194866202,0.0,0.0
t111,214.97678194866202,0.0,0.0
t112,214.97678194866202,0.0,0.0
t113,214.97678194866202,0.0,0.0
t114,214.97678194866202,0.0,0.0
t115,214.97678194866202,0.0,0.0
t116,214.97678194866202,0.0,0.0
t117,214.97678194866202,0.0,0.0
t118,214.97678194866202,0.0,0.0
t119,214.97678194866202,0.0,0.0
t120,214.97678194866202,0.0,0.0
t121,214.97678194866202,0.0,0.0
t122,214.97678194866202,0.0,0.0
t123,214.97678194866202,0.0,0.0
t124,214.97678194866202,0.0,0.0
t125,214.97678194866202,0.0,0.0
t126,214.97678194866202,0.0,0.0
t127,214.97678194866202,0.0,0.0
t128,214.97678194866202,0.0,0.0
t129,214.97678194866202,0.0,0.0
t130,214.97678194866202,0.0,0.0
t131,214.97678194866202,0.0,0.0
t132,214.97678194866202,0.0,0.0
t133,214.97678194866202,0.0,0.0
t134,214.97678194866202,0.0,0.0
t135,214.97678194866202,0.0,0.0
t136,214.97678194866202,0.0,0.0
t137,214.97678194866202,0.0,0.0
t138,214.97678194866202,0.0,0.0
t139,214.97678194866202,0.0,0.0
t140,214.97678194866202,0.0,0.0
t141,214.97678194866202,0.0,0.0
t142,214.97678194866202,0.0,0.0
t143,214.97678194866202,0.0,0.0
t144,214.97678194866202,0.0,0.0
t145,214.97678194866202,0.0,0.0
t146,214.97678194866202,0.0,0.0
t147,214.97678194866202,0.0,0.0
t148,214.97678194866202,0.0,0.0
t149,214.97678194866202,0.0,0.0
t150,214.97678194866202,0.0,0.0
t151,214.97678194866202,0.0,0.0
t152,214.97678194866202,0.0,0.0
t153,214.97678194866202,0.0,0.0
t154,214.97678194866202,0.0,0.0
t155,214.97678194866202,0.0,0.0
t156,214.97678194866202,0.0,0.0
t157,214.97678194866202,0.0,0.0
t158,214.97678194866202,0.0,0.0
t159,214.97678194866202,0.0,0.0
t160,214.97678194866202,0.0,0.0
t161,214.97678194866202,0.0,0.0
t162,214.97678194866202,0.0,0.0
t163,214.97678194866202,0.0,0.0
t164,214.97678194866202,0.0,0.0
t165,214.97678194866202,0.0,0.0
t166,214.97678194866202,0.0,0.0
t167,214.97678194866202,0.0,0.0
t168,214.97678194866202,0.0,0.0
