,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t19,12607.716013307856,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1419.7371186493128,-13.95164805507722,-0.0,-11174.027246603468,3225.5777937466437,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3191.9580649974077,116.89056031703414,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1419.7371186493128,-13.95164805507722,-0.0,-1522.6760309112697
t20,12313.03135498636,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1382.8807110160542,-13.58946295678037,-0.0,-10916.561181013527,3152.006155765143,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3118.3864270159065,119.42161082296093,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1382.8807110160542,-13.58946295678037,-0.7147499999999881,-1487.9981088822346
t21,12417.109248436689,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1421.1555092111676,-13.965586470621687,-12.882876723018201,-10969.105276031882,3207.0225510828695,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-73.92179647066276,-3133.100754612207,110.43827566299892,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1421.1555092111676,-13.965586470621687,-22.274166666666655,-1495.3540317368784
t22,11974.216013068144,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1383.0624051735729,-13.591248451366704,-18.301024554495374,-10559.26133488871,3143.778953712204,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-127.34179647066274,-3016.437157241541,106.56219721046425,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1383.0624051735729,-13.591248451366704,-36.37416666666665,-1439.6591872660038
t23,10715.172799433283,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1226.8782330349618,-12.056438539849742,-18.301024554495374,-9457.937103303979,2860.4319337914853,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-159.30179647066274,-2701.1301373208225,123.28056397840629,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1226.8782330349618,-12.056438539849742,-48.71416666666666,-1289.3881918068516
t24,9500.433176667722,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1092.103889458397,-10.732021375760123,-0.0,-8397.597265833567,2557.4067002231504,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-158.9713020262183,-2398.4353981969325,114.10515499761448,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1092.103889458397,-10.732021375760123,-50.05475,-1145.4222730802512
t25,8760.649092836564,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1020.9439453395847,-10.032738048640281,-18.301024554495374,-7711.371384893844,2384.0868423167494,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2202.945045846087,97.66908146769579,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1020.9439453395847,-10.032738048640281,-57.73416666666665,-1050.8461220919735
t26,8276.015328994505,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-957.2884790420316,-9.407200650977396,-18.301024554495374,-7291.018624747001,2264.2701747468764,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2083.128378276214,100.15390310795294,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,957.2884790420316,-9.407200650977396,-53.934749999999994,-994.100431499007
t27,8061.945670180128,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-939.9045659800946,-9.236370267187093,-18.301024554495374,-7094.503709378351,2207.514911161147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2026.3731146904847,96.66440327837495,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,939.9045659800946,-9.236370267187093,-60.55416666666665,-966.7784323246157
t28,7973.708105704636,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-930.574826666644,-9.14468763267887,-18.301024554495374,-7015.687566850818,2185.443419766697,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2004.3016232960342,92.73399873639764,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,930.574826666644,-9.14468763267887,-57.894166666666656,-956.269971103696
t29,8156.320003306077,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-940.7421788161085,-9.244601424449218,-18.301024554495374,-7188.032198511024,2213.8864961545405,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-161.23779647066272,-2052.648699683878,98.09602118681859,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,940.7421788161085,-9.244601424449218,-49.15416666666666,-980.4394319118113
t30,8697.693277383702,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-998.1456789207031,-9.808701228609312,-18.301024554495374,-7671.437872679894,2319.2255849196567,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-127.84179647066274,-2191.383788448994,93.80908045608682,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,998.1456789207031,-9.808701228609312,-36.55416666666665,-1045.5918914815138
t31,10098.059024292927,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1190.2837346625474,-11.696827203823151,-11.9228767230182,-8884.155585703538,2621.392283432712,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-84.22179647066275,-2537.170486962049,52.12199185789588,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1190.2837346625474,-11.696827203823151,-20.13416666666666,-1210.5747326499536
t32,11312.216252099635,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1344.322110263544,-13.210550536918408,-3.8828767230181995,-9950.800714576153,2878.906402689406,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-36.939129803996074,-2841.9672728854102,27.864950560779114,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1344.322110263544,-13.210550536918408,-2.334166666666661,-1356.6423436207378
t33,11960.343714866905,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1431.1555635539705,-14.063856239644256,-0.0,-10515.12429507329,3027.8879088359927,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-24.063032391280075,-3003.824876444712,16.262403219125563,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1431.1555635539705,-14.063856239644256,-0.0,-1433.354110533452
t34,12358.539640441675,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1476.8569484921272,-14.512960253275574,-0.0,-10867.169731696273,3138.3428515685787,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3104.7231228193423,19.349043910831107,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1476.8569484921272,-14.512960253275574,-0.0,-1481.6930321496827
t35,12688.943002368287,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1507.4582521441241,-14.813676923264019,-0.0,-11166.671073300899,3223.4757469471724,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3189.856018197936,30.03145569040962,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1507.4582521441241,-14.813676923264019,-0.0,-1522.6760309112697
t36,12860.314887821609,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1516.9015266051936,-14.90647525898245,-0.0,-11328.506885957433,3269.7207765355447,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3236.1010477863083,41.69790200689806,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1516.9015266051936,-14.90647525898245,-0.0,-1543.6929533531093
t37,12937.037492751882,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1521.0722945921918,-14.947461076926931,-0.0,-11401.017737082764,3290.7412445302593,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3257.121515781023,48.076581058763914,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1521.0722945921918,-14.947461076926931,-0.0,-1554.2014145740288
t38,13066.381868871113,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1515.9540837310208,-14.897164810337335,-0.0,-11535.530620329753,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-15.76535099603582,-3294.958358171509,71.00887972890895,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1515.9540837310208,-14.897164810337335,-0.0,-1572.0657986495926
t39,13027.509385573545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1505.5575774155955,-14.794999138108382,-0.0,-11507.156809019842,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-24.17353819392165,-3286.550170973623,78.15068200582947,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1505.5575774155955,-14.794999138108382,-0.0,-1568.9132602833165
t40,12952.614478616624,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1491.7495114875258,-14.659308330550285,-0.0,-11446.20565879855,3303.353525327088,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3269.7337965778515,82.36544202751358,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1491.7495114875258,-14.659308330550285,-0.0,-1559.4556451844887
t41,12933.328549568887,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1497.6269905118552,-14.717065867295226,-0.0,-11420.984493189739,3295.996361528938,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3262.3766327797016,74.44402829574494,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1497.6269905118552,-14.717065867295226,-0.0,-1557.353952940305
t42,12849.107705652872,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1519.3319257943222,-14.930358605888479,-0.0,-11314.845421252661,3265.5166829366017,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3231.8969541873653,38.2405400425836,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1519.3319257943222,-14.930358605888479,-0.0,-1542.6421072310172
t43,12530.656628326462,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1429.802024340126,-14.050555113335557,-0.0,-11086.804048872998,3200.3532321529865,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3166.73350340375,96.41610046355947,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1429.802024340126,-14.050555113335557,-0.0,-1512.16756969035
t44,12365.103801746533,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1403.4056545932867,-13.791160007155652,-4.0228767230182,-10943.88411042307,3159.363319563293,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3125.743590814057,104.17031932904631,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1403.4056545932867,-13.791160007155652,-2.6341666666666583,-1491.1506472485105
t45,12462.09830984939,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1425.863034122012,-14.011846957794901,-11.082876723018199,-11011.140552046567,3224.003808479962,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-79.34179647066276,-3144.6620120093,107.05124184978777,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1425.863034122012,-14.011846957794901,-18.294166666666655,-1500.6082623473383
t46,11926.561000233061,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1369.1487258433615,-13.454519788985184,-16.2228767230182,-10527.734877877696,3116.479743114582,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-109.50179647066274,-3006.9779466439195,107.61751338992688,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1369.1487258433615,-13.454519788985184,-27.855916666667213,-1435.4558027776359
t47,10778.13319904875,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1259.0469381356638,-12.3725579439684,-18.301024554495374,-9488.412678414625,2851.0711443891064,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-140.48179647066274,-2710.5893479184438,88.23136277019073,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1259.0469381356638,-12.3725579439684,-41.31416666666665,-1293.5915762952195
t48,9666.801680516333,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1138.827556416432,-11.19117127659621,-18.301024554495374,-8498.48192826881,2593.7948264604597,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-166.98179647066272,-2426.813029989797,81.6902080721857,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1138.827556416432,-11.19117127659621,-51.294166666666655,-1158.0324265453548
t49,8910.571522346594,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1044.528780435313,-10.264504418886116,-18.301024554495374,-7837.477212937898,2412.2004844617304,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-173.52064302462867,-2238.679841437102,88.88098015111042,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1044.528780435313,-10.264504418886116,-54.434749999999994,-1068.7105061675372
t50,8496.764352350396,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1006.2624887907916,-9.888464498266716,-18.301024554495374,-7462.31237450684,2312.61725113472,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2131.4754546640575,81.39918855917205,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1006.2624887907916,-9.888464498266716,-60.55416666666665,-1017.2190461850304
t51,8255.196256143669,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-967.8916664902983,-9.511397362887674,-18.301024554495374,-7259.492167735988,2254.810964149255,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2073.6691676785927,85.71152788322847,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,967.8916664902983,-9.511397362887674,-54.19474999999999,-989.8970470106391
t52,8183.061479270041,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-960.979492841102,-9.443471961218307,-18.301024554495374,-7194.337489913227,2220.5525429540116,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-165.80179647066274,-2054.7507464833493,80.80842382068634,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,960.979492841102,-9.443471961218307,-50.85416666666666,-981.4902780339033
t53,8353.927346707056,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-990.4737320274901,-9.733309593393644,-16.462876723018198,-7337.257428363154,2206.6424555437056,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-110.90179647066273,-2095.740659073043,49.839252464129025,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,990.4737320274901,-9.733309593393644,-30.174166666666657,-1000.4055082315588
t54,8943.102177227429,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1025.5601901112502,-10.078101532868713,-5.8828767230181995,-7901.581008860291,2306.3000591030077,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-48.70179647066273,-2257.598262632345,68.38935323255822,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1025.5601901112502,-10.078101532868713,-6.754166666666656,-1077.117275144273
t55,10267.465626121408,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1193.9778700659958,-11.733129189831478,-0.0,-9061.754626865579,2622.290362298336,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-2588.6706335490994,53.55029870399671,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1193.9778700659958,-11.733129189831478,-0.0,-1235.7950395801608
t56,11485.417183853973,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1325.080093201905,-13.02146070726799,-0.0,-10147.315629944802,2932.342265220376,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-2898.7225364711394,71.90571030049225,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1325.080093201905,-13.02146070726799,-0.0,-1383.9643427951291
t57,12058.542468596252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1385.8289184073888,-13.618434765277149,-0.0,-10659.095115423585,3078.434517783642,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3044.8147890344057,81.10970321108782,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1385.8289184073888,-13.618434765277149,-0.0,-1453.3201868531994
t58,12390.453963385387,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1425.2082670479003,-14.005412611847287,-0.0,-10951.240283725641,3161.4653663627646,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3127.845637613528,82.04948505664177,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1425.2082670479003,-14.005412611847287,-0.0,-1493.2523394926945
t59,12656.578081520704,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1465.0017292949826,-14.396459921149502,-0.0,-11177.17989230457,3225.5777937466437,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3191.9580649974077,73.1216076595285,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1465.0017292949826,-14.396459921149502,-0.0,-1523.7268770333617
t60,12759.178373094603,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1466.7006631407085,-14.41315521408301,-0.0,-11278.064554739813,3221.386720190008,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3221.386720190008,85.1003686939319,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1466.7006631407085,-14.41315521408301,-0.0,-1537.3878766205573
