Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
,,,,,,,,26,32019,29162,31908,44955,63278,58826,91817,72693,24652
,,,,,,,,27,29671,27559,31372,44363,62025,58310,91140,71781,23926
,,,,,,,,28,27890,26612,30578,44442,61785,58607,92099,72211,23738
,,,,,,,,29,26776,26108,30222,44965,62551,59117,94594,73986,24093
,,,,,,,,30,26170,26028,30267,46325,64238,60703,99827,77314,25168
,,,,,,,,31,26034,26430,30813,49053,67489,63486,108133,82028,26918
,,,,,,,,32,26497,27388,31957,52732,71166,67364,114528,85620,28352
,,,,,,,,33,27632,29121,33538,54778,73744,69840,119557,87966,29943
,,,,,,,,34,29263,31150,34279,55176,75890,70816,123747,90724,31739
,,,,,,,,35,30270,32667,34831,55181,78269,71438,126147,93234,33165
,,,,,,,,36,31668,33661,35249,54812,79406,71391,126369,94368,33815
,,,,,,,,37,33087,34508,35530,53574,79783,70545,125111,94694,34029
,,,,,,,,38,34167,35012,35485,52154,79591,68909,123034,94617,34014
,,,,,,,,39,34398,34752,35053,50513,79019,67295,121106,94443,33969
,,,,,,,,40,34229,34046,34519,49187,78788,66071,120448,95069,34447
,,,,,,,,41,34053,33384,34133,48545,80009,65819,123143,98740,37021
,,,,,,,,42,34036,33022,34203,49013,84754,67517,133473,106753,40380
,,,,,,,,43,34144,33374,35100,52339,89081,73267,145057,109005,40256
,,,,,,,,44,35333,35443,38228,57224,89090,77064,147484,108807,39663
,,,,,,,,45,39432,36535,39923,58169,87604,77209,146674,107046,38257
,,,,,,,,46,40062,36092,39520,58307,85402,76765,143437,103731,36042
,,,,,,,,47,39282,35122,38770,57397,81640,75082,137704,98448,33099
,,,,,,,,48,38010,33600,37324,54966,77065,72070,131556,92898,30365
,,,,,,,,49,35900,31470,34942,52287,73675,68959,127408,89030,28458
,,,,,,,,50,32954,28931,32625,50701,71668,67144,125919,86928,27292
,,,,,,,,51,30122,26825,31194,50393,70909,66850,125983,86355,26790
,,,,,,,,52,28190,25744,30220,50763,70908,67263,128220,86887,26735
,,,,,,,,53,27163,25223,29939,51812,71868,68298,132590,89142,27482
,,,,,,,,54,26648,25140,30142,54188,75169,70477,142105,94882,29785
,,,,,,,,55,26642,25549,30913,58834,81401,75046,156760,104544,34161
,,,,,,,,56,27549,26986,32929,65475,87739,81540,166541,110542,36999
,,,,,,,,57,29821,29959,35776,67374,89820,83969,166726,110801,37765
,,,,,,,,58,33155,33430,37366,65159,89155,82581,164236,110321,38307
,,,,,,,,59,35091,34966,37446,62096,88878,79951,161018,110455,38721
,,,,,,,,60,35957,34564,37093,59316,88335,77103,156764,110312,38894
,,,,,,,,61,36701,34103,37010,56853,87667,74476,151778,109900,38882
,,,,,,,,62,37282,33541,36833,54747,86939,72249,147308,109772,38952
,,,,,,,,63,37367,32907,36408,53076,86056,70261,143546,109316,38899
,,,,,,,,64,37322,32522,36043,51642,84989,68320,141788,109515,39437
,,,,,,,,65,37499,32317,35856,51050,85566,67655,144573,112810,41926
,,,,,,,,66,37470,32194,35947,51554,90035,69469,156508,120982,45345
,,,,,,,,67,37154,32624,36670,54883,94266,74809,172429,123833,45447
,,,,,,,,68,37515,34335,39072,59275,93808,78460,176839,122882,44560
,,,,,,,,69,40880,35550,40381,59666,92031,78339,177203,120960,42940
,,,,,,,,70,41316,35225,39945,59417,89478,77694,173989,116932,40606
,,,,,,,,71,40378,34457,39163,57739,85122,75324,167587,111087,37539
,,,,,,,,72,38976,33298,37613,54404,80217,71647,160789,104848,34600
,,,,,,,,73,36784,31406,35197,50917,76112,67875,156440,100742,32640
,,,,,,,,74,33878,29061,33077,48805,73631,65880,155242,98520,31601
,,,,,,,,75,31221,27122,31528,47958,72494,65023,155976,97941,30998
,,,,,,,,76,29416,26034,30837,47690,71912,64687,157853,98267,30835
,,,,,,,,77,28282,25552,30646,47954,72508,65314,162086,100185,31440
,,,,,,,,78,27677,25495,30832,49490,75146,66719,171226,105547,33567
,,,,,,,,79,27671,25881,31746,53480,80937,70898,184948,114335,37842
,,,,,,,,80,28511,27262,33851,59665,86979,77150,192572,119393,40463
,,,,,,,,81,30798,30242,36806,61291,88577,78906,187767,118523,40757
,,,,,,,,82,34061,33727,38537,59147,87503,76562,176815,116511,41048
,,,,,,,,83,35877,35349,38099,56823,86575,73801,165278,114670,41138
,,,,,,,,84,36539,34815,37325,54707,85460,71232,154649,112289,40858
,,,,,,,,85,37097,34196,36991,53032,84046,68851,145571,110169,40458
,,,,,,,,86,37531,33674,36522,51621,82879,66625,138447,108432,40267
,,,,,,,,87,37725,33248,35983,50622,81799,65033,132721,106831,39972
,,,,,,,,88,37758,32958,35717,49832,81017,63847,130033,106796,40317
,,,,,,,,89,38019,32749,35598,49246,81726,63582,131729,109612,42755
,,,,,,,,90,38024,32692,35640,49543,85916,64724,141542,116562,45289
,,,,,,,,91,38008,33242,36463,51842,89870,69406,155198,118529,45196
,,,,,,,,92,38304,34782,38704,55211,89316,72380,158077,116751,43960
,,,,,,,,93,41317,35843,40040,55053,87584,72114,157695,114227,42115
,,,,,,,,94,41515,35371,39672,54507,85070,71360,154164,109750,39550
,,,,,,,,95,40479,34440,38847,52878,80367,69276,147089,102569,36261
,,,,,,,,96,39003,33192,37260,49877,75370,65818,139178,95758,33024
,,,,,,,,97,36750,30948,34865,46649,71541,62221,133483,90618,30827
,,,,,,,,98,33880,28583,32693,44777,69567,60545,131897,87994,29582
,,,,,,,,99,31217,26541,31162,44082,68114,59830,131625,86567,28922
,,,,,,,,100,29493,25337,30391,43933,67630,59896,133302,86362,28696
,,,,,,,,101,28310,24841,30058,44460,68475,60669,137028,88026,29222
,,,,,,,,102,27685,24716,30172,46035,71210,62339,145956,93092,31240
,,,,,,,,103,27708,25139,31140,50096,77190,66459,161082,102195,35313
,,,,,,,,104,28617,26540,33152,56400,83636,73113,168892,108235,38170
,,,,,,,,105,30806,29434,36375,58336,85422,75142,163837,107860,38771
,,,,,,,,106,34113,32936,37982,56410,84169,72789,152944,105975,39071
,,,,,,,,107,35691,34588,37544,54497,82887,69825,142112,103915,39027
,,,,,,,,108,36503,34088,36853,53098,81856,67790,133585,101634,38728
,,,,,,,,109,37121,33647,36553,51839,80504,66123,127005,99700,38428
,,,,,,,,110,37428,33251,36158,50749,79448,64557,122627,98255,38358
,,,,,,,,111,37673,32561,35635,50071,78433,63341,118923,96849,38129
,,,,,,,,112,37715,32272,35356,49423,77323,62307,116598,96029,38366
,,,,,,,,113,37928,32116,35186,49137,77501,61825,117587,98555,40486
,,,,,,,,114,37956,32035,35303,49292,81265,62577,124794,106045,43317
,,,,,,,,115,37880,32427,36038,51150,85832,66366,136775,109501,43237
,,,,,,,,116,37966,34110,38199,54168,85504,69438,139240,108973,42078
,,,,,,,,117,40865,35839,39642,53896,83747,69099,138855,107037,40311
,,,,,,,,118,41203,35887,39254,53216,81170,68363,135629,103198,37884
,,,,,,,,119,40149,35338,38522,51259,77158,65903,129538,97396,34729
,,,,,,,,120,38796,34350,37096,48074,72030,62368,122724,90810,31755
,,,,,,,,121,36895,32556,34929,44895,68010,58993,118037,86245,29693
,,,,,,,,122,34010,30107,32775,42867,65593,57092,116149,83823,28464
,,,,,,,,123,31295,28191,31279,41763,64264,56315,116313,82578,27834
,,,,,,,,124,29575,27176,30582,41312,63796,56149,117766,82332,27602
,,,,,,,,125,28417,26678,30328,41491,64525,56504,121801,83997,28113
,,,,,,,,126,27810,26726,30498,42505,67120,57857,130494,88827,30135
,,,,,,,,127,27788,27218,31379,45813,72932,61966,145424,97673,34159
,,,,,,,,128,28646,28748,33520,51342,79236,68065,154066,103091,36803
,,,,,,,,129,30848,31760,36673,53347,81187,70092,149998,102124,37235
,,,,,,,,130,34096,35268,38331,51955,80107,68424,141177,99634,37375
,,,,,,,,131,35813,37095,38070,51158,79304,66991,132368,97338,37349
,,,,,,,,132,36646,36831,37467,50624,78504,65452,125389,94960,37036
,,,,,,,,133,36996,36317,37053,49989,77324,64073,120219,92739,36628
,,,,,,,,134,37269,35705,36449,49483,76448,62943,116781,91215,36338
,,,,,,,,135,37242,35010,35838,49338,75331,62087,113706,89557,35932
,,,,,,,,136,36946,34544,35468,49153,74390,61222,111512,88339,36103
,,,,,,,,137,36960,34388,35312,48953,74315,60716,111451,89407,37905
,,,,,,,,138,36841,34393,35331,48744,77452,61306,116427,95668,40368
,,,,,,,,139,36628,35097,35996,49597,80910,64421,125365,98097,40057
,,,,,,,,140,36917,36419,38013,51594,79870,65895,124586,96554,38692
,,,,,,,,141,39931,37231,39180,50575,78038,64934,122486,94511,36996
,,,,,,,,142,40152,36663,38680,49291,75860,63736,119539,91725,35146
,,,,,,,,143,39114,35535,37914,47748,72703,62011,115044,87372,32636
,,,,,,,,144,37984,34457,36915,45722,68786,59960,108599,82080,29985
,,,,,,,,145,36186,32810,35199,43016,65072,57157,103337,77867,27889
,,,,,,,,146,33852,30652,33461,40963,62596,54767,99910,74933,26576
,,,,,,,,147,31662,28870,32106,39605,60869,53769,98165,73382,25805
,,,,,,,,148,29915,27548,31160,38750,60157,53137,97526,72880,25457
,,,,,,,,149,28666,26904,30667,38588,60467,53247,98471,73449,25584
,,,,,,,,150,27865,26665,30653,38960,61508,53906,101254,75592,26393
,,,,,,,,151,27601,26785,31105,40293,64066,55680,105963,79104,27902
,,,,,,,,152,27854,27426,32010,42577,67401,58422,111057,82991,29496
,,,,,,,,153,28823,28789,33458,44584,69919,60751,115216,85487,31244
,,,,,,,,154,30237,30556,34684,46479,71351,62422,116956,86404,32495
,,,,,,,,155,31048,32191,35223,48166,72180,63275,115845,86066,33024
,,,,,,,,156,32072,33605,35552,48933,71929,63151,113665,84955,32978
,,,,,,,,157,33146,34348,35550,48987,71223,62314,111295,83253,32620
,,,,,,,,158,33448,34359,35316,48533,70020,61077,108688,81555,32131
,,,,,,,,159,33294,33947,34733,47745,68851,59959,106611,80091,31757
,,,,,,,,160,32973,33284,34270,47292,68235,59341,105674,79468,32021
,,,,,,,,161,32739,32683,34286,47259,69003,59348,105845,81129,33979
,,,,,,,,162,32590,32479,34525,47400,72984,60560,110226,87865,36749
,,,,,,,,163,32763,32898,35447,48946,77141,64341,118200,91011,36773
,,,,,,,,164,33442,34308,37538,51171,76426,65893,116935,89874,35606
,,,,,,,,165,36997,35271,38746,50694,74916,64937,114034,88385,34237
,,,,,,,,166,37689,34724,38225,49729,73184,63921,110384,85936,32752
,,,,,,,,167,36969,33950,37505,48290,70778,62004,105747,82729,30828
,,,,,,,,168,36036,32993,36508,46341,67233,59659,99755,78569,28692
,,,,,,,,169,34686,31711,34895,44133,64294,57103,94484,74870,26860
,,,,,,,,170,32630,29903,33322,42175,62344,55113,91364,72783,25708
,,,,,,,,171,30705,28121,31995,40928,61126,53862,89866,71636,24956
,,,,,,,,172,29237,27107,31204,40282,60607,53318,89624,71477,24658
,,,,,,,,173,28081,26455,30792,40198,60778,53306,90598,72033,24717
,,,,,,,,174,27353,26203,30694,40448,61614,53543,92982,73864,25295
,,,,,,,,175,27117,26353,30983,41394,63495,54699,97366,76764,26462
,,,,,,,,176,27262,26904,31736,43090,66101,56727,102894,80110,27703
,,,,,,,,177,27943,28092,32821,44667,68163,58770,108905,83043,29379
,,,,,,,,178,29140,29807,33800,46215,69411,60593,111619,84416,30958
,,,,,,,,179,29683,31567,34623,47786,69759,61878,111077,84079,31983
,,,,,,,,180,30692,33000,35040,48269,69490,62055,109150,83187,32513
,,,,,,,,181,31405,33541,35167,48314,69273,61666,108750,82813,32856
,,,,,,,,182,31814,33338,35072,48542,68850,61926,108570,82296,32926
,,,,,,,,183,31823,32748,34827,48289,68376,61629,107812,81392,32888
,,,,,,,,184,31626,32156,34338,47915,68103,61167,107106,81712,33244
,,,,,,,,185,31504,31451,34056,47873,69597,61307,108595,84850,35469
,,,,,,,,186,31399,30964,34034,48432,74243,62498,113618,92638,38544
,,,,,,,,187,31474,31251,35054,50731,78845,66718,121403,96248,38678
,,,,,,,,188,32652,33273,37869,53607,78870,68822,120722,96237,38037
,,,,,,,,189,36974,35369,40123,53579,77932,68624,118578,95751,36918
,,,,,,,,190,38096,35393,40030,52462,75698,67364,114041,93035,34998
,,,,,,,,191,37554,34796,39209,50442,72334,65141,106710,88343,32412
,,,,,,,,192,36486,33699,37707,47434,68597,61625,99092,83610,29954
,,,,,,,,193,34598,31750,35531,44114,65565,58154,92872,80156,28241
,,,,,,,,194,32049,29446,33482,41709,63941,56034,89622,78438,27230
,,,,,,,,195,29859,27601,32131,40721,63109,55260,88422,77882,26740
,,,,,,,,196,28474,26566,31513,40601,63118,55458,88525,78134,26730
,,,,,,,,197,27615,26206,31335,40829,64340,55858,90967,80493,27372
,,,,,,,,198,27249,26155,31573,41928,67661,57375,98200,86385,29652
,,,,,,,,199,27424,26728,32577,45461,74556,61792,111956,96413,34038
,,,,,,,,200,28384,28235,34856,51366,81649,68449,121140,102830,36860
,,,,,,,,201,30934,31201,38271,54027,83812,71496,120734,103087,37332
,,,,,,,,202,35176,34885,39838,54189,83108,70757,120732,102244,37601
,,,,,,,,203,37375,36507,39352,55005,82431,70176,121598,101718,37756
,,,,,,,,204,37925,36075,38647,55602,81676,69518,121974,100697,37529
,,,,,,,,205,38008,35526,38159,56528,80644,68699,121538,99487,37119
,,,,,,,,206,38081,34976,37545,56719,79783,67677,121020,98572,36860
,,,,,,,,207,37752,34354,36931,56727,78857,66784,119974,97709,36462
,,,,,,,,208,37466,33925,36555,56308,77979,65905,119420,97762,36633
,,,,,,,,209,37372,33414,36032,55892,77910,65510,120368,100059,38623
,,,,,,,,210,37073,33209,35897,56374,81149,66728,124994,106233,41836
,,,,,,,,211,36706,33712,36597,58608,85718,70954,132543,108373,41719
,,,,,,,,212,37320,35642,39587,61079,85943,73472,132223,107536,40843
,,,,,,,,213,41033,37118,41479,60377,84503,72619,127979,105393,39346
,,,,,,,,214,41581,36745,41171,58861,81862,70996,121064,101050,36841
,,,,,,,,215,40692,35885,40413,56406,77634,68559,113415,94708,33649
,,,,,,,,216,39288,34641,38781,52242,72771,64677,104852,88214,30647
,,,,,,,,217,37033,32464,36196,48686,69055,60952,98332,83519,28569
,,,,,,,,218,33926,29760,33907,46146,66729,58469,94193,81147,27347
,,,,,,,,219,31357,27686,32653,44981,65670,57262,92245,79984,26757
,,,,,,,,220,29751,26607,31964,44699,65314,57082,91909,80230,26614
,,,,,,,,221,28724,26116,31767,44975,66240,57443,93919,82259,27233
,,,,,,,,222,28207,26075,31973,46635,69332,59031,100552,88032,29409
,,,,,,,,223,28282,26642,32995,50681,75620,63144,113629,98001,33766
,,,,,,,,224,29247,28181,35349,57118,82335,69641,121989,104222,36439
,,,,,,,,225,31690,31414,38707,59741,83977,72185,121574,103589,36977
,,,,,,,,226,35782,35127,40277,58599,82555,71102,121088,101195,37300
,,,,,,,,227,38014,36763,39481,58203,81273,70273,121201,98842,37338
,,,,,,,,228,38090,36209,38497,58296,79873,69759,120465,96655,37133
,,,,,,,,229,37842,35438,37671,57765,78729,68890,119828,94565,36771
,,,,,,,,230,37777,34592,36940,56785,77618,67581,119138,93339,36612
,,,,,,,,231,37598,33943,36312,56183,76563,66790,118731,91924,36391
,,,,,,,,232,37285,33438,35811,55525,75469,65958,118104,91422,36785
,,,,,,,,233,37177,33146,35680,55318,75672,65985,119389,93561,38831
,,,,,,,,234,37000,33019,35662,55617,79053,67162,125070,100470,41490
,,,,,,,,235,37013,33629,36474,57803,83944,71133,132339,104210,41362
,,,,,,,,236,37210,35361,38879,60967,83912,73301,131815,103837,40145
,,,,,,,,237,40543,37461,40514,60680,82304,72542,128216,102185,38395
,,,,,,,,238,41217,37664,40276,59760,80102,71376,122497,98983,36062
,,,,,,,,239,40382,37163,39671,57483,76093,68388,113256,93153,32965
,,,,,,,,240,39178,36263,38295,53658,71405,64764,104263,87399,30102
,,,,,,,,241,37142,34402,35870,50252,67685,60962,97678,83435,28186
,,,,,,,,242,34355,31932,33922,48238,65758,59036,93373,81514,27165
,,,,,,,,243,31663,30073,32611,47368,64552,58139,91131,80703,26657
,,,,,,,,244,29965,29002,31966,47327,64001,57787,90268,81044,26636
,,,,,,,,245,28820,28679,31780,47979,64755,58257,91291,83080,27294
,,,,,,,,246,28337,28799,32103,49735,67579,59835,97377,88588,29589
,,,,,,,,247,28463,29487,33107,54070,73873,64008,109805,98209,34017
,,,,,,,,248,29477,31101,35536,61074,80660,71362,118643,104013,36635
,,,,,,,,249,31864,34359,38749,62697,82671,73808,119022,103088,37015
,,,,,,,,250,35807,38174,40547,59872,82070,72294,119529,101488,37045
,,,,,,,,251,37891,39807,40164,56930,81645,70887,120807,100251,36959
,,,,,,,,252,38146,39141,39541,54867,81165,68969,121467,99077,36645
,,,,,,,,253,38338,38276,39060,53251,80671,67758,121162,97969,36278
,,,,,,,,254,38075,37121,38478,51567,80236,66301,120469,97515,36153
,,,,,,,,255,37676,36101,37729,50745,79810,65604,119440,96912,35973
,,,,,,,,256,37334,35232,37335,50124,79287,65136,119028,97055,36256
,,,,,,,,257,37216,34597,37181,49989,79995,65354,120691,99639,38347
,,,,,,,,258,37192,34350,37273,50361,83262,67096,125525,104623,41283
,,,,,,,,259,37159,34928,38187,52024,86704,71351,133020,105823,41279
,,,,,,,,260,37567,36875,40603,55385,86024,74265,131978,103994,40082
,,,,,,,,261,40755,39123,42200,55446,84198,74187,128653,101406,38353
,,,,,,,,262,41333,39322,41914,55249,81682,73819,123659,96920,35885
,,,,,,,,263,40483,38816,41266,53784,77493,71804,115666,90357,32741
,,,,,,,,264,39332,37795,39860,50733,72649,68234,106941,83779,29840
,,,,,,,,265,37348,35783,37323,47544,68874,64937,100425,79003,27910
,,,,,,,,266,34655,33196,35253,46302,66698,63568,97080,76058,26812
,,,,,,,,267,31972,31395,34001,46334,65576,63006,95579,74509,26233
,,,,,,,,268,30090,30459,33459,46898,65059,63099,95625,74160,26119
,,,,,,,,269,29018,30161,33210,47877,66143,64102,97757,75614,26700
,,,,,,,,270,28458,30343,33480,50341,69090,66362,104933,80625,28819
,,,,,,,,271,28570,30959,34433,55526,75391,71149,118648,90194,32908
,,,,,,,,272,29439,32584,36655,62953,82439,78390,127438,96483,35984
,,,,,,,,273,31556,35690,39827,65663,84980,81376,126525,96881,37126
,,,,,,,,274,35245,39485,41395,64153,84898,80775,125265,96387,37750
,,,,,,,,275,37042,40952,40821,63678,85496,81114,124932,96641,38147
,,,,,,,,276,37461,40178,40234,63354,86002,80880,124370,96415,38312
,,,,,,,,277,37629,39086,39519,62200,86035,79933,123939,95882,38264
,,,,,,,,278,37756,37936,38643,60972,85955,78829,123679,95247,38201
,,,,,,,,279,37598,36703,37883,59842,85899,78191,123524,94507,37878
,,,,,,,,280,37583,35603,37392,58906,85870,77429,123845,94450,37982
,,,,,,,,281,37953,34971,37144,58937,86691,77478,125896,96493,39686
,,,,,,,,282,37898,34741,37209,60685,89926,79193,131907,102099,41768
,,,,,,,,283,37914,35336,38033,63527,93209,83628,141850,104583,41513
,,,,,,,,284,37908,36998,40454,67878,92671,86860,143386,103521,40120
,,,,,,,,285,40504,38839,42168,68220,90839,86521,141828,101778,38280
,,,,,,,,286,41208,38830,42127,68148,88298,85647,137369,98277,35842
,,,,,,,,287,40371,38202,41486,66439,84155,83132,130193,92894,32733
,,,,,,,,288,39277,37073,40162,63334,79821,79180,122521,87120,29817
,,,,,,,,289,37274,35097,37830,60120,76259,75760,116969,83133,27765
,,,,,,,,290,34413,32634,35790,58166,74188,73842,115004,81034,26637
,,,,,,,,291,31858,30762,34381,57456,73082,73284,115084,80484,26042
,,,,,,,,292,30095,29661,33676,57250,72630,73153,116307,81106,25839
,,,,,,,,293,29113,29373,33572,57666,73362,73809,119968,83455,26310
,,,,,,,,294,28545,29539,33801,59283,76124,75732,128661,89390,28411
,,,,,,,,295,28581,30245,34878,63387,81921,79774,143225,99035,32591
,,,,,,,,296,29408,31886,37121,69838,88168,86493,153255,106333,35612
,,,,,,,,297,31582,35080,40274,71498,90640,89019,153762,107631,36467
,,,,,,,,298,35534,38851,41932,68616,90446,86616,151945,108396,37087
,,,,,,,,299,37725,40716,41327,65338,90636,83892,149872,109175,37517
,,,,,,,,300,38065,40144,40139,62494,90512,81043,146227,109155,37661
,,,,,,,,301,38189,38961,39181,59256,89848,78198,142275,108533,37614
,,,,,,,,302,38237,37788,38275,56608,88979,75395,138450,107630,37691
,,,,,,,,303,37878,36446,37313,54261,88131,73071,135147,106640,37568
,,,,,,,,304,37519,35500,36567,52367,87085,70958,132966,106329,37959
,,,,,,,,305,37629,34892,36126,51745,87085,70038,134504,108101,39871
,,,,,,,,306,37448,34721,36021,52113,89830,71269,141464,113963,42328
,,,,,,,,307,37286,35186,36593,54122,92967,75666,151395,115614,42195
,,,,,,,,308,37385,36349,38456,58505,91642,79104,151943,113357,40819
,,,,,,,,309,40070,37717,40080,59173,89456,79089,150563,111102,39161
,,,,,,,,310,40461,37350,39846,59292,87114,78560,146918,107616,37210
,,,,,,,,311,39486,36472,39389,59151,83858,77565,141677,102740,34700
,,,,,,,,312,38420,35423,38619,56892,79380,74937,136084,97091,32116
,,,,,,,,313,36682,33754,36811,54857,75761,72197,131163,92850,30127
,,,,,,,,314,34241,31806,34989,53372,73346,70210,129005,90286,28875
,,,,,,,,315,31743,29977,33706,52734,71906,69167,128681,89013,28072
,,,,,,,,316,29874,28840,33004,52615,71077,68676,129564,88424,27761
,,,,,,,,317,28748,28290,32758,53033,71054,68732,132453,88947,27910
,,,,,,,,318,28076,28096,32814,54262,71990,69643,137117,90999,28676
,,,,,,,,319,27913,28329,33307,56432,74163,71411,144409,94483,30308
,,,,,,,,320,28357,29025,34358,59101,77374,73867,151805,98396,32000
,,,,,,,,321,29366,30446,35779,61422,79857,76065,156730,101160,33930
,,,,,,,,322,31075,32257,37019,61526,81489,76276,154438,102438,35468
,,,,,,,,323,32213,34081,37487,59370,82062,74738,148611,102308,36168
,,,,,,,,324,33721,35446,37386,56655,81448,72140,141075,101004,36276
,,,,,,,,325,34610,36135,36925,53613,79987,69305,133971,99115,35983
,,,,,,,,326,34916,36126,36184,50678,78387,66483,127651,97228,35637
,,,,,,,,327,34592,35612,35176,48362,77203,64195,122950,95756,35348
,,,,,,,,328,34034,34905,34436,46648,76753,62193,120553,95565,35588
,,,,,,,,329,33709,34328,34060,46017,77647,62066,121664,98018,37469
,,,,,,,,330,33415,33936,34109,46018,80764,62902,128116,103970,40452
,,,,,,,,331,33477,34295,34917,47864,84881,66851,139581,106970,40701
,,,,,,,,332,33935,35474,37058,51315,84231,70009,141315,105920,39645
,,,,,,,,333,37177,36726,38345,51632,82746,70231,141170,104306,38224
,,,,,,,,334,38252,36436,38057,51843,81027,70420,139291,102024,36814
,,,,,,,,335,37553,35657,37446,51520,78183,69679,135554,98098,35027
,,,,,,,,336,36770,34756,36525,50006,74673,67556,130189,93538,32914
,,,,,,,,337,35257,33195,35004,48459,71613,65530,125708,89659,31082
,,,,,,,,338,33219,31325,33439,47562,69702,64303,123838,87547,29985
,,,,,,,,339,30939,29669,32007,47045,68354,63613,123296,86192,29334
,,,,,,,,340,29239,28642,31139,47132,67988,63750,124331,86017,29166
,,,,,,,,341,28118,28159,30660,47564,68072,63922,126416,86697,29346
,,,,,,,,342,27420,27993,30471,48415,68847,64989,130424,88619,29993
,,,,,,,,343,27177,28194,30690,49952,70784,66709,136557,91753,31269
,,,,,,,,344,27249,28781,31326,52136,73315,69220,144083,95310,32572
,,,,,,,,345,27975,30028,32399,53896,75191,71417,149127,97806,34393
,,,,,,,,346,29270,31805,33316,54940,76248,72207,144795,98706,35906
,,,,,,,,347,30211,33659,34132,53953,76140,70081,136013,97987,36865
,,,,,,,,348,31700,35161,34750,51818,75429,67006,127833,96679,37295
,,,,,,,,349,32771,35757,34961,49648,74679,64279,121949,95525,37399
,,,,,,,,350,33092,35713,34883,48240,73976,62479,117316,93944,37200
,,,,,,,,351,32826,35357,34636,47103,72756,60942,113268,92580,36975
,,,,,,,,352,32628,34913,34283,46160,72194,60142,111278,92455,37182
,,,,,,,,353,32425,34583,34010,45798,72939,59634,112052,95317,38988
,,,,,,,,354,32158,34376,34076,46285,76613,60721,118395,102834,42010
,,,,,,,,355,32499,34769,34773,47974,82016,64754,130607,107471,42289
,,,,,,,,356,34003,36450,37332,50939,82601,68230,133501,107500,41493
,,,,,,,,357,37888,38474,39069,50709,82103,67914,134652,106978,40565
,,,,,,,,358,38795,38112,38501,49587,79902,66708,132738,104487,38837
,,,,,,,,359,38120,37239,37551,47904,77006,64543,129303,100884,36693
,,,,,,,,360,37088,36137,36271,45471,73396,61577,124787,96890,34381
,,,,,,,,361,35331,34479,34292,42519,70505,58393,121114,93799,32604
,,,,,,,,362,32901,32379,32440,40291,68588,56279,119807,92066,31492
,,,,,,,,363,30529,30480,31040,39122,67604,55126,119683,91674,30928
,,,,,,,,364,28566,29681,30251,38660,67546,54547,120755,92262,30841
,,,,,,,,365,27493,29344,29979,38452,68258,54523,123575,94214,31347
,,,,,,,,366,27001,29471,30150,39308,70837,55592,129485,98653,32912
,,,,,,,,367,27088,30162,30760,41504,75776,58249,137967,105308,35604
,,,,,,,,368,27906,31672,32341,44676,81207,62306,145143,110246,37805
,,,,,,,,369,29725,34183,34349,46364,83109,64420,146586,111186,39314
