Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
107,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
108,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
109,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
110,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
111,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
112,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
113,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
114,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
115,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
116,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
117,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
118,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
119,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
120,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
121,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
122,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
123,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
124,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
125,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
126,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
127,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
128,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
129,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
130,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
131,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
132,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
133,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
134,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
135,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
136,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
137,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
138,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
139,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
140,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
141,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
142,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
143,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
144,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
145,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
146,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
