CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
TX_Frio03b,4,0,6.3,31449000,13282.3,0,1
TX_Frio09b,4,0,6.3,60253000,25409.6,0,1
TX_Frio13b,4,0,6.5,69750000,29452.1,0,1
TX_Frio13c,4,0,7.1,62483000,25987.1,0,1
TX_Frio11,4,0,7.4,8820000,3464.9,0,1
TX_Frio08,4,0,7.7,35909000,15014.8,0,1
TX_Lower_Tuscaloosa08,4,0,7.7,203575000,86046.2,0,1
TX_Frio05,4,0,9.2,5795000,2310,0,1
TX_Lower_Tuscaloosa09,4,0,9.7,89428000,37536.9,0,1
TX_WashitaFredericksburg3,4,0,9.7,37302000,15592.3,0,1
TX_Paluxy1,4,0,9.9,4771000,1732.5,0,1
TX_Frio07b,4,0,11.2,16784000,6929.9,0,1
TX_Lower_Tuscaloosa06,4,0,11.9,103348000,43311.8,0,1
NCEN_Mount_Simon03,5,0,6.1,213317000,90088.6,0,1
NCEN_Mount_Simon06,5,0,6.3,209377000,88356.2,0,1
NCEN_Mount_Simon07,5,0,7.2,43913000,18479.7,0,1
NCEN_Mount_Simon05,5,0,7.9,13848000,5774.9,0,1
NCEN_Mount_Simon02,5,0,8.6,16083000,6352.4,0,1
NCEN_Knox3,5,0,10.3,16582000,6929.9,0,1
NCEN_Knox5,5,0,11.5,6086000,2310,0,1
NCEN_Knox1,5,0,11.9,24441000,9817.4,0,1
NCEN_StPeter07,5,0,14.5,4694000,1732.5,0,1
NCEN_Mount_Simon08,5,0,15.5,11281000,4619.9,0,1
NCEN_Knox4,5,0,17.1,1373000,577.5,0,1
NCEN_Knox6,5,0,17.2,1828000,577.5,0,1
NCEN_Mount_Simon10,5,0,17.4,37547000,15592.3,0,1
NCEN_Knox2,5,0,18.3,5996000,2310,0,1
NCEN_Niagaran01,5,0,19.1,17091000,6929.9,0,1
CEN_Woodbine1,6,0,6.2,355394000,150147.7,0,1
CEN_Lower_Tuscaloosa01,6,0,6.6,179513000,75651.4,0,1
CEN_Lower_Tuscaloosa10,6,0,7,109845000,46199.3,0,1
CEN_Arbuckle1,6,0,8.5,24420000,9817.4,0,1
CEN_Paluxy6,6,0,8.9,49650000,20789.7,0,1
CEN_Paluxy2,6,0,9.4,110964000,46776.8,0,1
CEN_Paluxy3,6,0,9.6,88568000,36959.4,0,1
CEN_Basal_Cambrian8,6,0,12.4,60405000,25409.6,0,1
CEN_Lower_Tuscaloosa07,6,0,14,11931000,4619.9,0,1
SE_WashitaFredericksburg1,7,0,6.1,47536000,19634.7,0,1
SE_Lower_Tuscaloosa02,7,0,6.4,51454000,21367.2,0,1
SE_WashitaFredericksburg2,7,0,6.6,30401000,12704.8,0,1
SE_Cedar_KeysLawson2,7,0,7.4,35252000,14437.3,0,1
SE_Paluxy5,7,0,7.6,21541000,8662.4,0,1
SE_Lower_Tuscaloosa03,7,0,7.8,131717000,55439.2,0,1
SE_Paluxy4,7,0,8,35727000,15014.8,0,1
SE_Lower_Tuscaloosa04,7,0,9.1,17745000,6929.9,0,1
SE_Cedar_KeysLawson1,7,0,9.4,7755000,2887.5,0,1
SE_Lower_Tuscaloosa05,7,0,9.8,22899000,9239.9,0,1
SE_Sunniland1,7,0,18.9,2248000,577.5,0,1
MIDAT_Waste_Gate1,8,0,7.9,3366000,1155,0,1
