ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,114,46647,35541,37797,55800,147384,61620,81008,99937,71160
,115,46647,35541,37797,55800,147384,61620,81008,99937,71160
,116,46647,35541,37797,55800,147384,61620,81008,99937,71160
,117,46647,35541,37797,55800,147384,61620,81008,99937,71160
,118,46647,35541,37797,55800,147384,61620,81008,99937,71160
,119,46647,35541,37797,55800,147384,61620,81008,99937,71160
,120,46647,35541,37797,55800,147384,61620,81008,99937,71160
,121,46647,35541,37797,55800,147384,61620,81008,99937,71160
,122,46647,35541,37797,55800,147384,61620,81008,99937,71160
,123,46647,35541,37797,55800,147384,61620,81008,99937,71160
,124,46647,35541,37797,55800,147384,61620,81008,99937,71160
,125,46647,35541,37797,55800,147384,61620,81008,99937,71160
,126,46647,35541,37797,55800,147384,61620,81008,99937,71160
,127,46647,35541,37797,55800,147384,61620,81008,99937,71160
,128,46647,35541,37797,55800,147384,61620,81008,99937,71160
,129,46647,35541,37797,55800,147384,61620,81008,99937,71160
,130,46647,35541,37797,55800,147384,61620,81008,99937,71160
,131,46647,35541,37797,55800,147384,61620,81008,99937,71160
,132,46647,35541,37797,55800,147384,61620,81008,99937,71160
,133,46647,35541,37797,55800,147384,61620,81008,99937,71160
,134,46647,35541,37797,55800,147384,61620,81008,99937,71160
,135,46647,35541,37797,55800,147384,61620,81008,99937,71160
,136,46647,35541,37797,55800,147384,61620,81008,99937,71160
,137,46647,35541,37797,55800,147384,61620,81008,99937,71160
,138,46647,35541,37797,55800,147384,61620,81008,99937,71160
,139,46647,35541,37797,55800,147384,61620,81008,99937,71160
,140,46647,35541,37797,55800,147384,61620,81008,99937,71160
,141,46647,35541,37797,55800,147384,61620,81008,99937,71160
,142,46647,35541,37797,55800,147384,61620,81008,99937,71160
,143,46647,35541,37797,55800,147384,61620,81008,99937,71160
,144,46647,35541,37797,55800,147384,61620,81008,99937,71160
,145,46647,35541,37797,55800,147384,61620,81008,99937,71160
,146,46647,35541,37797,55800,147384,61620,81008,99937,71160
,147,46647,35541,37797,55800,147384,61620,81008,99937,71160
,148,46647,35541,37797,55800,147384,61620,81008,99937,71160
,149,46647,35541,37797,55800,147384,61620,81008,99937,71160
,150,46647,35541,37797,55800,147384,61620,81008,99937,71160
,151,46647,35541,37797,55800,147384,61620,81008,99937,71160
,152,46647,35541,37797,55800,147384,61620,81008,99937,71160
,153,46647,35541,37797,55800,147384,61620,81008,99937,71160
,154,46647,35541,37797,55800,147384,61620,81008,99937,71160
,155,46647,35541,37797,55800,147384,61620,81008,99937,71160
,156,46647,35541,37797,55800,147384,61620,81008,99937,71160
,157,46647,35541,37797,55800,147384,61620,81008,99937,71160
,158,46647,35541,37797,55800,147384,61620,81008,99937,71160
,159,46647,35541,37797,55800,147384,61620,81008,99937,71160
,160,46647,35541,37797,55800,147384,61620,81008,99937,71160
,161,46647,35541,37797,55800,147384,61620,81008,99937,71160
,162,46647,35541,37797,55800,147384,61620,81008,99937,71160
,163,46647,35541,37797,55800,147384,61620,81008,99937,71160
,164,46647,35541,37797,55800,147384,61620,81008,99937,71160
,165,46647,35541,37797,55800,147384,61620,81008,99937,71160
,166,46647,35541,37797,55800,147384,61620,81008,99937,71160
,167,46647,35541,37797,55800,147384,61620,81008,99937,71160
,168,46647,35541,37797,55800,147384,61620,81008,99937,71160
,169,46647,35541,37797,55800,147384,61620,81008,99937,71160
,170,46647,35541,37797,55800,147384,61620,81008,99937,71160
,171,46647,35541,37797,55800,147384,61620,81008,99937,71160
,172,46647,35541,37797,55800,147384,61620,81008,99937,71160
,173,46647,35541,37797,55800,147384,61620,81008,99937,71160
,174,46647,35541,37797,55800,147384,61620,81008,99937,71160
,175,46647,35541,37797,55800,147384,61620,81008,99937,71160
,176,46647,35541,37797,55800,147384,61620,81008,99937,71160
,177,46647,35541,37797,55800,147384,61620,81008,99937,71160
,178,46647,35541,37797,55800,147384,61620,81008,99937,71160
,179,46647,35541,37797,55800,147384,61620,81008,99937,71160
