Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,,207,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,208,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,209,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,210,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,211,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,212,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,213,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,214,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,215,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,216,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,217,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,218,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,219,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,220,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,221,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,222,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,223,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,224,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,225,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,226,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,227,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,228,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,229,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,230,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,231,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,232,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,233,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,234,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,235,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,236,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,237,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,238,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,239,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,240,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,241,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,242,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,243,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,244,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,245,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,246,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,247,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,248,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,249,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,250,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,251,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,252,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,253,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,254,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,255,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,256,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,257,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,258,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,259,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,260,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,261,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,262,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,263,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,264,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,265,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,266,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,267,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,268,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,269,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,270,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,271,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,272,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,273,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,274,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,275,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,276,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,277,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,278,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,279,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,280,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,281,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,282,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,283,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,284,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,285,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,286,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,287,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,288,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,289,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,290,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,291,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,292,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,293,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,294,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,295,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,296,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,297,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,298,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,299,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,300,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,301,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,302,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,303,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,304,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,305,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,306,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,307,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,308,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,309,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,310,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,311,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,312,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,313,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,314,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,315,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,316,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,317,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,318,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,319,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,320,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,321,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,322,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,323,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,324,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,325,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,326,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,327,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,328,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,329,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,330,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,331,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,332,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,333,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,334,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,335,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,336,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,337,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,338,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,339,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,340,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,341,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,342,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,343,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,344,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,345,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,346,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,347,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,348,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,349,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,350,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,351,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,352,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,353,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,354,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,355,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,356,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,357,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,358,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,359,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,360,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,361,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,362,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,363,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,364,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,365,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,366,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,367,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,368,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,369,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,370,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,371,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,372,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,373,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,374,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,375,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,376,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,377,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,378,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,379,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,380,54187,16401,29348,27810,30573,11486,59290,32442,33624
