Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,118,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,119,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,120,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,121,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,122,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,123,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,124,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,125,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,126,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,127,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,128,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,129,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,130,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,131,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,132,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,133,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,134,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,135,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,136,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,137,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,138,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,139,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,140,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,141,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,142,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,143,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,144,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,145,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,146,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,147,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,148,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
