Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
,,,,,,,,106,38319,37080,43409,63228,90742,80273,169115,115174,42127
,,,,,,,,107,40091,38934,42906,61081,89360,76996,157110,112935,42079
,,,,,,,,108,41000,38366,42112,59509,88246,74746,147658,110453,41752
,,,,,,,,109,41683,37859,41755,58086,86781,72900,140356,108343,41421
,,,,,,,,110,42022,37406,41295,56857,85638,71167,135497,106767,41341
,,,,,,,,111,42295,36624,40694,56093,84541,69824,131391,105238,41091
,,,,,,,,112,42333,36290,40364,55359,83339,68677,128819,104340,41342
,,,,,,,,113,42550,36090,40144,55016,83516,68125,129898,107071,43618
,,,,,,,,114,42556,35974,40249,55166,87557,68927,137862,115195,46656
,,,,,,,,115,42450,36396,41066,57229,92471,73081,151104,118937,46558
,,,,,,,,116,42579,38325,43573,60644,92137,76507,153842,118385,45326
,,,,,,,,117,45883,40315,45277,60383,90270,76176,153444,116311,43447
,,,,,,,,118,46275,40380,44849,59633,87500,75381,149867,112147,40837
,,,,,,,,119,45100,39773,44023,57448,83180,72678,143118,105847,37438
,,,,,,,,120,43592,38670,42406,53888,77658,68794,135583,98697,34236
,,,,,,,,121,41461,36657,39937,50331,73328,65082,130406,93739,32017
,,,,,,,,122,38226,33906,37480,48064,70726,62991,128328,91112,30696
,,,,,,,,123,35176,31754,35773,46828,69294,62139,128517,89760,30019
,,,,,,,,124,33245,30615,34979,46325,68791,61959,130129,89495,29771
,,,,,,,,125,31943,30055,34688,46526,69577,62348,134603,91305,30322
,,,,,,,,126,31261,30111,34883,47663,72374,63837,144249,96555,32505
,,,,,,,,127,31232,30662,35885,51368,78638,68362,160790,106168,36847
,,,,,,,,128,32189,32379,38326,57561,85433,75079,170327,112052,39694
,,,,,,,,129,34651,35759,41917,59796,87529,77302,165797,110991,40153
,,,,,,,,130,38297,39702,43807,58230,86363,75459,156023,108281,40301
,,,,,,,,131,40227,41755,43507,57336,85496,73878,146273,105784,40271
,,,,,,,,132,41159,41452,42812,56732,84632,72172,138551,103196,39930
,,,,,,,,133,41541,40863,42326,56011,83353,70641,132827,100775,39482
,,,,,,,,134,41842,40166,41627,55436,82403,69386,129017,99113,39165
,,,,,,,,135,41809,39381,40924,55271,81198,68441,125620,97310,38726
,,,,,,,,136,41468,38846,40492,55056,80178,67481,123198,95980,38906
,,,,,,,,137,41460,38646,40286,54809,80082,66902,123115,97125,40838
,,,,,,,,138,41301,38626,40279,54549,83447,67523,128605,103913,43477
,,,,,,,,139,41042,39399,41016,55486,87164,70932,138475,106539,43127
,,,,,,,,140,41400,40924,43360,57757,86064,72596,137629,104885,41675
,,,,,,,,141,44832,41881,44748,56658,84116,71573,135331,102694,39872
,,,,,,,,142,45094,41254,44191,55231,81776,70265,132067,99675,37884
,,,,,,,,143,43937,39995,43327,53512,78378,68374,127095,94951,35181
,,,,,,,,144,42678,38793,42198,51251,74162,66126,119980,89207,32327
,,,,,,,,145,40664,36945,40244,48224,70162,63042,114161,84632,30071
,,,,,,,,146,38048,34522,38264,45928,67496,60411,110388,81448,28660
,,,,,,,,147,35589,32520,36718,44409,65635,59315,108471,79764,27830
,,,,,,,,148,33628,31035,35639,43452,64870,58617,107781,79220,27457
,,,,,,,,149,32223,30310,35074,43270,65203,58737,108842,79838,27594
,,,,,,,,150,31323,30043,35059,43688,66325,59463,111939,82169,28467
,,,,,,,,151,31022,30174,35571,45178,69081,61413,117165,85984,30095
,,,,,,,,152,31298,30889,36597,47731,72672,64427,122809,90203,31811
,,,,,,,,153,32374,32410,38238,49969,75380,66981,127409,92906,33689
,,,,,,,,154,33960,34395,39636,52090,76921,68824,129304,93900,35036
,,,,,,,,155,34870,36235,40250,53980,77816,69768,128053,93531,35604
,,,,,,,,156,36017,37823,40622,54836,77542,69630,125617,92321,35551
,,,,,,,,157,37214,38646,40606,54886,76774,68700,122980,90463,35157
,,,,,,,,158,37547,38650,40331,54371,75473,67332,120091,88612,34625
,,,,,,,,159,37371,38183,39661,53485,74211,66097,117791,87019,34219
,,,,,,,,160,37002,37427,39121,52969,73541,65409,116745,86336,34499
,,,,,,,,161,36716,36727,39112,52909,74355,65394,116919,88125,36601
,,,,,,,,162,36523,36474,39358,53043,78631,66699,121744,95431,39571
,,,,,,,,163,36699,36929,40389,54758,83103,70846,130550,98837,39583
,,,,,,,,164,37495,38553,42818,57284,82352,72595,129160,97623,38343
,,,,,,,,165,41535,39681,44252,56794,80752,71580,125976,96035,36894
,,,,,,,,166,42327,39077,43672,55723,78892,70471,121936,93382,35299
,,,,,,,,167,41526,38216,42860,54119,76304,68365,116797,89903,33229
,,,,,,,,168,40489,37149,41733,51946,72488,65791,110170,85388,30931
,,,,,,,,169,38978,35711,39895,49475,69323,62978,104337,81372,28957
,,,,,,,,170,36666,33675,38095,47279,67220,60782,100884,79103,27715
,,,,,,,,171,34512,31678,36589,45890,65913,59408,99237,77863,26910
,,,,,,,,172,32863,30539,35686,45167,65354,58807,98973,77691,26590
,,,,,,,,173,31565,29808,35216,45075,65538,58796,100058,78297,26655
,,,,,,,,174,30748,29527,35107,45357,66441,59057,102709,80288,27280
,,,,,,,,175,30482,29696,35436,46417,68469,60328,107571,83440,28539
,,,,,,,,176,30643,30315,36295,48316,71277,62561,113698,87076,29878
,,,,,,,,177,31405,31649,37532,50081,73499,64807,120356,90261,31686
,,,,,,,,178,32744,33572,38644,51810,74839,66813,123336,91749,33384
,,,,,,,,179,33342,35541,39571,53561,75208,68227,122726,91375,34483
,,,,,,,,180,34467,37142,40036,54093,74912,68420,120597,90398,35050
,,,,,,,,181,35254,37734,40164,54129,74668,67981,120152,89981,35409
,,,,,,,,182,35700,37491,40040,54371,74204,68263,119939,89411,35476
,,,,,,,,183,35707,36823,39757,54084,73691,67935,119102,88426,35432
,,,,,,,,184,35480,36152,39191,53661,73394,67423,118320,88770,35814
,,,,,,,,185,35339,35353,38863,53609,75001,67571,119957,92178,38216
,,,,,,,,186,35214,34799,38830,54229,80006,68870,125497,100640,41526
,,,,,,,,187,35302,35129,40002,56811,84972,73520,134113,104566,41672
,,,,,,,,188,36608,37390,43200,60019,84987,75832,133330,104541,40969
,,,,,,,,189,41472,39752,45784,59992,83979,75621,130945,104017,39763
,,,,,,,,190,42748,39793,45695,58754,81579,74244,125919,101074,37699
,,,,,,,,191,42151,39135,44771,56501,77960,71805,117802,95983,34915
,,,,,,,,192,40967,37914,43073,53143,73940,67942,109380,90850,32274
,,,,,,,,193,38862,35737,40604,49438,70682,64125,102513,87108,30437
,,,,,,,,194,36014,33160,38280,46758,68942,61797,98931,85252,29358
,,,,,,,,195,33561,31093,36745,45659,68050,60947,97609,84654,28836
,,,,,,,,196,32006,29930,36040,45525,68060,61167,97730,84930,28826
,,,,,,,,197,31041,29528,35838,45782,69379,61606,100439,87495,29522
,,,,,,,,198,30631,29473,36112,47017,72960,63275,108464,93901,31985
,,,,,,,,199,30828,30118,37260,50978,80394,68139,123706,104802,36719
,,,,,,,,200,31905,31816,39865,57598,88042,75475,133848,111775,39762
,,,,,,,,201,34768,35155,43768,60579,90374,78834,133399,112051,40268
,,,,,,,,202,39530,39294,45553,60753,89611,78021,133395,111131,40554
,,,,,,,,203,41991,41104,44983,61657,88873,77385,134354,110551,40714
,,,,,,,,204,42601,40608,44166,62319,88053,76662,134774,109436,40463
,,,,,,,,205,42679,39974,43592,63343,86931,75754,134291,108111,40011
,,,,,,,,206,42749,39340,42874,63545,85995,74620,133713,107107,39724
,,,,,,,,207,42376,38637,42168,63551,84994,73634,132567,106167,39291
,,,,,,,,208,42049,38147,41732,63076,84044,72665,131956,106221,39473
,,,,,,,,209,41939,37566,41128,62605,83966,72225,132995,108716,41620
,,,,,,,,210,41596,37328,40966,63139,87454,73557,138097,115422,45082
,,,,,,,,211,41185,37897,41769,65646,92383,78210,146456,117749,44957
,,,,,,,,212,41856,40053,45165,68397,92613,80971,146070,116825,43999
,,,,,,,,213,46034,41719,47335,67614,91064,80031,141362,114497,42385
,,,,,,,,214,46665,41313,47000,65928,88224,78253,133704,109787,39690
,,,,,,,,215,45679,40359,46149,63188,83675,75576,125226,102902,36254
,,,,,,,,216,44117,38975,44303,58536,78442,71308,115747,95854,33025
,,,,,,,,217,41602,36542,41369,54567,74447,67214,108540,90765,30795
,,,,,,,,218,38132,33521,38776,51742,71953,64490,103975,88202,29492
,,,,,,,,219,35247,31190,37345,50437,70813,63159,101821,86940,28857
,,,,,,,,220,33443,29979,36559,50123,70429,62960,101451,87208,28705
,,,,,,,,221,32289,29427,36334,50433,71428,63355,103679,89415,29373
,,,,,,,,222,31708,29382,36570,52294,74761,65104,111031,95690,31723
,,,,,,,,223,31788,30017,37735,56827,81539,69630,125520,106524,36423
,,,,,,,,224,32866,31744,40419,64039,88776,76788,134747,113281,39301
,,,,,,,,225,35600,35374,44246,66968,90540,79585,134281,112585,39872
,,,,,,,,226,40195,39548,46037,65683,89004,78399,133752,109978,40217
,,,,,,,,227,42704,41384,45125,65238,87622,77496,133895,107421,40258
,,,,,,,,228,42785,40755,43994,65339,86110,76939,133092,105040,40033
,,,,,,,,229,42496,39877,43037,64734,84870,75980,132397,102761,39635
,,,,,,,,230,42416,38918,42192,63627,83667,74532,131641,101424,39459
,,,,,,,,231,42212,38184,41471,62950,82528,73660,131192,99884,39219
,,,,,,,,232,41851,37606,40887,62203,81342,72736,130497,99332,39638
,,,,,,,,233,41708,37254,40711,61950,81547,72749,131896,101642,41833
,,,,,,,,234,41484,37088,40662,62261,85175,74019,138146,109136,44687
,,,,,,,,235,41479,37755,41568,64693,90438,78374,146175,113187,44536
,,,,,,,,236,41731,39738,44353,68270,90423,80793,145603,112802,43242
,,,,,,,,237,45521,42144,46275,67991,88716,79996,141645,111037,41382
,,,,,,,,238,46292,42384,46019,66972,86351,78723,135308,107565,38872
,,,,,,,,239,45364,41829,45339,64429,82034,75436,125074,101236,35535
,,,,,,,,240,44022,40826,43780,60151,76986,71449,115120,94989,32454
,,,,,,,,241,41740,38735,41015,56339,72980,67261,107832,90685,30392
,,,,,,,,242,38614,35963,38794,54087,70905,65140,103079,88602,29295
,,,,,,,,243,35591,33875,37297,53114,69607,64154,100599,87722,28749
,,,,,,,,244,33684,32671,36562,53071,69013,63766,99653,88095,28728
,,,,,,,,245,32396,32309,36349,53801,69826,64284,100794,90308,29439
,,,,,,,,246,31854,32445,36719,55771,72870,66025,107544,96297,31918
,,,,,,,,247,31991,33217,37863,60628,79654,70620,121302,106752,36694
,,,,,,,,248,33124,35029,40634,68475,86969,78726,131062,113056,39513
,,,,,,,,249,35795,38687,44294,70284,89131,81411,131480,112041,39914
,,,,,,,,250,40224,42976,46346,67111,88481,79734,132060,110299,39942
,,,,,,,,251,42566,44809,45905,63811,88023,78174,133492,108953,39850
,,,,,,,,252,42847,44055,45187,61494,87503,76046,134224,107674,39509
,,,,,,,,253,43053,43070,44623,59670,86963,74697,133883,106462,39106
,,,,,,,,254,42749,41763,43948,57775,86488,73078,133105,105963,38966
,,,,,,,,255,42298,40612,43087,56849,86028,72307,131961,105306,38769
,,,,,,,,256,41905,39624,42626,56144,85457,71781,131496,105454,39069
,,,,,,,,257,41749,38887,42422,55970,86206,72004,133305,108248,41312
,,,,,,,,258,41697,38584,42498,56363,89712,73896,138633,113648,44463
,,,,,,,,259,41641,39218,43522,58210,93413,78573,146916,114938,44447
,,,,,,,,260,42132,41445,46322,62010,92701,81826,145775,112973,43175
,,,,,,,,261,45759,44018,48201,62122,90760,81784,142120,110191,41338
,,,,,,,,262,46423,44253,47890,61913,88056,81395,136579,105322,38683
,,,,,,,,263,45477,43693,47161,60281,83546,79186,127725,98195,35295
,,,,,,,,264,44195,42554,45566,56871,78330,75260,118073,91053,32172
,,,,,,,,265,41972,40293,42674,53302,74264,71629,110866,85866,30093
,,,,,,,,266,38951,37389,40313,51915,71921,70125,107171,82669,28913
,,,,,,,,267,35937,35365,38885,51954,70713,69508,105512,80987,28290
,,,,,,,,268,33824,34315,38268,52589,70157,69612,105566,80609,28170
,,,,,,,,269,32618,33980,37983,53687,71326,70715,107933,82191,28797
,,,,,,,,270,31990,34187,38291,56450,74504,73206,115887,87638,31086
