Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
t176,0.0006627333997324092,0.0006538002138578968,0.0006321675385386137,0.0006393913850616711,0.0006573832079954029,0.0003595405237904739,0.0006451336701842849,0.0006334350688365816,0.0006838129104086821,0.0005439873613758756,1.1762321778694065,160.14803241373073,0.0124409137051975,0.06832537269132881,35.15598269113899,2.265690277073789,217.6020710774281,196.63158785315326,0.03979700853395604,15.310332729788609
t177,0.0006615242534195973,0.0006530054397874596,0.0006311353185984876,0.0006365100694170125,0.0006556638126975496,0.0003628844788283612,0.0006423416307997427,0.0006317354359268105,0.0006831073323987042,0.0005432113287876639,1.1762317460241085,160.14803263307084,0.012440344816386773,0.0683235699095798,35.15598228794542,2.2656903039742256,217.60206943445766,196.63158719429882,0.03979668362178999,15.31033219242364
t178,0.000661624682756653,0.0006529701609088587,0.0006306161786143857,0.0006366260164582817,0.0006555918200956988,0.0003559265544213218,0.0006424021265529349,0.0006317000960972082,0.0006832541092503906,0.000542801599274589,1.1762318606655853,160.14803338713585,0.012440096005969696,0.06832374568144198,35.155982593419814,2.26569097162818,217.602069572141,196.63158717703791,0.03979695821821407,15.310332277826218
t179,0.0006620614386626709,0.0006523811623956155,0.0006298271641221371,0.000637892530410334,0.0006552085153973654,0.000356275439216394,0.0006426741727489167,0.0006315125251193898,0.0006829912208496213,0.0005420979812897541,1.1762322377275094,160.14803349945151,0.012439807852590056,0.06832477912481406,35.15598272520314,2.26569115709445,217.60206978363544,196.63158712545808,0.039796992071211304,15.310332509996549
t180,0.0006614074183486469,0.0006514822957740196,0.0006289137972868874,0.0006368142751909139,0.0006537641111388199,0.00035889144440609706,0.0006427581263101736,0.0006308345273577577,0.0006823405150158793,0.000541552482476016,1.176231837979314,160.1480327786281,0.012439176776226522,0.06832376274884604,35.15598186143285,2.265690508233403,217.60206958764496,196.63158673115794,0.03979617124389953,15.310331950353572
t181,0.0006622510989033347,0.0006525943085986847,0.000630184229309895,0.0006381851047262038,0.0006537068713116457,0.0003593112659804622,0.0006436841104176117,0.0006321102934378497,0.0006830783752600301,0.0005422739859028098,1.1762319425987344,160.14803338055052,0.012439748395751059,0.06832481628263795,35.15598217083995,2.265690357125989,217.60207058195647,196.63158701064833,0.03979710400248859,15.310333100845282
t182,0.0006618505846614821,0.0006525754107898824,0.0006298649089727477,0.0006381840766958172,0.0006533236885468539,0.00035913088413671885,0.0006438083259042943,0.0006318901149212715,0.0006829979933160675,0.0005423396253975714,1.1762314895924488,160.1480329016895,0.012439535706762254,0.06832451376168783,35.15598165824731,2.265690223672629,217.60207041928211,196.63158685021213,0.03979666290692834,15.310332594917769
t183,0.0006645047667040494,0.0006542251764221289,0.000630385924095964,0.000639598228312575,0.0006562901798109819,0.00035919101112166405,0.0006444086057850375,0.0006322096875502668,0.0006832443117605393,0.0005426970605370684,1.1762334908580319,160.14803387746466,0.012440062327742165,0.06832552353075821,35.15598359826635,2.2656901468074806,217.60207096976302,196.63158733148614,0.03979678890703257,15.310332663058878
t184,0.0006651060739646982,0.0006546331036333985,0.0006311190971555431,0.0006400428007549882,0.0006571652878054093,0.00035964695809463166,0.0006456802522529824,0.0006329010555741839,0.0006835590609777076,0.0005431336255873955,1.176233982841685,160.14803375090372,0.012440634686188059,0.06832598948891944,35.155983865241645,2.2656901561258276,217.60207227702247,196.63158795352405,0.03979703713944639,15.310332847696195
t185,0.000665632715948614,0.000655014965275836,0.0006319186307235189,0.000637609877277495,0.0006589214155039154,0.0003611816651979932,0.0006461987238809397,0.0006332523240850639,0.0006838385145229283,0.0005435827099795391,1.1762346678293958,160.14803352644282,0.01244123380425592,0.0683243131930303,35.1559844428963,2.265690151068321,217.60207215541365,196.6315884850161,0.03979714643648249,15.310332999995007
t186,0.0006655539758530123,0.0006552821502376998,0.0006335000210054674,0.0006386362029716021,0.0006605252884026947,0.000359794358646561,0.0006521082247688104,0.0006348919155358255,0.000684691817938714,0.000544443831807601,1.1762342874048666,160.14803288466774,0.012442019938786549,0.06832518779754707,35.15598455336752,2.2656905406117462,217.60207665463543,196.63158915714106,0.039798172068261285,15.310334330805377
t187,0.000665867087677522,0.000655784336552111,0.0006335822880204783,0.0006386899712615822,0.0006617289565634005,0.0003573441959657158,0.0006573716127558046,0.000635368915964065,0.0006847993036102676,0.000544692727093783,1.1762349313733629,160.14803333021928,0.012442400808812152,0.06832537716467284,35.155985240960156,2.265687003650529,217.60208065303945,196.6315897158601,0.03979834822886771,15.310334644247774
t188,0.0006655618273042401,0.0006554276961990247,0.0006335373387084119,0.0006389879032486526,0.0006609210692618858,0.00035465037529690133,0.0006610672353868913,0.0006352646036461538,0.0006848443664283742,0.0005447356770764901,1.1762349104933152,160.14803305269427,0.012442481316126854,0.06832553646193014,35.15598493716068,2.2656870723265534,217.6020837561941,196.6315898803863,0.039798392613397245,15.310334621084623
t189,0.0006665501422522429,0.000655785650133442,0.000633320511960653,0.0006415734363807601,0.0006618101819625028,0.0003605072219167979,0.0006553465495707394,0.0006348726067286302,0.0006847222969739734,0.0005445724939978694,1.1762359247548009,160.1480334842894,0.012442529804744053,0.06832738993761446,35.15598604783731,2.265690860505846,217.60207907948435,196.63158988137337,0.03979825978233432,15.310334323028101
t190,0.0006644004305467283,0.0006545964018513195,0.000633616862372051,0.0006405570103173845,0.0006602014483550885,0.000361153250440914,0.0006506517207650471,0.0006346522517879503,0.0006847493204221107,0.0005446691772254324,1.176234624161809,160.14803253159084,0.01244267505824569,0.06832661325310511,35.15598469205964,2.265690770463801,217.6020757117184,196.63158997036376,0.03979824248783883,15.310334091039994
t191,0.0006668027792789315,0.0006557031712676697,0.0006388787369058949,0.0006420413426812593,0.000663012334927903,0.0003599346351980979,0.0006505673853347715,0.0006374794712702206,0.0006849505336009291,0.000544653088119661,1.1762354871736516,160.1480333526916,0.01244528439026144,0.06832767494166953,35.15598637168661,2.265691003968658,217.6020759502393,196.6315907818315,0.03979863430056368,15.31033441956278
t192,0.000670460349288653,0.0006559066142513176,0.0006404522000572441,0.0006421820870302953,0.0006660192790011621,0.00036065610609176395,0.0006561878303197356,0.0006414615353826626,0.0006850529697266593,0.0005449724792817496,1.1762378556366908,160.14803329844204,0.01244591877765595,0.06832770781221403,35.1559879499913,2.265691148387447,217.60208052812192,196.6315928535354,0.03979850350368541,15.310333994713668
t193,0.0006752730380259117,0.0006597376787739499,0.0006458610120338645,0.00064581538103836,0.0006712022067101648,0.00036312735489699437,0.0006594675832028967,0.0006471381214026422,0.0006853091922390429,0.0005454101238208943,1.1762409923080985,160.14803615531525,0.012449052606394737,0.06833023307402923,35.15599142494803,2.2656939366644773,217.60208299398312,196.63159574776506,0.03979847148967949,15.310333550415885
t194,0.0006759997283483505,0.0006601392925373837,0.0006467144611908819,0.0006462725924890824,0.0006715889586470951,0.0003641120024719342,0.0006596753825156123,0.0006481067067591254,0.0006855092239485888,0.0005459376840138035,1.1762414965327583,160.14803621781684,0.012449943314170367,0.06833062112230145,35.15599181020015,2.2656938743561175,217.60208326166918,196.63159627448766,0.039798597236168264,15.310333414975073
t195,0.0006759861924223264,0.0006599138111403956,0.0006369750823543198,0.000646253323678525,0.00067088109819203,0.00036673629655934424,0.0006592675325210792,0.0006480919501658974,0.0006852720238381487,0.0005459534608430649,1.1762415243105366,160.14803598671202,0.012444449341406382,0.06833072054322595,35.155991479383864,2.2656933401320813,217.60208307401174,196.63159640300404,0.03979836062411391,15.310333000353687
t196,0.0006765657891960508,0.0006605309701805585,0.0006367401430149808,0.000647176206421112,0.0006713003341039186,0.0003636362214399371,0.0006591308084419317,0.0006485501118600634,0.0006857076832834269,0.0005462840864576205,1.1762413546641854,160.1480360726469,0.012444148282419475,0.068331280726526,35.155991568286915,2.265694113383525,217.6020829137965,196.6315960973028,0.03979874842309149,15.310333309601663
t197,0.000675757919189242,0.0006604654370703021,0.0006363008864971201,0.0006459974533106583,0.0006718760768366851,0.00036386842494098897,0.0006604288405906466,0.000647322801395813,0.0006855054329012531,0.0005462252596329048,1.1762411513231856,160.14803634666927,0.012444073271491617,0.06833074377789596,35.15599188608295,2.265693731959502,217.60208409158162,196.6315959036106,0.039798527754631725,15.310333012595958
t198,0.0006701490129976546,0.0006579379645457199,0.0006359039654343521,0.0006400458359116987,0.0006675492758662007,0.0003594370647452813,0.0006604040689241548,0.0006388146109853411,0.0006855594136497017,0.0005465310492908524,1.1762377619117974,160.1480346530964,0.012444065344757786,0.06832668135261763,35.15598877214839,2.265691480334338,217.60208402197495,196.6315916685074,0.03979854356918229,15.310333145802867
