Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
t752,1.1769126110990484,160.148698806646,0.013096073267485393,0.0689765514878349,35.15666489291342,2.2661057178553516,217.60274759909117,196.63222600190855,0.04048712902146775,15.310883788803284
t753,1.1769126151641531,160.14869824374406,0.013095716096087446,0.06897594345230092,35.15666500031339,2.266107212845303,217.60274762203008,196.63222504541798,0.04048657588869828,15.31088332270229
t754,1.1769129936309588,160.14869880767822,0.01309589141651328,0.06897657200104403,35.15666460977877,2.2661085900319105,217.60274824878383,196.6322252121273,0.04048662746537403,15.310883551267509
t755,1.1769115237823349,160.14869705662798,0.01309372269882433,0.06897469776517613,35.15666219939926,2.2661072765415478,217.60274616734534,196.63222343823668,0.04048481661206225,15.310881716932375
t756,1.1769104728249529,160.14869742907786,0.013094160423136039,0.0689756491522013,35.15666139781892,2.2661077376715015,217.60274684891996,196.63222332289877,0.04048638242493292,15.310883069898063
t757,1.1769091598166106,160.14869719294012,0.013092487911572647,0.06897515127279272,35.15665922661993,2.2661154193673845,217.60274567032823,196.63222248024562,0.040485897348433664,15.310881843644086
t758,1.1769025446329286,160.14869152985105,0.013083643447288405,0.06896824710503732,35.15665117315487,2.266133997178593,217.60273780798576,196.63221470967704,0.04047883503863102,15.310873868085881
t759,1.1768975343983077,160.14868743537744,0.01308099615495319,0.06896362139683966,35.15664554092332,2.2661455707698503,217.60273335626778,196.63221412734526,0.040474403992101816,15.310869193500428
t760,1.1768985318841543,160.14868893891025,0.013080177652431536,0.06896466847917206,35.15664642589369,2.2661399305307937,217.60273446008918,196.63221145623137,0.040475360317109785,15.310870138059746
t761,1.176903938231538,160.1486950883264,0.013087362790453333,0.06897148156960589,35.15665401438512,2.2661289397595845,217.60274176747888,196.63221779451897,0.0404814798917959,15.310876693015974
t762,1.1769083855584237,160.14869926592831,0.013092742124781181,0.06897625959672946,35.15665890244047,2.2661178697901954,217.60274693129386,196.63222316592848,0.04048585668787816,15.31088162746886
t763,1.1769074702662194,160.1486987452204,0.013091396685748201,0.06897714280711395,35.15665706272897,2.2661187040376323,217.602745551741,196.63223877008784,0.04048504267086492,15.310880513471156
t764,1.1769048075964024,160.14869483431514,0.013089157749841512,0.06897375253662748,35.156652259123284,2.2661296432745157,217.60274034075323,196.63223842102465,0.04048078459330247,15.310875427741351
t765,1.176904745610289,160.1486946100595,0.013088977050948674,0.0689747154401466,35.15665147893227,2.266130374095191,217.6027395324002,196.63224254311172,0.04048042264382541,15.31087463031566
t766,1.1769077063242825,160.14869725102062,0.013092435497072953,0.06897830249006097,35.156655490221645,2.266129300267165,217.60274160406618,196.63224592898985,0.040483932331574504,15.310877902190205
t767,1.176910343732845,160.148698924693,0.013096176799275633,0.06898049960277276,35.156657780528434,2.266137716416985,217.60274469608626,196.6322489010709,0.040484592161368925,15.310877832649835
