,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption
t11,0.2720656504653776,55.28545758751269,0.2937680757210393,0.025157715159293936,7.404746148129423,0.1061780565762217,9.307810484600054,61.26091079590526,93.86223512570753,0.0037586294703756728
t12,0.28460021117038586,55.2857456764053,0.3104860803871771,0.02522658538329195,7.405030066115261,0.10591185217751627,9.307526441782102,61.24354936192434,93.84692418155605,0.004491501038556206
t13,0.28547869917845303,55.285658171188906,0.3115463787281645,0.02523662481639663,7.404967967251241,0.10578682521250843,9.307497397700159,61.24257618615142,93.84600726539949,0.004489683335161644
t14,0.26256636927083243,55.28593828844666,0.2839327256724572,0.025232221860321195,7.40496325168061,0.10664388566947197,9.30805071893746,61.2715524084275,93.871092171574,0.00449720276750034
t15,0.2602397778940384,55.28315019436844,0.27509322157513644,0.025142450071668744,7.406101408661167,0.1094965220032803,9.305719044642581,61.27731199263468,93.87887128887705,0.00450656646763017
t16,9.075017851359004,55.289508065655944,10.629976003950219,0.027562939570958223,7.407121062515791,0.12039808464247055,8.854212365618093,50.09243957483222,84.40797142813734,0.005283547108291357
t17,0.25910771215928685,55.28567715077057,0.280225807356156,0.025364319079071912,7.405020421312774,0.10698604808300698,9.307880577390513,61.27594387102003,93.87432173461193,0.003811470768334163
t18,9.079889915995157,55.275992717822874,10.574745440406144,0.023330430321374336,7.40032479386869,0.10485243640190865,8.867896441961397,50.12712095580062,84.46246234256515,0.0031656223618242428
t19,9.085952127941278,55.2847625006843,10.609784538341309,0.02527508166902061,7.404694527203268,0.10572699310672867,8.866578537946424,50.09761402564573,84.42826162760917,0.0038132437451283293
t20,9.082748676914285,45.349322408460345,18.94207739193366,0.019421709173087137,11.106091073977097,0.10783311355756675,8.864742606804054,50.080004064245344,76.82585851161087,0.014529107343975596
t21,22.900057691003745,45.3466810002219,35.11695945445207,38.12998692502096,11.107589079432415,0.114978898629672,22.79551709786775,40.87453532447035,34.61723126910165,0.0140656252015629
t22,44.226671094481695,45.34716319775632,60.16799483578071,38.12946319558478,11.107840255460635,0.49203740453967043,44.22047100129854,40.87451554491256,34.62616464724308,0.013987011171504712
t23,0.25773954257708676,45.347029377928926,59.86308995971019,38.12943628644484,11.107434817826489,0.949026228234149,73.55056878410535,40.87394206560703,35.04956728156605,0.013920751210187406
t24,0.28837204697726804,45.34414068962586,0.0539367177708375,0.04150119790548253,8.167758962044433,0.9208997148021512,253.1418603413899,41.84589813151832,34.90945229184736,0.013465280579803346
t25,0.7124488496053694,67.52954046531977,0.7404357189433071,38.13117959697041,7.486361116969243,0.6973916253419368,122.40305642788142,40.984900075148964,0.18303089587498145,0.010215844899579923
t26,0.7859200531985387,67.59048956864716,0.6621515518539401,38.13676562800834,7.509125748093545,0.6973659325049264,122.28342833236539,41.08531743103613,0.13168264339424018,0.01018079819479991
t27,1.1562331149143625,67.70061607854694,0.31302344331792425,38.148220473084905,7.531537619091501,0.6989440788606512,122.191380825759,41.07171487421828,0.13049208489563777,0.010167857206691482
t28,0.504783703420097,67.92526769050106,0.2812929840168326,38.14556824073903,7.5650188144630155,1.0990142474995737,122.1287211185933,41.09628977198663,0.1764729616058105,0.009147911814774522
t29,0.45179066673308865,67.70635698698975,0.1148522349914458,38.12931290218333,7.5108182117481235,1.2411289198728563,122.27200498392476,41.136023021224425,0.20620041472844058,0.009216212483532667
t30,0.24420875545644577,45.348449098903345,0.05636878321966136,0.01885143439841827,8.163992600344992,1.464906788702468,252.98276876223426,41.84495278614094,34.580806053459796,0.01256857904895206
t31,0.2449690887928025,45.35032309102008,0.014020004844678781,0.021506878510378802,8.163269314632995,1.4719798768918342,253.0263843296051,41.84841077743602,34.59189587305007,0.0034811427575139335
t32,0.37026893140713824,45.35849213148387,0.012902124971584182,0.023290439497333545,14.937951823292288,0.9522842765045884,80.1233676240452,50.101751071510776,131.96903044566554,0.0028716664586301544
t33,0.35229790031957164,45.35918042533781,0.013293010818834775,0.023475559178219616,14.946362029780296,0.953469919696232,80.11946835998248,50.11137178163893,131.96858844223019,0.0029167546506058684
t34,0.35429469505976124,45.359062994687484,0.013298713891060297,0.023493691266391135,14.945821370508279,0.9534223235418636,80.11947049656592,50.1101084140343,131.96853201368933,0.00292279888146425
t35,0.3542891149754291,45.35910944427847,0.013284089746126476,0.023468033737420298,14.945717732931447,0.9534237798076455,80.11947361257137,50.11021114863518,131.96857965916837,0.0029212974231986547
t36,0.353204912013337,45.35774355517705,0.022315455398080428,0.02337751381423807,14.944109692537138,0.9534410667147847,80.11944160124708,50.109969499200545,131.9609062998093,0.002896419162629511
t37,0.3516466654706008,45.35752888457292,0.02510086060091384,0.023346768219135953,14.942323036312086,0.953476325914789,80.11945367611811,50.111988612076495,131.9586785836198,0.0028968116941268524
t38,0.3634634386936924,45.35454493872477,0.017340502193055163,0.022863953843737073,14.95788957695821,0.9534605495949037,80.11887628565047,50.09267145243346,131.96593607291385,0.0028803249853340783
t39,0.3633875683345787,45.35415408585491,0.018325435541441525,0.02283308116836329,14.957884531031912,0.9535233271279998,80.11883780114776,50.092572135625346,131.96519356240685,0.002876940078546099
t40,0.3637710746919489,45.35578894630175,0.01234768906017989,0.02288632589539257,14.958523600323447,0.953534238097103,80.11884228684883,50.09278951245491,131.9699553905815,0.0028947501162509856
t41,0.3641952598140313,45.358602344379705,0.009428358353312082,0.018161886005733863,14.959135429095566,0.9535546236071724,80.11885172417831,50.09313816336884,131.976966576169,0.002269392825556629
t42,0.35506214367221384,45.362218435603474,0.008902959486691304,0.01718124530906527,14.947084673368938,0.9536169660536861,80.11939064831503,50.11042932431516,131.97807507063123,0.0021160172756210243
t43,0.3533792179544341,45.35907733731777,0.01325402747742447,0.023392198904052017,14.94616028781521,0.9535731177258834,80.11940417591357,50.110547620611754,131.9687307639009,0.002902328376158724
t44,0.3636758968521957,45.355815607224585,0.012337614300562162,0.02289713058814114,14.958622970087259,0.9534200049533235,80.11895449103564,50.09280758645994,131.9699652310192,0.002898920222322834
t45,0.3613058279188605,45.35831451558541,0.02753735649173902,0.02466536343571821,14.953232281665152,0.9526819411084031,80.12034694200815,50.09173752792638,131.9545453381135,0.003299825556867915
t46,0.24981580208766332,45.348834452297865,8.61204562412495,0.01844034346982989,11.10690518194708,0.9544751584811934,80.11932902918947,50.07535964731902,124.12221694206582,0.013934600054699053
t47,0.2446361361581295,45.34721343002998,0.04886492528453886,0.017120687241221694,8.16405866757852,1.4661717844512014,252.99286886801883,41.845205172750525,34.58278416753491,0.012704746692112545
t48,0.24463304574170952,45.3472140695547,0.048856135294563854,0.017121379934063853,8.164061541232845,1.4630118712377986,252.99519240503585,41.84520658369224,34.581662513368215,0.012708820092860491
t49,0.24915528590462774,45.361190520026696,0.03146581371036081,0.03634191378375541,8.171358106819678,1.4607051196195409,252.97058141346562,41.85145774824905,34.577556536118124,0.011024448356976822
t50,0.24881177948530653,45.361104102404866,0.03164451794495099,0.03642330354070478,8.170893765004966,1.4608483279471642,252.97111776617598,41.851032372459855,34.57779123436423,0.011092750628113058
t51,0.2587660536715771,45.36877209375884,0.03054664586242538,0.048797080476984556,8.183905385444257,1.4589789857597204,252.88689566931168,41.86367179226564,34.57236486666662,0.009716985475543023
t52,0.2584954361818333,45.3701276111336,0.03103963100071738,0.05015616617662165,8.183886652134571,1.4593532792823942,252.8828182719669,41.86328224189356,34.571389138575306,0.00978555487326674
