,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t27,7877.718773611689,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7094.503709378351,2203.0774984320997,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2026.3731146904847,1033.116437007015,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-966.7784323246157
t28,7798.902631084156,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7015.687566850818,2181.006007037649,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2004.3016232960344,1231.2952506172196,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-956.269971103696
t29,7971.247262744362,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7188.032198511024,2229.353083425493,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2052.648699683878,1046.7774365942107,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-980.4394319118113
t30,8454.652936913231,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7671.437872679894,2368.0881721906085,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2191.383788448994,1320.6171709950374,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1045.5918914815138
t31,9667.370649936876,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8884.155585703538,2713.874870703664,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2537.170486962049,1178.5879304686725,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1210.5747326499536
t32,10734.01577880949,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9950.800714576153,3018.6716566270247,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2841.9672728854102,1214.2930734720128,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1356.6423436207378
t33,11298.339359306628,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10515.12429507329,3180.5292601863266,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3003.824876444712,1363.5207848574546,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1433.354110533452
t34,11650.38479592961,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10867.169731696273,3281.427506560957,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3104.7231228193423,1400.5129177151994,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1481.6930321496827
t35,11949.886137534237,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11166.671073300899,3366.5604019395505,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3189.856018197936,1528.5372766414578,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1522.6760309112697
t36,12111.721950190771,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11328.506885957433,3412.8054315279232,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3236.1010477863083,1538.171909069721,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1543.6929533531093
