Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t133,13925.697375459333,0.0,122.82594596476507,0.0,14048.523321424098
t134,13682.873117255294,0.0,238.49047033484854,0.0,13921.363587590144
t135,13557.464142595329,0.0,248.29968696394604,0.0,13805.763829559275
t136,13384.892936692702,0.0,391.4454999132593,0.0,13776.338436605962
t137,13407.520712947273,0.0,411.90490619746794,0.0,13819.42561914474
t138,13423.368775457979,0.0,429.6858642048333,0.0,13853.054639662812
t139,13178.41648111638,0.0,504.39124217369726,0.0,13682.807723290076
t140,13106.179967361564,0.0,320.20647447822523,0.0,13426.38644183979
t141,13287.899077547021,0.0,238.7746120646017,0.0,13526.673689611624
t142,13166.07159702162,0.0,222.37979449010805,0.0,13388.45139151173
t143,12379.353062964714,0.0,61.89892535365675,0.0,12441.25198831837
t144,11279.208906173593,0.0,10.341447829187233,0.0,11289.55035400278
t145,10382.493728250682,0.0,1.5821648729970141,0.0,10384.075893123678
t146,9811.254037935225,0.0,0.5194132724396425,0.0,9811.773451207664
t147,9474.699617808534,0.0,0.28000065366248544,0.0,9474.979618462196
t148,9266.856850898183,0.0,6.879551346779635,0.0,9273.736402244962
t149,9218.49272094271,0.0,10.578312545853363,0.0,9229.071033488563
t150,9142.897270525764,0.0,7.530280579519494,0.0,9150.427551105284
t151,9490.011197255242,0.0,4.559255507406566,0.0,9494.57045276265
t152,10337.457645694376,0.0,2.1892027143177515,0.0,10339.646848408694
t153,11403.640567606224,0.0,18.666432734779576,0.0,11422.307000341003
t154,12218.920397854334,0.0,33.60304652654321,0.0,12252.523444380877
t155,12731.999361193099,0.0,28.11211163240926,0.0,12760.111472825507
t156,13033.213616330147,0.0,17.999065354912553,0.0,13051.21268168506
t157,13115.339244927993,0.0,58.82954302626327,0.0,13174.168787954255
t158,13056.976040598849,0.0,49.93470631926501,0.0,13106.910746918114
t159,12971.314133647342,0.0,94.61124451437377,0.0,13065.925378161715
t160,12904.534271818302,0.0,202.37647509981304,0.0,13106.910746918114
t161,12999.069616672838,0.0,262.32444325016564,0.0,13261.394059923003
t162,13136.203295602652,0.0,285.9795186723765,0.0,13422.18281427503
t163,12931.732693652611,0.0,456.82110010434826,0.0,13388.55379375696
t164,12968.728991957718,0.0,315.3498724557468,0.0,13284.078864413465
t165,13176.46948945467,0.0,381.55063221217114,0.0,13558.020121666841
t166,13013.80492504848,0.0,381.2900940280066,0.0,13395.095019076487
t167,12045.123804422821,0.0,199.05363434498008,0.0,12244.177438767802
t168,10876.283899019087,0.0,133.05431503604103,0.0,11009.338214055128
