Resource,CCGT-H2_1.0,Fuel_cell_1.0,CCGT-H2_2.0,Fuel_cell_2.0,CCGT-H2_3.0,Fuel_cell_3.0,CCGT-H2_4.0,Fuel_cell_4.0,CCGT-H2_5.0,Fuel_cell_5.0,CCGT-H2_6.0,Fuel_cell_6.0,CCGT-H2_7.0,Fuel_cell_7.0,CCGT-H2_8.0,Fuel_cell_8.0,CCGT-H2_9.0,Fuel_cell_9.0,CCGT-H2_10.0,Fuel_cell_10.0
t158,225.22617614750646,0.0023488029362230193,0.44376150204674397,0.0025601364831331947,108.31186664987577,0.002907925124926526,0.0239948827028642,0.002602338961416327,0.030134790573927962,0.0024391982101252788,1250.8133293384965,0.004358582055553662,8388.7334320008,0.00291937197729794,12754.665519678634,0.0034396070579729068,0.0011046899360350857,0.0005973919709652657,0.007990045606810166,0.0024761206981236844
t159,70.34821579094844,0.002319162094831741,0.4066899690803572,0.002550880065512284,104.25439509737292,0.002907327821133264,0.024835696488142444,0.0026010102766875058,0.030418610979290328,0.0024359886560865497,1250.8129783713052,0.004346423456821109,8058.966617387517,0.0029321473337108224,12189.732936325303,0.0034110077348932263,0.0011086745927205688,0.0005971826788407265,0.00799519890222193,0.0024773647039641397
t160,0.016613350690082646,0.0021694659797604075,149.67640799824304,0.00254595035896769,113.45123129350077,0.002903192074241594,0.026123324909386198,0.0025887077806463973,0.029833574109477727,0.002432070534902964,1250.8128721460175,0.0043219695246006305,6926.940785099174,0.002949276193921507,11734.120786774625,0.00337987248981349,0.0011071446971170345,0.0005955613632614348,0.007981394106187013,0.0024773048411192962
t161,0.018012748748907386,0.0021885870848384974,289.59237172539724,0.002572264033172368,123.14818986585698,0.002901444465855222,0.03134943357206044,0.00261863140856983,0.029963178397181628,0.0024571782169715657,1250.8128845553108,0.004310391257993738,8516.92104226445,0.0029070482747403175,11795.057916296266,0.003403477485470827,0.001084857704436836,0.0005960362501316561,0.00785027180549336,0.0024799234416562226
t162,571.7146381861523,0.002411960549184023,1315.7181923821033,0.0026256680036888,140.90906868946468,0.0028730223468030436,16.765212299807125,0.002708904686914389,0.033513925785479674,0.0026092239001550333,1250.8128529019646,0.004275924542387266,9427.710425544896,0.0028759067659479692,11760.922646824723,0.0034354814060298063,0.0010878978157091383,0.0005961027561315418,0.00775036363301549,0.002462879093645437
t163,337.08462741173406,0.002364263741223652,596.0270729105481,0.0025762339487959344,115.37731306589056,0.0029087089843896634,0.031021053413869043,0.0026163495230417046,0.029946955764609002,0.002456546699289695,1250.8128755352602,0.004264640751432727,9398.374581230451,0.002872465539050772,11524.790684367095,0.003411206358103921,0.0010893964759091782,0.0005967135353744039,0.007723074114191354,0.0024546068118594102
t164,35.00387176786475,0.002340463395356453,0.07536298846064228,0.0025278698045774536,90.81498931849615,0.0029122679926014165,0.02408948493074736,0.0026030630352836125,0.02419295736639194,0.0023244444048421097,1250.8129125946691,0.0042654667656107205,8810.999617735073,0.0028879397636275284,10515.750315327845,0.003423122049674585,0.0010994850973766372,0.0005992729478915089,0.006135556912091693,0.002280254510300205
t165,0.01911880670306979,0.002168010273068699,0.0768034898194667,0.002506518221121888,83.65666565267821,0.0029026286242013187,0.023578510124801326,0.0025980133853923375,0.023746491127372125,0.0022929627181661853,1250.812866871666,0.0042137568675445335,5835.43899727132,0.0029632707095797193,9130.018874672789,0.0035012540893589487,0.0011050566737649805,0.0005997592627855914,0.006014561220199971,0.0022530159231970597
t166,0.016403047147130596,0.0021058039322530073,0.07678948613879874,0.0024663709209440574,73.67641551585994,0.0028771557610202322,0.021959854635346776,0.0025847216446007585,0.021426839001264127,0.002259388283984514,1250.7947586310715,0.0037446842698672057,1259.3911401131186,0.002873663931389894,8147.42213574679,0.0035016232467262537,0.001087371058008719,0.000600658866627002,0.006033257433957865,0.002249511568156768
t167,0.007220684947798816,0.0019056739956006808,0.008000666312413883,0.00218716499336589,51.24862034669915,0.0027951291935754243,0.022059663456113987,0.0024868724842564013,0.008035186891003347,0.002041398843528782,607.2690250108379,0.0034495216883458054,0.004917209486039362,0.002255433279610507,5430.362786578689,0.0034399218375789522,0.0010956803790276735,0.0005992601585876203,0.00623472358977009,0.00224801226791425
t168,0.006327205687619656,0.0017127917429579451,0.006444376395559155,0.0017981963171110297,32.118231112125244,0.0025750869395341418,0.017421290760175227,0.0022248632878788723,0.006625836700394264,0.0018209040291654924,514.6153048086676,0.0033890998932708206,0.0010367303298280109,0.0007707747906745267,4569.943824841643,0.0030666520710683964,0.0010519274360978378,0.0005857886648298125,0.006536278196262606,0.0022461486731721178
t169,0.001318034194399337,0.0007532829850705862,0.0008479648667529638,0.0007412858614291246,0.0017094548577327134,0.0012094662995838187,0.0009228347212946688,0.0008328965507497963,0.0005281816100748122,0.0006918354400688803,118.46639839892971,0.0033647749840431044,0.0010419683404817746,0.0007039250024057929,0.0014296492473152103,0.0009155841730188201,0.0011369979356934804,0.0005826379887982567,0.006599199600298973,0.0022438669989143633
t170,0.0014290160527644106,0.0006959439676609158,0.0008559560618617075,0.0006916940976868755,0.0016818718253338112,0.0010782138887681667,0.0009188163810073301,0.0007542896792563781,0.0005895573053895413,0.0006279101999507255,142.32858186670384,0.0033720463719094625,0.001057684748988602,0.0007048497356436757,0.001210163465208956,0.0008021195092866448,0.0011538840412120385,0.0005824036143491573,0.00658834505371882,0.0022436943357959194
t171,0.0013972021215420951,0.0006948260654376697,0.0008855163266895207,0.0006917480257199732,0.00164532473960266,0.0010799119812027282,0.0008926770383448219,0.0007490554231894156,0.000585172935254045,0.0006273558279498101,157.26720496418497,0.0033808694699638342,0.0010486434665086595,0.0007059593350420121,0.0011485311030113932,0.0007980580137519924,0.0011377526311373784,0.0005831421786102875,0.006520215239466045,0.0022463453498400626
t172,0.0013928146085477324,0.000695467552756065,0.0009380906721157917,0.0006916789188683534,0.0016411521823028298,0.0010902471902988888,0.0009000211882169474,0.000753795283942271,0.0005752793621467875,0.0006279470371976727,173.14998529769022,0.0033840932777270444,0.00110614522843501,0.0007078733769945702,0.0011561736877474889,0.0008011195477485533,0.0011363323062137652,0.0005835576892120031,0.006512306582567793,0.0022542025222203497
t173,0.001250646931616046,0.0007147816880393074,0.0009890630268292165,0.0007187093176161587,0.0017897249965498124,0.0012224290155069962,0.000925780378841335,0.0007799102118327821,0.0005250194900485313,0.0006375614308045625,158.5491672458084,0.003383636254964602,0.0011817651874337907,0.0007076506656559405,0.0011820343853119278,0.000842654157250793,0.0011857673066349285,0.0005982723776836623,0.006630746444793706,0.002282875973153449
t174,0.0012460354195055054,0.0008466556162671462,0.0011559336306386366,0.0008092319446122892,23.533878802439595,0.0026072377834606996,0.0008733204835207548,0.0008286820062445062,0.00044803242337582453,0.0007550732758681608,193.8377589762165,0.0033871102352875044,0.0011514286512839295,0.0007090507406218839,0.0013287824938369058,0.0010487378641108338,0.0011892825334713308,0.0005993207757393123,0.006493947642802936,0.0022893634791460744
t175,0.003216757850638676,0.0014487312863207188,0.0020063235188982733,0.0013237941581213046,74.41446072525427,0.0028740282559687243,0.0017312428344245462,0.001364453038798445,0.001056255502418055,0.001253489642225296,309.2231933546429,0.0033927596725543854,0.0011544160033429606,0.0007786697423770768,0.007237885112756861,0.0026273465848359423,0.0011774113209969497,0.0005966652917712292,0.007887848462766276,0.002450251231325104
t176,0.0026690452363257906,0.0015839524848533946,0.001958500417763209,0.0015671633426538336,87.86555512649463,0.002902516992853761,0.0023179454678461256,0.0016099476947397798,0.0013909773056561155,0.0014981279851485584,481.63219646961306,0.0034090572022477355,0.009366135245834227,0.002295061367508071,4222.19696314982,0.003378945527913041,0.0011515127977997288,0.0005970181399088522,0.007968954581387822,0.002471303263317503
t177,0.0029540785633751466,0.0016650944595293215,0.00188581702226221,0.0015924005855207746,102.44395126343618,0.002923713821677704,0.004430347457005648,0.0020258073964040295,0.001426897671320533,0.0015319720563173995,997.9114207387481,0.0034047896012569336,386.8335580336793,0.002898797050042057,5149.929380639419,0.0034964417158945024,0.001148026261650856,0.0005973215929893089,0.008038566662913183,0.002475361183002656
t178,0.005824957652434113,0.00189704459271524,0.0018273359855655816,0.0015937367937487576,125.54941329152207,0.0029179992334293857,0.004098188744845989,0.0020471237632300725,0.0011230188960442884,0.001423638037520782,894.4205459891875,0.0034094021843361975,1078.3654293195723,0.0029851180160203003,4993.522724936327,0.003511819338089946,0.0011549272160499432,0.0005994515381076719,0.008157650900943949,0.0024765010464904225
t179,0.004864711865950988,0.0019228124369276563,0.0015106279103283648,0.001595955995582131,77.4834350554465,0.00291656243332396,0.002687868231156702,0.0017193967892379066,0.0011225560103316303,0.0014092900049195178,867.4476455105207,0.0034151594610308486,1424.3765028613036,0.0029933564711134017,4993.359411444115,0.0035115620590038163,0.0011520374694291968,0.0006002139110244593,0.00822194248046035,0.0024759539496285103
t180,0.004850708007997487,0.0019115716284384932,0.002003107041513065,0.0015899372017155586,71.10554039001806,0.002909410258963086,0.0026904193606373224,0.0016951305257949718,0.0011018835710996538,0.0014095815008445933,908.551914798784,0.0034137773102551946,2614.088254713443,0.00299335082485235,4992.9343741122675,0.003505647724856265,0.0011555006875990067,0.0006005560708367926,0.008268392763929495,0.0024744673641810145
t181,0.004771209150113295,0.0018913874864374893,0.001935671675292807,0.001541164795519971,61.65073899235356,0.002883072343735223,0.0022709119390097628,0.0016335470206796788,0.0011700348026088894,0.001402667533518911,961.5789211776939,0.003412394594719226,3018.5907543381245,0.002996223211002515,3861.0825177330194,0.0035041089438199993,0.0011335365403800232,0.0006012941282095019,0.00822827017075754,0.0024768642308864186
t182,0.005287007926905761,0.0018822631590068718,0.0017467404782820569,0.0015324560893409417,55.26839249362454,0.0028916889998158515,0.0023539156731859964,0.0016219903961970676,0.0011290807195479154,0.0013651777644041142,980.5072672414415,0.0034063084923259797,2811.6899442562885,0.0029933971081837407,1187.0740683003178,0.003503179472276763,0.0011350359662709844,0.0006011658419205657,0.008254398907610799,0.002476175964500966
t183,0.0030586470887047816,0.001656188052455332,0.0014008181303546566,0.001371862306090205,41.92185614102115,0.0028973423754880424,0.0018412097269262552,0.0014547241300403447,0.000896698889251592,0.0012357369314550802,1021.0924618150835,0.0033986894982134287,3275.1129727673933,0.00299504445177495,1066.1952136584187,0.0035021004804444596,0.0011368083569861646,0.0006007632807987908,0.008240824143412182,0.0024754379885635427
t184,0.003062052435854395,0.0015995744488769682,0.00148637648876141,0.001357370705841671,42.78894366739824,0.0029014543204814863,0.0019068904005148392,0.0014864350654730405,0.001106977935141849,0.0013058912479397625,1018.5758188918029,0.0033884005693326437,2393.105324263008,0.0029843843608185123,814.7038557597401,0.0034932206514222746,0.0011311228969464755,0.0005987031210094958,0.008203746767940525,0.0024761323130612625
t185,0.0034442373355383182,0.0016067946549763123,0.002149312248026227,0.0013721085056745657,69.53839541602065,0.0029332143442088896,0.004374376934200223,0.0019922217478676716,0.0010152410775054748,0.0013313647943758312,1123.791956620566,0.0033723322304135424,4741.755260176263,0.003013189069464696,935.0237856684851,0.00349889029461744,0.0011359644645975138,0.0005979491607755487,0.00819940143046256,0.0024758491779515415
t186,0.0036659216934462778,0.0016423925948831507,0.0027608293534010313,0.0015368743951571524,73.61552124344384,0.0029282553572613393,0.0047896142620327846,0.0020711426700514932,0.0014054631404334294,0.0014928188620688793,1151.01698923789,0.0034281013828627383,5285.774446489334,0.0029758813657365466,1365.7493628573602,0.003503044635945948,0.0011240179864950885,0.0005985932398141038,0.008112681588382454,0.002476412734478948
t187,0.0042791683631471815,0.0016874094329878382,0.0025753482951733227,0.0015879431888288326,74.17380203844773,0.0029398057013939882,0.004911273047777182,0.0021045786110653387,0.0015121032812308317,0.0015127929537637615,1250.8121296810086,0.003967627502389531,6078.331674215893,0.0029363067283936445,1365.7858014625983,0.003497706068619496,0.0011352599857686015,0.0005990014757126656,0.007943963576908011,0.0024569537944135497
t188,0.00823678385944193,0.001872993856392612,0.002413057849514905,0.00157249669310397,50.00446999955829,0.0029290850709360453,0.004793388028417691,0.002007658585925646,0.0010797255341153,0.0013899694485610865,1250.8126036398387,0.0039732588717710975,7971.3940326911425,0.0028759653382740996,1131.2964137342753,0.0034956388771219845,0.0011541188275851137,0.0006018665175012996,0.006484605403245816,0.0022962105798611096
t189,0.003667850458757105,0.0017079073214715029,0.002181799679097742,0.001428910893605566,28.40295538135693,0.002888288582910115,0.0020085894523836313,0.001512112579312863,0.0009308271411440294,0.0012396656181784473,1162.9627358941295,0.0033748932705051577,4954.549836097038,0.002917521906803581,757.7527269132177,0.00348360544085844,0.0011630652675278968,0.0006023294814227901,0.006354146679752441,0.0022736046712679044
t190,0.005882580759481787,0.0018283504385011896,0.002794679949399633,0.0015300503816673826,10.775838778498741,0.0027509584503916185,0.0025333194702993867,0.001624141016938229,0.0010254506924639996,0.0013255235780656014,996.8339362337091,0.0033623909728482844,3146.62753881396,0.0028168851888297096,0.04716788313219643,0.003384036731391169,0.0011711129867971498,0.0006022092743198924,0.006468470703591913,0.002270254344315814
t191,0.003481246621745976,0.0015927413746069392,0.002628886746022894,0.0013583762638318736,0.0038865089971961892,0.0019469939909368093,0.0018363484892953133,0.0014461952642493363,0.0008390729904999261,0.0011751152620225124,358.1298793554223,0.0034006622609889614,0.0028902822288190775,0.001987567801045434,0.007592039191116637,0.0027567035614544577,0.0011507756994962985,0.0006018011861039565,0.006569467119380902,0.002272475093549108
t192,0.002027120358538753,0.0012122166446309304,0.002416158228924572,0.001233725551717233,0.0026939881386794234,0.0016956063116240958,0.0018540053257854474,0.0013843342890686255,0.0005959260509588411,0.0009031183863515367,251.62380579448933,0.0034036782018328476,0.0014858550262786287,0.001139635438124384,0.004465818821849668,0.0018009296609432987,0.0011264606278055963,0.0005885208368645251,0.0068705018096529005,0.0022692460080114274
t193,0.0014038405461681014,0.0009236676863043024,0.0014334565411799496,0.0009260617706226042,0.0014943175607456294,0.0011970045611411615,0.001093019064793729,0.0009806946193487449,0.00047761843390432276,0.000743032055845232,218.59965077434592,0.003401855716798315,0.0010269851339852613,0.0008656850657380616,0.0019733479777228847,0.0011578582329981547,0.0011328307339595332,0.0005871907129525304,0.006963896964959041,0.002269950942601856
t194,0.0013467421887735553,0.0009029328294796812,0.0013794360607461273,0.0009052425188308781,0.0012485529088675478,0.0012122844683027643,0.001138706762831326,0.0009554850771395476,0.00047229406708476304,0.0007197137090444749,267.36889497893634,0.003401137218794614,0.0010269129698721434,0.0008474240133197154,0.0017754595180631393,0.0011119704969150758,0.0011389008650402176,0.0005870513578583084,0.006985142400777286,0.002269835042165011
