Pipelines,1,2,3
t89,46.46185628255775,0.0,0.0
t90,46.46185628255775,0.0,0.0
t91,30.252184551580058,0.0,0.0
t92,30.252184551580058,0.0,0.0
t93,30.252184551580058,0.0,0.0
t94,30.252184551580058,0.0,0.0
t95,36.80866422275992,0.0,0.0
t96,41.83959030702134,0.0,0.0
t97,47.770516391282754,0.0,0.0
t98,54.20144247554417,0.0,0.0
t99,60.07236855980558,0.0,0.0
t100,63.403294644066996,0.0,0.0
t101,63.403294644066996,0.0,0.0
t102,63.403294644066996,0.0,0.0
t103,63.403294644066996,0.0,0.0
t104,63.403294644066996,0.0,0.0
t105,61.41774564941534,0.0,0.0
t106,61.41774564941534,0.0,0.0
t107,61.41774564941534,0.0,0.0
t108,61.41774564941534,0.0,0.0
t109,61.41774564941545,0.0,0.0
t110,44.47630728790635,0.0,0.0
t111,27.53486892639725,0.0,0.0
t112,27.53486892639725,0.0,0.0
t113,27.53486892639725,0.0,0.0
t114,27.53486892639725,0.0,0.0
t115,27.53486892639725,0.0,0.0
t116,23.675902787110346,0.0,0.0
t117,23.675902787110346,0.0,0.0
t118,23.675902787110346,0.0,0.0
t119,26.316828871371758,0.0,0.0
t120,31.197754955633172,0.0,0.0
t121,36.12868103989459,0.0,0.0
t122,41.899607124156006,0.0,0.0
t123,47.73053320841742,0.0,0.0
t124,52.78145929267883,0.0,0.0
t125,63.403294644066996,0.0,0.0
t126,63.403294644067,0.0,0.0
t127,63.403294644067,0.0,0.0
t128,63.403294644066996,0.0,0.0
t129,46.461856282557896,0.0,0.0
t130,46.461856282557896,0.0,0.0
t131,46.461856282557896,0.0,0.0
t132,29.520417921048796,0.0,0.0
t133,29.520417921048796,0.0,0.0
t134,29.520417921048796,0.0,0.0
t135,29.520417921048796,0.0,0.0
t136,29.52041792104886,0.0,0.0
t137,29.52041792104886,0.0,0.0
t138,14.3392956036936,0.0,0.0
t139,14.339295603693614,0.0,0.0
t140,6.3403294644067,0.0,0.0
t141,6.3403294644067,0.0,0.0
t142,6.3403294644067,0.0,0.0
t143,6.9312555486681156,0.0,0.0
t144,10.06218163292953,0.0,0.0
t145,14.973107717190945,0.0,0.0
t146,19.0540338014524,0.0,0.0
t147,25.484959885713817,0.0,0.0
t148,31.15588596997523,0.0,0.0
t149,34.986812054236644,0.0,0.0
t150,36.27773813849806,0.0,0.0
t151,36.277738138498066,0.0,0.0
t152,36.277738138498066,0.0,0.0
t153,36.277738138498066,0.0,0.0
t154,36.277738138498066,0.0,0.0
t155,36.277738138498066,0.0,0.0
t156,36.277738138498066,0.0,0.0
t157,36.277738138498066,0.0,0.0
t158,36.277738138498066,0.0,0.0
t159,36.27773813849841,0.0,0.0
t160,36.27773813849841,0.0,0.0
t161,36.27773813849841,0.0,0.0
t162,36.27773813849841,0.0,0.0
t163,36.27773813849841,0.0,0.0
t164,36.27773813849841,0.0,0.0
t165,36.27773813849841,0.0,0.0
t166,36.27773813849841,0.0,0.0
t167,37.50866422275992,0.0,0.0
t168,40.829590307021334,0.0,0.0
