,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
t23,0.10710035870703846,16.716106097468767,0.007425348805020218,0.018257099439123552,3.7701575108848178,3.0009457038848484,23.639290384082813,35.33365995475756,0.003223471632038355,1.6241202913247559
t24,0.10712202828704699,16.7161158530456,0.0074256310373797905,0.018257595954659245,3.770172957631681,3.000947975370272,23.639352483598902,35.33368808148892,0.00322268299835463,1.6241202800973102
t25,0.10716674461070386,16.716136184078085,0.007430533576979961,0.0182639953241083,3.770205938715478,3.0009545473980963,23.639363625362975,35.33373959685193,0.0032205855070687934,1.624120085039797
t26,0.10717861041034552,16.716140637146736,0.007432242774044114,0.018268748291078888,3.770214782913996,3.0009568414519276,23.639361835427543,35.333756420891255,0.0032198207037363964,1.6241196935299425
t27,0.10717796747085602,16.71614002067786,0.007432045401125497,0.018267102306929878,3.7702146068450406,3.000965974115454,23.63936017123781,35.333756249420006,0.0032199285277513434,1.6241198393751768
t28,0.10717853437929908,16.716141053529743,0.007432718405529772,0.018267495944463728,3.7702151895212306,3.000997247513734,23.639359351694413,35.33375692926369,0.0032197732920633965,1.624119821046997
t29,0.10716874977252897,16.71614053717584,0.007430558784615142,0.018263191793552958,3.770208739819434,3.001039480527352,23.63935707003189,35.3337450147798,0.003220146199857585,1.62412005036348
t30,0.10710005386950452,16.71611111338801,0.007423730409927191,0.0182284395521462,3.770162906870923,3.001041173413745,23.639356924271,35.33366648351055,0.003222954485976868,1.6241192881001463
t31,0.10708328746422988,16.716097317706158,0.00738376205756284,0.018214411986825694,3.770146256449717,3.001034836937144,23.639357048457036,35.333659993495694,0.003225494894500399,1.6240894903781429
t32,0.10708075992878839,16.716089744861154,0.007362769329906184,0.018203211820120614,3.770144066758129,3.000967954961225,23.63930259791944,35.333654753683355,0.003228539442231977,1.6240811607782348
t33,0.10707816302354399,16.716091728488944,0.007360914666613389,0.018202035804755334,3.7701438937075236,3.000950620924419,23.63927954175235,35.33365467868143,0.0032288107018939687,1.6240806597466437
t34,0.10707910782733507,16.716093775898813,0.007360835442303051,0.018201826096392638,3.770143759821197,3.000948198046271,23.639275864744906,35.333655180056674,0.003228801122233765,1.6240805061477372
t35,0.10707935019715055,16.716092287557746,0.007361831395368898,0.018201727656045465,3.770143367206062,3.0009473566263996,23.639274937444785,35.333655302063505,0.00322877012711508,1.6240805376761098
t36,0.10707900617920953,16.716089906921624,0.007372488552439725,0.018201643818995784,3.770143176806479,3.0009477772138236,23.639274709424292,35.33365538087272,0.0032284492342137218,1.6240806746445249
t37,0.1070795618416205,16.71608902110169,0.007372438840030312,0.01820158962121894,3.770143328024853,3.000948196567828,23.639274608787307,35.33365543158792,0.0032283949281850816,1.624080728187525
t38,0.10709176770540335,16.716088847169413,0.007373385556133977,0.018201545716700678,3.7701515328215804,3.000949673097171,23.63927468730087,35.33365558484139,0.0032282243590676385,1.6240807903341128
t39,0.10709289066901669,16.716088846718325,0.007374862296838338,0.018201293424658545,3.7701523172152713,3.000951339003808,23.639274756002315,35.333655563186056,0.0032281294509497113,1.6240806842288311
t40,0.10709269998047566,16.71608794448308,0.007359642453170115,0.018199188565828906,3.7701522694543925,3.0009507284799706,23.63927505094478,35.3336554278978,0.0032285310606667847,1.624079557879606
t41,0.10709153786328258,16.716086083595552,0.007334917852516496,0.018177661325098435,3.770151651464719,3.000950537679821,23.639274290252906,35.33365501551906,0.0032296047439342637,1.6240642738791382
t42,0.10708096807089605,16.716086172941836,0.007332044505337048,0.018174683147966213,3.7701438397255504,3.000947651339659,23.639274471370868,35.33365530635695,0.0032298888964672,1.6240622412186758
t43,0.1070805761653051,16.71608679526127,0.007359138718762559,0.018199175684281806,3.7701439338357923,3.0009474110615186,23.639274371547334,35.333655133412904,0.003228785501226525,1.6240800187374347
t44,0.1070922942249587,16.71608876142655,0.007364126576285767,0.018202791993348816,3.7701525820669493,3.0009482173941016,23.63927482202516,35.33365533830428,0.0032285570321319195,1.6240821860526942
t45,0.10709687099291966,16.716101448495596,0.007390206144342483,0.018215854523793328,3.770155711695158,3.0009552994292092,23.639282978669915,35.333659759720994,0.003227085792525337,1.6240950980966937
t46,0.10709747018083005,16.71609580672606,0.007421437591943476,0.018212740883295577,3.7701562068721888,3.0009874463828474,23.639312081671275,35.33365983878945,0.003224603457079125,1.6241195559281336
