,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption,CO2 Pipeline Power Consumption
t35,0.0008465925791920904,0.000918901190881904,0.001122085072146361,0.0011119386019227925,0.0010857885987473185,0.0011767351142223164,0.0008908189884348314,0.0007524511461917352,0.0038434515826040907,0.0012598137604947163
t36,0.0008390801290903048,0.0009190132465488662,0.0013258671775666494,0.001106798134084449,0.0010624221107261868,0.0011902960185974248,0.0008843245477594911,0.0007528669808031394,0.0038710276105970577,0.0012529886047003124
t37,0.0008202027904987171,0.0009293779400471019,0.0013019324514680077,0.0011078474253383773,0.0010223751621893837,0.0011865379170393916,0.0008818634932938835,0.0007508640479306264,0.0038694704245287284,0.0012535299819661334
t38,0.0009620136826860393,0.0009188916047233379,0.001304638291890439,0.0010966451405224164,0.0011869221106626134,0.001168121872743045,0.0008719256188267995,0.0007415604663160711,0.0038615788496036293,0.0012405740275080856
t39,0.0009549036633958082,0.0009221980377039614,0.0013776330159203979,0.001097251270879406,0.0011863615251377039,0.0011807827572653008,0.0008679274313065044,0.0007353876072845732,0.0038574175779614176,0.0012378668576618086
t40,0.0009547637639390603,0.0009266057935305534,0.001102828287685843,0.0011067823674463931,0.0012044294456006154,0.0011820854380151092,0.0008851864580595867,0.0007399159886081135,0.0038480312121315723,0.0012486539999431018
t41,0.0009771906664055086,0.000975355930783864,0.0008517199120823198,0.0008387755325799728,0.001262228789564571,0.0012081396563696537,0.0008837148394950649,0.0007619941668533453,0.0038682683490817724,0.0009795680139804662
t42,0.00086273510419007,0.0009960078779037518,0.0008468505583951386,0.0008238287292031152,0.0011380966007562582,0.0011766001796977995,0.0009033247473913315,0.0007782572951644248,0.003869740592094654,0.0009601162584381652
t43,0.0008151785816815177,0.0009591053387981361,0.0011292636113766539,0.0011228129253731103,0.001086887648657597,0.001133140324891647,0.0008646787274222792,0.000743717130331521,0.0038672089705921093,0.001277248279370125
t44,0.0009376315360682448,0.0009482860872124122,0.0011205602220494047,0.001111185152954727,0.001243729348213098,0.0011169373219186052,0.0008328825954230985,0.0007289247255085768,0.00385795526219134,0.00125149623115143
t45,0.0009434097628715329,0.001144243594020116,0.0015427270359651972,0.0013442959776763521,0.0012346843491436092,0.0011090976345730524,0.0008936428277930824,0.0007336168051271198,0.0038463348359253613,0.0014975139440356145
t46,0.0008847336088200191,0.0009639197025988336,0.003056813394952347,0.00115678330388108,0.001150659978178289,0.0015885564463191623,0.0013200481487330236,0.0006671960942125876,0.003835907991755703,0.0031722230178041324
