Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
t21,0.0,0.0,0.0,0.0005702147367694648,0.0,0.0,0.0,0.00137462118866311,0.0,0.0,0.0,0.0012694653509718267,0.0,0.0,0.0,0.0007904516341951212,0.0,0.0,0.0,0.0009655463581208117,0.0,0.0,0.0,0.00028941867024199716,0.0,0.0,0.0,0.0011996835811752622,0.0,0.0,0.0,0.0008450365546285968,0.0,0.0,0.0,0.0037364455959542865,0.0,0.0,0.0,0.0011153791034148042,0.012156262774135281
t22,0.0,0.0,0.0,0.0005438708553516433,0.0,0.0,0.0,0.0019848648424533127,0.0,0.0,0.0,0.0016542089313090716,0.0,0.0,0.0,0.0010496816283059127,0.0,0.0,0.0,0.0010444153056572997,0.0,0.0,0.0,0.001153615673999023,0.0,0.0,0.0,0.001055398418570221,0.0,0.0,0.0,0.0007418281512445954,0.0,0.0,0.0,0.004443256609934207,0.0,0.0,0.0,0.0015871160616330803,0.015258256478458366
t23,0.0,0.0,0.0,0.000618207460189488,0.0,0.0,0.0,0.0029699441908161914,0.0,0.0,0.0,0.002340006212106764,0.0,0.0,0.0,0.0021419125675051272,0.0,0.0,0.0,0.001877816832566884,0.0,0.0,0.0,0.0023800821592627856,0.0,0.0,0.0,0.07746611694731373,0.0,0.0,0.0,0.0008545845576132677,0.0,0.0,0.0,0.004869382722986716,0.0,0.0,0.0,0.002786696430204086,0.09830475008056504
t24,0.0,0.0,0.0,0.0058526341943440285,0.0,0.0,0.0,0.003097874087536361,0.0,0.0,0.0,0.0026129522965257826,0.0,0.0,0.0,0.00300210491539898,0.0,0.0,0.0,0.003241241498625079,0.0,0.0,0.0,0.0013730658880308434,0.0,0.0,0.0,0.07617740155941972,0.0,0.0,0.0,0.006165708225128435,0.0,0.0,0.0,0.0037641594667085832,0.0,0.0,0.0,0.0006676738442695644,0.10595481597598737
t25,0.0,0.0,0.0,0.007481298059823735,0.0,0.0,0.0,0.006405573928195106,0.0,0.0,0.0,0.003044909747195431,0.0,0.0,0.0,0.0042403818465570845,0.0,0.0,0.0,0.00684851000891325,0.0,0.0,0.0,0.0011951297285697298,0.0,0.0,0.0,0.07486561964930719,0.0,0.0,0.0,0.006936016252963537,0.0,0.0,0.0,0.0043670555014379275,0.0,0.0,0.0,0.0006616445818826151,0.11604613930484561
t26,0.0,0.0,0.0,0.007022448572599642,0.0,0.0,0.0,0.00711656403178852,0.0,0.0,0.0,0.0030356199097801486,0.0,0.0,0.0,0.004535207330236483,0.0,0.0,0.0,0.007381205061196035,0.0,0.0,0.0,0.002279065079940078,0.0,0.0,0.0,0.07360826517963888,0.0,0.0,0.0,0.006472105802723523,0.0,0.0,0.0,0.004179584204361251,0.0,0.0,0.0,0.0006844538625579343,0.11631451903482248
t27,0.0,0.0,0.0,0.006988845339586459,0.0,0.0,0.0,0.007288235512683236,0.0,0.0,0.0,0.003093085339187862,0.0,0.0,0.0,0.004731550591468995,0.0,0.0,0.0,0.009913888200890775,0.0,0.0,0.0,0.01060590387968532,0.0,0.0,0.0,0.07312617938456024,0.0,0.0,0.0,0.006599623324208971,0.0,0.0,0.0,0.004377712888756435,0.0,0.0,0.0,0.0006774634369965753,0.12740248789802486
t28,0.0,0.0,0.0,0.007233998788946322,0.0,0.0,0.0,0.006989732339319169,0.0,0.0,0.0,0.0029752293126019073,0.0,0.0,0.0,0.004848361601144419,0.0,0.0,0.0,1.3355426833515014,0.0,0.0,0.0,0.010392213332241062,0.0,0.0,0.0,0.07247425681326636,0.0,0.0,0.0,0.006812235010010838,0.0,0.0,0.0,0.004372860280519808,0.0,0.0,0.0,0.0006567214504066591,1.452298292279958
t29,0.0,0.0,0.0,0.007734905496772122,0.0,0.0,0.0,0.0055550935236310965,0.0,0.0,0.0,0.002682521382040564,0.0,0.0,0.0,0.0044569270093953416,0.0,0.0,0.0,1.349525980522674,0.0,0.0,0.0,0.007831262687581471,0.0,0.0,0.0,0.07131408804236121,0.0,0.0,0.0,0.007379161363281548,0.0,0.0,0.0,0.004460732562487848,0.0,0.0,0.0,0.0006300386024495029,1.461570711192675
t30,0.0,0.0,0.0,0.0005982443877771993,0.0,0.0,0.0,1.0962118600128927,0.0,0.0,0.0,0.0033882522487842415,0.0,0.0,0.0,0.001691595137597647,0.0,0.0,0.0,0.0017335134209945544,0.0,0.0,0.0,0.009301810755535328,0.0,0.0,0.0,0.07061839661266285,0.0,0.0,0.0,0.000833694597901052,0.0,0.0,0.0,0.0046316200231204885,0.0,0.0,0.0,0.0023708906878282935,1.1913798778850946
