region,technology,cluster,index,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Old_Fixed_OM_Cost_per_Mwyr,Fixed_OM_Cost_per_MWyr,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,plant_id_eia,unit_id_pudl,capacity_factor,unmodified_cap_size,Existing_Cap_MW,unmodified_existing_cap_mw,profile,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,THERM,DISP,NDISP,STOR,DR,HYDRO,Commit,RPS,CES,New_Build,Hydro_level,CapRes,Resource,LDS,Hydro_Energy_to_Power_Ratio,FLEX,MUST_RUN,VRE,Num_VRE_Bins,Max_Cap_MW,Max_Cap_MWh,Existing_Cap_MWh,Max_Charge_Cap_MW,Existing_Charge_Cap_MW,Zone,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Reg_Cost,Rsv_Cost,Eff_Down,Eff_Up,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,ESR_1,Self_Disch,Min_Duration,Max_Duration
FRCC,Conventional Steam Coal,9,10,437,92.5,10.809,62249.672,65985,1.857,1.97,0.367,0.519,836.507,0.212,2,"[564.0, 564.0]","[1.0, 2.0]",0,437,874,874,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_8,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,10,11,342,180,11.925,74137,78585,1.857,1.97,0,0,0,0.526,1,[676.0],[1.0],0,342,342,342,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_9,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,1,12,1189.667,752.667,6.884,12182,12913,3.515,3.73,0.058,0.054,0,0.633,6,"[628.0, 628.0, 6042.0, 6043.0, 56407.0, 56407.0]","[6.0, 7.0, 3.0, 3.0, 2.0, 3.0]",0,1189.667,7138.002,7138.002,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,2,13,120,60,8.685,16291,17268,4.495,4.76,0,0,0,0.5,1,[54426.0],[1.0],0,120,0,120,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_1,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,3,14,86,47.5,6.41,16291,17268,4.495,4.76,0,0,0,0.552,2,"[664.0, 54466.0]","['664_8.2', 1.0]",0,86,172,172,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_2,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,4,15,573,171.9,6.41,9668,10248,3.567,3.78,0,0,0,0.3,1,[63802.0],['63802.0_G001'],0,573,573,573,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_3,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,5,16,33,21,13.644,16291,17268,4.495,4.76,0,0,0,0.636,1,[673.0],[2.0],0,0,0,33,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_4,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,6,17,583.3,184.217,7.356,12182,12913,3.515,3.73,0.052,0.044,0,0.316,12,"[136.0, 136.0, 136.0, 613.0, 613.0, 613.0, 620.0, 6043.0, 6043.0, 7846.0, 7873.0, 7873.0]","['136_CT1', '136_CT2', '136_ST', '613_7GT1', '613_7GT2', '613_ST7', 2.0, 4.0, 5.0, 1.0, 1.0, 2.0]",0,583.3,6999.6,6999.6,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_5,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,7,18,488.5,129,7.447,9668,10248,3.567,3.78,0.062,0.088,0,0.264,2,"[7238.0, 55821.0]","[3.0, 1.0]",0,488.5,977,977,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_6,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,8,19,335.367,186.667,7.285,16291,17268,4.495,4.76,0.038,0.04,0,0.557,3,"[564.0, 676.0, 56400.0]","[3.0, 4.0, 1.0]",0,335.367,1006.101,1006.101,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_7,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,9,20,124,100,11.081,16291,17268,4.495,4.76,0,0,0,0.806,1,[675.0],[1.0],0,124,0,124,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_8,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,10,21,356,106.8,6.41,12182,12913,3.515,3.73,0,0,0,0.3,13,"[136.0, 136.0, 136.0, 613.0, 613.0, 613.0, 7846.0, 7846.0, 7846.0, 60345.0, 60345.0, 60345.0, 60345.0]","['136.0_CT1', '136.0_CT2', '136.0_ST', '613.0_7GT1', '613.0_7GT2', '613.0_ST7', '7846.0_002', '7846.0_003', '7846.0_004', '60345.0_1A', '60345.0_1B', '60345.0_1C', '60345.0_1ST']",0,356,4628,4628,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_9,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,11,22,56,3,9.74,16291,17268,4.495,4.76,0,0,0,0.054,1,[7294.0],[1.0],0,56,0,56,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_10,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,12,23,110.6,25,8.219,16291,17268,4.495,4.76,0,0,0,0.226,1,[54365.0],[1.0],0,110.6,0,110.6,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_11,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,13,24,852.667,546.833,7.581,12182,12913,3.515,3.73,0.021,0.051,0,0.641,6,"[612.0, 620.0, 7302.0, 7302.0, 7302.0, 7302.0]","[1.0, 1.0, 1.0, 2.0, 3.0, 4.0]",0,852.667,140.3,5116.002,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_12,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,14,25,273,186.667,7.884,16291,17268,4.495,4.76,0.076,0.083,0,0.684,3,"[688.0, 689.0, 7699.0]","[2.0, 2.0, 1.0]",0,273,0,819,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_13,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,15,26,125,55,8.041,9668,10248,3.567,3.78,0,0,0,0.44,1,[7238.0],[2.0],0,125,0,125,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_14,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,16,27,481.667,258.667,7.202,9668,10248,3.567,3.78,0.088,0.089,0,0.537,3,"[7238.0, 7380.0, 55412.0]","[1.0, 1.0, 1.0]",0,481.667,1445.001,1445.001,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_15,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,17,28,1308,997,7.935,12182,12913,3.515,3.73,0,0,0,0.762,1,[634.0],[4.0],0,1308,0,1308,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_16,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,18,29,1374.667,385.333,6.655,12182,12913,3.515,3.73,0.043,0.046,0,0.28,3,"[609.0, 617.0, 619.0]","[3.0, 5.0, 3.0]",0,1374.667,4124.001,4124.001,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_17,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,19,30,1285.667,617.333,7.136,12182,12913,3.515,3.73,0.055,0.059,0,0.48,3,"[621.0, 7242.0, 56407.0]","[5.0, 1.0, 1.0]",0,1285.667,3857.001,3857.001,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_18,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combined Cycle,20,31,186.5,49.5,8.472,16291,17268,4.495,4.76,0.057,0.081,0,0.265,2,"[664.0, 50949.0]","[2.0, 1.0]",0,186.5,0,373,0,2,NG,90.95909511,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combined_cycle_19,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.64,0.64,6,6,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,1,32,169.2,65.714,10.578,9601,10177,5.163,5.47,0,0,0,0.388,7,"[613.0, 613.0, 613.0, 613.0, 613.0, 613.0, 613.0]","['613_3', '613_5', '613_6A', '613_6B', '613_6C', '613_6D', '613_6E']",0,169.2,1184.4,1184.4,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,2,33,48,12,9.343,13794,14622,5.163,5.47,0,0,0,0.25,2,"[688.0, 688.0]","['688_GT3', '688_GT4']",0,48,96,96,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_1,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,3,34,72,1.5,17.571,11343,12024,5.163,5.47,0,0,0,0.021,2,"[676.0, 676.0]","['676_GT1', '676_GT2']",0,72,144,144,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_2,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,4,35,42,10,25.292,13794,14622,5.163,5.47,0,0,0,0.238,1,[7238.0],['7238_1'],0,42,42,42,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_3,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,5,36,84.5,37.5,11.712,11343,12024,5.163,5.47,0,0,0,0.444,2,"[50949.0, 50949.0]","['50949_GEN4', '50949_GEN5']",0,84.5,169,169,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_4,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,6,37,94,44.286,13.226,9601,10177,5.163,5.47,0,0,0,0.471,7,"[8049.0, 8049.0, 8049.0, 8049.0, 8049.0, 8049.0, 8049.0]","['8049_P10', '8049_P12', '8049_P13', '8049_P14', '8049_P7', '8049_P8', '8049_P9']",0,94,658,658,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_5,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,7,38,3,0.5,5.687,13794,14622,5.163,5.47,0,0,0,0.167,3,"[10008.0, 10008.0, 10008.0]","['10008_TG-2', '10008_TG-3', '10008_TG-4']",0,3,9,9,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_6,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,8,39,84.8,36,13.843,11343,12024,5.163,5.47,0.006,0.003,0,0.425,5,"[638.0, 638.0, 6046.0, 6046.0, 6046.0]","['638_P1', '638_P3', '6046_7', '6046_8', '6046_9']",0,84.8,424,424,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_7,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,9,40,13.5,6,22.209,13794,14622,5.163,5.47,0,0,0,0.444,2,"[675.0, 675.0]","['675_2', '675_3']",0,13.5,27,27,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_8,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,10,41,35,10,11.269,13794,14622,5.163,5.47,0,0,0,0.286,1,[50971.0],['50971_GEN1'],0,35,35,35,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_9,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,11,42,281.667,4.667,15.184,9601,10177,5.163,5.47,0,0,0,0.017,3,"[645.0, 645.0, 645.0]","['645_GT4', '645_GT5', '645_GT6']",0,281.667,845.001,845.001,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_10,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,12,43,102.8,35.333,11.268,9601,10177,5.163,5.47,0.079,0.049,0,0.344,12,"[666.0, 666.0, 683.0, 683.0, 683.0, 683.0, 7380.0, 7380.0, 7380.0, 7380.0, 7380.0, 7846.0]","['666_GT37', '666_GT38', '683_A', '683_B', '683_C', '683_D', '7380_GT4', '7380_GT5', '7380_GT6', '7380_GT7', '7380_GT8', '7846_1']",0,102.8,1233.6,1233.6,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_11,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,13,44,241.033,72.31,9.66,9601,10177,5.163,5.47,0,0,0,0.3,6,"[645.0, 645.0, 7846.0, 55192.0, 55192.0, 55192.0]","['645.0_GT5', '645.0_GT6', '7846.0_001', '55192.0_CTG1', '55192.0_CTG2', '55192.0_CTG3']",0,241.033,1446.198,1446.198,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_12,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,14,45,59,20,16.095,11343,12024,5.163,5.47,0,0,0,0.339,2,"[634.0, 634.0]","['634_P2', '634_P4']",0,59,118,118,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_13,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
FRCC,Natural Gas Fired Combustion Turbine,15,46,4.3,0.2,7.478,13794,14622,5.163,5.47,0,0,0,0.047,1,[56518.0],['56518_GT1'],0,4.3,4.3,4.3,0,3.5,NG,117.9410883,1,0,0,0,0,0,1,0,0,0,0,0.9,C_natural_gas_fired_combustion_turbine_14,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
