Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
,,,,,,,44,2.986,17.568,6.616,13.628,4.652,9.902,0
,,,,,,,45,2.28,13.41,5.05,10.402,3.55,7.56,0
,,,,,,,46,1.766,10.394,3.914,8.062,2.752,5.86,0
,,,,,,,47,1.24,7.296,2.748,5.66,1.932,4.112,0
,,,,,,,48,0.79,4.646,1.75,3.604,1.23,2.62,0
,,,,,,,49,0.338,1.984,0.748,1.54,0.526,1.118,0
,,,,,,,50,0.248,1.456,0.548,1.13,0.386,0.82,0
,,,,,,,51,0.348,2.05,0.772,1.59,0.544,1.156,0
,,,,,,,52,0.81,4.764,1.794,3.696,1.262,2.686,0
,,,,,,,53,1.742,10.254,3.862,7.954,2.716,5.78,0
,,,,,,,54,2.8,16.474,6.204,12.778,4.362,9.286,0
,,,,,,,55,3.464,20.376,7.674,15.806,5.396,11.486,0
,,,,,,,56,3.97,23.354,8.794,18.116,6.184,13.164,0
,,,,,,,57,4.182,24.612,9.268,19.092,6.516,13.874,0
,,,,,,,58,4.002,23.552,8.87,18.27,6.236,13.276,0
,,,,,,,59,3.98,23.42,8.82,18.168,6.202,13.202,0
,,,,,,,60,4.126,24.28,9.144,18.834,6.43,13.686,0
,,,,,,,61,4.386,25.802,9.716,20.016,6.832,14.544,0
,,,,,,,62,4.554,26.794,10.09,20.786,7.094,15.104,0
,,,,,,,63,4.924,28.978,10.912,22.478,7.672,16.334,0
,,,,,,,64,5.228,30.764,11.586,23.864,8.146,17.342,0
,,,,,,,65,5.082,29.904,11.262,23.198,7.918,16.856,0
,,,,,,,66,4.778,28.118,10.588,21.812,7.446,15.85,0
,,,,,,,67,3.936,23.156,8.72,17.962,6.132,13.052,0
,,,,,,,68,2.89,17.002,6.404,13.19,4.502,9.584,0
,,,,,,,69,2.092,12.306,4.634,9.546,3.258,6.936,0
,,,,,,,70,1.574,9.262,3.488,7.184,2.452,5.222,0
,,,,,,,71,0.934,5.492,2.068,4.26,1.454,3.096,0
,,,,,,,72,0.528,3.11,1.17,2.412,0.824,1.752,0
,,,,,,,73,0.352,2.072,0.78,1.608,0.548,1.168,0
,,,,,,,74,0.258,1.52,0.572,1.178,0.402,0.856,0
,,,,,,,75,0.364,2.142,0.806,1.662,0.568,1.208,0
,,,,,,,76,0.846,4.974,1.872,3.858,1.316,2.804,0
,,,,,,,77,1.82,10.708,4.032,8.306,2.836,6.036,0
,,,,,,,78,2.924,17.2,6.478,13.342,4.554,9.696,0
,,,,,,,79,3.616,21.276,8.012,16.504,5.634,11.994,0
,,,,,,,80,4.144,24.384,9.182,18.916,6.456,13.746,0
,,,,,,,81,4.368,25.696,9.678,19.934,6.804,14.486,0
,,,,,,,82,4.18,24.592,9.26,19.076,6.512,13.862,0
,,,,,,,83,4.156,24.454,9.208,18.97,6.474,13.784,0
,,,,,,,84,4.308,25.352,9.548,19.666,6.712,14.29,0
,,,,,,,85,4.578,26.94,10.146,20.898,7.134,15.186,0
,,,,,,,86,4.754,27.976,10.536,21.702,7.408,15.77,0
,,,,,,,87,5.142,30.256,11.394,23.47,8.012,17.056,0
,,,,,,,88,5.46,32.122,12.096,24.918,8.506,18.106,0
,,,,,,,89,5.306,31.224,11.758,24.22,8.268,17.6,0
,,,,,,,90,4.99,29.358,11.056,22.774,7.774,16.55,0
,,,,,,,91,4.108,24.178,9.104,18.754,6.402,13.628,0
,,,,,,,92,3.018,17.752,6.686,13.772,4.7,10.008,0
,,,,,,,93,2.184,12.848,4.838,9.966,3.402,7.242,0
,,,,,,,94,1.644,9.67,3.642,7.502,2.56,5.452,0
,,,,,,,95,0.974,5.734,2.16,4.448,1.518,3.232,0
,,,,,,,96,0.552,3.246,1.222,2.518,0.86,1.83,0
,,,,,,,97,0.372,2.19,0.824,1.698,0.58,1.234,0
,,,,,,,98,0.272,1.606,0.604,1.246,0.426,0.904,0
,,,,,,,99,0.384,2.262,0.852,1.754,0.598,1.276,0
,,,,,,,100,0.892,5.254,1.978,4.076,1.392,2.962,0
,,,,,,,101,1.922,11.31,4.26,8.774,2.994,6.376,0
,,,,,,,102,3.088,18.17,6.842,14.094,4.812,10.242,0
,,,,,,,103,3.82,22.474,8.464,17.434,5.95,12.668,0
,,,,,,,104,4.378,25.758,9.7,19.982,6.82,14.52,0
,,,,,,,105,4.614,27.144,10.222,21.056,7.188,15.302,0
,,,,,,,106,4.414,25.978,9.782,20.152,6.878,14.644,0
,,,,,,,107,4.39,25.832,9.728,20.038,6.84,14.56,0
,,,,,,,108,4.552,26.78,10.084,20.774,7.09,15.096,0
,,,,,,,109,4.836,28.458,10.716,22.076,7.536,16.042,0
,,,,,,,110,5.022,29.552,11.13,22.924,7.826,16.658,0
,,,,,,,111,5.432,31.96,12.036,24.792,8.462,18.016,0
,,,,,,,112,5.766,33.93,12.778,26.32,8.984,19.126,0
,,,,,,,113,5.606,32.982,12.42,25.586,8.734,18.592,0
,,,,,,,114,5.27,31.012,11.678,24.056,8.212,17.482,0
,,,,,,,115,4.34,25.54,9.618,19.812,6.762,14.396,0
,,,,,,,116,3.188,18.754,7.062,14.548,4.966,10.572,0
,,,,,,,117,2.306,13.572,5.112,10.528,3.594,7.65,0
,,,,,,,118,1.736,10.216,3.848,7.924,2.704,5.758,0
,,,,,,,119,1.03,6.056,2.28,4.698,1.604,3.414,0
,,,,,,,120,0.582,3.43,1.292,2.66,0.908,1.934,0
,,,,,,,121,0.572,3.37,1.27,2.614,0.892,1.9,0
,,,,,,,122,0.404,2.378,0.896,1.844,0.63,1.34,0
,,,,,,,123,0.392,2.302,0.868,1.786,0.61,1.298,0
,,,,,,,124,0.548,3.23,1.216,2.504,0.854,1.82,0
,,,,,,,125,1.018,5.99,2.256,4.648,1.586,3.376,0
,,,,,,,126,1.672,9.836,3.704,7.63,2.604,5.546,0
,,,,,,,127,2.538,14.934,5.624,11.586,3.954,8.418,0
,,,,,,,128,3.448,20.282,7.638,15.734,5.37,11.434,0
,,,,,,,129,4.37,25.714,9.684,19.948,6.808,14.496,0
,,,,,,,130,4.84,28.476,10.724,22.09,7.54,16.052,0
,,,,,,,131,4.996,29.402,11.072,22.808,7.786,16.574,0
,,,,,,,132,5.226,30.746,11.578,23.85,8.14,17.332,0
,,,,,,,133,5.552,32.672,12.304,25.346,8.652,18.418,0
,,,,,,,134,5.796,34.1,12.842,26.452,9.03,19.222,0
,,,,,,,135,6.08,35.776,13.472,27.752,9.474,20.168,0
,,,,,,,136,6.238,36.702,13.822,28.472,9.718,20.69,0
,,,,,,,137,5.928,34.876,13.134,27.054,9.234,19.66,0
,,,,,,,138,5.362,31.546,11.88,24.472,8.354,17.782,0
,,,,,,,139,4.456,26.214,9.872,20.336,6.942,14.778,0
,,,,,,,140,3.464,20.382,7.676,15.812,5.398,11.49,0
,,,,,,,141,2.644,15.552,5.856,12.064,4.118,8.766,0
,,,,,,,142,2.064,12.14,4.572,9.418,3.214,6.844,0
,,,,,,,143,1.44,8.476,3.192,6.576,2.244,4.778,0
,,,,,,,144,0.932,5.482,2.064,4.252,1.452,3.09,0
,,,,,,,145,0.576,3.392,1.278,2.632,0.898,1.912,0
,,,,,,,146,0.742,4.364,1.644,3.384,1.156,2.46,0
,,,,,,,147,0.272,1.598,0.602,1.24,0.424,0.902,0
,,,,,,,148,0.424,2.496,0.94,1.936,0.66,1.406,0
,,,,,,,149,0.792,4.662,1.756,3.616,1.234,2.628,0
,,,,,,,150,1.3,7.65,2.88,5.934,2.026,4.312,0
,,,,,,,151,1.986,11.684,4.4,9.064,3.094,6.586,0
,,,,,,,152,2.812,16.54,6.23,12.83,4.38,9.324,0
,,,,,,,153,3.674,21.62,8.142,16.772,5.724,12.188,0
,,,,,,,154,4.728,27.822,10.478,21.582,7.366,15.684,0
,,,,,,,155,5.402,31.782,11.968,24.654,8.416,17.916,0
,,,,,,,156,5.54,32.604,12.278,25.29,8.632,18.378,0
,,,,,,,157,5.516,32.454,12.222,25.176,8.594,18.294,0
,,,,,,,158,5.35,31.482,11.856,24.422,8.336,17.746,0
,,,,,,,159,5.236,30.81,11.602,23.9,8.158,17.368,0
,,,,,,,160,5.008,29.466,11.096,22.856,7.802,16.61,0
,,,,,,,161,4.766,28.046,10.562,21.756,7.426,15.81,0
,,,,,,,162,4.272,25.132,9.464,19.496,6.654,14.166,0
,,,,,,,163,3.674,21.62,8.142,16.772,5.724,12.188,0
,,,,,,,164,2.938,17.288,6.51,13.41,4.578,9.746,0
,,,,,,,165,2.342,13.776,5.188,10.686,3.648,7.766,0
,,,,,,,166,1.82,10.714,4.034,8.31,2.836,6.04,0
,,,,,,,167,1.312,7.724,2.91,5.992,2.046,4.354,0
,,,,,,,168,0.894,5.26,1.98,4.08,1.392,2.964,0
,,,,,,,169,0.324,1.902,0.716,1.476,0.504,1.072,0
,,,,,,,170,0.244,1.434,0.54,1.114,0.38,0.808,0
,,,,,,,171,0.35,2.058,0.776,1.596,0.546,1.16,0
,,,,,,,172,0.8,4.71,1.774,3.654,1.248,2.656,0
,,,,,,,173,1.648,9.7,3.654,7.526,2.568,5.468,0
,,,,,,,174,2.682,15.784,5.944,12.244,4.18,8.898,0
,,,,,,,175,3.358,19.76,7.442,15.328,5.232,11.138,0
,,,,,,,176,3.848,22.646,8.528,17.566,5.996,12.766,0
,,,,,,,177,4.048,23.816,8.968,18.474,6.306,13.424,0
,,,,,,,178,4.286,25.22,9.498,19.564,6.678,14.216,0
,,,,,,,179,5.082,29.898,11.26,23.192,7.916,16.854,0
,,,,,,,180,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,181,5.572,32.784,12.346,25.43,8.68,18.48,0
,,,,,,,182,5.466,32.16,12.11,24.946,8.516,18.128,0
,,,,,,,183,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,184,5.188,30.522,11.494,23.676,8.082,17.206,0
,,,,,,,185,4.922,28.962,10.906,22.466,7.668,16.326,0
,,,,,,,186,4.352,25.608,9.644,19.866,6.78,14.436,0
,,,,,,,187,3.624,21.32,8.028,16.538,5.646,12.018,0
,,,,,,,188,2.762,16.252,6.12,12.606,4.304,9.16,0
,,,,,,,189,2.1,12.352,4.652,9.582,3.27,6.962,0
,,,,,,,190,1.464,8.61,3.242,6.678,2.28,4.852,0
,,,,,,,191,0.906,5.334,2.008,4.138,1.412,3.006,0
,,,,,,,192,0.536,3.15,1.186,2.444,0.834,1.776,0
,,,,,,,193,0.498,2.934,1.106,2.276,0.778,1.654,0
,,,,,,,194,0.36,2.12,0.798,1.644,0.562,1.194,0
,,,,,,,195,0.332,1.956,0.736,1.518,0.518,1.102,0
,,,,,,,196,0.492,2.894,1.09,2.244,0.766,1.632,0
,,,,,,,197,0.886,5.218,1.964,4.048,1.382,2.942,0
,,,,,,,198,1.454,8.56,3.224,6.64,2.266,4.826,0
,,,,,,,199,2.196,12.922,4.866,10.024,3.422,7.284,0
,,,,,,,200,3,17.65,6.646,13.692,4.674,9.948,0
,,,,,,,201,3.79,22.296,8.396,17.296,5.904,12.568,0
,,,,,,,202,4.204,24.742,9.318,19.192,6.552,13.946,0
,,,,,,,203,4.336,25.516,9.61,19.794,6.756,14.384,0
,,,,,,,204,4.524,26.616,10.024,20.648,7.048,15.004,0
,,,,,,,205,4.814,28.328,10.668,21.976,7.502,15.968,0
,,,,,,,206,5.03,29.592,11.144,22.956,7.836,16.682,0
,,,,,,,207,5.264,30.978,11.666,24.03,8.202,17.462,0
,,,,,,,208,5.396,31.752,11.958,24.632,8.408,17.898,0
,,,,,,,209,5.134,30.204,11.374,23.43,7.998,17.026,0
,,,,,,,210,4.648,27.35,10.3,21.216,7.242,15.418,0
,,,,,,,211,3.858,22.704,8.55,17.612,6.012,12.798,0
,,,,,,,212,2.986,17.568,6.616,13.628,4.652,9.902,0
,,,,,,,213,2.28,13.41,5.05,10.402,3.55,7.56,0
,,,,,,,214,1.766,10.394,3.914,8.062,2.752,5.86,0
,,,,,,,215,1.24,7.296,2.748,5.66,1.932,4.112,0
,,,,,,,216,0.79,4.646,1.75,3.604,1.23,2.62,0
,,,,,,,217,0.338,1.984,0.748,1.54,0.526,1.118,0
,,,,,,,218,0.248,1.456,0.548,1.13,0.386,0.82,0
,,,,,,,219,0.348,2.05,0.772,1.59,0.544,1.156,0
,,,,,,,220,0.81,4.764,1.794,3.696,1.262,2.686,0
,,,,,,,221,1.742,10.254,3.862,7.954,2.716,5.78,0
,,,,,,,222,2.8,16.474,6.204,12.778,4.362,9.286,0
,,,,,,,223,3.464,20.376,7.674,15.806,5.396,11.486,0
,,,,,,,224,3.97,23.354,8.794,18.116,6.184,13.164,0
,,,,,,,225,4.182,24.612,9.268,19.092,6.516,13.874,0
,,,,,,,226,4.002,23.552,8.87,18.27,6.236,13.276,0
,,,,,,,227,3.98,23.42,8.82,18.168,6.202,13.202,0
,,,,,,,228,4.126,24.28,9.144,18.834,6.43,13.686,0
,,,,,,,229,4.386,25.802,9.716,20.016,6.832,14.544,0
,,,,,,,230,4.554,26.794,10.09,20.786,7.094,15.104,0
,,,,,,,231,4.924,28.978,10.912,22.478,7.672,16.334,0
,,,,,,,232,5.228,30.764,11.586,23.864,8.146,17.342,0
,,,,,,,233,5.082,29.904,11.262,23.198,7.918,16.856,0
,,,,,,,234,4.778,28.118,10.588,21.812,7.446,15.85,0
,,,,,,,235,3.936,23.156,8.72,17.962,6.132,13.052,0
,,,,,,,236,2.89,17.002,6.404,13.19,4.502,9.584,0
,,,,,,,237,2.092,12.306,4.634,9.546,3.258,6.936,0
,,,,,,,238,1.574,9.262,3.488,7.184,2.452,5.222,0
,,,,,,,239,0.934,5.492,2.068,4.26,1.454,3.096,0
,,,,,,,240,0.528,3.11,1.17,2.412,0.824,1.752,0
,,,,,,,241,0.352,2.072,0.78,1.608,0.548,1.168,0
,,,,,,,242,0.258,1.52,0.572,1.178,0.402,0.856,0
,,,,,,,243,0.364,2.142,0.806,1.662,0.568,1.208,0
,,,,,,,244,0.846,4.974,1.872,3.858,1.316,2.804,0
,,,,,,,245,1.82,10.708,4.032,8.306,2.836,6.036,0
,,,,,,,246,2.924,17.2,6.478,13.342,4.554,9.696,0
,,,,,,,247,3.616,21.276,8.012,16.504,5.634,11.994,0
,,,,,,,248,4.144,24.384,9.182,18.916,6.456,13.746,0
,,,,,,,249,4.368,25.696,9.678,19.934,6.804,14.486,0
,,,,,,,250,4.18,24.592,9.26,19.076,6.512,13.862,0
,,,,,,,251,4.156,24.454,9.208,18.97,6.474,13.784,0
,,,,,,,252,4.308,25.352,9.548,19.666,6.712,14.29,0
,,,,,,,253,4.578,26.94,10.146,20.898,7.134,15.186,0
,,,,,,,254,4.754,27.976,10.536,21.702,7.408,15.77,0
,,,,,,,255,5.142,30.256,11.394,23.47,8.012,17.056,0
,,,,,,,256,5.46,32.122,12.096,24.918,8.506,18.106,0
,,,,,,,257,5.306,31.224,11.758,24.22,8.268,17.6,0
,,,,,,,258,4.99,29.358,11.056,22.774,7.774,16.55,0
,,,,,,,259,4.108,24.178,9.104,18.754,6.402,13.628,0
,,,,,,,260,3.018,17.752,6.686,13.772,4.7,10.008,0
,,,,,,,261,2.184,12.848,4.838,9.966,3.402,7.242,0
,,,,,,,262,1.644,9.67,3.642,7.502,2.56,5.452,0
,,,,,,,263,0.974,5.734,2.16,4.448,1.518,3.232,0
,,,,,,,264,0.552,3.246,1.222,2.518,0.86,1.83,0
,,,,,,,265,0.372,2.19,0.824,1.698,0.58,1.234,0
,,,,,,,266,0.272,1.606,0.604,1.246,0.426,0.904,0
,,,,,,,267,0.384,2.262,0.852,1.754,0.598,1.276,0
,,,,,,,268,0.892,5.254,1.978,4.076,1.392,2.962,0
,,,,,,,269,1.922,11.31,4.26,8.774,2.994,6.376,0
,,,,,,,270,3.088,18.17,6.842,14.094,4.812,10.242,0
,,,,,,,271,3.82,22.474,8.464,17.434,5.95,12.668,0
,,,,,,,272,4.378,25.758,9.7,19.982,6.82,14.52,0
,,,,,,,273,4.614,27.144,10.222,21.056,7.188,15.302,0
,,,,,,,274,4.414,25.978,9.782,20.152,6.878,14.644,0
,,,,,,,275,4.39,25.832,9.728,20.038,6.84,14.56,0
,,,,,,,276,4.552,26.78,10.084,20.774,7.09,15.096,0
,,,,,,,277,4.836,28.458,10.716,22.076,7.536,16.042,0
,,,,,,,278,5.022,29.552,11.13,22.924,7.826,16.658,0
,,,,,,,279,5.432,31.96,12.036,24.792,8.462,18.016,0
,,,,,,,280,5.766,33.93,12.778,26.32,8.984,19.126,0
,,,,,,,281,5.606,32.982,12.42,25.586,8.734,18.592,0
,,,,,,,282,5.27,31.012,11.678,24.056,8.212,17.482,0
,,,,,,,283,4.34,25.54,9.618,19.812,6.762,14.396,0
,,,,,,,284,3.188,18.754,7.062,14.548,4.966,10.572,0
,,,,,,,285,2.306,13.572,5.112,10.528,3.594,7.65,0
,,,,,,,286,1.736,10.216,3.848,7.924,2.704,5.758,0
,,,,,,,287,1.03,6.056,2.28,4.698,1.604,3.414,0
,,,,,,,288,0.582,3.43,1.292,2.66,0.908,1.934,0
,,,,,,,289,0.572,3.37,1.27,2.614,0.892,1.9,0
,,,,,,,290,0.404,2.378,0.896,1.844,0.63,1.34,0
,,,,,,,291,0.392,2.302,0.868,1.786,0.61,1.298,0
,,,,,,,292,0.548,3.23,1.216,2.504,0.854,1.82,0
,,,,,,,293,1.018,5.99,2.256,4.648,1.586,3.376,0
,,,,,,,294,1.672,9.836,3.704,7.63,2.604,5.546,0
,,,,,,,295,2.538,14.934,5.624,11.586,3.954,8.418,0
,,,,,,,296,3.448,20.282,7.638,15.734,5.37,11.434,0
,,,,,,,297,4.37,25.714,9.684,19.948,6.808,14.496,0
,,,,,,,298,4.84,28.476,10.724,22.09,7.54,16.052,0
,,,,,,,299,4.996,29.402,11.072,22.808,7.786,16.574,0
,,,,,,,300,5.226,30.746,11.578,23.85,8.14,17.332,0
,,,,,,,301,5.552,32.672,12.304,25.346,8.652,18.418,0
,,,,,,,302,5.796,34.1,12.842,26.452,9.03,19.222,0
,,,,,,,303,6.08,35.776,13.472,27.752,9.474,20.168,0
,,,,,,,304,6.238,36.702,13.822,28.472,9.718,20.69,0
,,,,,,,305,5.928,34.876,13.134,27.054,9.234,19.66,0
,,,,,,,306,5.362,31.546,11.88,24.472,8.354,17.782,0
,,,,,,,307,4.456,26.214,9.872,20.336,6.942,14.778,0
,,,,,,,308,3.464,20.382,7.676,15.812,5.398,11.49,0
,,,,,,,309,2.644,15.552,5.856,12.064,4.118,8.766,0
,,,,,,,310,2.064,12.14,4.572,9.418,3.214,6.844,0
,,,,,,,311,1.44,8.476,3.192,6.576,2.244,4.778,0
,,,,,,,312,0.932,5.482,2.064,4.252,1.452,3.09,0
,,,,,,,313,0.576,3.392,1.278,2.632,0.898,1.912,0
,,,,,,,314,0.742,4.364,1.644,3.384,1.156,2.46,0
,,,,,,,315,0.272,1.598,0.602,1.24,0.424,0.902,0
,,,,,,,316,0.424,2.496,0.94,1.936,0.66,1.406,0
,,,,,,,317,0.792,4.662,1.756,3.616,1.234,2.628,0
,,,,,,,318,1.3,7.65,2.88,5.934,2.026,4.312,0
,,,,,,,319,1.986,11.684,4.4,9.064,3.094,6.586,0
,,,,,,,320,2.812,16.54,6.23,12.83,4.38,9.324,0
,,,,,,,321,3.674,21.62,8.142,16.772,5.724,12.188,0
,,,,,,,322,4.728,27.822,10.478,21.582,7.366,15.684,0
,,,,,,,323,5.402,31.782,11.968,24.654,8.416,17.916,0
,,,,,,,324,5.54,32.604,12.278,25.29,8.632,18.378,0
,,,,,,,325,5.516,32.454,12.222,25.176,8.594,18.294,0
,,,,,,,326,5.35,31.482,11.856,24.422,8.336,17.746,0
,,,,,,,327,5.236,30.81,11.602,23.9,8.158,17.368,0
,,,,,,,328,5.008,29.466,11.096,22.856,7.802,16.61,0
,,,,,,,329,4.766,28.046,10.562,21.756,7.426,15.81,0
,,,,,,,330,4.272,25.132,9.464,19.496,6.654,14.166,0
,,,,,,,331,3.674,21.62,8.142,16.772,5.724,12.188,0
,,,,,,,332,2.938,17.288,6.51,13.41,4.578,9.746,0
,,,,,,,333,2.342,13.776,5.188,10.686,3.648,7.766,0
,,,,,,,334,1.82,10.714,4.034,8.31,2.836,6.04,0
,,,,,,,335,1.312,7.724,2.91,5.992,2.046,4.354,0
,,,,,,,336,0.894,5.26,1.98,4.08,1.392,2.964,0
,,,,,,,337,0.324,1.902,0.716,1.476,0.504,1.072,0
,,,,,,,338,0.244,1.434,0.54,1.114,0.38,0.808,0
,,,,,,,339,0.35,2.058,0.776,1.596,0.546,1.16,0
,,,,,,,340,0.8,4.71,1.774,3.654,1.248,2.656,0
,,,,,,,341,1.648,9.7,3.654,7.526,2.568,5.468,0
,,,,,,,342,2.682,15.784,5.944,12.244,4.18,8.898,0
,,,,,,,343,3.358,19.76,7.442,15.328,5.232,11.138,0
,,,,,,,344,3.848,22.646,8.528,17.566,5.996,12.766,0
,,,,,,,345,4.048,23.816,8.968,18.474,6.306,13.424,0
,,,,,,,346,4.286,25.22,9.498,19.564,6.678,14.216,0
,,,,,,,347,5.082,29.898,11.26,23.192,7.916,16.854,0
,,,,,,,348,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,349,5.572,32.784,12.346,25.43,8.68,18.48,0
,,,,,,,350,5.466,32.16,12.11,24.946,8.516,18.128,0
,,,,,,,351,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,352,5.188,30.522,11.494,23.676,8.082,17.206,0
,,,,,,,353,4.922,28.962,10.906,22.466,7.668,16.326,0
,,,,,,,354,4.352,25.608,9.644,19.866,6.78,14.436,0
,,,,,,,355,3.624,21.32,8.028,16.538,5.646,12.018,0
,,,,,,,356,2.762,16.252,6.12,12.606,4.304,9.16,0
,,,,,,,357,2.1,12.352,4.652,9.582,3.27,6.962,0
,,,,,,,358,1.464,8.61,3.242,6.678,2.28,4.852,0
,,,,,,,359,0.906,5.334,2.008,4.138,1.412,3.006,0
,,,,,,,360,0.536,3.15,1.186,2.444,0.834,1.776,0
,,,,,,,361,0.498,2.934,1.106,2.276,0.778,1.654,0
,,,,,,,362,0.36,2.12,0.798,1.644,0.562,1.194,0
,,,,,,,363,0.332,1.956,0.736,1.518,0.518,1.102,0
,,,,,,,364,0.492,2.894,1.09,2.244,0.766,1.632,0
,,,,,,,365,0.886,5.218,1.964,4.048,1.382,2.942,0
,,,,,,,366,1.454,8.56,3.224,6.64,2.266,4.826,0
,,,,,,,367,2.196,12.922,4.866,10.024,3.422,7.284,0
,,,,,,,368,3,17.65,6.646,13.692,4.674,9.948,0
,,,,,,,369,3.79,22.296,8.396,17.296,5.904,12.568,0
,,,,,,,370,4.204,24.742,9.318,19.192,6.552,13.946,0
,,,,,,,371,4.336,25.516,9.61,19.794,6.756,14.384,0
,,,,,,,372,4.524,26.616,10.024,20.648,7.048,15.004,0
,,,,,,,373,4.814,28.328,10.668,21.976,7.502,15.968,0
,,,,,,,374,5.03,29.592,11.144,22.956,7.836,16.682,0
,,,,,,,375,5.264,30.978,11.666,24.03,8.202,17.462,0
,,,,,,,376,5.396,31.752,11.958,24.632,8.408,17.898,0
,,,,,,,377,5.134,30.204,11.374,23.43,7.998,17.026,0
,,,,,,,378,4.648,27.35,10.3,21.216,7.242,15.418,0
,,,,,,,379,3.858,22.704,8.55,17.612,6.012,12.798,0
,,,,,,,380,2.986,17.568,6.616,13.628,4.652,9.902,0
,,,,,,,381,2.28,13.41,5.05,10.402,3.55,7.56,0
,,,,,,,382,1.766,10.394,3.914,8.062,2.752,5.86,0
,,,,,,,383,1.24,7.296,2.748,5.66,1.932,4.112,0
,,,,,,,384,0.79,4.646,1.75,3.604,1.23,2.62,0
,,,,,,,385,0.338,1.984,0.748,1.54,0.526,1.118,0
,,,,,,,386,0.248,1.456,0.548,1.13,0.386,0.82,0
,,,,,,,387,0.348,2.05,0.772,1.59,0.544,1.156,0
