,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand
t93,132191.15144105133,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-13560.131623522699,-333.20714792690893,-842.4614834634802,-0.0,-0.0,-162124.56294323565,104629.24423521894,0.0,0.0,4402.904220000378,-0.0,0.0,-0.0,0.0,0.0,19880.131623522702,-482.88451372690895,-1844.832346983,-445.00886983920424,-0.0,-126139.55434819292,41126.07689874752,0.0,0.0,8518.990195483704,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-42115.48428607619
t94,139719.67836638592,0.0,0.0,16036.442786794438,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-154913.65966971693,82952.76853660814,0.0,0.0,32015.549439302587,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-118848.79939328856,40407.86656464136,0.0,0.0,7545.748079699318,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-40424.031836185655
t95,142397.80244899617,0.0,0.0,12509.750192582642,-0.0,0.0,-0.0,0.0,0.0,-11593.568777165505,-284.88366439102595,-842.4614834634802,-0.0,-0.0,-142186.63871655884,87240.57687994797,0.0,0.0,6239.776699634838,-0.0,0.0,-0.0,0.0,0.0,17913.568777165507,-434.56103019102596,-1844.832346983,-445.00886983920424,-0.0,-108669.52010973508,38608.191966187864,0.0,0.0,5977.564712776835,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-37056.173870809675
t96,136365.68128869619,0.0,0.0,13825.897444847307,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-128697.83273071997,76378.36241823788,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-99919.55931625568,37310.56483637332,0.0,0.0,3924.151039197556,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-33705.13306741586
t97,136276.582930453,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-17808.99163485981,-437.6125154870907,-842.4614834634802,-0.0,-0.0,-117187.51729664263,72104.78866456474,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,24128.99163485981,-587.2898812870908,-1844.832346983,-445.00886983920424,-0.0,-93356.64920131525,37742.54787071301,0.0,0.0,1959.1614797721934,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1837.69573046481,-170.17713606835784,-0.0,-31224.15911815203
t98,137098.96650754745,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-11932.095560275331,-293.2021340805992,-16009.542161354937,-0.0,-0.0,-108864.12665183663,79752.16598920674,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,11932.095560275331,-293.2021340805992,-1844.832346983,-445.00886983920424,-0.0,-89101.21819857928,38047.553013581084,0.0,0.0,0.0,-2465.139668306372,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-29644.23100561691
t99,125861.13360359313,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6698.664932536282,-164.60334597464373,-15945.141104966438,-0.0,-0.0,-103052.72422011576,80292.56956052323,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8378.307433576878,-204.38253348120705,-1844.832346983,-445.00886983920424,-0.0,-86176.6532437967,36400.78919709317,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1679.6425010405956,-39.77918750656331,-5768.005203589455,-170.17713606835784,-0.0,-28743.1851688882
t100,130824.05261898894,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-11736.244450661803,-288.3895709385542,-19085.810747448882,-0.0,-0.0,-99713.6078499397,74853.89530138775,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,12756.017392590858,-312.5409835433101,-1844.832346983,-445.00886983920424,-0.0,-85007.53049361309,35430.54897149764,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1019.7729419290569,-24.15141260475595,-5768.005203589455,-170.17713606835784,-0.0,-28448.442277306018
t101,121660.18493984113,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-7091.2905155482695,-174.25116167074077,-15147.535693281685,-0.0,-0.0,-99247.10756934041,81156.7031363987,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8030.1861083526355,-196.48714570431468,-1844.832346983,-445.00886983920424,-0.0,-86700.56088222483,39290.450247541245,0.0,0.0,0.0,-3479.7795423356188,0.0,-0.0,0.0,0.0,-938.8955928043664,-22.235984033573892,-5768.005203589455,-170.17713606835784,-0.0,-28911.356788709865
t102,126604.21152628644,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-24886.47215171542,-0.0,-0.0,-101717.73937457101,109148.39647237617,0.0,0.0,0.0,-16510.858816553242,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-90347.6964390006,43574.011639183715,0.0,0.0,0.0,-6983.453688767543,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-30652.37561075837
t103,159685.70691061986,0.0,0.0,0.0,-25157.709698605402,0.0,-0.0,0.0,0.0,-2263.6182515375385,-55.62289530300126,-25374.401910838445,-0.0,-0.0,-106834.3541543355,133094.0989071277,0.0,0.0,0.0,-29791.8686640619,0.0,-0.0,0.0,0.0,-3884.724869048737,-201.23488934159388,-1844.832346983,-445.00886983920424,-0.0,-96926.4292678533,45259.63496951404,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6148.343120586276,-145.61199403859266,-5768.005203589455,-170.17713606835784,-0.0,-33721.06511560949
t104,183851.65423575634,0.0,0.0,0.0,-44313.71557059973,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-114163.53675431821,143236.73764214272,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-2890.077714840237,-68.44607900546998,-1844.832346983,-445.00886983920424,-0.0,-104935.35962644187,44495.73747219574,0.0,0.0,0.0,-4293.804142541359,0.0,-0.0,0.0,0.0,2890.077714840237,-68.44607900546998,-5768.005203589455,-170.17713606835784,-0.0,-37085.382625831335
t105,205480.4328906311,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-10442.672901689542,-256.6032064371404,-25374.401910838445,-0.0,-0.0,-124737.54311456862,144841.4960932652,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,4122.672901689542,-406.2805722371404,-1844.832346983,-445.00886983920424,-0.0,-113215.03420086246,48693.784684977756,0.0,0.0,0.0,-9256.895204954715,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-39669.029774565235
t106,228346.39321852507,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-137651.49503122928,141220.99552406868,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,16110.09819819521,-591.1041275846225,-1844.832346983,-445.00886983920424,-0.0,-121397.1353728241,55471.26280519792,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,4045.9018018047896,-95.81960822462256,-5768.005203589455,-170.17713606835784,-0.0,-41880.04401832586
t107,241667.2921884745,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838442,-0.0,-0.0,-150972.39400117868,132818.07095221255,0.0,0.0,0.0,-20270.759825134035,0.0,-0.0,0.0,0.0,18934.417909023225,-524.2154037723194,-1844.832346983,-445.00886983920424,-0.0,-128667.67241550724,57299.974892729704,0.0,0.0,0.0,-8488.16868362883,0.0,-0.0,0.0,0.0,1221.582090976773,-28.930884412319518,-5768.005203589455,-170.17713606835784,-0.0,-44066.275076007514
t108,244542.891250245,0.0,0.0,0.0,-35291.73429972295,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-163225.47052032367,113783.88739678073,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,22249.051169496815,-544.8545170712173,-1844.832346983,-445.00886983920424,-0.0,-133198.24283238416,55453.2876371929,0.0,0.0,0.0,-1370.4651987933116,0.0,-0.0,0.0,0.0,-2093.0511694968177,-49.56999771121725,-5768.005203589455,-170.17713606835784,-0.0,-46002.018931533734
t109,214860.21981679098,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-21417.72764035076,-0.0,-0.0,-172791.20765708026,115837.63964083088,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,23680.305209558483,-578.7510889868878,-1844.832346983,-445.00886983920424,-0.0,-136649.35254458027,52500.11146776468,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3524.3052095584853,-83.46656962688782,-889.7283062866618,-170.17713606835784,-0.0,-47832.43424622428
t110,201965.66572665,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-180471.9197238266,119672.83703255455,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,21920.14932724977,-537.0650928062954,-1844.832346983,-445.00886983920424,-0.0,-138766.08005017583,52361.39839793278,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1764.14932724977,-41.78057344629553,-889.7283062866618,-170.17713606835784,-0.0,-49495.56305488169
t111,206842.41334085818,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-185348.66733803472,117579.80774674454,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,25019.235753180124,-610.4611517651234,-1844.832346983,-445.00886983920424,-0.0,-139698.74113133736,53241.7155550963,0.0,0.0,3549.0269074454723,-0.0,0.0,-0.0,0.0,0.0,-4863.235753180125,-115.17663240512344,-889.7283062866618,-170.17713606835784,-0.0,-50752.424634601506
t112,209816.7661937572,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-188323.0201909337,110064.44344792103,0.0,0.0,5955.9705981589495,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-139561.61094409777,53535.27739503959,0.0,0.0,5403.484478809971,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-51409.17906569454
t113,210814.2827512088,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-189320.53674838535,99963.53475656436,0.0,0.0,12161.854548114472,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-135666.5862026966,53771.96388883832,0.0,0.0,5260.62004659594,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-51503.001127279254
t114,195073.61433109103,0.0,0.0,13944.973191073408,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-187524.84151934093,84519.18579603611,0.0,0.0,23203.97288238747,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-131264.35557644136,46589.49230932007,0.0,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-50663.02814195947
t115,156876.61119430605,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-17966.957153220064,-441.4941326649293,-842.4614834634802,-0.0,-0.0,-182294.910182055,70655.04315440501,0.0,0.0,33052.72747054348,-0.0,0.0,-0.0,0.0,0.0,24286.957153220064,-591.1714984649292,-1844.832346983,-445.00886983920424,-0.0,-125113.71506288144,44800.94078596496,239.60239341871133,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-49114.079012023074
t116,143436.79879597496,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-11131.813061668856,-273.53714436664166,-842.4614834634802,-0.0,-0.0,-175858.1988635734,71488.42272654323,0.0,0.0,33053.01300503295,-0.0,0.0,-0.0,0.0,0.0,17451.813061668858,-423.2145101666417,-1844.832346983,-0.0,-0.0,-119725.20193609537,44186.68320089318,0.0,0.0,10769.066624548466,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-47426.16701728668
t117,142125.35745330204,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-15991.272007166555,-392.9464908724206,-842.4614834634802,-0.0,-0.0,-169567.8892288969,78295.05844331572,0.0,0.0,17171.997917943383,-0.0,0.0,-0.0,0.0,0.0,22311.272007166557,-542.6238566724206,-1844.832346983,-445.00886983920424,-0.0,-114945.86329493126,44046.743329384284,0.0,0.0,9748.62231928793,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-46265.78284051719
t118,137065.51496103223,0.0,0.0,31283.713874853463,-0.0,0.0,-0.0,0.0,0.0,-4776.012807083029,-117.35886126281613,-842.4614834634802,-0.0,-0.0,-162613.3956840764,80657.33859147153,0.0,0.0,15676.47385578509,-0.0,0.0,-0.0,0.0,0.0,11096.012807083029,-267.0362270628162,-1844.832346983,-445.00886983920424,-0.0,-104872.94781045463,42434.06307785836,0.0,0.0,9199.854699211186,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-44104.33496891452
t119,136067.91565016416,0.0,0.0,22859.278415543376,-0.0,0.0,-0.0,0.0,0.0,-6722.985876660367,-165.20097383338947,-842.4614834634802,-0.0,-0.0,-151196.54573175032,81206.89265960109,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,13042.985876660367,-314.8783396333895,-1844.832346983,-445.00886983920424,-0.0,-91645.15897980586,40567.37224905985,0.0,0.0,7509.273211887201,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-40547.06265279203
t120,139370.74914090813,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-56.546264224946356,-1.3894864704433478,-842.4614834634802,-0.0,-0.0,-138470.3519067493,80886.79188978157,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4814.930587561955,-114.08290909403497,-1844.832346983,-445.00886983920424,-0.0,-83297.7983514273,36960.607535324525,0.0,0.0,5846.871424728144,-0.0,0.0,-0.0,0.0,0.0,-4758.384323337009,-112.69342262359163,-889.7283062866618,-170.17713606835784,-0.0,-36876.495771737056
t121,127998.527329366,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-127156.0658459025,79272.61863793444,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-76982.77742111225,34965.074225979806,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-33905.16878362479
t122,120829.02308901386,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1687.1370081094399,-41.4572753599897,-1061.796635255198,-0.0,-0.0,-118038.6321702892,73460.29090829004,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1687.1370081094399,-41.4572753599897,-1844.832346983,-445.00886983920424,-0.0,-72816.12942421729,33487.57022949538,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1563.9359297310177,-170.17713606835784,-0.0,-31753.45716369601
t123,116076.15752901555,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-5070.596078470494,-0.0,-0.0,-111005.56145054504,76916.50253460843,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-4528.51594603332,-107.24942053569023,-1844.832346983,-445.00886983920424,-0.0,-69990.89595121722,32106.89857859033,0.0,0.0,0.0,-3692.019721737716,0.0,-0.0,0.0,0.0,4528.51594603332,-107.24942053569023,-2383.5701991311794,-170.17713606835784,-0.0,-30282.398047150706
t124,114016.42936650004,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2039.0415172622886,-50.10447002541862,-9820.307862717793,-0.0,-0.0,-106185.05855101912,79216.85330545876,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-8359.041517262289,-199.78183582541865,-1844.832346983,-445.00886983920424,-0.0,-68368.18873554884,32680.774784979527,0.0,0.0,0.0,-6899.180711575828,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-2383.5701991311794,-170.17713606835784,-0.0,-29398.16937240416
t125,111180.90809210927,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,7949.022487543081,-195.32783201650165,-15511.325113143335,-0.0,-0.0,-103423.27763449251,84730.56920606665,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-14269.022487543083,-345.0051978165016,-1844.832346983,-445.00886983920424,-0.0,-67826.70030388486,37978.28856694881,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-3521.4910318309458,-170.17713606835784,-0.0,-28853.824392455084
t126,123966.94723445004,0.0,0.0,0.0,-4073.3512737444107,0.0,-0.0,0.0,0.0,7451.117112206197,-183.09302230671352,-25374.401910838445,-0.0,-0.0,-101787.21813976666,101012.65583371128,0.0,0.0,0.0,-25056.083722108116,0.0,-0.0,0.0,0.0,-5346.907565722766,-232.92728528279778,-1844.832346983,-445.00886983920424,-0.0,-68086.89604377536,48678.39579549297,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,-2104.2095464834306,-49.83426297608427,-5768.005203589455,-170.17713606835784,-0.0,-28983.05100558121
t127,166403.85233154125,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,6597.36279272094,-162.11409306590286,-25374.401910838445,-0.0,-0.0,-102795.48736326049,111080.63774966451,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-3492.976852008289,-235.63566110900803,-1844.832346983,-445.00886983920424,-0.0,-72009.17101469207,51628.26709864154,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,-3104.385940712651,-73.52156804310515,-5768.005203589455,-170.17713606835784,-0.0,-30909.05860943354
t128,188821.03849464026,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-9795.0243193291,-240.68882278817352,-25374.401910838445,-0.0,-0.0,-108741.71168458718,103932.37935642719,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,10099.478331428025,-247.89924597459884,-1844.832346983,-445.00886983920424,-0.0,-78441.10422002547,51948.43366389741,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,-304.45401209892236,-7.210423186425322,-5768.005203589455,-170.17713606835784,-0.0,-34095.46824815983
t129,203884.15475205914,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-13036.576034666925,-320.3420468064151,-25374.401910838445,-0.0,-0.0,-120483.62300264998,109986.91066947473,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,11589.222261581575,-354.6199107520015,-1844.832346983,-445.00886983920424,-0.0,-85878.65879844913,53618.104698504336,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,1447.35377308535,-34.27786394558641,-5768.005203589455,-170.17713606835784,-0.0,-37489.87962719186
t130,215982.44333429853,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-11464.668337484723,-281.71625060294366,-25374.401910838445,-0.0,-0.0,-134192.44507827502,119991.96018835717,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,8539.893891081703,-350.9840567258483,-1844.832346983,-445.00886983920424,-0.0,-92838.01580085786,55021.314797504245,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,2924.77444640302,-69.26780612290464,-5768.005203589455,-170.17713606835784,-0.0,-40335.520457332146
t131,214198.52374790257,0.0,0.0,0.0,-40840.968995612224,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-147983.15284145204,115756.34389117797,0.0,0.0,0.0,-8464.39057860811,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-98532.43472994762,51305.54638062843,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-3342.7975462539757,-170.17713606835784,-0.0,-42359.775691711875
t132,202954.83132575694,0.0,0.0,0.0,-15179.627542474083,0.0,-0.0,0.0,0.0,-1954.4300435467403,-48.02534951085489,-25374.401910838445,-0.0,-0.0,-160398.34647938688,109916.11903541087,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-4365.569956453261,-197.7027153108549,-1844.832346983,-445.00886983920424,-0.0,-103063.00514682454,45450.8284270352,0.0,0.0,0.0,-3287.4617490167434,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-4429.154770843227,-170.17713606835784,-0.0,-43734.35740530686
t133,180543.09526076744,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-9403.739446075304,-231.07395176305218,-842.4614834634802,-0.0,-0.0,-170065.82037946564,104755.91684384989,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4651.848561335839,-343.6135894524248,-1844.832346983,-445.00886983920424,-0.0,-106774.31059891112,41030.289137472966,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4751.890884739465,-112.53963768937257,-889.7283062866618,-170.17713606835784,-0.0,-44609.73494216805
t134,177751.9402346994,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-176909.478751236,113287.8584298735,0.0,0.0,5457.102636186685,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-109985.44248343798,40167.578660667044,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-45277.99585251204
t135,182582.36867211046,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-181739.907188647,112850.21303856789,0.0,0.0,8262.880876360441,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-112353.57533230612,40608.36532735753,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-45718.782519202505
t136,182125.9590737591,0.0,0.0,3601.9779797681786,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-184885.4755700638,107186.96000894094,0.0,0.0,15589.276946098214,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-114016.71837241693,40781.84762991039,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-45892.26482175538
t137,172700.7838634649,0.0,0.0,14092.494256395468,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-185950.81663639692,98951.94224887744,0.0,0.0,24495.00196810911,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-114687.42563436436,40589.77793779829,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-45700.19512964327
t138,178529.9191115476,0.0,0.0,7008.605594005785,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-184696.06322208996,89399.73735446666,0.0,0.0,33053.01300503295,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-113693.23177687741,39288.55059396143,0.0,0.0,722.3629261349038,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-45121.33071194133
t139,139757.9834548482,0.0,0.0,42108.09223322149,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-181023.61420460625,91490.17265259227,0.0,0.0,28459.95178978497,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-111190.60585975506,38978.87084266445,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-44089.28803450942
t140,137491.72669804306,0.0,0.0,38381.80549190285,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-175031.07070648248,99776.4434244547,0.0,0.0,16827.177025479737,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-107844.10186731222,37793.70347981597,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-42904.12067166095
t141,144474.11509333045,0.0,0.0,25507.78323365681,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-169139.4368435238,107780.81028328375,0.0,0.0,6389.628382809917,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-105410.92008347146,37216.60928969111,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-42327.02648153608
