,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand
t19,98985.09563332457,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-421.2307417317401,-0.0,-0.0,-162893.79212933022,94434.07731651484,0.0,0.0,28634.06109610598,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-1844.832346983,-445.00886983920424,-0.0,-100127.01267643864,25300.89766306523,503.97197847698277,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-36348.08283998161
t20,94736.33323986453,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-229.53195880271366,-0.0,-0.0,-158836.7285187992,100904.37313508149,0.0,0.0,14219.184109832298,-0.0,0.0,-0.0,0.0,0.0,-16195.486476606877,-589.0818660999935,-1844.832346983,-445.00886983920424,-0.0,-96049.1476853847,29084.705946707123,0.0,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-3960.5135233931223,-93.79734673999356,-889.7283062866618,-170.17713606835784,-0.0,-35573.608275013416
t21,95082.00944001199,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,15997.025621298915,-393.0878719009049,-650.7627005344538,-0.0,-0.0,-154704.39624597292,101149.70204893533,0.0,0.0,10120.23537702769,-0.0,0.0,-0.0,0.0,0.0,-14564.400577524655,-427.0169134723038,-1844.832346983,-445.00886983920424,-0.0,-93988.67871814383,34212.69413817659,0.0,0.0,3559.881562779533,-0.0,0.0,-0.0,0.0,0.0,-1432.625043774261,-33.929041571398905,-889.7283062866618,-170.17713606835784,-0.0,-35246.11617325544
t22,103249.52645086296,0.0,0.0,26613.468557997276,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-148681.24900603679,87066.59121456514,0.0,0.0,17579.16975779626,-0.0,0.0,-0.0,0.0,0.0,-13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-87874.95787037919,31888.270715562896,0.0,0.0,9284.487194810521,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-33643.1751022184
t23,107815.18292180615,0.0,0.0,11278.603481730248,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-137912.04040071293,90768.50596182552,0.0,0.0,6274.476196108819,-0.0,0.0,-0.0,0.0,0.0,-14455.485870584052,-630.2905223025093,-1844.832346983,-445.00886983920424,-0.0,-79667.36454822557,25861.481848555126,0.0,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-5700.514129415946,-135.00600294250935,-889.7283062866618,-170.17713606835784,-0.0,-30569.17491463607
t24,109302.2800433274,0.0,0.0,7044.3557994021685,-0.0,0.0,-0.0,0.0,0.0,10645.490987844212,-261.5869660282612,-842.4614834634802,-0.0,-0.0,-125888.0783810821,69032.63394121974,0.0,0.0,11484.748140932805,-0.0,0.0,-0.0,0.0,0.0,-4979.597777652875,-395.773037326607,-1844.832346983,-445.00886983920424,-0.0,-72852.17005035077,22994.561988162626,0.0,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-5665.893210191337,-134.18607129834572,-889.7283062866618,-170.17713606835784,-0.0,-27737.69590511235
t25,110852.73814856252,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5849.5172537681065,-143.73761368925204,-842.4614834634802,-0.0,-0.0,-115716.05630517787,79613.93705142032,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-8613.963757416577,-209.20835270208798,-1844.832346983,-445.00886983920424,-0.0,-68500.92372447946,25639.143946313503,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2764.44650364847,-65.47073901283594,-2312.883697982542,-170.17713606835784,-0.0,-25855.058876898234
t26,113737.17005895573,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-24943.18732551912,-0.0,-0.0,-108454.69821407662,94986.28283201727,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-65575.47973003508,26005.95165582153,0.0,0.0,0.0,-1565.545094948353,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-24672.546855415367
t27,109638.14922206427,0.0,0.0,0.0,-394.48562510863144,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-103529.97716675723,98534.57257847532,0.0,0.0,0.0,-5054.084687108051,0.0,-0.0,0.0,0.0,-26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-64069.68478938508,24284.26787348173,0.0,0.0,0.0,-500.6157437015778,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-24015.792424322335
t28,106344.13468995575,0.0,0.0,0.0,-83.92235562704953,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-100546.52590413026,93568.39185754648,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-64157.58875556429,23030.690988682334,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5157.547382445784,-170.17713606835784,-0.0,-23873.28910436819
t29,105734.5271084987,0.0,0.0,404.9245148946804,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-100425.76519319498,91839.82959757558,0.0,0.0,4277.777279168255,-0.0,0.0,-0.0,0.0,0.0,-26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-66706.80377476162,27323.26709737965,0.0,0.0,0.0,-3128.0370559306853,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-24427.37033599115
t30,123928.40988255345,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4804.534041056302,-118.05970099589844,-25374.401910838445,-0.0,-0.0,-103240.48231177541,84443.04701962156,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-11124.534041056302,-267.7370667958985,-1844.832346983,-445.00886983920424,-0.0,-70760.93469494717,35863.35131684055,0.0,0.0,0.0,-10013.843604619498,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-26081.648006763215
t31,179189.9198661598,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-879.2656011511361,-21.605806740222363,-25374.401910838445,-0.0,-0.0,-108245.43479033261,100812.54349321031,0.0,0.0,0.0,-16094.045779965501,0.0,-0.0,0.0,0.0,-5440.734398848864,-171.28317254022238,-1844.832346983,-445.00886983920424,-0.0,-76816.63892503352,40406.25106535702,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-29035.272719104778
t32,190562.0928088606,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-6433.415549929047,-158.0854896055645,-25374.401910838445,-0.0,-0.0,-113926.9781013902,116883.43207419246,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,572.0603416347423,-296.9007123263876,-1844.832346983,-445.00886983920424,-0.0,-81815.73748164567,43661.614651216805,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,5861.355208294305,-138.81522272082307,-5768.005203589455,-170.17713606835784,-0.0,-31842.85365633805
t33,191020.20505221197,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-120976.59138427618,126784.39793183703,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-5696.949467442663,-134.92158059850172,-1844.832346983,-445.00886983920424,-0.0,-85609.67266194073,45559.60511684049,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,5696.949467442663,-134.92158059850172,-5768.005203589455,-170.17713606835784,-0.0,-33580.33202323241
t34,197953.1932649481,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-127909.57959701233,130219.34506752055,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-5859.77101706344,-138.77770411791812,-1844.832346983,-445.00886983920424,-0.0,-88877.94212448406,46564.56432266275,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,5859.77101706344,-138.77770411791812,-5768.005203589455,-170.17713606835784,-0.0,-34744.256655156045
t35,173432.35263560395,0.0,0.0,0.0,-13143.42276535011,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-134914.5279594154,119128.81361304983,0.0,0.0,0.0,-19264.745442623946,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-91104.54958780367,46543.672567159054,0.0,0.0,0.0,-11114.57832162285,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-35661.23454007839
t36,202977.33377784194,0.0,0.0,0.0,-36592.469389827966,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-141010.46247717555,131102.3476522986,0.0,0.0,0.0,-29418.667381962856,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-92924.1616877135,43348.33434087135,0.0,0.0,0.0,-7470.48740454786,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-36109.98723086568
t37,184002.40608168158,0.0,0.0,0.0,-10358.055656652647,0.0,-0.0,0.0,0.0,-2079.368917408919,-51.09541748516571,-25374.401910838445,-0.0,-0.0,-146139.48417929639,103319.39475291723,0.0,0.0,0.0,-1796.028701196886,0.0,-0.0,0.0,0.0,-4240.631082591081,-200.77278328516573,-1844.832346983,-445.00886983920424,-0.0,-94792.12096902188,42401.178284122456,0.0,0.0,0.0,-6223.277773485548,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-36410.040805179066
t38,182743.23540157807,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6558.6829682257885,-161.1636307577063,-25374.401910838445,-0.0,-0.0,-150648.98689175613,98522.78496758644,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,238.68296822578827,-310.8409965577063,-1844.832346983,-445.00886983920424,-0.0,-96160.78572243231,41101.385985798646,0.0,0.0,0.0,-4800.454658555381,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-36533.07162178544
t39,186039.57976469368,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-19469.468073007418,-478.4146723920591,-12365.793383159846,-0.0,-0.0,-153725.90363613438,87642.49920527216,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,13149.468073007416,-628.0920381920591,-1844.832346983,-445.00886983920424,-0.0,-97874.03402326527,40080.94305432595,0.0,0.0,0.0,-3871.178447301809,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-36441.904901566326
t40,187584.701926056,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-10971.786361944865,-0.0,-0.0,-155961.63104475115,78179.3132581962,0.0,0.0,3819.5222119710133,-0.0,0.0,-0.0,0.0,0.0,20296.917344322694,-498.6218827925557,-1844.832346983,-445.00886983920424,-0.0,-99507.28971487515,37492.05525247149,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-140.91734432269365,-3.337363432555755,-889.7283062866618,-170.17713606835784,-0.0,-36287.895102361224
t41,178775.80219960114,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20144.211367824566,-494.9948424885512,-842.4614834634802,-0.0,-0.0,-157294.13450582462,70171.43148065524,0.0,0.0,12795.747890496408,-0.0,0.0,-0.0,0.0,0.0,20144.211367824566,-494.9948424885512,-1844.832346983,-445.00886983920424,-0.0,-100326.55467966547,36495.18582252734,0.0,0.0,705.6858332920785,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-36140.9662134644
t42,154290.9639159702,0.0,0.0,22914.397918390507,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-421.2307417317401,-0.0,-0.0,-156132.84657326897,59727.208519095635,0.0,0.0,22005.727727199122,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-1844.832346983,-445.00886983920424,-0.0,-99103.81051011254,28924.45631462067,503.97197847698277,0.0,7171.45110030645,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-35539.97395104908
t43,107891.26830569582,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-152560.48006279324,65640.22888087621,0.0,0.0,33053.01300503295,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-96403.40066908694,24951.636049064324,83.33584755057319,0.0,10730.24519420063,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-34705.311648460505
