Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor
NE_natural_gas_fired_combined_cycle_3,3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.0,3654.171428571426,0.8342857142857137
NE_natural_gas_fired_combined_cycle_4,3,1138.2,0.0,0.0,1138.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.970632000000002e6,3.823338213075478e6,0.38345996653727443
NE_natural_gas_fired_combustion_turbine_1,3,160.803,0.0,0.0,160.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40863428e6,98269.0104857143,0.06976190476190477
NE_natural_gas_fired_combustion_turbine_2,3,1799.501,0.0,0.0,1799.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576362876e7,1.1522461974571429e6,0.0730952380952381
NE_nuclear_1,3,1301.1,0.0,0.0,1301.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1397635999999998e7,9.61873720746761e6,0.8439238810107298
NE_onshore_wind_turbine_1,3,3654.5,0.0,0.0,3654.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2013420000000004e7,6.144407085953256e6,0.1919322298571429
NE_small_hydroelectric_1,3,686.784,0.0,0.0,686.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01622784e6,2.8865110787620195e6,0.4797875272559524
NE_solar_photovoltaic_1,3,1629.6,0.0,0.0,1629.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4275296e7,3.029830956916032e6,0.2122429515238095
SE_conventional_hydroelectric_1,1,11076.858,0.0,0.0,11076.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.703327608e7,1.4981109367037246e7,0.1543914621071428
SE_hydroelectric_pumped_storage_1,1,6375.986,0.0,0.0,6375.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.585363736e7,0.0,0.0
SE_natural_gas_fired_combined_cycle_1,1,23768.392,0.0,0.0,23768.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0821111392e8,2.8918831631744925e7,0.13889187319201549
SE_natural_gas_fired_combined_cycle_2,1,9303.498,0.0,0.0,9303.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.149864247999999e7,7.461741583052441e6,0.09155663647874349
SE_natural_gas_fired_combined_cycle_3,1,267.999,267.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_natural_gas_fired_combined_cycle_4,1,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332880.0,255366.51428571442,0.7671428571428576
SE_natural_gas_fired_combustion_turbine_1,1,5678.002,4713.888226440661,0.0,964.1137735593395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.445636656379815e6,86467.23243436473,0.010238095238095234
SE_natural_gas_fired_combustion_turbine_2,1,349.797,349.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_nuclear_1,1,4571.0,0.0,0.0,4571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004196e7,2.958764315323111e7,0.7389159559929412
SE_nuclear_2,1,2228.0,0.0,0.0,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9517280000000004e7,1.4587805219090816e7,0.7474302371586007
SE_small_hydroelectric_1,1,279.734,0.0,0.0,279.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45046984e6,378331.6214470564,0.15439146210714288
SE_solar_photovoltaic_1,1,8502.2,0.0,0.0,8502.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4479272e7,1.3745068655824991e7,0.18454891255952383
SE_naturalgas_ccccsavgcf_conservative_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_battery_moderate_0,1,0.0,0.0,44669.21175709736,44669.21175709736,0.0,0.0,219669.13125300256,219669.13125300256,0.0,0.0,0.0,0.0,3.9130229499217284e8,7.378600819589207e7,0.18856523240521242
SE_nuclear_mid_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_naturalgas_ccs100_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_naturalgas_ccccsavgcf_conservative_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_battery_moderate_0,2,0.0,0.0,33053.01300503295,33053.01300503295,0.0,0.0,152473.92421518022,152473.92421518022,0.0,0.0,0.0,0.0,2.8954439392408866e8,5.142379928101415e7,0.17760246912083605
MIDAT_nuclear_mid_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_naturalgas_ccs100_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_naturalgas_ccccsavgcf_conservative_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_naturalgas_ccavgcf_moderate_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_naturalgas_ctavgcf_moderate_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_battery_moderate_0,3,0.0,0.0,11603.118640794424,11603.118640794424,0.0,0.0,87492.45325445996,87492.45325445996,0.0,0.0,0.0,0.0,1.0164331929335915e8,2.3233356689173583e7,0.2285773118262533
NE_nuclear_mid_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_naturalgas_ccs100_moderate_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_offshorewind_class10_moderate_floating_1_250_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_offshorewind_class10_moderate_floating_1_250_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_5,1,0.0,0.0,139984.96636173877,139984.96636173877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2262683053288314e9,4.3581751141872054e8,0.3554014317460919
SE_utilitypv_class1_moderate_70_0_2_6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_utilitypv_class1_moderate_70_0_2_8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_2,2,0.0,0.0,36494.37008986512,36494.37008986512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1969068198721844e8,9.237860770626736e7,0.28896246563095246
MIDAT_utilitypv_class1_moderate_70_0_2_3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_utilitypv_class1_moderate_70_0_2_7,2,0.0,0.0,50781.60154040492,50781.60154040492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.448468294939471e8,1.2665198841430677e8,0.28470920779267933
NE_utilitypv_class1_moderate_70_0_2_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_utilitypv_class1_moderate_70_0_2_2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_utilitypv_class1_moderate_70_0_2_3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_utilitypv_class1_moderate_70_0_2_4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_utilitypv_class1_moderate_70_0_2_5,3,0.0,0.0,33312.800341380775,33312.800341380775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9182013099049556e8,6.960182190706085e7,0.23850932309165382
NE_utilitypv_class1_moderate_70_0_2_6,3,0.0,0.0,10723.036616589592,10723.036616589592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.393380076132484e7,2.3271672127301697e7,0.24774545412500004
NE_utilitypv_class1_moderate_70_0_2_7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_landbasedwind_class4_moderate_70_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_landbasedwind_class4_moderate_70_2,1,0.0,0.0,20182.0,20182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679431999999997e8,4.621156967336093e7,0.26138605399404763
SE_landbasedwind_class4_moderate_70_3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_landbasedwind_class4_moderate_70_4,1,0.0,0.0,45864.99530758336,45864.99530758336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.017773588944303e8,1.5121642913457593e8,0.37636871711904774
SE_landbasedwind_class4_moderate_70_5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_landbasedwind_class4_moderate_70_6,1,0.0,0.0,117168.0,117168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02639168e9,4.388846131822277e8,0.4275995428784337
SE_landbasedwind_class4_moderate_70_7,1,0.0,0.0,54525.124127172574,54525.124127172574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7764008735403174e8,1.7472578150469616e8,0.3658105467500001
SE_landbasedwind_class4_moderate_70_8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_landbasedwind_class4_moderate_70_1,2,0.0,0.0,1384.0,1384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123839999999998e7,4.895026321202914e6,0.4037521380357143
MIDAT_landbasedwind_class4_moderate_70_2,2,0.0,0.0,25176.0,25176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2054175999999997e8,7.562240768882522e7,0.3428938251369048
MIDAT_landbasedwind_class4_moderate_70_3,2,0.0,0.0,10379.0,10379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.092004e7,2.625846527311907e7,0.2888083339285714
MIDAT_landbasedwind_class4_moderate_70_4,2,0.0,0.0,66654.88772953115,66654.88772953115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83896816510693e8,1.847371723364454e8,0.31638667503004325
MIDAT_landbasedwind_class4_moderate_70_5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_landbasedwind_class4_moderate_70_6,2,0.0,0.0,86257.0,86257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.556113200000001e8,2.7557267474621004e8,0.36470162298019837
MIDAT_landbasedwind_class4_moderate_70_7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_landbasedwind_class4_moderate_70_1,3,0.0,0.0,6841.0,6841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.992716e7,2.0678651122951884e7,0.34506309197619045
NE_landbasedwind_class4_moderate_70_2,3,0.0,0.0,10960.0,10960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60096e7,3.76750627061291e7,0.3924093289226191
NE_landbasedwind_class4_moderate_70_3,3,0.0,0.0,40109.892978737604,40109.892978737604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5136266249374145e8,1.2154022784872606e8,0.3459110509526349
NE_landbasedwind_class4_moderate_70_4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_landbasedwind_class4_moderate_70_5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE_landbasedwind_class4_moderate_70_6,3,0.0,0.0,1111.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73236e6,4.169167315740837e6,0.4283819459761904
NE_landbasedwind_class4_moderate_70_7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,145676.648,6116.880286669108,847235.0184959286,986794.7862092594,0.0,0.0,459635.5087226427,459635.5087226427,0.0,0.0,0.0,0.0,8.644322327193113e9,2.702266581163795e9,-
