Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuelv1,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
DE0 0 OCGT,2,1,0,0,0,0,0,0,0,0,15971,0,0,-1,0,0,15971,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_DE0 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 biomass,2,1,0,0,0,0,0,0,0,0,8400,0,0,-1,0,0,8400,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,biomass_DE0 0,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 coal,2,1,0,0,0,0,0,0,0,0,23499,0,0,-1,0,0,23499,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_DE0 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 lignite,2,1,0,0,0,0,0,0,0,0,20487,0,0,-1,0,0,20487,0,0,75785.23399,0,0,30000,0,0,7,0,10,lignite_DE0 0,lignite,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 nuclear,2,1,0,0,0,0,0,0,0,0,8114,0,0,-1,0,0,8114,0,0,289574.7347,0,0,0,0,0,8,0,10.46,None_DE0 0,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 offwind-ac,2,0,0,0,0,0,1,0,1,0,3887,0,0,23451.25998,0,0,3887,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 offwind-dc,2,0,0,0,0,0,1,0,1,0,3887,0,0,66396.72767,0,0,3887,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 oil,2,1,0,0,0,0,0,0,0,0,4184,0,0,-1,0,0,4184,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,None_DE0 0,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 onwind,2,0,0,0,0,0,1,0,1,0,54499,0,0,481373.0662,0,0,54499,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_DE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 ror,2,0,1,0,0,0,0,0,0,0,3814,0,0,-1,0,0,3814,0,0,125442.2265,0,0,60000,0,0,0,0,0,None_DE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DE0 0 solar,2,0,0,0,0,0,1,0,1,0,53302,0,0,358725.6247,0,0,53302,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_DE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
DK0 0 OCGT,3,1,0,0,0,0,0,0,0,0,358.1050901,0,0,-1,0,0,358,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_DK0 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 biomass,3,1,0,0,0,0,0,0,0,0,810.6078944,0,0,-1,0,0,810,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,biomass_DK0 0,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 coal,3,1,0,0,0,0,0,0,0,0,1478.320166,0,0,-1,0,0,1478,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_DK0 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 offwind-ac,3,0,0,0,0,0,1,0,1,0,368.064482,0,0,55133.06476,0,0,368,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DK0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 offwind-dc,3,0,0,0,0,0,1,0,1,0,368.064482,0,0,96338.23622,0,0,368,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DK0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 onwind,3,0,0,0,0,0,1,0,1,0,1940.349345,0,0,60580.10472,0,0,1940,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_DK0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK0 0 solar,3,0,0,0,0,0,1,0,1,0,562.9221489,0,0,38318.77532,0,0,562,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_DK0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK0 0,1
DK3 0 CCGT,4,1,0,0,0,0,0,0,0,0,468.8949099,0,0,-1,0,0,468,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_DK3 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 OCGT,4,1,0,0,0,0,0,0,0,0,468.8949099,0,0,-1,0,0,468,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_DK3 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 biomass,4,1,0,0,0,0,0,0,0,0,1061.392106,0,0,-1,0,0,1061,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,biomass_DK3 0,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 coal,4,1,0,0,0,0,0,0,0,0,1935.679834,0,0,-1,0,0,1935,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_DK3 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 offwind-ac,4,0,0,0,0,0,1,0,1,0,481.935518,0,0,25670.82374,0,0,481,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DK3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 offwind-dc,4,0,0,0,0,0,1,0,1,0,481.935518,0,0,12010.18291,0,0,481,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_DK3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 oil,4,1,0,0,0,0,0,0,0,0,572.652792,0,0,-1,0,0,572,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,None_DK3 0,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
DK3 0 onwind,4,0,0,0,0,0,1,0,1,0,2540.650655,0,0,11589.74646,0,0,2540,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_DK3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DK3 0,1
FR0 0 CCGT,5,1,0,0,0,0,0,0,0,0,6109,0,0,-1,0,0,6109,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_FR0 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 OCGT,5,1,0,0,0,0,0,0,0,0,6109,0,0,-1,0,0,6109,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_FR0 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 coal,5,1,0,0,0,0,0,0,0,0,2977,0,0,-1,0,0,2977,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_FR0 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 nuclear,5,1,0,0,0,0,0,0,0,0,61370,0,0,-1,0,0,61370,0,0,289574.7347,0,0,0,0,0,8,0,10.46,None_FR0 0,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 offwind-ac,5,0,0,0,0,0,1,0,1,0,5,0,0,50683.60004,0,0,5,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_FR0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 offwind-dc,5,0,0,0,0,0,1,0,1,0,5,0,0,18036.21324,0,0,5,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_FR0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 oil,5,1,0,0,0,0,0,0,0,0,2746,0,0,-1,0,0,2746,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,None_FR0 0,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 onwind,5,0,0,0,0,0,1,0,1,0,17217,0,0,917797.734,0,0,17217,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_FR0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 ror,5,0,1,0,0,0,0,0,0,0,9554,0,0,-1,0,0,9554,0,0,125442.2265,0,0,60000,0,0,0,0,0,None_FR0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
FR0 0 solar,5,0,0,0,0,0,1,0,1,0,10213,0,0,552695.7328,0,0,10213,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_FR0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FR0 0,1
GB4 0 CCGT,6,1,0,0,0,0,0,0,0,0,495.6443218,0,0,-1,0,0,495,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_GB4 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 coal,6,1,0,0,0,0,0,0,0,0,137.8952924,0,0,-1,0,0,137,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_GB4 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 offwind-ac,6,0,0,0,0,0,1,0,1,0,145.6826026,0,0,7166.790196,0,0,145,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_GB4 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 offwind-dc,6,0,0,0,0,0,1,0,1,0,145.6826026,0,0,7575.822995,0,0,145,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_GB4 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 oil,6,1,0,0,0,0,0,0,0,0,7.571661583,0,0,-1,0,0,7,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,None_GB4 0,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 onwind,6,0,0,0,0,0,1,0,1,0,333.8240164,0,0,31616.56487,0,0,333,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_GB4 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB4 0 solar,6,0,0,0,0,0,1,0,1,0,322.7540555,0,0,19210.58234,0,0,322,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_GB4 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB4 0,1
GB5 0 CCGT,7,1,0,0,0,0,0,0,0,0,20189.85568,0,0,-1,0,0,20189,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_GB5 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 OCGT,7,1,0,0,0,0,0,0,0,0,20189.85568,0,0,-1,0,0,20189,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_GB5 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 biomass,7,1,0,0,0,0,0,0,0,0,4419.504799,0,0,-1,0,0,4419,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,biomass_GB5 0,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 coal,7,1,0,0,0,0,0,0,0,0,5617.104708,0,0,-1,0,0,5617,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_GB5 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 nuclear,7,1,0,0,0,0,0,0,0,0,8058.178361,0,0,-1,0,0,8058,0,0,289574.7347,0,0,0,0,0,8,0,10.46,None_GB5 0,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 offwind-ac,7,0,0,0,0,0,1,0,1,0,5934.317397,0,0,144220.2523,0,0,5934,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_GB5 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 offwind-dc,7,0,0,0,0,0,1,0,1,0,5934.317397,0,0,120518.9996,0,0,5934,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_GB5 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 oil,7,1,0,0,0,0,0,0,0,0,308.4283384,0,0,-1,0,0,308,0,0,23132.03965,0,0,6000,0,0,0,0,8.681933842,None_GB5 0,oil,650,0,0,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 onwind,7,0,0,0,0,0,1,0,1,0,13598.17598,0,0,398208.7494,0,0,13598,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_GB5 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 ror,7,0,1,0,0,0,0,0,0,0,1873.018929,0,0,-1,0,0,1873,0,0,125442.2265,0,0,60000,0,0,0,0,0,None_GB5 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
GB5 0 solar,7,0,0,0,0,0,1,0,1,0,13147.24594,0,0,260989.9757,0,0,13147,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_GB5 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB5 0,1
NL0 0 CCGT,8,1,0,0,0,0,0,0,0,0,9250,0,0,-1,0,0,9250,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_NL0 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 OCGT,8,1,0,0,0,0,0,0,0,0,9250,0,0,-1,0,0,9250,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_NL0 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 coal,8,1,0,0,0,0,0,0,0,0,4012,0,0,-1,0,0,4012,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_NL0 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 nuclear,8,1,0,0,0,0,0,0,0,0,485,0,0,-1,0,0,485,0,0,289574.7347,0,0,0,0,0,8,0,10.46,None_NL0 0,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 offwind-ac,8,0,0,0,0,0,1,0,1,0,1178.5,0,0,17848.11742,0,0,1178,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_NL0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 offwind-dc,8,0,0,0,0,0,1,0,1,0,1178.5,0,0,132309.1073,0,0,1178,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_NL0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 onwind,8,0,0,0,0,0,1,0,1,0,4500,0,0,46234.37084,0,0,4500,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_NL0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NL0 0 solar,8,0,0,0,0,0,1,0,1,0,7900,0,0,46168.40632,0,0,7900,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_NL0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NL0 0,1
NO3 0 CCGT,9,1,0,0,0,0,0,0,0,0,321,0,0,-1,0,0,321,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_NO3 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
NO3 0 OCGT,9,1,0,0,0,0,0,0,0,0,321,0,0,-1,0,0,321,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_NO3 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
NO3 0 offwind-ac,9,0,0,0,0,0,1,0,1,0,0,0,0,56200.06032,0,0,0,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_NO3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
NO3 0 offwind-dc,9,0,0,0,0,0,1,0,1,0,0,0,0,10281.75006,0,0,0,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_NO3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
NO3 0 onwind,9,0,0,0,0,0,1,0,1,0,3068,0,0,650629.0458,0,0,3068,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_NO3 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO3 0,1
