,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t32,9950.800714576153,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-9950.800714576153,2878.9109628790834,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-36.94368999367329,-2841.9672728854102
t33,10515.12429507329,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10515.12429507329,3036.8619963378546,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3003.824876444712
t34,10867.169731696273,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10867.169731696273,3137.7602427124843,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3104.7231228193423
t35,11166.671073300899,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11166.671073300899,3222.893138091078,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3189.856018197936
t36,11328.506885957433,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11328.506885957433,3261.060321725097,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-24.95927393878867,-3236.1010477863083
t37,11401.017737082764,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11401.017737082764,3290.158635674165,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3257.121515781023
t38,11535.530620329753,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11535.530620329753,3310.723709167545,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-15.76535099603582,-3294.958358171509
t39,11507.156809019842,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11507.156809019842,3310.723709167545,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-24.17353819392165,-3286.550170973623
t40,11446.20565879855,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11446.20565879855,3302.770916470994,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3269.7337965778515
t41,11420.984493189739,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11420.984493189739,3295.413752672844,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3262.3766327797016
t42,11314.845421252661,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11314.845421252661,3264.934074080508,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3231.8969541873653
t43,11086.804048872998,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11086.804048872998,3199.770623296892,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3166.73350340375
t44,10947.319818100317,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3.4357076772469313,-10943.88411042307,3158.780710707199,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3125.743590814057
t45,11021.636259723815,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-10.49570767724693,-11011.140552046567,3224.00836866964,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-79.34635666033996,-3144.6620120093
t46,10543.370585554943,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-15.63570767724693,-10527.734877877696,3116.48430330426,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-109.50635666033997,-3006.9779466439195
t47,9507.165497403164,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-9488.412678414625,2851.075704578784,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-140.48635666033996,-2710.5893479184438
t48,8517.23474725735,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-8498.48192826881,2593.799386650137,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-166.98635666033996,-2426.813029989797
t49,7856.23003192644,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7837.477212937898,2410.9157036529973,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-172.2358622158955,-2238.679841437102
t50,7481.06519349538,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7462.31237450684,2312.6218113243976,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2131.4754546640575
t51,7278.244986724529,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7259.492167735988,2254.8155243389324,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2073.6691676785927
t52,7213.0903089017675,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7194.337489913227,2220.557103143689,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-165.80635666033996,-2054.7507464833493
t53,7353.133136040401,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-15.875707677246927,-7337.257428363154,2206.647015733383,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-110.90635666033994,-2095.740659073043
t54,7901.581008860291,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-7901.581008860291,2306.304619292685,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-48.70635666033996,-2257.598262632345
t55,9061.754626865579,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-9061.754626865579,2621.707753442242,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2588.6706335490994
t56,10147.315629944802,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10147.315629944802,2931.7596563642815,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2898.7225364711394
t57,10659.095115423585,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10659.095115423585,3077.8519089275483,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3044.8147890344057
t58,10951.240283725641,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10951.240283725641,3160.8827575066707,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3127.845637613528
t59,11177.17989230457,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11177.17989230457,3224.99518489055,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3191.9580649974077
t60,11278.064554739813,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11278.064554739813,3254.42384008315,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3221.386720190008
t61,11263.352208134673,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11263.352208134673,3250.2197464842075,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3217.182626591065
t62,11286.47160994275,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11286.47160994275,3256.5258868826218,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3223.4887669894797
t63,11201.350176013013,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11201.350176013013,3232.3523486886997,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3199.3152287955577
t64,11116.228742083276,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11116.228742083276,3175.141690601636,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3175.141690601636
t65,11138.297261990987,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11138.297261990987,3214.484950893193,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3181.4478310000504
t66,11129.89020678805,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11129.89020678805,3212.382904093721,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3179.3457842005787
t67,10960.698220828945,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10960.698220828945,3164.0358277058776,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3130.9987078127356
t68,10796.952824447455,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4.395707677246933,-10792.557116770207,3126.077988085232,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-43.42635666033995,-3082.651631424892
t69,10825.950462454797,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-12.37570767724693,-10813.57475477755,3179.3441284836463,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-90.38635666033996,-3088.9577718233063
t70,10499.051781938791,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-17.55570767724693,-10481.496074261544,3115.1920225074305,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-120.82635666033994,-2994.3656658470904
t71,9496.656678399495,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-9477.903859410955,2865.962634379577,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-158.52635666033996,-2707.436277719237
t72,8486.759172146703,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-8468.006353158164,2599.5511994522517,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2418.4048427919115
t73,7786.87182650221,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7768.119007513668,2399.8567535024627,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2218.710396842123
t74,7379.129649159771,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7360.37683017123,2278.9226616873525,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-176.87586221589552,-2102.0467994714572
t75,7124.816229270931,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7106.06341028239,2210.672541550032,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2029.5261848896916
t76,7046.000086743397,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7027.247267754857,2162.272161266693,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-154.81746777145105,-2007.4546934952418
t77,7175.804976778727,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-15.095707677246931,-7160.70926910148,2142.769003657179,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-97.47746777145106,-2045.291535885728
t78,7665.555991132146,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3.576055555555513,-7661.979935576591,2220.791911191476,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-32.56119294168897,-2188.230718249787
t79,8810.593852677841,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-8810.593852677841,2549.187138860477,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2516.1500189673343
t80,9871.984572048621,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-9871.984572048621,2852.9329013841016,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2819.8957814909595
t81,10422.646687840985,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10422.646687840985,3010.5864113444613,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-2977.549291451319
t82,10742.114785552587,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-10742.114785552587,3102.0254471214694,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3068.9883272283273
t83,11000.631733042896,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11000.631733042896,3175.5970851029706,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3142.5599652098285
t84,11112.02521448181,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11112.02521448181,3207.127787095042,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3174.0906672019
t85,11151.958726695759,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11151.958726695759,3198.2878540535785,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-13.686952854321076,-3184.6009011992574
t86,11238.131042525862,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-11238.131042525862,3243.9136060857927,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.03711989314236,-3210.8764861926506
