Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery,Total
Zone,z1,z1,z2,z2,z2,z1,z2,0
t21,11564.520870949356,0.0,3307.5166820562727,0.0,0.0,15.725089116145341,0.0,14887.762642121776
t22,11564.924354890498,0.0,3307.5799256536434,0.0,0.0,15.725089116145341,0.0,14888.229369660286
t23,11566.025582010772,0.0,3307.863272673564,0.0,0.0,15.725089116145341,0.0,14889.613943800483
t24,11567.085921848242,0.0,3308.144927412688,0.0,0.0,15.725089116145341,0.0,14890.955938377076
t25,11567.772147729182,0.0,3308.339617765039,0.0,0.0,15.725089116145341,0.0,14891.836854610367
t26,11568.19250048933,0.0,3308.4594344326088,0.0,0.0,15.725089116145341,0.0,14892.377024038084
t27,11568.389015404699,0.0,3308.5161896961945,0.0,0.0,15.725089116145341,0.0,14892.630294217039
t28,11568.467831547225,0.0,3308.538261187589,0.0,0.0,15.725089116145341,0.0,14892.731181850959
t29,11568.295486915566,0.0,3308.5287249265552,0.0,0.0,15.725089116145341,0.0,14892.549300958266
t30,11567.812081241396,0.0,3308.4044790224357,0.0,0.0,15.725089116145341,0.0,14891.941649379978
t31,11566.606780639684,0.0,3308.102312323923,0.0,0.0,15.725089116145341,0.0,14890.434182079753
t32,11565.551471218489,0.0,3307.844798204666,0.0,0.0,15.725089116145341,0.0,14889.1213585393
t33,11564.987147637992,0.0,3307.6868471712073,0.0,0.0,15.725089116145341,0.0,14888.399083925346
t34,11564.635102201368,0.0,3307.585948924833,0.0,0.0,15.725089116145341,0.0,14887.946140242346
t35,11564.335600859764,0.0,3307.500816029454,0.0,0.0,15.725089116145341,0.0,14887.561506005364
t36,11564.173765047108,0.0,3307.4626488458202,0.0,0.0,15.725089116145341,0.0,14887.361503009073
t37,11564.101254195983,0.0,3307.433550531871,0.0,0.0,15.725089116145341,0.0,14887.259893843999
t38,11563.966741312735,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.104815887258
t39,11563.995115124044,0.0,3307.4129854583775,0.0,0.0,15.725089116145341,0.0,14887.133189698567
t40,11564.056066274266,0.0,3307.420938251074,0.0,0.0,15.725089116145341,0.0,14887.202093641486
t41,11564.081287439874,0.0,3307.4282954148725,0.0,0.0,15.725089116145341,0.0,14887.234671970893
t42,11564.187426511811,0.0,3307.4587750934647,0.0,0.0,15.725089116145341,0.0,14887.371290721421
t43,11564.415467884191,0.0,3307.5239385442483,0.0,0.0,15.725089116145341,0.0,14887.664495544584
t44,11564.554952114964,0.0,3307.564928456838,0.0,0.0,15.725089116145341,0.0,14887.844969687947
t45,11564.48063567334,0.0,3307.4997007988754,0.0,0.0,15.725089116145341,0.0,14887.705425588361
t46,11564.958901347509,0.0,3307.607224864241,0.0,0.0,15.725089116145341,0.0,14888.291215327896
t47,11565.995106435661,0.0,3307.8726334629664,0.0,0.0,15.725089116145341,0.0,14889.592829014773
t48,11566.985037185807,0.0,3308.129909780895,0.0,0.0,15.725089116145341,0.0,14890.840036082847
t49,11567.646041901138,0.0,3308.3127934638924,0.0,0.0,15.725089116145341,0.0,14891.683924481176
t50,11568.02120673957,0.0,3308.411087356221,0.0,0.0,15.725089116145341,0.0,14892.157383211936
t51,11568.22402694634,0.0,3308.4688936432062,0.0,0.0,15.725089116145341,0.0,14892.418009705692
t52,11568.289181624163,0.0,3308.5031520644015,0.0,0.0,15.725089116145341,0.0,14892.51742280471
t53,11568.149138797024,0.0,3308.517062151812,0.0,0.0,15.725089116145341,0.0,14892.391290064981
t54,11567.600690924204,0.0,3308.4174045482523,0.0,0.0,15.725089116145341,0.0,14891.743184588602
t55,11566.440517306199,0.0,3308.102001414103,0.0,0.0,15.725089116145341,0.0,14890.267607836447
t56,11565.35495630312,0.0,3307.791949511181,0.0,0.0,15.725089116145341,0.0,14888.871994930447
t57,11564.843176817642,0.0,3307.6458572586175,0.0,0.0,15.725089116145341,0.0,14888.214123192405
t58,11564.551031649338,0.0,3307.5628264100383,0.0,0.0,15.725089116145341,0.0,14887.838947175522
t59,11564.32509204076,0.0,3307.4987139826544,0.0,0.0,15.725089116145341,0.0,14887.54889513956
t60,11564.224207378325,0.0,3307.469285327462,0.0,0.0,15.725089116145341,0.0,14887.418581821934
t61,11564.23891972493,0.0,3307.473489421061,0.0,0.0,15.725089116145341,0.0,14887.437498262138
t62,11564.215800323122,0.0,3307.4671832806625,0.0,0.0,15.725089116145341,0.0,14887.408072719929
t63,11564.30092175705,0.0,3307.4913568188563,0.0,0.0,15.725089116145341,0.0,14887.517367692053
t64,11564.386043190982,0.0,3307.5485674769434,0.0,0.0,15.725089116145341,0.0,14887.659699784072
t65,11564.363974671074,0.0,3307.509224216652,0.0,0.0,15.725089116145341,0.0,14887.598288003872
t66,11564.372381726276,0.0,3307.5113262634513,0.0,0.0,15.725089116145341,0.0,14887.608797105873
t67,11564.541573712235,0.0,3307.5596733398393,0.0,0.0,15.725089116145341,0.0,14887.82633616822
t68,11564.705319108618,0.0,3307.5976311794598,0.0,0.0,15.725089116145341,0.0,14888.028039404224
t69,11564.67632147061,0.0,3307.5443650390616,0.0,0.0,15.725089116145341,0.0,14887.945775625816
t70,11565.003220151126,0.0,3307.6085171450377,0.0,0.0,15.725089116145341,0.0,14888.33682641231
t71,11566.005615254666,0.0,3307.8577465331655,0.0,0.0,15.725089116145341,0.0,14889.588450903977
t72,11567.015512760918,0.0,3308.1241579680927,0.0,0.0,15.725089116145341,0.0,14890.864759845157
t73,11567.715400106563,0.0,3308.323852414043,0.0,0.0,15.725089116145341,0.0,14891.764341636752
t74,11568.123142283905,0.0,3308.444786505858,0.0,0.0,15.725089116145341,0.0,14892.293017905908
t75,11568.377455703794,0.0,3308.513036625995,0.0,0.0,15.725089116145341,0.0,14892.615581445934
t76,11568.45627184632,0.0,3308.5614370062785,0.0,0.0,15.725089116145341,0.0,14892.742797968745
t77,11568.326466956285,0.0,3308.580940163888,0.0,0.0,15.725089116145341,0.0,14892.632496236318
t78,11567.836715941932,0.0,3308.5029172563536,0.0,0.0,15.725089116145341,0.0,14892.064722314431
t79,11566.691678080386,0.0,3308.174522028685,0.0,0.0,15.725089116145341,0.0,14890.591289225216
t80,11565.630287361017,0.0,3307.870776266161,0.0,0.0,15.725089116145341,0.0,14889.226152743324
t81,11565.079625245224,0.0,3307.713122756201,0.0,0.0,15.725089116145341,0.0,14888.51783711757
t82,11564.760157147512,0.0,3307.621683720424,0.0,0.0,15.725089116145341,0.0,14888.106929984082
t83,11564.501640200022,0.0,3307.548112082442,0.0,0.0,15.725089116145341,0.0,14887.77484139861
t84,11564.390246718584,0.0,3307.51658138045,0.0,0.0,15.725089116145341,0.0,14887.63191721518
t85,11564.350313206369,0.0,3307.5254213134917,0.0,0.0,15.725089116145341,0.0,14887.600823636007
t86,11564.264140890538,0.0,3307.4797955614595,0.0,0.0,15.725089116145341,0.0,14887.469025568143
t87,11564.235767079228,0.0,3307.4724383976613,0.0,0.0,15.725089116145341,0.0,14887.433294593035
t88,11564.224207378325,0.0,3307.469285327462,0.0,0.0,15.725089116145341,0.0,14887.418581821934
t89,11564.20844414982,0.0,3307.4970673303565,0.0,0.0,15.725089116145341,0.0,14887.43060059632
t90,11564.292514701849,0.0,3307.489254772057,0.0,0.0,15.725089116145341,0.0,14887.506858590052
t91,11564.55523517694,0.0,3307.5638774334384,0.0,0.0,15.725089116145341,0.0,14887.844201726524
t92,11564.80117847965,0.0,3307.632457787853,0.0,0.0,15.725089116145341,0.0,14888.15872538365
t93,11564.76551555024,0.0,3307.575009600655,0.0,0.0,15.725089116145341,0.0,14888.065614267041
t94,11564.986055158819,0.0,3307.5993420280392,0.0,0.0,15.725089116145341,0.0,14888.310486303004
t95,11566.006666136565,0.0,3307.8605295565653,0.0,0.0,15.725089116145341,0.0,14889.592284809276
t96,11567.054395391231,0.0,3308.1348282020904,0.0,0.0,15.725089116145341,0.0,14890.914312709467
t97,11567.79211448529,0.0,3308.3459239054373,0.0,0.0,15.725089116145341,0.0,14891.863127506873
t98,11568.254502521451,0.0,3308.477301830404,0.0,0.0,15.725089116145341,0.0,14892.456893468001
t99,11568.498307122336,0.0,3308.5477203981864,0.0,0.0,15.725089116145341,0.0,14892.771116636668
t100,11568.586581201967,0.0,3308.5851849597802,0.0,0.0,15.725089116145341,0.0,14892.896855277893
t101,11568.476712186139,0.0,3308.629889988766,0.0,0.0,15.725089116145341,0.0,14892.83169129105
t102,11568.08911495232,0.0,3308.576073644656,0.0,0.0,15.725089116145341,0.0,14892.39027771312
t103,11566.973314429684,0.0,3308.2543998070646,0.0,0.0,15.725089116145341,0.0,14890.952803352895
t104,11565.894058718008,0.0,3307.979487070835,0.0,0.0,15.725089116145341,0.0,14889.598634904989
t105,11565.23830841218,0.0,3307.7583167623893,0.0,0.0,15.725089116145341,0.0,14888.721714290714
t106,11564.808497714928,0.0,3307.63639804802,0.0,0.0,15.725089116145341,0.0,14888.169984879094
t107,11564.484826089616,0.0,3307.5439079888433,0.0,0.0,15.725089116145341,0.0,14887.753823194606
t108,11564.330346450262,0.0,3307.4997650060545,0.0,0.0,15.725089116145341,0.0,14887.555200572462
t109,11564.284107646645,0.0,3307.486101701858,0.0,0.0,15.725089116145341,0.0,14887.495298464648
t110,11564.192680921315,0.0,3307.4682669510917,0.0,0.0,15.725089116145341,0.0,14887.386036988551
t111,11564.192680921315,0.0,3307.4598261168644,0.0,0.0,15.725089116145341,0.0,14887.377596154325
t112,11564.220003850724,0.0,3307.468234304062,0.0,0.0,15.725089116145341,0.0,14887.413327270931
t113,11564.246275898233,0.0,3307.4755914678603,0.0,0.0,15.725089116145341,0.0,14887.44695648224
t114,11564.41021347469,0.0,3307.521836497449,0.0,0.0,15.725089116145341,0.0,14887.657139088285
t115,11564.75385185611,0.0,3307.653669816917,0.0,0.0,15.725089116145341,0.0,14888.132610789173
t116,11565.079260419447,0.0,3307.720198139074,0.0,0.0,15.725089116145341,0.0,14888.524547674666
t117,11565.127188042066,0.0,3307.685249893829,0.0,0.0,15.725089116145341,0.0,14888.537527052042
t118,11565.313799429834,0.0,3307.7063431106158,0.0,0.0,15.725089116145341,0.0,14888.745231656596
t119,11566.18381876127,0.0,3307.9127846329534,0.0,0.0,15.725089116145341,0.0,14889.82169251037
t120,11567.13636417946,0.0,3308.1577907168844,0.0,0.0,15.725089116145341,0.0,14891.01924401249
t121,11567.884592092521,0.0,3308.3735994904305,0.0,0.0,15.725089116145341,0.0,14891.983280699098
t122,11568.33647130968,0.0,3308.500424345198,0.0,0.0,15.725089116145341,0.0,14892.561984771024
t123,11568.588682965767,0.0,3308.57399598318,0.0,0.0,15.725089116145341,0.0,14892.887768065091
t124,11568.729501140417,0.0,3308.6139348723696,0.0,0.0,15.725089116145341,0.0,14893.068525128932
t125,11568.763129361228,0.0,3308.6429940829676,0.0,0.0,15.725089116145341,0.0,14893.131212560342
t126,11568.756899417336,0.0,3308.681332036168,0.0,0.0,15.725089116145341,0.0,14893.163320569649
t127,11568.301069617375,0.0,3308.6048520644013,0.0,0.0,15.725089116145341,0.0,14892.631010797922
t128,11567.50190802557,0.0,3308.415784647224,0.0,0.0,15.725089116145341,0.0,14891.64278178894
t129,11566.638083103468,0.0,3308.158756677689,0.0,0.0,15.725089116145341,0.0,14890.521928897302
t130,11566.050640121162,0.0,3307.990592933731,0.0,0.0,15.725089116145341,0.0,14889.766322171039
t131,11565.735375551052,0.0,3307.9002049213536,0.0,0.0,15.725089116145341,0.0,14889.360669588552
t132,11565.620829423913,0.0,3307.8686742193618,0.0,0.0,15.725089116145341,0.0,14889.214592759421
t133,11565.622931187714,0.0,3307.8686742193618,0.0,0.0,15.725089116145341,0.0,14889.216694523222
t134,11565.712256149245,0.0,3307.893898780955,0.0,0.0,15.725089116145341,0.0,14889.331244046345
t135,11565.793174055572,0.0,3307.9170212957492,0.0,0.0,15.725089116145341,0.0,14889.435284467467
t136,11565.81419169358,0.0,3307.956364556041,0.0,0.0,15.725089116145341,0.0,14889.495645365767
t137,11565.783716118469,0.0,3307.9479563688433,0.0,0.0,15.725089116145341,0.0,14889.456761603458
t138,11565.760596716662,0.0,3307.9075620851518,0.0,0.0,15.725089116145341,0.0,14889.39324791796
t139,11565.879346371403,0.0,3307.942245857343,0.0,0.0,15.725089116145341,0.0,14889.546681344891
t140,11566.060098058266,0.0,3308.0090370810112,0.0,0.0,15.725089116145341,0.0,14889.794224255424
t141,11565.983884145164,0.0,3307.956887322568,0.0,0.0,15.725089116145341,0.0,14889.665860583878
t142,11566.0821214533,0.0,3307.9601959777606,0.0,0.0,15.725089116145341,0.0,14889.767406547207
t143,11566.744385230622,0.0,3308.0988422365126,0.0,0.0,15.725089116145341,0.0,14890.568316583282
t144,11567.559869585308,0.0,3308.301978407854,0.0,0.0,15.725089116145341,0.0,14891.586937109307
t145,11568.198805780732,0.0,3308.464756479408,0.0,0.0,15.725089116145341,0.0,14892.388651376286
t146,11568.600242666671,0.0,3308.5874380299792,0.0,0.0,15.725089116145341,0.0,14892.912769812796
t147,11568.839843739956,0.0,3308.644414550962,0.0,0.0,15.725089116145341,0.0,14893.209347407064
t148,11568.980661914604,0.0,3308.684353440152,0.0,0.0,15.725089116145341,0.0,14893.390104470902
t149,11569.009035725914,0.0,3308.7081326507496,0.0,0.0,15.725089116145341,0.0,14893.44225749281
t150,11569.060528939031,0.0,3308.748939367235,0.0,0.0,15.725089116145341,0.0,14893.534557422412
t151,11568.819939685658,0.0,3308.721597387164,0.0,0.0,15.725089116145341,0.0,14893.266626188968
t152,11568.228146120548,0.0,3308.5988405730072,0.0,0.0,15.725089116145341,0.0,14892.5520758097
t153,11567.469330686657,0.0,3308.396287966029,0.0,0.0,15.725089116145341,0.0,14891.590707768832
t154,11566.886091231954,0.0,3308.2291752454707,0.0,0.0,15.725089116145341,0.0,14890.840355593571
t155,11566.52879138583,0.0,3308.1272259756965,0.0,0.0,15.725089116145341,0.0,14890.381106477673
