Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery
Zone,z1,z1,z2,z2,z2,z1,z2
t40,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t41,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t42,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t43,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t44,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t45,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t46,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t47,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t48,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t49,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t50,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t51,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t52,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t53,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t54,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t55,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t56,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t57,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t58,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t59,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t60,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t61,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t62,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t63,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t64,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t65,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t66,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t67,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t68,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t69,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t70,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t71,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t72,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t73,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t74,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t75,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
