Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_3,2,3,0.0,5.248592530478442e9,0.0,5.248592530478442e9
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_4,2,4,0.0,4.700830615865737e10,0.0,4.700830615865737e10
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_5,2,5,0.0,3.21380720265304e10,0.0,3.21380720265304e10
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_6,2,6,0.0,2.503456073404993,0.0,2.503456073404993
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_7,2,7,0.0,1.5100481908510544e9,0.0,1.5100481908510544e9
NE,NE_utilitypv_class1_moderate_70_0_2_1,3,1,0.0,0.0,3.6596990441587876,3.6596990441587876
NE,NE_utilitypv_class1_moderate_70_0_2_2,3,2,0.0,0.0,0.5227885674118377,0.5227885674118377
NE,NE_utilitypv_class1_moderate_70_0_2_3,3,3,0.0,0.0,0.1264985233162945,0.1264985233162945
NE,NE_utilitypv_class1_moderate_70_0_2_4,3,4,0.0,0.0,0.2493989930118299,0.2493989930118299
NE,NE_utilitypv_class1_moderate_70_0_2_5,3,5,0.0,0.0,3.4674974455410706e10,3.4674974455410706e10
NE,NE_utilitypv_class1_moderate_70_0_2_6,3,6,0.0,0.0,0.7777936993717918,0.7777936993717918
NE,NE_utilitypv_class1_moderate_70_0_2_7,3,7,0.0,0.0,5.6858694117687845e9,5.6858694117687845e9
SE,SE_landbasedwind_class4_moderate_70_1,1,1,1.2581047320178688e9,0.0,0.0,1.2581047320178688e9
SE,SE_landbasedwind_class4_moderate_70_2,1,2,5.17271970144554e8,0.0,0.0,5.17271970144554e8
SE,SE_landbasedwind_class4_moderate_70_3,1,3,2.3813869297041674e9,0.0,0.0,2.3813869297041674e9
SE,SE_landbasedwind_class4_moderate_70_4,1,4,1.7377471997684722e9,0.0,0.0,1.7377471997684722e9
SE,SE_landbasedwind_class4_moderate_70_5,1,5,1.3577668118688686e9,0.0,0.0,1.3577668118688686e9
SE,SE_landbasedwind_class4_moderate_70_6,1,6,3.534228284525018e9,0.0,0.0,3.534228284525018e9
