Constraint,CapRes_1,CapRes_2,CapRes_3
t32,3.1141433882502886e-12,7.546468174201141e-13,4.173082602441682e-12
t33,1.7849743765629496e-12,6.877059115600225e-13,4.247514608587563e-12
t34,1.6598386059214557e-12,7.05972585966989e-13,4.028877973929301e-12
t35,2.0576958071911843e-12,8.290771368145312e-13,4.291044251642702e-12
t36,2.7686631386808284e-12,9.736895880351e-13,4.810565585931147e-12
t37,3.666555185923116e-12,1.182813713934822e-12,5.3695870317222035e-12
t38,5.9437625596776504e-12,1.309047185793586e-12,5.966275079831277e-12
t39,6.7501063461799395e-12,1.423850891107776e-12,6.204408227018786e-12
t40,6.665504839126997e-12,1.5726479224887727e-12,7.234492845979138e-12
t41,4.823276618248707e-12,1.8135353653816243e-12,9.387944381260647e-12
t42,1.0476044041362493e-11,4.8963845753999136e-12,1.5099691738943548e-11
t43,2.8907625192990594e-12,2.6350180526972057e-12,9.619334332784976e-12
t44,2.4232840268556824e-12,2.4041772943240228e-12,9.1346934699128e-12
t45,2.2310475835762923e-12,2.3719371011827306e-12,8.446683013670286e-12
t46,2.1445772528905073e-12,2.2401978741557564e-12,7.814997072943341e-12
t47,2.008402497805331e-12,2.084814853859556e-12,7.003981098329656e-12
t48,1.878840308868092e-12,1.965956939271932e-12,6.6624364388634045e-12
t49,1.7842590837199054e-12,1.89477945491303e-12,6.45336954400942e-12
t50,1.7247934045416958e-12,1.8575393671345203e-12,6.442380021555047e-12
t51,1.6868048958859234e-12,1.8463494190474687e-12,6.319389954424567e-12
t52,1.6631716008659775e-12,1.8479706984292037e-12,6.380635330928649e-12
t53,1.6695644173997774e-12,2.059413228091793e-12,7.866991387204604e-12
t54,2.0182599474258914e-12,2.9349385528429067e-12,1.0369614492310774e-11
t55,2.3913930133881776e-12,4.622492389873505e-12,1.839986627299754e-11
t56,2.917688439895399e-12,1.1216095204826524e-11,4.440845010507485e-11
t57,2.1220659908097513e-12,2.240022156647391e-11,2.044302584327441e-10
t58,2.235321110202167e-12,4.943888814736956,34.672394809539576
t59,2.629904334694815e-12,1.361977895168267e-11,43.10003236696812
t60,6.117031961824294e-12,9.768683649141374e-12,43.10003236755218
t61,1.227696632523527e-11,3.464609180127866e-11,43.100032367633645
t62,1.378390557260062e-11,12.98157598687705,43.10003236763774
t63,1.3559191984545825e-11,12.981575986799575,43.10003236761117
t64,1.1449258723761817e-11,12.981575986187494,43.100032367440164
t65,7.278260001701805e-12,118.5756526691525,43.100032366791275
t66,1.3166196845861937e-10,8.86072998125698e-11,3.437058139495714e-11
t67,3.615635633983682e-12,1.379581784430914e-11,9.904471509376456e-12
t68,2.8989178310056353e-12,1.0396162819413542e-11,8.568048466756909e-12
t69,2.6225333811756138e-12,9.571432666938188e-12,8.526709142174418e-12
t70,2.5057024363581583e-12,7.72450749199377e-12,8.444200724327107e-12
t71,2.3158070727677593e-12,6.1009104047623865e-12,7.675094857438806e-12
t72,2.1287678467179626e-12,5.257097798564879e-12,6.725614255915331e-12
t73,1.985925499797708e-12,4.764902452337635e-12,6.255051335732447e-12
t74,1.8961854680102633e-12,4.4929432604336886e-12,6.050366844881342e-12
t75,1.8442633796901767e-12,4.310806140739873e-12,5.86123431399009e-12
t76,1.8158649185020806e-12,4.253417542786943e-12,5.864808385533444e-12
t77,1.8277075577775797e-12,5.512496387060216e-12,7.1461073262769296e-12
t78,2.2730046152926913e-12,6.9633187716208274e-12,2.7955552107413995e-11
t79,3.5622066022881953e-12,2.829904108786651e-11,1.1369988789696716e-10
t80,5.807883847043735e-12,80.28494985265682,5.6151480366651997e-11
t81,1.3568464321805449e-11,119.0275754931805,44.75269030602337
t82,2.408949143832837e-11,128.1086832244541,129.5641318054904
t83,5.074695855975014e-11,128.10868322456994,129.56413180563632
t84,6.006066806623545e-11,128.1086832245952,129.56413180563385
t85,7.091677525818799e-11,128.10868322460985,129.56413180560276
t86,1.468423603279594e-10,128.10868322458367,129.5641318054952
t87,1.483952238774419e-10,128.10868322451415,129.5641318050675
t88,1.4188035938736864e-10,128.10868322418457,42.226032022399565
t89,1.2543262194712465e-10,86.01591195209404,5.6319911016657246e-11
t90,14.130492249557447,2.88291078365711e-11,3.409907547928753e-11
t91,5.564019655756442e-12,5.2737965042320345e-12,2.4167787756041498e-11
t92,4.894162230697755e-12,3.1952478335633304e-12,1.9783305834361584e-11
t93,3.2711988131636648e-12,4.010482304540776e-12,1.851712719098077e-11
t94,3.0282192853255156e-12,3.5362979806738776e-12,1.6771170465711966e-11
t95,2.7477019938225522e-12,3.070049682699947e-12,1.4573208893294333e-11
t96,2.497786065182181e-12,2.818415837529101e-12,1.2414077401598839e-11
t97,2.3205312008365194e-12,2.6783127622158224e-12,1.0911016646314673e-11
t98,2.2184429127401886e-12,2.5997312375697758e-12,1.0253221023580108e-11
t99,2.153886110424058e-12,2.544704268949263e-12,9.700102850766884e-12
t100,2.1144434636373334e-12,2.5152836112727445e-12,9.671392271441004e-12
t101,2.1111430599216457e-12,2.9485907231213497e-12,1.034417841422918e-11
t102,3.701564270052398e-12,2.519878879330107e-12,1.2274021263817642e-11
t103,6.0256572647666276e-12,1.5248456134824216e-12,3.3752825398493254e-11
t104,1.1557148816238066e-11,1.199283244464998e-12,73.51662951541488
t105,32.47790061665669,1.1182922415413471e-12,94.53589271022436
t106,53.473437458527904,1.1300751976861973e-12,94.53589271039682
t107,38.49649854819728,1.3631300437834547e-12,94.53589271040482
t108,36.88896891711179,1.5071588100865458e-12,94.53589271049775
t109,53.47343745846728,1.744068935091545e-12,94.53589271055347
t110,53.473437458573464,9.184616127432188e-12,94.5358927105269
t111,53.473437458582154,16.472065410290863,94.53589270243317
t112,53.47343745859538,8.476260105136883e-12,55.22566304915364
t113,53.47343745858459,5.282720921497923e-12,7.597694353080771e-11
t114,53.473437458487176,5.27161832679481e-12,2.3148372629046062e-11
t115,3.401772863974039e-11,2.282316290359619e-12,1.5455826767545038e-11
t116,6.9989045768012724e-12,2.100510714883546e-12,1.433945751076645e-11
t117,6.072702451799139e-12,2.0599423512566884e-12,1.4281179124109047e-11
t118,5.40588845652408e-12,1.9888325424296818e-12,1.3976996433084044e-11
t119,4.502627562793467e-12,1.887664893325766e-12,1.2739476919694485e-11
t120,3.791507028627868e-12,1.8051565854280602e-12,1.0988672712737574e-11
t121,3.3150479511078648e-12,1.7527494446331937e-12,9.678692660288357e-12
t122,2.9983714148134435e-12,1.715769251067878e-12,8.707690000125871e-12
t123,2.8063644084879982e-12,1.686863557075552e-12,8.040449853340753e-12
t124,2.697316566512662e-12,1.6669263680886814e-12,7.817067200422493e-12
t125,2.6950917884974e-12,1.822861998891893e-12,9.789718179560095e-12
t126,3.1301044563201283e-12,1.860018300021128e-12,8.73891451259939e-12
t127,2.713765768261051e-12,2.2979672466332164e-12,1.3113411123295085e-11
t128,2.124393038108585e-12,1.7175103552120437e-12,1.9792555565206288e-11
t129,1.7199236756479634e-12,1.659908646300014e-12,4.0364014646291025e-11
t130,2.02708912221066e-12,1.992475235685906e-12,9.91183888425401e-11
t131,3.1323510188390028e-12,3.1266518660772783e-12,8.864137047698139e-11
t132,5.548714742717433e-12,3.86693763388539e-12,4.862719476993781e-11
t133,6.640330812853651e-12,5.171085504976424e-12,7.389703912648768e-11
t134,6.713889385625988e-12,6.768733007757201e-12,9.889780655863016e-11
t135,7.26016807851056e-12,6.600355465443013e-12,9.954963786191718e-11
t136,7.513954215057723e-12,5.09975871078359e-12,8.51456333015069e-11
t137,5.069840881650006e-12,4.2202434294664346e-12,6.333832262974437e-11
t138,6.209260633985206e-12,1.2156703845094816e-11,1.948456913571385e-11
t139,1.644219638914543e-11,2.80818591319154e-12,9.480374661545587e-12
t140,5.767158978968486e-12,2.609844567368073e-12,8.993569385367551e-12
t141,5.113845566588023e-12,2.5528975276970147e-12,8.665935058049081e-12
t142,4.5257313040233725e-12,2.4306526513153887e-12,8.314402724092871e-12
t143,3.888968509857122e-12,2.2804338330333758e-12,7.666659184519013e-12
t144,3.350663454097309e-12,2.1568107128866657e-12,6.935373398411671e-12
t145,2.9927977892637783e-12,2.066345635459738e-12,6.480345305182637e-12
t146,2.7820232423667973e-12,2.007491831944447e-12,6.1610762288360344e-12
t147,2.6427134358541664e-12,1.9655506931049486e-12,5.956495118682049e-12
t148,2.557797561745502e-12,1.9555623367367315e-12,5.907839930322943e-12
t149,2.569757609362089e-12,2.1612978224518532e-12,8.580405083341475e-12
t150,4.1524004810598e-12,3.0230719666690164e-12,3.2013024346599025e-11
t151,5.4453818361296236e-11,4.6518896640244855e-12,1.50338008685776e-11
t152,54.25367754709078,3.287570504708605e-11,1.0806240246841353e-11
t153,11.927869992040462,29.665409222673432,1.573348471479582e-11
t154,3.0841545394445774e-11,38.44032074638264,3.776591739267383e-11
t155,36.888968916901376,74.44501652993807,25.92235774207298
t156,128.02594018531374,77.4891425938264,25.92235774209121
t157,128.0259401853341,77.48914259386002,25.92235774207912
t158,128.02594018533412,77.4891425938594,25.922357742053975
t159,128.02594018532935,77.48914259387315,25.922357742021774
t160,128.02594018531278,77.48914259380375,30.971047476199626
t161,128.02594018524124,31.916189577610982,46.50278860523963
t162,64.11585720440651,1.2905385416739726e-11,1.7030121050271194e-11
t163,9.96311672414602e-12,2.995042613711393e-12,1.0729125230755448e-11
t164,5.292127747994593e-12,2.9054478472241728e-12,7.670465377412336e-12
t165,4.968707729798467e-12,2.657605240672518e-12,8.520182983227001e-12
t166,4.4788193594468725e-12,2.488374467720318e-12,7.989414850337573e-12
t167,3.835364626212109e-12,2.309236387295332e-12,7.1991106960952766e-12
t168,3.298333153744305e-12,2.164473192224684e-12,6.6227441136652625e-12
