Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
t20,0.0,0.0,1.7652882219608185e-7,8.060538073955564e-8,3.0365625617358996e-8,1.0668057237133036e-8,2.708353459481778e-8,2.0278528479499757e-7,1.7254078310761547e-10,1.327533239435512e-10,0.0,0.0,7.2040046912026325e-9,2.0771296009570555e-8,1.9214038460461147e-8,0.0,1.1079607299230781e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.756421345212227e-7
t21,0.0,0.0,5.693301978816147e-8,6.263188468803394e-8,2.0719122631173993e-8,1.0783539922611653e-8,2.7610933012659877e-8,2.521958589499321e-7,1.7219788580557246e-10,1.341621638827684e-10,0.0,0.0,6.665406431608554e-9,1.5297768642553305e-8,1.741605164337142e-8,0.0,1.1229816949784432e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.706722439292925e-7
t22,0.0,0.0,4.8985742188286136e-8,5.945849217077943e-8,2.0014493903407832e-8,1.0871496756874037e-8,2.6715067879767187e-8,2.5629083607562627e-7,1.7195508346295596e-10,1.3561442797016102e-10,0.0,0.0,6.804392093503893e-9,1.4870102072784932e-8,1.3816836806876238e-8,0.0,1.137146795074013e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5824874413884645e-7
t23,0.0,0.0,6.10126305813545e-8,7.6520025006679e-8,2.9537428762680456e-8,1.1915376253917739e-8,2.6871266599951175e-8,2.6889441494789884e-7,1.7257733685592907e-10,1.3711234886062662e-10,0.0,0.0,7.466254641605981e-9,1.6638615505455874e-8,1.3265000718074755e-8,0.0,1.1477709592934308e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125454797992642e-7
t24,0.0,0.0,39.5091455880014,2.2792575056281993e-7,2.0936575293317586e-6,1.4552117230247786e-8,2.843882550372894e-8,2.9327420341026796e-7,1.7359387912215988e-10,1.3871067978797826e-10,0.0,0.0,8.8907521189005e-9,2.072430166436778e-8,1.4858284605426895e-8,0.0,1.1584918107122312e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.50914829075133
t25,0.0,0.0,4.690317992417902,2.9751000396655616e-7,1.1271154793266673e-6,1.8119916752803198e-8,3.2279549816093296e-8,3.401129736572305e-7,1.743852713232074e-10,1.4030276337337273e-10,0.0,0.0,1.196859141557696e-8,2.998710731736679e-8,1.3352671443995717e-8,0.0,1.1638699568190226e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690319863295271
t26,0.0,0.0,2.8779419448141025e-8,4.995947850446076e-8,1.796825390380153e-8,8.528028197525785e-9,2.1521841475518e-8,2.086698521643258e-7,1.6367172697137886e-10,1.339579020631915e-10,0.0,0.0,8.589273500943288e-9,1.6514430432653216e-8,1.1421791329178567e-8,0.0,1.1465065115583934e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7236464923673836e-7
t27,0.0,0.0,1.2269044209129698e-8,2.307680989609382e-8,7.215892872094702e-9,5.7453505172836316e-9,1.7567404967397147e-8,1.5580987642593993e-7,1.5463175115555276e-10,1.2885035834568176e-10,0.0,0.0,7.3444329342889295e-9,1.202787527425196e-8,1.13599036406101e-8,0.0,1.1285351368323199e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5281292636027437e-7
t28,0.0,0.0,8.760686287089675e-9,1.6768738398631372e-8,5.193901695683696e-9,4.6389955712071776e-9,1.5130208341555412e-8,1.2646608522307807e-7,1.4685156128584656e-10,1.2394890084041243e-10,0.0,0.0,6.4954963206776e-9,1.0017074611002776e-8,8.964442230902467e-9,0.0,1.1095731591786807e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0281738645787235e-7
t29,0.0,0.0,6.917542920436176e-9,1.4037906922011734e-8,4.209331950873963e-9,4.135219329598788e-9,1.3901796865237527e-8,1.0990482738071361e-7,1.4107878969645602e-10,1.197500425716974e-10,0.0,0.0,6.1427406507900915e-9,8.999855091820745e-9,8.762588749000158e-9,0.0,1.0898283980217314e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738162153255311e-7
