BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t20,93058.37116435135,66368.82623893434,-0.01099092288067021,0.0,0.0,0.0,3.63448777306267e-7,0.0,0.0,-159028.55633538018
t21,100996.84638449759,45160.369166160766,-0.010945207108296266,0.0,0.0,0.0,3.6396711212990844e-7,0.0,0.0,-145758.57252321122
t22,105115.3594981075,26664.574386368662,-0.010978569506044835,0.0,0.0,0.0,3.6459924433774113e-7,0.0,0.0,-131381.2897168987
t23,105835.53541538958,11063.642191722356,-0.012589655371394438,0.0,0.0,0.0,3.653232434048243e-7,0.0,0.0,-116500.52914854311
t24,99946.7096089391,1386.911765993356,-0.0158462365139995,0.0,0.0,0.0,3.6533170209243177e-7,0.0,0.0,-100934.9684073388
t25,89047.68573731127,0.017146211804920403,-0.01271580613088252,0.0,0.0,0.0,3.653502681977976e-7,0.0,0.0,-88649.05476643576
t26,82283.25545453609,0.08437615486904715,-0.031077247111470814,0.0,0.0,0.0,3.6544299316413055e-7,0.0,0.0,-81884.67259632972
t27,78457.71456325855,0.23963747458914736,-0.021647394195400398,0.0,0.0,0.0,3.654296980620137e-7,0.0,0.0,-78059.29785185597
t28,76348.58033703292,0.011231989626227859,-628.1011610208162,0.0,0.0,0.0,3.6559715551766905e-7,0.0,0.0,-75321.85757221644
t29,76510.06012737704,0.06678023551050671,-0.09441373670194839,0.0,0.0,0.0,3.657706207920028e-7,0.0,0.0,-76111.40224451119
t30,83696.94365011933,531.6605640340258,-0.04472690929831322,0.0,0.0,0.0,3.657273237148745e-7,0.0,0.0,-83829.92758604142
t31,99553.52776956701,0.05501573451514606,-5420.055378433628,0.0,0.0,0.0,3.6556482845250887e-7,0.0,0.0,-93734.88432777247
t32,122817.17085355047,3283.4654501068003,-19893.324481558608,0.0,0.0,0.0,3.6547296172900494e-7,0.0,0.0,-105808.6683521504
t33,152387.202292052,5547.5477484404655,-35786.90957575446,0.0,0.0,0.0,3.653042708369553e-7,0.0,0.0,-121749.19679725388
t34,179972.8743564738,6183.1103057830815,-47933.824374128606,0.0,0.0,0.0,3.6437938483450874e-7,0.0,0.0,-137823.51653576738
t35,197570.69195996513,5864.523706712281,-55449.811759476186,0.0,0.0,0.0,3.6389067291755073e-7,0.0,0.0,-147586.76013118913
t36,214976.8132106648,5191.277363128522,-61019.03555038211,0.0,0.0,0.0,3.634727580477835e-7,0.0,0.0,-158750.41127802775
t37,223518.99682837573,5155.431156285364,-63357.770444963404,0.0,0.0,0.0,3.6321684678906126e-7,0.0,0.0,-164918.0138630548
t38,222753.47342917736,5850.829884391965,-60103.94120305422,0.0,0.0,0.0,3.6315004464985206e-7,0.0,0.0,-168101.71852268704
t39,217754.3540956434,7062.556278809451,-52511.418395475186,0.0,0.0,0.0,3.630669762700914e-7,0.0,0.0,-171906.84853197372
t40,210261.73755192943,8220.80885266496,-39285.92304832039,0.0,0.0,0.0,3.629910297643833e-7,0.0,0.0,-178797.9803484682
t41,204322.6973896217,12121.602097991316,-32582.588739833274,0.0,0.0,0.0,3.629133179979631e-7,0.0,0.0,-183463.07150026548
t42,164529.09770592063,17438.382615979684,-0.0031091473725609773,0.0,0.0,0.0,3.63214449097377e-7,0.0,0.0,-181568.86845146026
t43,91486.45858029417,83172.67171994387,-0.003431663318861652,0.0,0.0,0.0,3.631967563066606e-7,0.0,0.0,-174260.5190489371
t44,85424.68753777858,75977.66132674787,-0.0028192755455515393,0.0,0.0,0.0,3.6362794570149865e-7,0.0,0.0,-161003.7383249336
t45,86985.52438285723,61004.24711821261,-0.002715033146754432,0.0,0.0,0.0,3.641964901882531e-7,0.0,0.0,-147591.1611605776
t46,87330.08169755044,46066.75665177731,-0.002724810954319012,0.0,0.0,0.0,3.6497444481199526e-7,0.0,0.0,-132998.22791422918
t47,88428.7029940782,29852.36022245701,-0.0029105871539081164,0.0,0.0,0.0,3.6564266058115047e-7,0.0,0.0,-117882.45237652834
t48,90028.676612645,16277.186444743413,-0.003321156223193937,0.0,0.0,0.0,3.6566837060115917e-7,0.0,0.0,-105907.25141045253
t49,91830.66902337967,6368.496816868067,-0.0018176493918627707,0.0,0.0,0.0,3.657012717593554e-7,0.0,0.0,-97800.55527685767
t50,94813.41167021364,0.0016491318336485615,-1535.4639033042995,0.0,0.0,0.0,3.656337126497457e-7,0.0,0.0,-92879.3242146504
t51,96180.52639607924,0.003995294871834891,-5294.099546840447,0.0,0.0,0.0,3.6565730049962445e-7,0.0,0.0,-90487.80484494603
t52,96735.22721090386,0.0040968790624655955,-6170.956076931224,0.0,0.0,0.0,3.6557688829357014e-7,0.0,0.0,-90165.64949370871
t53,95547.02168401061,137.4009994622777,-0.0028330154717580176,0.0,0.0,0.0,3.6560506957526667e-7,0.0,0.0,-95285.80708427564
t54,113426.22343608165,1144.7859688235162,-0.003852999816360644,0.0,0.0,0.0,3.6580780854530934e-7,0.0,0.0,-114172.38460203297
