,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional Fuels,Synfuel Production Emissions,Synfuels,Biofuels,Total
t28,6.529951927279322e-5,8.308289101862617e-7,-2.1728673500127456e-6,1620.248764071355,74.3284432833485,-13420.3921781583,-,2.4352989747902835e-6,2.9460281794656044e-6,1286.386520068655,-10439.428381396134
t29,6.274489984164107e-5,8.307831299585764e-7,-2.1661032833932753e-6,1620.2487640646204,74.32844328299105,-13420.392178112459,-,2.4011397646346217e-6,2.9172884056494568e-6,1286.3865200701155,-10439.428383966724
t30,6.1011893891616904e-5,8.306767161567053e-7,-2.155524857306678e-6,1620.2487640650972,74.32844328312191,-13420.392178123762,-,2.3327515767471873e-6,2.8574581645424768e-6,1286.386520071299,-10439.428385826988
t31,5.7862147060056504e-5,8.306881667798361e-7,-2.273572502123507e-6,1620.2487640218415,74.32844328028067,-13420.392177765894,-,2.301371697684642e-6,2.836919630329951e-6,1286.3865200648202,-10439.4283888414
t32,5.699606248474733e-5,8.305043929529612e-7,-2.2769513815483053e-6,1620.248764018999,74.32844328018277,-13420.392177752452,-,2.291661976128543e-6,2.8285867944124446e-6,1286.3865200676255,-10439.42838971578
t33,5.653103124606751e-5,8.303991300882906e-7,-2.2650504708533203e-6,1620.2487640190602,74.32844328022244,-13420.392177750613,-,2.273076226020797e-6,2.811674934611472e-6,1286.3865200647642,-10439.428390205434
t34,5.6544021492351274e-5,8.303461968988328e-7,-2.256084509015652e-6,1620.248764016005,74.32844328009355,-13420.392177724396,-,2.2592949061967925e-6,2.7994960431934884e-6,1286.3865200616453,-10439.428390189578
t35,5.70010316673516e-5,8.303161996760226e-7,-2.250266095724536e-6,1620.2487640137358,74.32844328000196,-13420.392177703206,-,2.247647783023006e-6,2.788866643412035e-6,1286.3865200585283,-10439.428389733344
t36,5.7946149217667896e-5,8.303077716576449e-7,-2.2489533938177157e-6,1620.2487640138509,74.32844328002741,-13420.392177700087,-,2.228067339573113e-6,2.7711380405941055e-6,1286.386520056308,-10439.428388823191
t37,5.951489071967759e-5,8.302718758809571e-7,-2.2480928077538415e-6,1620.2487640247168,74.32844328056056,-13420.392177789956,-,2.1970328406556946e-6,2.7418639844702504e-6,1286.3865200641599,-10439.42838738455
t38,6.189007134868708e-5,8.302968761011095e-7,-2.2493197018562986e-6,1620.2487640299018,74.32844328084904,-13420.39217782377,-,2.2175129214645642e-6,2.759973250540572e-6,1286.3865200633672,-10439.42838500112
