,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t59,15.523333333333332,0,0,4.376666666666667,-0.0,0.0,0,0,0.0,-19.9
t60,15.523333333333332,0,0,5.106666666666667,-0.0,0.0,0,0,0.0,-20.63
t61,15.523333333333332,0,0,6.406666666666668,-0.0,0.0,0,0,0.0,-21.93
t62,15.523333333333332,0,0,7.246666666666668,-0.0,0.0,0,0,0.0,-22.77
t63,15.523333333333332,0,0,9.09666666666667,-0.0,0.0,0,0,0.0,-24.62
t64,15.523333333333332,0,0,10.616666666666669,-0.0,0.0,0,0,0.0,-26.14
t65,15.523333333333332,0,0,9.886666666666668,-0.0,0.0,0,0,0.0,-25.41
t66,15.523333333333332,0,0,8.366666666666669,-0.0,0.0,0,0,0.0,-23.89
t67,15.523333333333332,0,0,4.156666666666668,-0.0,0.0,0,0,0.0,-19.68
t68,15.523333333333332,0,0,0.0,-1.0733333333333324,0.0,0,0,0.0,-14.45
t69,15.523333333333332,0,0,0.0,-5.063333333333331,0.0,0,0,0.0,-10.46
t70,15.523333333333332,0,0,0.0,-7.6533333333333315,0.0,0,0,0.0,-7.87
t71,15.523333333333332,0,0,0.0,-10.853333333333332,0.0,0,0,0.0,-4.67
t72,15.523333333333332,0,0,0.0,-12.883333333333331,0.0,0,0,0.0,-2.64
t73,15.42333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.76
t74,14.95333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.29
t75,15.48333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.82
t76,15.523333333333332,0,0,0.0,-11.293333333333331,0.0,0,0,0.0,-4.23
t77,15.523333333333332,0,0,0.0,-6.423333333333332,0.0,0,0,0.0,-9.1
t78,15.523333333333332,0,0,0.0,-0.9033333333333324,0.0,0,0,0.0,-14.62
t79,15.523333333333332,0,0,2.5566666666666666,-0.0,0.0,0,0,0.0,-18.08
t80,15.523333333333332,0,0,5.196666666666667,-0.0,0.0,0,0,0.0,-20.72
t81,15.523333333333332,0,0,6.316666666666668,-0.0,0.0,0,0,0.0,-21.84
t82,15.523333333333332,0,0,5.376666666666667,-0.0,0.0,0,0,0.0,-20.9
t83,15.523333333333332,0,0,5.2566666666666695,-0.0,0.0,0,0,0.0,-20.78
t84,15.523333333333332,0,0,6.0166666666666675,-0.0,0.0,0,0,0.0,-21.54
t85,15.52333333333333,0,0,7.36666666666667,-0.0,0.0,0,0,0.0,-22.89
t86,15.523333333333332,0,0,8.246666666666668,-0.0,0.0,0,0,0.0,-23.77
t87,15.523333333333333,0,0,10.186666666666667,-0.0,0.0,0,0,0.0,-25.71
t88,15.523333333333332,0,0,11.776666666666669,-0.0,0.0,0,0,0.0,-27.3
t89,15.523333333333332,0,0,11.00666666666667,-0.0,0.0,0,0,0.0,-26.53
t90,15.523333333333332,0,0,9.426666666666668,-0.0,0.0,0,0,0.0,-24.95
t91,15.523333333333332,0,0,5.0166666666666675,-0.0,0.0,0,0,0.0,-20.54
t92,15.523333333333332,0,0,0.0,-0.4333333333333318,0.0,0,0,0.0,-15.09
t93,15.523333333333332,0,0,0.0,-4.603333333333332,0.0,0,0,0.0,-10.92
t94,15.523333333333332,0,0,0.0,-7.303333333333331,0.0,0,0,0.0,-8.22
t95,15.523333333333332,0,0,0.0,-10.653333333333332,0.0,0,0,0.0,-4.87
t96,15.523333333333332,0,0,0.0,-12.763333333333332,0.0,0,0,0.0,-2.76
t97,15.52333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.86
t98,15.02333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.36
t99,15.523333333333333,0,0,0.0,-13.603333333333333,0.0,0,0,0.0,-1.92
t100,15.523333333333333,0,0,0.0,-11.063333333333333,0.0,0,0,0.0,-4.46
t101,15.523333333333333,0,0,0.0,-5.913333333333334,0.0,0,0,0.0,-9.61
t102,15.523333333333333,0,0,0.0,-0.08333333333333393,0.0,0,0,0.0,-15.44
t103,15.523333333333333,0,0,3.576666666666668,-0.0,0.0,0,0,0.0,-19.1
t104,15.523333333333332,0,0,6.366666666666669,-0.0,0.0,0,0,0.0,-21.89
t105,15.523333333333333,0,0,7.546666666666667,-0.0,0.0,0,0,0.0,-23.07
t106,15.52333333333333,0,0,6.5466666666666695,-0.0,0.0,0,0,0.0,-22.07
t107,15.523333333333332,0,0,6.426666666666668,-0.0,0.0,0,0,0.0,-21.95
t108,15.52333333333333,0,0,7.236666666666672,-0.0,0.0,0,0,0.0,-22.76
t109,15.523333333333332,0,0,8.656666666666668,-0.0,0.0,0,0,0.0,-24.18
t110,15.523333333333333,0,0,9.586666666666666,-0.0,0.0,0,0,0.0,-25.11
t111,15.523333333333333,0,0,11.636666666666667,-0.0,0.0,0,0,0.0,-27.16
t112,15.523333333333333,0,0,13.306666666666665,-0.0,0.0,0,0,0.0,-28.83
t113,15.523333333333332,0,0,12.50666666666667,-0.0,0.0,0,0,0.0,-28.03
t114,15.52333333333333,0,0,10.826666666666672,-0.0,0.0,0,0,0.0,-26.35
t115,15.523333333333332,0,0,6.176666666666668,-0.0,0.0,0,0,0.0,-21.7
t116,15.523333333333332,0,0,0.4166666666666671,-0.0,0.0,0,0,0.0,-15.94
t117,15.523333333333332,0,0,0.0,-3.9933333333333323,0.0,0,0,0.0,-11.53
t118,15.523333333333332,0,0,0.0,-6.843333333333332,0.0,0,0,0.0,-8.68
t119,15.523333333333332,0,0,0.0,-10.373333333333331,0.0,0,0,0.0,-5.15
t120,15.523333333333332,0,0,0.0,-12.613333333333332,0.0,0,0,0.0,-2.91
t121,15.523333333333332,0,0,0.0,-12.663333333333332,0.0,0,0,0.0,-2.86
t122,15.523333333333332,0,0,0.0,-13.503333333333332,0.0,0,0,0.0,-2.02
t123,15.523333333333332,0,0,0.0,-13.563333333333333,0.0,0,0,0.0,-1.96
t124,15.523333333333332,0,0,0.0,-12.783333333333331,0.0,0,0,0.0,-2.74
t125,15.523333333333332,0,0,0.0,-10.433333333333332,0.0,0,0,0.0,-5.09
t126,15.523333333333332,0,0,0.0,-7.163333333333332,0.0,0,0,0.0,-8.36
t127,15.523333333333332,0,0,0.0,-2.833333333333332,0.0,0,0,0.0,-12.69
t128,15.523333333333332,0,0,1.7166666666666668,-0.0,0.0,0,0,0.0,-17.24
t129,15.523333333333332,0,0,6.32666666666667,-0.0,0.0,0,0,0.0,-21.85
t130,15.523333333333332,0,0,8.676666666666668,-0.0,0.0,0,0,0.0,-24.2
t131,15.523333333333332,0,0,9.456666666666669,-0.0,0.0,0,0,0.0,-24.98
t132,15.523333333333332,0,0,10.606666666666667,-0.0,0.0,0,0,0.0,-26.13
t133,15.523333333333332,0,0,12.23666666666667,-0.0,0.0,0,0,0.0,-27.76
t134,15.523333333333332,0,0,13.456666666666669,-0.0,0.0,0,0,0.0,-28.98
t135,15.523333333333332,0,0,14.876666666666667,-0.0,0.0,0,0,0.0,-30.4
t136,15.523333333333332,0,0,15.66666666666667,-0.0,0.0,0,0,0.0,-31.19
t137,15.523333333333332,0,0,14.116666666666669,-0.0,0.0,0,0,0.0,-29.64
t138,15.523333333333332,0,0,11.286666666666667,-0.0,0.0,0,0,0.0,-26.81
t139,15.523333333333332,0,0,6.7566666666666695,-0.0,0.0,0,0,0.0,-22.28
t140,15.523333333333193,0,0,1.7966666666668072,-0.0,0.0,0,0,0.0,-17.32
t141,13.970999999999998,0,0,0.0,-0.7509999999999977,0.0,0,0,0.0,-13.22
t142,15.523333333333332,0,0,0.0,-5.203333333333331,0.0,0,0,0.0,-10.32
t143,14.339000000000109,0,0,0.0,-7.1390000000001095,0.0,0,0,0.0,-7.2
t144,15.523333333333332,0,0,0.0,-10.863333333333332,0.0,0,0,0.0,-4.66
t145,15.523333333333332,0,0,0.0,-12.64333333333333,0.0,0,0,0.0,-2.88
t146,15.523333333333332,0,0,0.0,-11.813333333333333,0.0,0,0,0.0,-3.71
t147,15.02333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.36
t148,15.523333333333332,0,0,0.0,-13.403333333333332,0.0,0,0,0.0,-2.12
t149,15.523333333333332,0,0,0.0,-11.563333333333333,0.0,0,0,0.0,-3.96
t150,15.523333333333332,0,0,0.0,-9.023333333333332,0.0,0,0,0.0,-6.5
t151,15.523333333333332,0,0,0.0,-5.593333333333332,0.0,0,0,0.0,-9.93
t152,15.523333333333332,0,0,0.0,-1.4633333333333312,0.0,0,0,0.0,-14.06
t153,15.523333333333332,0,0,2.8466666666666693,-0.0,0.0,0,0,0.0,-18.37
t154,15.523333333333332,0,0,8.116666666666669,-0.0,0.0,0,0,0.0,-23.64
t155,15.523333333333332,0,0,11.48666666666667,-0.0,0.0,0,0,0.0,-27.01
t156,15.523333333333332,0,0,12.176666666666668,-0.0,0.0,0,0,0.0,-27.7
t157,15.523333333333332,0,0,12.056666666666667,-0.0,0.0,0,0,0.0,-27.58
t158,15.523333333333332,0,0,11.226666666666668,-0.0,0.0,0,0,0.0,-26.75
t159,15.523333333333332,0,0,10.656666666666668,-0.0,0.0,0,0,0.0,-26.18
t160,15.523333333333332,0,0,9.516666666666667,-0.0,0.0,0,0,0.0,-25.04
t161,15.523333333333332,0,0,8.306666666666667,-0.0,0.0,0,0,0.0,-23.83
t162,15.523333333333332,0,0,5.836666666666668,-0.0,0.0,0,0,0.0,-21.36
t163,15.523333333333332,0,0,2.8466666666666693,-0.0,0.0,0,0,0.0,-18.37
t164,15.523333333333332,0,0,0.0,-0.8333333333333321,0.0,0,0,0.0,-14.69
t165,15.523333333333332,0,0,0.0,-3.813333333333331,0.0,0,0,0.0,-11.71
t166,15.523333333333332,0,0,0.0,-6.423333333333332,0.0,0,0,0.0,-9.1
t167,15.523333333333332,0,0,0.0,-8.963333333333331,0.0,0,0,0.0,-6.56
t168,15.523333333333332,0,0,0.0,-11.053333333333331,0.0,0,0,0.0,-4.47
