Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioH2_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
CEN_Bio_H2_Agri,6,3,1.7,17.17,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Agri,7,3,1.689,17.23,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Agri,8,3,1.708,17.28,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Agri,9,3,1.715,17.48,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CA_Bio_H2_CCS_99_Agri,1,3,1.719,18.29,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Agri,2,3,1.664,16.72,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Agri,3,3,1.687,17.03,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Agri,4,3,1.633,16.59,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Agri,5,3,1.71,17.3,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Agri,6,3,1.7,17.17,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Agri,7,3,1.689,17.23,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Agri,8,3,1.708,17.28,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Agri,9,3,1.715,17.48,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
