,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
t45,8.58904115662405e-6,1.0716569494038343e-5,7.786302042005044e-6,1.0308199801749864e-5,9.706523013629586e-6,8.79458446472466e-6,1.0075154860810645e-5,8.693029320343784e-6,8.5025830507807e-6,8.319835859998742e-6
t46,8.588720840496614e-6,1.0716440027260987e-5,7.785967161773277e-6,1.0307967171288007e-5,9.70631100911534e-6,8.79674314973212e-6,1.0074874696186122e-5,8.692837211263746e-6,8.502450965814644e-6,8.319510638095874e-6
t47,8.588500084184183e-6,1.0716330323324348e-5,7.785727664941207e-6,1.0307767396889821e-5,9.706173126322106e-6,8.797537807148845e-6,1.0075000448658676e-5,8.692841602915937e-6,8.502336823839437e-6,8.319323763847196e-6
t48,8.588778204432096e-6,1.0716512116520467e-5,7.785802019633586e-6,1.0307869088475683e-5,9.706398347871981e-6,8.793175989051638e-6,1.0075093330633402e-5,8.693173860633216e-6,8.5024467514941e-6,8.319593729874897e-6
t49,8.58885157634239e-6,1.071647613077415e-5,7.785718452916918e-6,1.0307706336999737e-5,9.706426813333626e-6,8.793556696108757e-6,1.0075079218474882e-5,8.693258664673925e-6,8.502238708971343e-6,8.319552119051763e-6
t50,8.589089613082956e-6,1.0716483817628642e-5,7.785751264119915e-6,1.0307670613856797e-5,9.706603410455379e-6,8.790696023183029e-6,1.007521237701034e-5,8.693408298001806e-6,8.502165434785617e-6,8.319689235910157e-6
t51,8.588905786338368e-6,1.0716159724542198e-5,7.78542674331186e-6,1.0307230977966779e-5,9.706444401169916e-6,8.793028895800498e-6,1.0075062851256149e-5,8.693231941295364e-6,8.501836601275906e-6,8.319387130492845e-6
t52,8.588823997893575e-6,1.0715877424932181e-5,7.785277194237281e-6,1.0306897645662458e-5,9.706474534915687e-6,8.795774984660443e-6,1.00751753927104e-5,8.69317359403289e-6,8.501657651621292e-6,8.319228335882963e-6
t53,8.588838526490952e-6,1.0715762296813314e-5,7.785354266170501e-6,1.0306727989638894e-5,9.70664423703441e-6,8.795874907148609e-6,1.007526187457511e-5,8.69316273221298e-6,8.501613184448935e-6,8.319261401888113e-6
t54,8.588819318800655e-6,1.0715853890860297e-5,7.785716684531175e-6,1.030678685402979e-5,9.706946355653701e-6,8.7938240719172e-6,1.0075390338384475e-5,8.693090164568089e-6,8.501654315381291e-6,8.319481930339615e-6
t55,8.588893702262539e-6,1.0715964360770682e-5,7.786013098998841e-6,1.0306733610730048e-5,9.70722274466734e-6,8.792691178131215e-6,1.007557746586445e-5,8.693130326341024e-6,8.501633551147134e-6,8.319620790564044e-6
t56,8.588543055988736e-6,1.0715871336895169e-5,7.785882525378466e-6,1.0306271229818586e-5,9.70733943393306e-6,8.796284946348738e-6,1.007553064309558e-5,8.692876005719966e-6,8.50129959045316e-6,8.319302903304931e-6
t57,8.588814216976627e-6,1.0716062466956585e-5,7.786209804065339e-6,1.0306183983394772e-5,9.708167028217659e-6,8.79642178777508e-6,1.007573598464041e-5,8.693108380496085e-6,8.50142449419245e-6,8.319402189971747e-6
t58,8.588958948623486e-6,1.071611708850397e-5,7.786379586936032e-6,1.0306000600062754e-5,9.70891015389287e-6,8.79677519719026e-6,1.0075760597601209e-5,8.693284394589343e-6,8.501507363119034e-6,8.31939371704898e-6
t59,8.588781041055075e-6,1.0715923243436244e-5,7.786346848929664e-6,1.0305617442371046e-5,9.709220991095118e-6,8.799479768868081e-6,1.0075532859333266e-5,8.693298590490926e-6,8.501351534354742e-6,8.319151036100879e-6
t60,8.588400855355067e-6,1.0715466074202402e-5,7.786011481955411e-6,1.0305011666326498e-5,9.708966084491442e-6,8.806920354908821e-6,1.0075326887779907e-5,8.69304760282994e-6,8.50094755327283e-6,8.318685838531553e-6
t61,8.588304844206894e-6,1.0715283301526063e-5,7.785886467336545e-6,1.0304684663852383e-5,9.708724006180443e-6,8.804202902914953e-6,1.0075523446572299e-5,8.693080281821455e-6,8.500729324393455e-6,8.31857756835596e-6
t62,8.58882380315193e-6,1.07155015511808e-5,7.786184244466932e-6,1.0304930089813555e-5,9.708919311272461e-6,8.79346046310129e-6,1.007598975046243e-5,8.693553223741873e-6,8.500958903723226e-6,8.319068665234957e-6
t63,8.589028704162911e-6,1.0715500186409244e-5,7.786278483401629e-6,1.0304967170577802e-5,9.7087464268115e-6,8.790858794910935e-6,1.0076208575482765e-5,8.69378164885262e-6,8.500921383893246e-6,8.319229280565804e-6
t64,8.588660882640056e-6,1.0715112647605057e-5,7.785845583049065e-6,1.0304548925479347e-5,9.708026016606715e-6,8.7986685539685e-6,1.007614297877659e-5,8.693643626070515e-6,8.500355954604054e-6,8.318791279040225e-6
t65,8.58857386377848e-6,1.0714971420659115e-5,7.785777770284997e-6,1.0304518286830564e-5,9.707499009548679e-6,8.79988443814796e-6,1.0076312627989868e-5,8.693756620144204e-6,8.500099753790321e-6,8.318771099432913e-6
t66,8.588374691410938e-6,1.0714845437044832e-5,7.785578359956394e-6,1.0304448381614373e-5,9.707042288970313e-6,8.799991866224409e-6,1.007612891493916e-5,8.693718040315104e-6,8.499885037055342e-6,8.318656569103335e-6
t67,8.588612214627982e-6,1.0714961167162386e-5,7.785673030660313e-6,1.0304700073908817e-5,9.707108492240345e-6,8.796461816219763e-6,1.0076257898752787e-5,8.693932609048904e-6,8.500079268778519e-6,8.318901954210556e-6
t68,8.588698551088642e-6,1.071495326353321e-5,7.785583745764448e-6,1.0304735553884987e-5,9.707120070849046e-6,8.796332768252115e-6,1.0076464406582227e-5,8.694050976506052e-6,8.500100654812601e-6,8.318872733444366e-6
t69,8.58899976336364e-6,1.071506899104934e-5,7.785699569452938e-6,1.0304935356783072e-5,9.707304126080263e-6,8.793376187998059e-6,1.007635135988078e-5,8.694273050641457e-6,8.500237133193862e-6,8.319036143253208e-6
t70,8.58911286346283e-6,1.071505865734586e-5,7.785650031204948e-6,1.0305026310122357e-5,9.707348193746322e-6,8.791818336995208e-6,1.0075967254393026e-5,8.69427439497674e-6,8.50019971819378e-6,8.319003964660588e-6
t71,8.58889372587978e-6,1.071486542179582e-5,7.785320283121292e-6,1.0304845442976166e-5,9.707087936566005e-6,8.790467330313979e-6,1.0075765837823295e-5,8.694070206442753e-6,8.499972130747223e-6,8.318766428015914e-6
t72,8.588944289489816e-6,1.0714781200984355e-5,7.785331489947868e-6,1.0304785210220193e-5,9.707087545354318e-6,8.78986003215716e-6,1.0075612252921162e-5,8.694033248011244e-6,8.499921933982631e-6,8.318690397499963e-6
t73,8.588952102885384e-6,1.0714690636582772e-5,7.78527099070498e-6,1.0304581328515126e-5,9.707112625581833e-6,8.790124703552315e-6,1.0075547861544655e-5,8.694043601261675e-6,8.49982013548677e-6,8.318564184993338e-6
t74,8.589050484726343e-6,1.071465961057807e-5,7.78526775868752e-6,1.0304415856672306e-5,9.7072205153999e-6,8.789441492711362e-6,1.0075490213319286e-5,8.694151066176939e-6,8.499740218228403e-6,8.318514964342807e-6
t75,8.589297041659412e-6,1.071467173780495e-5,7.785338795946575e-6,1.0304341454485405e-5,9.707374539945032e-6,8.788086839991342e-6,1.007546293527898e-5,8.694352475529778e-6,8.499697228593712e-6,8.318548834422727e-6
t76,8.589097674898392e-6,1.0714593913509978e-5,7.785204774356511e-6,1.0304116124098472e-5,9.707318488618715e-6,8.788971477962554e-6,1.0075225952510836e-5,8.694201944128956e-6,8.499463408363116e-6,8.31835664935395e-6
t77,8.589103813261093e-6,1.0714767416880381e-5,7.785399852092472e-6,1.0304208298436683e-5,9.70757453471068e-6,8.787903760378594e-6,1.0075236631722434e-5,8.69424140351612e-6,8.499485584766806e-6,8.318454354561042e-6
t78,8.589082917812846e-6,1.0714940984494478e-5,7.785620831917858e-6,1.0304252261448125e-5,9.707716328898667e-6,8.788508710815939e-6,1.0075150306053734e-5,8.694356576795751e-6,8.49943020314744e-6,8.318457858681765e-6
t79,8.58908754337341e-6,1.071517629734007e-5,7.785787369800712e-6,1.0304278120946807e-5,9.707909671581552e-6,8.789052453022044e-6,1.0075119550652353e-5,8.694472981015538e-6,8.499405609137063e-6,8.318456824160725e-6
t80,8.589281552733476e-6,1.0715516683026342e-5,7.786044712064508e-6,1.0304384246580158e-5,9.708457815870838e-6,8.786993619469269e-6,1.0075368950949381e-5,8.694646661276449e-6,8.499575342441357e-6,8.318567521832811e-6
t81,8.589283931378765e-6,1.0715630893330953e-5,7.786085756980494e-6,1.0304219512605243e-5,9.708996676796898e-6,8.789772306297397e-6,1.0075538654913596e-5,8.694643861799629e-6,8.499600981501504e-6,8.318427911634597e-6
t82,8.589455421723833e-6,1.0715795836192008e-5,7.786237325829212e-6,1.0304220971908069e-5,9.709682928693344e-6,8.789232562003042e-6,1.0075674884638418e-5,8.694760662524839e-6,8.499799149275408e-6,8.318455757502742e-6
t83,8.589316812705409e-6,1.0715825750810343e-5,7.786159375616979e-6,1.0304048073932007e-5,9.70998911831217e-6,8.789382954566075e-6,1.0075899531097154e-5,8.694816190054843e-6,8.499804097837215e-6,8.318296004600426e-6
t84,8.589435978830708e-6,1.0715892649118397e-5,7.786188937357441e-6,1.0304051786952832e-5,9.71013503675431e-6,8.787410709727479e-6,1.0076095539353286e-5,8.694925250633922e-6,8.499938307761617e-6,8.318342022151742e-6
t85,8.589567945619969e-6,1.071595931824209e-5,7.786167530263264e-6,1.0304117585194052e-5,9.710121045268966e-6,8.78525332924673e-6,1.007620314651323e-5,8.695023467334852e-6,8.500003752149819e-6,8.318383253723983e-6
t86,8.589378816778571e-6,1.071587005084157e-5,7.785868640008713e-6,1.0304002196239982e-5,9.709782119535799e-6,8.785484388116036e-6,1.0076127909099717e-5,8.694929806775275e-6,8.499859441041964e-6,8.318196731909862e-6
t87,8.58944608613204e-6,1.071595180334888e-5,7.785854918320465e-6,1.0304169323883463e-5,9.709631683756202e-6,8.784539294833341e-6,1.0076258075859644e-5,8.695059351164697e-6,8.499917158425032e-6,8.3182409163426e-6
