Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,219,68.52120000000001,403.64500000000004,152.0068
,,,,,,,220,159.489,938.0316,353.2386000000001
,,,,,,,221,342.99980000000005,2019.0126000000002,760.4278
,,,,,,,222,551.32,3243.7306000000003,1221.5676
,,,,,,,223,682.0616000000001,4012.0344,1511.0106
,,,,,,,224,781.6930000000001,4598.4026,1731.5386
,,,,,,,225,823.4358000000001,4846.102800000001,1824.8692000000003
,,,,,,,226,787.9938000000001,4637.388800000001,1746.5030000000002
,,,,,,,227,783.662,4611.398,1736.6580000000001
,,,,,,,228,812.4094,4780.732000000001,1800.4536
,,,,,,,229,863.6034000000001,5080.4138,1913.0804
,,,,,,,230,896.6826000000001,5275.738600000001,1986.7210000000002
,,,,,,,231,969.5356000000002,5705.7681999999995,2148.5728000000004
,,,,,,,232,1029.3932,6057.4316,2281.2834000000003
,,,,,,,233,1000.6458000000001,5888.097600000001,2217.4878000000003
,,,,,,,234,940.7882000000001,5536.434200000001,2084.7772
,,,,,,,235,774.9984000000001,4559.4164,1716.968
,,,,,,,236,569.041,3347.6938000000005,1260.9476000000002
,,,,,,,237,411.91480000000007,2423.0514000000003,912.4346000000002
,,,,,,,238,309.92060000000004,1823.6878000000002,686.7872000000001
,,,,,,,239,183.90460000000002,1081.3748,407.1892
,,,,,,,240,103.96320000000001,612.359,230.373
,,,,,,,241,69.3088,407.9768,153.582
,,,,,,,242,50.800200000000004,299.288,112.6268
,,,,,,,243,71.67160000000001,421.75980000000004,158.7014
,,,,,,,244,166.57740000000004,979.3806000000001,368.5968
,,,,,,,245,358.358,2108.4052,793.9008
,,,,,,,246,575.7356,3386.6800000000003,1275.5182000000002
,,,,,,,247,711.9904,4189.2444000000005,1577.5628000000002
,,,,,,,248,815.9536,4801.2096,1807.9358
,,,,,,,249,860.0592,5059.5424,1905.5982000000001
