Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_liqH2_tonne_per_hr_z1,Load_liqH2_tonne_per_hr_z2,Load_liqH2_tonne_per_hr_z3
,,,,,,,339,0.875,5.145,1.94
,,,,,,,340,2,11.775,4.435
,,,,,,,341,4.12,24.25,9.135
,,,,,,,342,6.705,39.46,14.86
,,,,,,,343,8.395,49.4,18.605
,,,,,,,344,9.62,56.615,21.32
,,,,,,,345,10.12,59.54,22.42
,,,,,,,346,10.715,63.05,23.745
,,,,,,,347,12.705,74.745,28.15
,,,,,,,348,13.53,79.62,29.985
,,,,,,,349,13.93,81.96,30.865
,,,,,,,350,13.665,80.4,30.275
,,,,,,,351,13.53,79.62,29.985
,,,,,,,352,12.97,76.305,28.735
,,,,,,,353,12.305,72.405,27.265
,,,,,,,354,10.88,64.02,24.11
,,,,,,,355,9.06,53.3,20.07
,,,,,,,356,6.905,40.63,15.3
,,,,,,,357,5.25,30.88,11.63
,,,,,,,358,3.66,21.525,8.105
,,,,,,,359,2.265,13.335,5.02
,,,,,,,360,1.34,7.875,2.965
,,,,,,,361,1.245,7.335,2.765
,,,,,,,362,0.9,5.3,1.995
,,,,,,,363,0.83,4.89,1.84
,,,,,,,364,1.23,7.235,2.725
,,,,,,,365,2.215,13.045,4.91
,,,,,,,366,3.635,21.4,8.06
,,,,,,,367,5.49,32.305,12.165
,,,,,,,368,7.5,44.125,16.615
,,,,,,,369,9.475,55.74,20.99
,,,,,,,370,10.51,61.855,23.295
,,,,,,,371,10.84,63.79,24.025
,,,,,,,372,11.31,66.54,25.06
,,,,,,,373,12.035,70.82,26.67
,,,,,,,374,12.575,73.98,27.86
,,,,,,,375,13.16,77.445,29.165
,,,,,,,376,13.49,79.38,29.895
,,,,,,,377,12.835,75.51,28.435
,,,,,,,378,11.62,68.375,25.75
,,,,,,,379,9.645,56.76,21.375
,,,,,,,380,7.465,43.92,16.54
,,,,,,,381,5.7,33.525,12.625
,,,,,,,382,4.415,25.985,9.785
,,,,,,,383,3.1,18.24,6.87
,,,,,,,384,1.975,11.615,4.375
,,,,,,,385,0.845,4.96,1.87
,,,,,,,386,0.62,3.64,1.37
,,,,,,,387,0.87,5.125,1.93
,,,,,,,388,2.025,11.91,4.485
,,,,,,,389,4.355,25.635,9.655
,,,,,,,390,7,41.185,15.51
,,,,,,,391,8.66,50.94,19.185
,,,,,,,392,9.925,58.385,21.985
,,,,,,,393,10.455,61.53,23.17
,,,,,,,394,10.005,58.88,22.175
,,,,,,,395,9.95,58.55,22.05
,,,,,,,396,10.315,60.7,22.86
,,,,,,,397,10.965,64.505,24.29
,,,,,,,398,11.385,66.985,25.225
,,,,,,,399,12.31,72.445,27.28
,,,,,,,400,13.07,76.91,28.965
,,,,,,,401,12.705,74.76,28.155
,,,,,,,402,11.945,70.295,26.47
,,,,,,,403,9.84,57.89,21.8
,,,,,,,404,7.225,42.505,16.01
,,,,,,,405,5.23,30.765,11.585
,,,,,,,406,3.935,23.155,8.72
,,,,,,,407,2.335,13.73,5.17
,,,,,,,408,1.32,7.775,2.925
,,,,,,,409,0.88,5.18,1.95
,,,,,,,410,0.645,3.8,1.43
,,,,,,,411,0.91,5.355,2.015
,,,,,,,412,2.115,12.435,4.68
,,,,,,,413,4.55,26.77,10.08
,,,,,,,414,7.31,43,16.195
,,,,,,,415,9.04,53.19,20.03
,,,,,,,416,10.36,60.96,22.955
,,,,,,,417,10.92,64.24,24.195
,,,,,,,418,10.45,61.48,23.15
,,,,,,,419,10.39,61.135,23.02
,,,,,,,420,10.77,63.38,23.87
,,,,,,,421,11.445,67.35,25.365
,,,,,,,422,11.885,69.94,26.34
,,,,,,,423,12.855,75.64,28.485
,,,,,,,424,13.65,80.305,30.24
,,,,,,,425,13.265,78.06,29.395
,,,,,,,426,12.475,73.395,27.64
,,,,,,,427,10.27,60.445,22.76
,,,,,,,428,7.545,44.38,16.715
,,,,,,,429,5.46,32.12,12.095
,,,,,,,430,4.11,24.175,9.105
,,,,,,,431,2.435,14.335,5.4
,,,,,,,432,1.38,8.115,3.055
,,,,,,,433,0.93,5.475,2.06
,,,,,,,434,0.68,4.015,1.51
,,,,,,,435,0.96,5.655,2.13
,,,,,,,436,2.23,13.135,4.945
,,,,,,,437,4.805,28.275,10.65
,,,,,,,438,7.72,45.425,17.105
,,,,,,,439,9.55,56.185,21.16
,,,,,,,440,10.945,64.395,24.25
,,,,,,,441,11.535,67.86,25.555
,,,,,,,442,11.035,64.945,24.455
,,,,,,,443,10.975,64.58,24.32
,,,,,,,444,11.38,66.95,25.21
,,,,,,,445,12.09,71.145,26.79
,,,,,,,446,12.555,73.88,27.825
,,,,,,,447,13.58,79.9,30.09
,,,,,,,448,14.415,84.825,31.945
,,,,,,,449,14.015,82.455,31.05
,,,,,,,450,13.175,77.53,29.195
,,,,,,,451,10.85,63.85,24.045
,,,,,,,452,7.97,46.885,17.655
,,,,,,,453,5.765,33.93,12.78
,,,,,,,454,4.34,25.54,9.62
,,,,,,,455,2.575,15.14,5.7
,,,,,,,456,1.455,8.575,3.23
,,,,,,,457,1.43,8.425,3.175
,,,,,,,458,1.01,5.945,2.24
,,,,,,,459,0.98,5.755,2.17
,,,,,,,460,1.37,8.075,3.04
,,,,,,,461,2.545,14.975,5.64
,,,,,,,462,4.18,24.59,9.26
,,,,,,,463,6.345,37.335,14.06
,,,,,,,464,8.62,50.705,19.095
,,,,,,,465,10.925,64.285,24.21
,,,,,,,466,12.1,71.19,26.81
,,,,,,,467,12.49,73.505,27.68
,,,,,,,468,13.065,76.865,28.945
,,,,,,,469,13.88,81.68,30.76
,,,,,,,470,14.49,85.25,32.105
,,,,,,,471,15.2,89.44,33.68
,,,,,,,472,15.595,91.755,34.555
,,,,,,,473,14.82,87.19,32.835
,,,,,,,474,13.405,78.865,29.7
,,,,,,,475,11.14,65.535,24.68
,,,,,,,476,8.66,50.955,19.19
,,,,,,,477,6.61,38.88,14.64
,,,,,,,478,5.16,30.35,11.43
,,,,,,,479,3.6,21.19,7.98
,,,,,,,480,2.33,13.705,5.16
,,,,,,,481,1.44,8.48,3.195
,,,,,,,482,1.855,10.91,4.11
,,,,,,,483,0.68,3.995,1.505
,,,,,,,484,1.06,6.24,2.35
,,,,,,,485,1.98,11.655,4.39
,,,,,,,486,3.25,19.125,7.2
,,,,,,,487,4.965,29.21,11
,,,,,,,488,7.03,41.35,15.575
,,,,,,,489,9.185,54.05,20.355
,,,,,,,490,11.82,69.555,26.195
,,,,,,,491,13.505,79.455,29.92
,,,,,,,492,13.85,81.51,30.695
,,,,,,,493,13.79,81.135,30.555
,,,,,,,494,13.375,78.705,29.64
,,,,,,,495,13.09,77.025,29.005
,,,,,,,496,12.52,73.665,27.74
,,,,,,,497,11.915,70.115,26.405
,,,,,,,498,10.68,62.83,23.66
,,,,,,,499,9.185,54.05,20.355
,,,,,,,500,7.345,43.22,16.275
,,,,,,,501,5.855,34.44,12.97
,,,,,,,502,4.55,26.785,10.085
,,,,,,,503,3.28,19.31,7.275
,,,,,,,504,2.235,13.15,4.95
,,,,,,,505,0.81,4.755,1.79
,,,,,,,506,0.61,3.585,1.35
,,,,,,,507,0.875,5.145,1.94
,,,,,,,508,2,11.775,4.435
,,,,,,,509,4.12,24.25,9.135
,,,,,,,510,6.705,39.46,14.86
,,,,,,,511,8.395,49.4,18.605
,,,,,,,512,9.62,56.615,21.32
,,,,,,,513,10.12,59.54,22.42
,,,,,,,514,10.715,63.05,23.745
,,,,,,,515,12.705,74.745,28.15
,,,,,,,516,13.53,79.62,29.985
,,,,,,,517,13.93,81.96,30.865
,,,,,,,518,13.665,80.4,30.275
,,,,,,,519,13.53,79.62,29.985
,,,,,,,520,12.97,76.305,28.735
,,,,,,,521,12.305,72.405,27.265
,,,,,,,522,10.88,64.02,24.11
,,,,,,,523,9.06,53.3,20.07
,,,,,,,524,6.905,40.63,15.3
,,,,,,,525,5.25,30.88,11.63
,,,,,,,526,3.66,21.525,8.105
,,,,,,,527,2.265,13.335,5.02
,,,,,,,528,1.34,7.875,2.965
,,,,,,,529,1.245,7.335,2.765
,,,,,,,530,0.9,5.3,1.995
,,,,,,,531,0.83,4.89,1.84
,,,,,,,532,1.23,7.235,2.725
,,,,,,,533,2.215,13.045,4.91
,,,,,,,534,3.635,21.4,8.06
,,,,,,,535,5.49,32.305,12.165
,,,,,,,536,7.5,44.125,16.615
,,,,,,,537,9.475,55.74,20.99
,,,,,,,538,10.51,61.855,23.295
,,,,,,,539,10.84,63.79,24.025
,,,,,,,540,11.31,66.54,25.06
,,,,,,,541,12.035,70.82,26.67
,,,,,,,542,12.575,73.98,27.86
,,,,,,,543,13.16,77.445,29.165
,,,,,,,544,13.49,79.38,29.895
,,,,,,,545,12.835,75.51,28.435
,,,,,,,546,11.62,68.375,25.75
,,,,,,,547,9.645,56.76,21.375
,,,,,,,548,7.465,43.92,16.54
,,,,,,,549,5.7,33.525,12.625
,,,,,,,550,4.415,25.985,9.785
,,,,,,,551,3.1,18.24,6.87
,,,,,,,552,1.975,11.615,4.375
,,,,,,,553,0.845,4.96,1.87
,,,,,,,554,0.62,3.64,1.37
,,,,,,,555,0.87,5.125,1.93
,,,,,,,556,2.025,11.91,4.485
,,,,,,,557,4.355,25.635,9.655
,,,,,,,558,7,41.185,15.51
,,,,,,,559,8.66,50.94,19.185
,,,,,,,560,9.925,58.385,21.985
,,,,,,,561,10.455,61.53,23.17
,,,,,,,562,10.005,58.88,22.175
,,,,,,,563,9.95,58.55,22.05
,,,,,,,564,10.315,60.7,22.86
,,,,,,,565,10.965,64.505,24.29
,,,,,,,566,11.385,66.985,25.225
,,,,,,,567,12.31,72.445,27.28
,,,,,,,568,13.07,76.91,28.965
,,,,,,,569,12.705,74.76,28.155
,,,,,,,570,11.945,70.295,26.47
,,,,,,,571,9.84,57.89,21.8
,,,,,,,572,7.225,42.505,16.01
,,,,,,,573,5.23,30.765,11.585
,,,,,,,574,3.935,23.155,8.72
,,,,,,,575,2.335,13.73,5.17
,,,,,,,576,1.32,7.775,2.925
,,,,,,,577,0.88,5.18,1.95
,,,,,,,578,0.645,3.8,1.43
,,,,,,,579,0.91,5.355,2.015
,,,,,,,580,2.115,12.435,4.68
,,,,,,,581,4.55,26.77,10.08
,,,,,,,582,7.31,43,16.195
,,,,,,,583,9.04,53.19,20.03
,,,,,,,584,10.36,60.96,22.955
,,,,,,,585,10.92,64.24,24.195
,,,,,,,586,10.45,61.48,23.15
,,,,,,,587,10.39,61.135,23.02
,,,,,,,588,10.77,63.38,23.87
,,,,,,,589,11.445,67.35,25.365
,,,,,,,590,11.885,69.94,26.34
,,,,,,,591,12.855,75.64,28.485
,,,,,,,592,13.65,80.305,30.24
,,,,,,,593,13.265,78.06,29.395
,,,,,,,594,12.475,73.395,27.64
,,,,,,,595,10.27,60.445,22.76
,,,,,,,596,7.545,44.38,16.715
,,,,,,,597,5.46,32.12,12.095
,,,,,,,598,4.11,24.175,9.105
,,,,,,,599,2.435,14.335,5.4
,,,,,,,600,1.38,8.115,3.055
,,,,,,,601,0.93,5.475,2.06
,,,,,,,602,0.68,4.015,1.51
,,,,,,,603,0.96,5.655,2.13
,,,,,,,604,2.23,13.135,4.945
,,,,,,,605,4.805,28.275,10.65
,,,,,,,606,7.72,45.425,17.105
,,,,,,,607,9.55,56.185,21.16
,,,,,,,608,10.945,64.395,24.25
,,,,,,,609,11.535,67.86,25.555
,,,,,,,610,11.035,64.945,24.455
,,,,,,,611,10.975,64.58,24.32
,,,,,,,612,11.38,66.95,25.21
,,,,,,,613,12.09,71.145,26.79
,,,,,,,614,12.555,73.88,27.825
,,,,,,,615,13.58,79.9,30.09
,,,,,,,616,14.415,84.825,31.945
,,,,,,,617,14.015,82.455,31.05
,,,,,,,618,13.175,77.53,29.195
,,,,,,,619,10.85,63.85,24.045
,,,,,,,620,7.97,46.885,17.655
,,,,,,,621,5.765,33.93,12.78
,,,,,,,622,4.34,25.54,9.62
,,,,,,,623,2.575,15.14,5.7
,,,,,,,624,1.455,8.575,3.23
,,,,,,,625,1.43,8.425,3.175
,,,,,,,626,1.01,5.945,2.24
,,,,,,,627,0.98,5.755,2.17
,,,,,,,628,1.37,8.075,3.04
,,,,,,,629,2.545,14.975,5.64
,,,,,,,630,4.18,24.59,9.26
,,,,,,,631,6.345,37.335,14.06
,,,,,,,632,8.62,50.705,19.095
,,,,,,,633,10.925,64.285,24.21
,,,,,,,634,12.1,71.19,26.81
,,,,,,,635,12.49,73.505,27.68
,,,,,,,636,13.065,76.865,28.945
,,,,,,,637,13.88,81.68,30.76
,,,,,,,638,14.49,85.25,32.105
,,,,,,,639,15.2,89.44,33.68
,,,,,,,640,15.595,91.755,34.555
,,,,,,,641,14.82,87.19,32.835
,,,,,,,642,13.405,78.865,29.7
,,,,,,,643,11.14,65.535,24.68
,,,,,,,644,8.66,50.955,19.19
,,,,,,,645,6.61,38.88,14.64
,,,,,,,646,5.16,30.35,11.43
,,,,,,,647,3.6,21.19,7.98
,,,,,,,648,2.33,13.705,5.16
,,,,,,,649,1.44,8.48,3.195
,,,,,,,650,1.855,10.91,4.11
,,,,,,,651,0.68,3.995,1.505
,,,,,,,652,1.06,6.24,2.35
,,,,,,,653,1.98,11.655,4.39
