Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
t10,-5263.650909243961,4754.4353110686425,-2358.9220376316193,4419.188810810228,4754.508289544394,-887.0070714546596,-5152.850792254593,0.0,-999.9643439172871,0.0,-1999.9724112582744,-0.06032517567052764,320.7627761023707,0.0,-699.9141251649451,0.0,93.62308468562856,93.62308468562856,2.385924189953215,2.6836640119422555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.896494848873,-3861.0275658510973
t11,-5413.320735144484,4754.099888866564,-2179.5715674865055,2826.8481778574505,4754.348117751875,-920.4740301632607,-5152.850830502845,0.0,-999.9628952583652,0.0,-1999.9722540577404,-0.05210623754067001,267.19041245890287,0.0,-699.8736407342082,0.0,109.7531489453425,109.7531489453425,57.893033870204874,79.01525000321976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8960321161111,-5347.07291300216
t12,-5101.880936655433,4754.436398537664,-2217.97412597153,242.6213202416984,4754.507918735391,-462.0982052401091,-5152.850875223715,0.0,-999.941997443193,0.0,-1999.9723043594115,-0.06977113625544007,321.40075252187887,0.0,-699.915223449385,0.0,109.80697362013882,109.80697362013882,41.51605233365984,50.68013909018782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8940483255416,-7189.820959103815
t13,-4932.44549359036,4754.469628866809,-2203.260884139204,0.5419928054980119,4754.511890046953,-492.0436931000854,-5152.850916860917,0.0,-999.9674321853807,0.0,-1999.9727470559587,-0.06561543869179332,315.15351992428714,0.0,-699.9207684246242,0.0,89.03078804816317,89.03078804816317,56.27520734103848,73.87228131805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8924394639289,-7287.533893860189
t14,-4736.674840357717,4754.500013207955,-2157.333517039357,-0.5083150447044318,4754.509818751696,-538.3313967339666,-5152.850955980331,0.0,-999.9607466718378,0.0,-1999.9680269919497,-0.0672124198677011,304.4296920252526,0.0,-699.9188061768571,0.0,67.10797842909363,67.10797842909363,37.4735020505193,44.492703084495815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8920384789594,-7195.884169917441
t15,-4666.210412809425,4754.502122328295,-2229.529066379755,-0.3869604627307126,4754.509842402918,-467.29697518836906,-5152.85097436925,0.0,-999.9607437922565,0.0,-1999.9680676280025,-43.31537672226273,316.61911114006625,0.0,-699.9216916075595,0.0,47.40840846117351,47.40840846117351,0.013563031330903641,0.03271642507297656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8719039762523,-7278.818000685835
t16,-4439.390176058542,4754.518847955242,-1921.2053565728977,-0.2433095800524825,4754.506414800877,-343.72351917481956,-5152.851010533698,0.0,-999.9612810433599,0.0,-1999.9680047444938,-112.884417894845,266.23431403799214,0.0,-699.9283805285313,0.0,13.734314616526092,13.734314616526092,0.07688748491119668,0.09844793363799909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8784104935736,-6807.130325179102
t17,-3950.3677148696,4158.795098133072,-1884.3551205036974,0.6337373648430003,4754.122144845174,-611.6879316675111,-5152.8510158722,0.0,-999.9660468111987,0.0,-1999.9653118376605,-0.05663226491230944,263.93853867124596,0.0,-699.892198168121,0.0,14.152940386587318,14.152940386587318,69.96102416683857,100.75693677852496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8946544980777,-6862.523265760105
t18,-3167.144388829829,2931.473283067974,-2779.1106169824134,4757.487746713198,4754.258729161407,-1534.8028616954211,-5152.851064750614,0.0,-999.9840497245392,0.0,-1999.9521249253282,0.03204075105270476,414.44057544605437,0.0,-699.8956882398548,0.0,-1.7289617366180892,-1.7289617366180892,91.14279855740597,201.34319236390843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8922432914408,-4126.912595851674
t19,-1734.3743520068374,1895.4497074909787,-2356.497577374314,1295.3331396336507,4754.298048460618,-376.29982639120703,-5152.851110200035,0.0,-999.9944029159182,0.0,-1999.9840840290728,-21.285540676710752,343.0006076195424,0.0,-699.9070661694852,0.0,-43.909572868993706,-43.909572868993706,0.01248830757435826,0.029273652112465243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.8724486950305,-6080.762289032123
