,Power Consumption,Power Consumption,Power Consumption
t62,783.6558830730208,222.41044421273054,2.031585190950013
t63,783.6558830730208,222.41044421273054,2.031585190950013
t64,783.6558830730208,222.41044421273054,2.031585190950013
t65,783.6558830730208,222.41044421273054,2.031585190950013
t66,783.6558830730208,222.41044421273054,2.031585190950013
t67,783.6558830730208,222.41044421273054,2.031585190950013
t68,783.6558830730208,222.41044421273054,2.031585190950013
t69,783.6558830730208,208.53472249200058,2.031585190950013
t70,783.6558830730208,222.41044421273054,2.031585190950013
t71,783.6558830730208,222.41044421273054,2.031585190950013
t72,783.6558830730208,222.41044421273054,2.031585190950013
t73,783.6558830730208,222.41044421273054,2.031585190950013
t74,783.6558830730208,222.41044421273054,2.031585190950013
t75,783.6558830730208,222.41044421273054,2.031585190950013
t76,783.6558830730208,222.41044421273054,2.031585190950013
t77,783.6558830730208,222.41044421273054,2.031585190950013
t78,783.6558830730208,222.41044421273054,2.031585190950013
t79,783.6558830730208,222.41044421273054,2.031585190950013
t80,783.6558830730208,222.41044421273054,2.031585190950013
t81,783.6558830730208,222.41044421273054,2.031585190950013
t82,783.6558830730208,222.41044421273054,2.031585190950013
t83,783.6558830730208,222.41044421273054,2.031585190950013
t84,783.6558830730208,222.41044421273054,2.031585190950013
t85,783.6558830730208,222.41044421273054,2.031585190950013
t86,783.6558830730208,222.41044421273054,2.031585190950013
t87,783.6558830730208,222.41044421273054,2.031585190950013
t88,783.6558830730208,222.41044421273054,2.031585190950013
t89,783.6558830730208,222.41044421273054,2.031585190950013
t90,783.6558830730208,222.41044421273054,2.031585190950013
t91,783.6558830730208,222.41044421273054,2.031585190950013
t92,783.6558830730208,222.41044421273054,2.031585190950013
t93,783.6558830730208,222.41044421273054,2.031585190950013
t94,783.6558830730208,222.41044421273054,2.031585190950013
t95,783.6558830730208,222.41044421273054,2.031585190950013
t96,783.6558830730208,222.41044421273054,2.031585190950013
t97,783.6558830730208,222.41044421273054,2.031585190950013
t98,783.6558830730208,222.41044421273054,2.031585190950013
t99,783.6558830730208,222.41044421273054,2.031585190950013
t100,783.6558830730208,222.41044421273054,2.031585190950013
t101,783.6558830730208,222.41044421273054,2.031585190950013
t102,783.6558830730208,222.41044421273054,2.031585190950013
t103,783.6558830730208,222.41044421273054,2.031585190950013
t104,783.6558830730208,222.41044421273054,2.031585190950013
t105,783.6558830730208,222.41044421273054,2.031585190950013
t106,783.6558830730208,222.41044421273054,2.031585190950013
t107,783.6558830730208,222.41044421273054,2.031585190950013
t108,783.6558830730208,222.41044421273054,2.031585190950013
t109,783.6558830730208,222.41044421273054,2.031585190950013
t110,783.6558830730208,222.41044421273054,2.031585190950013
t111,783.6558830730208,222.41044421273054,2.031585190950013
t112,783.6558830730208,222.41044421273054,2.031585190950013
t113,783.6558830730208,222.41044421273054,2.031585190950013
t114,783.6558830730208,222.41044421273054,2.031585190950013
t115,783.6558830730208,222.41044421273054,2.031585190950013
t116,783.6558830730208,222.41044421273054,2.031585190950013
t117,783.6558830730208,222.41044421273054,2.031585190950013
t118,783.6558830730208,222.41044421273054,2.031585190950013
t119,783.6558830730208,222.41044421273054,2.031585190950013
t120,783.6558830730208,222.41044421273054,2.031585190950013
t121,783.6558830730208,222.41044421273054,2.031585190950013
t122,783.6558830730208,222.41044421273054,2.031585190950013
t123,783.6558830730208,222.41044421273054,2.031585190950013
t124,783.6558830730208,222.41044421273054,2.031585190950013
t125,783.6558830730208,222.41044421273054,2.031585190950013
t126,783.6558830730208,222.41044421273054,2.031585190950013
t127,783.6558830730208,222.41044421273054,2.031585190950013
t128,783.6558830730208,222.41044421273054,2.031585190950013
t129,783.6558830730208,222.41044421273054,2.031585190950013
t130,783.6558830730208,222.41044421273054,0.0
t131,783.6558830730208,222.41044421273054,2.031585190950013
t132,783.6558830730208,222.41044421273054,2.031585190950013
t133,783.6558830730208,222.41044421273054,2.031585190950013
t134,783.6558830730208,222.41044421273054,2.031585190950013
t135,783.6558830730208,222.41044421273054,2.031585190950013
t136,783.6558830730208,222.41044421273054,2.031585190950013
t137,783.6558830730208,222.41044421273054,2.031585190950013
t138,783.6558830730208,222.41044421273054,2.031585190950013
t139,783.6558830730208,222.41044421273054,2.031585190950013
t140,783.6558830730208,222.41044421273054,2.031585190950013
t141,783.6558830730208,222.41044421273054,2.031585190950013
t142,783.6558830730208,222.41044421273054,2.031585190950013
t143,783.6558830730208,222.41044421273054,2.031585190950013
t144,783.6558830730208,222.41044421273054,2.031585190950013
t145,783.6558830730208,222.41044421273054,2.031585190950013
t146,783.6558830730208,222.41044421273054,2.031585190950013
t147,783.6558830730208,222.41044421273054,2.031585190950013
t148,783.6558830730208,222.41044421273054,2.031585190950013
t149,783.6558830730208,222.41044421273054,2.031585190950013
t150,783.6558830730208,222.41044421273054,2.031585190950013
t151,783.6558830730208,222.41044421273054,2.031585190950013
t152,783.6558830730208,222.41044421273054,2.031585190950013
t153,783.6558830730208,222.41044421273054,2.031585190950013
t154,783.6558830730208,222.41044421273054,2.031585190950013
t155,783.6558830730208,222.41044421273054,2.031585190950013
t156,783.6558830730208,222.41044421273054,2.031585190950013
