,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
t11,0.0008114987756892111,0.062202124174697566,0.00031977164225326435,0.00014046375171797553,0.006693364684386478,2.4239372259334054e-6,0.008270044751860321,0.09107910848183515,0.12493170406875709,4.2006941299740564e-5
t12,0.000948274736939461,0.062177287313224125,0.00011746097306351976,0.00011899997565212501,0.006711046077706975,2.4194709573029874e-6,0.008270219801071226,0.09109842880624243,0.12482566080337826,4.194042947917216e-5
t13,0.0009500602386532184,0.06217652368389902,0.00011677805949899083,0.00011849642872336448,0.00671098170948735,2.407382229202705e-6,0.008270327813238955,0.09109842165620417,0.12482605320168474,4.181529584164138e-5
t14,0.0009557100971104642,0.06217681960414837,0.00011664041680987816,0.00011847408362910878,0.006711834440713873,2.650136473375916e-6,0.008280921839985203,0.09109919998199677,0.1248295389572888,4.165946452406333e-5
t15,0.0009364305907550005,0.06217083574092963,0.00017976393326694473,0.00011699374823869772,0.006709796526880883,2.4681723181549216e-6,0.008280824556249967,0.09109500544728805,0.12480935202333303,4.159457355893431e-5
t16,0.0009361185413791241,0.062171591077511905,0.00017782655738099573,0.00011685440570263848,0.006709298236340063,2.7830750838469224e-6,0.008280741117303482,0.09109457552064483,0.1248108138219149,4.152607440429349e-5
t17,0.0009544871663856188,0.06217733637866813,0.00011652988513045971,0.00011798310503449824,0.0067109457453497345,2.8127930114435346e-6,0.008280705209861893,0.09109761334978765,0.12482867237429206,4.049058858375391e-5
t18,0.0009652644739839018,0.06218157730586347,0.00011647683181254269,0.00011830078854824812,0.006678237675010323,5.544390574393335e-7,0.008262608136310428,0.09109849723026615,0.12483315984648531,4.08734658510364e-5
t19,0.0009336261596875673,0.06217091472447985,0.00017873920201806544,0.00011762493458797828,0.00671151386299488,2.9288676657396614e-7,0.00826186345122945,0.09108950342290231,0.12480376388581964,4.136205935171036e-5
t20,0.0009349884299889163,0.062171843524499004,0.0001827634930382661,0.00011971111254931204,0.006707542791047615,6.463021134490133e-7,0.008262841228195525,0.0910896475475746,0.12479101881320877,4.1384280788890276e-5
t21,0.05531541480422983,0.06218915580982051,0.0005097192699818072,0.00013996805931111407,0.006779104845131396,1.2711311753251692e-5,0.04268498494230273,0.09129563504013034,0.12505513298423682,3.872333263001925e-5
t22,0.0009751715520084376,0.06218656843595826,0.00025471503916195106,0.0001343781132305676,0.0067378275710812795,1.64044948563015e-5,0.1075499035607348,0.09111051416016974,0.18295454439976622,3.8304240643331126e-5
t23,0.0009649790134770545,0.062197818518378495,0.00017505556582695758,0.000154787705778089,0.006726342782189516,1.8824862876746307e-5,0.10761211603088214,0.09109885947307299,0.18297818883432956,3.685714578440328e-5
t24,0.087894695792655,0.07615542144135985,0.0005431153640499977,0.0012311772443410476,0.006944861630854386,1.8233516900278507e-5,0.063992307825331,0.11890444353767747,0.0007090742354122074,3.334953101509264e-5
