Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
,,,,,,,308,92.081
,,,,,,,309,92.081
,,,,,,,310,92.081
,,,,,,,311,92.081
,,,,,,,312,92.081
,,,,,,,313,92.081
,,,,,,,314,92.081
,,,,,,,315,92.081
,,,,,,,316,92.081
,,,,,,,317,92.081
,,,,,,,318,92.081
,,,,,,,319,92.081
,,,,,,,320,92.081
,,,,,,,321,92.081
,,,,,,,322,92.081
,,,,,,,323,92.081
,,,,,,,324,92.081
,,,,,,,325,92.081
,,,,,,,326,92.081
,,,,,,,327,92.081
,,,,,,,328,92.081
,,,,,,,329,92.081
,,,,,,,330,92.081
,,,,,,,331,92.081
,,,,,,,332,92.081
,,,,,,,333,92.081
,,,,,,,334,92.081
,,,,,,,335,92.081
,,,,,,,336,92.081
,,,,,,,337,92.081
,,,,,,,338,92.081
,,,,,,,339,92.081
,,,,,,,340,92.081
,,,,,,,341,92.081
,,,,,,,342,92.081
,,,,,,,343,92.081
,,,,,,,344,92.081
,,,,,,,345,92.081
,,,,,,,346,92.081
,,,,,,,347,92.081
,,,,,,,348,92.081
,,,,,,,349,92.081
,,,,,,,350,92.081
,,,,,,,351,92.081
,,,,,,,352,92.081
,,,,,,,353,92.081
,,,,,,,354,92.081
,,,,,,,355,92.081
,,,,,,,356,92.081
,,,,,,,357,92.081
,,,,,,,358,92.081
,,,,,,,359,92.081
,,,,,,,360,92.081
,,,,,,,361,92.081
,,,,,,,362,92.081
,,,,,,,363,92.081
,,,,,,,364,92.081
,,,,,,,365,92.081
,,,,,,,366,92.081
,,,,,,,367,92.081
,,,,,,,368,92.081
,,,,,,,369,92.081
,,,,,,,370,92.081
,,,,,,,371,92.081
,,,,,,,372,92.081
,,,,,,,373,92.081
,,,,,,,374,92.081
,,,,,,,375,92.081
,,,,,,,376,92.081
,,,,,,,377,92.081
,,,,,,,378,92.081
,,,,,,,379,92.081
,,,,,,,380,92.081
,,,,,,,381,92.081
,,,,,,,382,92.081
