Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.99043716856917,505.11285714285737,4494.53640880137
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.29191005154395,500.01285714285734,4326.894102585063
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.71338293451873,495.64285714285734,4182.635669839546
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.32485581749354,486.5328571428573,4071.55924566422
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.51632870046832,469.0328571428573,3925.473812826223
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.77780158344311,446.06285714285735,3909.8257052534636
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.98927446641788,411.0528571428573,3796.1749710456197
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.53074734939267,366.1928571428573,3692.1504926378498
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.87222023236745,326.07285714285695,3659.1885471120017
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.89369311534223,295.80285714285696,3531.3899277791043
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.56516599831701,292.89285714285694,3397.398452633722
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.996638881291794,313.33369047619027,3397.398452633722
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85736014890969,313.33369047619027,3397.398452633722
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7180814165276,333.7745238095236,3397.398452633722
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5788026841455,354.21535714285693,3397.398452633722
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4395239517634,374.65619047619026,3397.398452633722
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.30024521938131,395.0970238095236,3397.398452633722
