Time_Index,CT_NG,ME_NG,MA_NG,None,uranium
505,5.45,5.45,5.28,0,0.74
506,5.45,5.45,5.28,0,0.74
507,5.45,5.45,5.28,0,0.74
508,5.45,5.45,5.28,0,0.74
509,5.45,5.45,5.28,0,0.74
510,5.45,5.45,5.28,0,0.74
511,5.45,5.45,5.28,0,0.74
512,5.45,5.45,5.28,0,0.74
513,5.45,5.45,5.28,0,0.74
514,5.45,5.45,5.28,0,0.74
515,5.45,5.45,5.28,0,0.74
516,5.45,5.45,5.28,0,0.74
517,5.45,5.45,5.28,0,0.74
518,5.45,5.45,5.28,0,0.74
519,5.45,5.45,5.28,0,0.74
520,5.45,5.45,5.28,0,0.74
521,5.45,5.45,5.28,0,0.74
522,5.45,5.45,5.28,0,0.74
523,5.45,5.45,5.28,0,0.74
524,5.45,5.45,5.28,0,0.74
525,5.45,5.45,5.28,0,0.74
526,5.45,5.45,5.28,0,0.74
527,5.45,5.45,5.28,0,0.74
528,5.45,5.45,5.28,0,0.74
529,5.45,5.45,5.28,0,0.74
530,5.45,5.45,5.28,0,0.74
531,5.45,5.45,5.28,0,0.74
532,5.45,5.45,5.28,0,0.74
533,5.45,5.45,5.28,0,0.74
534,5.45,5.45,5.28,0,0.74
535,5.45,5.45,5.28,0,0.74
536,5.45,5.45,5.28,0,0.74
537,5.45,5.45,5.28,0,0.74
538,5.45,5.45,5.28,0,0.74
539,5.45,5.45,5.28,0,0.74
540,5.45,5.45,5.28,0,0.74
541,5.45,5.45,5.28,0,0.74
542,5.45,5.45,5.28,0,0.74
543,5.45,5.45,5.28,0,0.74
544,5.45,5.45,5.28,0,0.74
545,5.45,5.45,5.28,0,0.74
546,5.45,5.45,5.28,0,0.74
547,5.45,5.45,5.28,0,0.74
548,5.45,5.45,5.28,0,0.74
549,5.45,5.45,5.28,0,0.74
550,5.45,5.45,5.28,0,0.74
551,5.45,5.45,5.28,0,0.74
552,5.45,5.45,5.28,0,0.74
553,5.45,5.45,5.28,0,0.74
554,5.45,5.45,5.28,0,0.74
555,5.45,5.45,5.28,0,0.74
556,5.45,5.45,5.28,0,0.74
557,5.45,5.45,5.28,0,0.74
558,5.45,5.45,5.28,0,0.74
559,5.45,5.45,5.28,0,0.74
560,5.45,5.45,5.28,0,0.74
561,5.45,5.45,5.28,0,0.74
562,5.45,5.45,5.28,0,0.74
563,5.45,5.45,5.28,0,0.74
564,5.45,5.45,5.28,0,0.74
565,5.45,5.45,5.28,0,0.74
566,5.45,5.45,5.28,0,0.74
567,5.45,5.45,5.28,0,0.74
568,5.45,5.45,5.28,0,0.74
569,5.45,5.45,5.28,0,0.74
570,5.45,5.45,5.28,0,0.74
571,5.45,5.45,5.28,0,0.74
572,5.45,5.45,5.28,0,0.74
573,5.45,5.45,5.28,0,0.74
574,5.45,5.45,5.28,0,0.74
575,5.45,5.45,5.28,0,0.74
576,5.45,5.45,5.28,0,0.74
577,5.45,5.45,5.28,0,0.74
578,5.45,5.45,5.28,0,0.74
579,5.45,5.45,5.28,0,0.74
580,5.45,5.45,5.28,0,0.74
581,5.45,5.45,5.28,0,0.74
582,5.45,5.45,5.28,0,0.74
583,5.45,5.45,5.28,0,0.74
584,5.45,5.45,5.28,0,0.74
585,5.45,5.45,5.28,0,0.74
586,5.45,5.45,5.28,0,0.74
587,5.45,5.45,5.28,0,0.74
588,5.45,5.45,5.28,0,0.74
589,5.45,5.45,5.28,0,0.74
590,5.45,5.45,5.28,0,0.74
591,5.45,5.45,5.28,0,0.74
592,5.45,5.45,5.28,0,0.74
593,5.45,5.45,5.28,0,0.74
594,5.45,5.45,5.28,0,0.74
595,5.45,5.45,5.28,0,0.74
596,5.45,5.45,5.28,0,0.74
597,5.45,5.45,5.28,0,0.74
598,5.45,5.45,5.28,0,0.74
599,5.45,5.45,5.28,0,0.74
600,5.45,5.45,5.28,0,0.74
601,5.45,5.45,5.28,0,0.74
602,5.45,5.45,5.28,0,0.74
603,5.45,5.45,5.28,0,0.74
604,5.45,5.45,5.28,0,0.74
605,5.45,5.45,5.28,0,0.74
606,5.45,5.45,5.28,0,0.74
607,5.45,5.45,5.28,0,0.74
608,5.45,5.45,5.28,0,0.74
609,5.45,5.45,5.28,0,0.74
610,5.45,5.45,5.28,0,0.74
611,5.45,5.45,5.28,0,0.74
612,5.45,5.45,5.28,0,0.74
613,5.45,5.45,5.28,0,0.74
614,5.45,5.45,5.28,0,0.74
615,5.45,5.45,5.28,0,0.74
616,5.45,5.45,5.28,0,0.74
617,5.45,5.45,5.28,0,0.74
618,5.45,5.45,5.28,0,0.74
619,5.45,5.45,5.28,0,0.74
620,5.45,5.45,5.28,0,0.74
621,5.45,5.45,5.28,0,0.74
622,5.45,5.45,5.28,0,0.74
623,5.45,5.45,5.28,0,0.74
624,5.45,5.45,5.28,0,0.74
625,5.45,5.45,5.28,0,0.74
626,5.45,5.45,5.28,0,0.74
627,5.45,5.45,5.28,0,0.74
628,5.45,5.45,5.28,0,0.74
629,5.45,5.45,5.28,0,0.74
630,5.45,5.45,5.28,0,0.74
631,5.45,5.45,5.28,0,0.74
632,5.45,5.45,5.28,0,0.74
633,5.45,5.45,5.28,0,0.74
634,5.45,5.45,5.28,0,0.74
635,5.45,5.45,5.28,0,0.74
636,5.45,5.45,5.28,0,0.74
637,5.45,5.45,5.28,0,0.74
638,5.45,5.45,5.28,0,0.74
639,5.45,5.45,5.28,0,0.74
640,5.45,5.45,5.28,0,0.74
641,5.45,5.45,5.28,0,0.74
642,5.45,5.45,5.28,0,0.74
643,5.45,5.45,5.28,0,0.74
644,5.45,5.45,5.28,0,0.74
645,5.45,5.45,5.28,0,0.74
646,5.45,5.45,5.28,0,0.74
647,5.45,5.45,5.28,0,0.74
648,5.45,5.45,5.28,0,0.74
649,5.45,5.45,5.28,0,0.74
650,5.45,5.45,5.28,0,0.74
651,5.45,5.45,5.28,0,0.74
652,5.45,5.45,5.28,0,0.74
653,5.45,5.45,5.28,0,0.74
654,5.45,5.45,5.28,0,0.74
655,5.45,5.45,5.28,0,0.74
656,5.45,5.45,5.28,0,0.74
657,5.45,5.45,5.28,0,0.74
658,5.45,5.45,5.28,0,0.74
659,5.45,5.45,5.28,0,0.74
660,5.45,5.45,5.28,0,0.74
661,5.45,5.45,5.28,0,0.74
662,5.45,5.45,5.28,0,0.74
663,5.45,5.45,5.28,0,0.74
664,5.45,5.45,5.28,0,0.74
665,5.45,5.45,5.28,0,0.74
666,5.45,5.45,5.28,0,0.74
667,5.45,5.45,5.28,0,0.74
668,5.45,5.45,5.28,0,0.74
669,5.45,5.45,5.28,0,0.74
670,5.45,5.45,5.28,0,0.74
671,5.45,5.45,5.28,0,0.74
672,5.45,5.45,5.28,0,0.74
673,5.45,5.45,5.28,0,0.74
674,5.45,5.45,5.28,0,0.74
675,5.45,5.45,5.28,0,0.74
676,5.45,5.45,5.28,0,0.74
677,5.45,5.45,5.28,0,0.74
678,5.45,5.45,5.28,0,0.74
679,5.45,5.45,5.28,0,0.74
680,5.45,5.45,5.28,0,0.74
681,5.45,5.45,5.28,0,0.74
682,5.45,5.45,5.28,0,0.74
683,5.45,5.45,5.28,0,0.74
684,5.45,5.45,5.28,0,0.74
685,5.45,5.45,5.28,0,0.74
686,5.45,5.45,5.28,0,0.74
687,5.45,5.45,5.28,0,0.74
688,5.45,5.45,5.28,0,0.74
689,5.45,5.45,5.28,0,0.74
690,5.45,5.45,5.28,0,0.74
691,5.45,5.45,5.28,0,0.74
692,5.45,5.45,5.28,0,0.74
693,5.45,5.45,5.28,0,0.74
694,5.45,5.45,5.28,0,0.74
695,5.45,5.45,5.28,0,0.74
