Zone,1,2,3
t86,3455.3262490408315,3448.683718972305,2030.870572148013
t87,3455.3262490408315,3448.683718972305,2030.870572148013
t88,3455.3262490408315,3448.683718972305,2030.870572148013
t89,3455.3262490408315,3448.683718972305,2030.870572148013
t90,3455.3262490408315,3448.683718972305,2030.870572148013
t91,3455.3262490408315,3448.683718972305,2030.870572148013
t92,3455.3262490408315,3448.683718972305,2030.870572148013
t93,3455.3262490408315,12337.144373811134,2030.870572148013
t94,3455.3262490408315,4074.8590252508325,1944.4505478012886
t95,3455.3262490408315,3448.683718972305,0.1
t96,3455.3262490408315,3448.683718972305,0.1
t97,3455.3262490408315,3448.683718972305,0.1
t98,3455.3262490408315,3448.683718972305,0.1
t99,3455.3262490408315,3448.683718972305,0.1
t100,3455.3262490408315,3448.683718972305,0.1
t101,3455.3262490408315,3448.683718972305,1944.4505478012886
t102,3455.3262490408315,3448.683718972305,2170.9061280188835
t103,3455.3262490408315,3448.683718972305,3253.092794370235
t104,3455.3262490408315,3448.683718972305,3680.222440641228
t105,3455.3262490408315,3448.683718972305,3680.222440641228
t106,3455.3262490408315,3448.683718972305,3680.222440641228
t107,3455.3262490408315,3448.683718972305,3253.092794370235
t108,3455.3262490408315,0.1,3253.092794370235
t109,3455.3262490408315,0.1,3253.092794370235
t110,3455.3262490408315,0.1,3253.092794370235
t111,3455.3262490408315,1203.054393400147,3253.092794370235
t112,3455.3262490408315,3448.683718972305,3253.092794370235
t113,3455.3262490408315,3448.683718972305,3253.092794370235
t114,3455.3262490408315,3448.683718972305,3253.092794370235
t115,3455.3262490408315,3448.683718972305,3253.092794370235
t116,3455.3262490408315,3448.683718972305,3253.092794370235
t117,3455.3262490408315,3448.683718972305,3253.092794370235
t118,3455.3262490408315,3448.683718972305,3225.977020940048
t119,3455.3262490408315,3448.683718972305,3225.977020940048
t120,3455.3262490408315,3448.683718972305,3225.977020940048
t121,3455.3262490408315,3448.683718972305,3225.977020940048
t122,3455.3262490408315,3448.683718972305,3114.6633137587355
t123,3455.3262490408315,3448.683718972305,3114.6633137587355
t124,3455.3262490408315,3448.683718972305,3114.6633137587355
t125,3455.3262490408315,3448.683718972305,3225.977020940048
t126,3455.3262490408315,3448.683718972305,3225.977020940048
t127,3455.3262490408315,3448.683718972305,3253.092794370235
t128,3455.3262490408315,3448.683718972305,26531.893993869253
t129,3455.3262490408315,3448.683718972305,26531.893993869253
t130,3455.3262490408315,3448.683718972305,50000.0
t131,3455.3262490408315,3448.683718972305,26531.893993869253
t132,0.0,3448.683718972305,26531.893993869253
t133,949.5719488757895,3448.683718972305,21577.17149135543
t134,109.34410955633666,2918.6889397381588,25493.204692055093
t135,3455.3262490408315,3448.683718972305,3253.092794370235
t136,3455.3262490408315,3448.683718972305,3253.092794370235
t137,3455.3262490408315,3448.683718972305,3843.773339284304
t138,3455.3262490408315,3448.683718972305,3253.092794370235
t139,3455.3262490408315,3448.683718972305,3253.092794370235
t140,3455.3262490408315,3448.683718972305,3253.092794370235
t141,3455.3262490408315,3448.683718972305,3253.092794370235
t142,3455.3262490408315,3448.683718972305,3253.092794370235
t143,3455.3262490408315,3448.683718972305,3253.092794370235
t144,3455.3262490408315,3448.683718972305,3253.092794370235
t145,3455.3262490408315,3448.683718972305,3253.092794370235
t146,3455.3262490408315,3448.683718972305,3253.092794370235
t147,3455.3262490408315,3448.683718972305,3253.092794370235
t148,3455.3262490408315,3448.683718972305,3253.092794370235
t149,3455.3262490408315,3448.683718972305,3253.092794370235
t150,3455.3262490408315,3448.683718972305,3253.092794370235
t151,3455.3262490408315,3448.683718972305,3253.092794370235
t152,3455.3262490408315,3448.683718972305,3253.092794370235
t153,3455.3262490408315,3448.683718972305,3253.092794370235
t154,0.0,3448.683718972305,3253.092794370235
t155,0.0,0.0,3253.092794370235
t156,0.0,0.0,3253.092794370235
t157,0.0,0.0,3253.092794370235
t158,0.0,0.0,3253.092794370235
t159,0.0,3448.683718972305,3253.092794370235
t160,3455.3262490408315,3448.683718972305,1944.4505478012886
t161,3455.3262490408315,3448.683718972305,0.1
t162,3455.3262490408315,3448.683718972305,0.1
t163,3455.3262490408315,3448.683718972305,0.1
t164,3455.3262490408315,3448.683718972305,0.1
t165,3455.3262490408315,3448.683718972305,26.698139165315297
t166,3455.3262490408315,3448.683718972305,1944.4505478012886
t167,3455.3262490408315,3448.683718972305,1944.4505478012886
t168,3455.3262490408315,3448.683718972305,1944.4505478012886
