,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t12,12142.6383441411,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11358.982461068079,3343.797140345408,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3244.509234984194,9233.482109771336,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1548.9471839635692
t13,12249.828297978545,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11466.172414905524,3581.480745207001,0.0,-84.08138741773986,0,0,-0.0,0.0,0.0,0.0,-0.0,-3274.98891357653,10267.882682792204,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1563.6590296728566
t14,12353.865606114889,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11570.209723041868,3651.0015752331137,0.0,-123.12253885151615,0,0,-0.0,0.0,0.0,0.0,-0.0,-3305.4685921688665,9608.908180622484,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1577.3200292600523
t15,12354.916488015257,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11571.260604942236,3597.4555433882706,0.0,-68.52548360693811,0,0,-0.0,0.0,0.0,0.0,-0.0,-3306.519615568602,10419.48308868264,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1577.3200292600523
t16,12362.272661317824,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11578.616778244805,3529.9810831810682,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3307.570638968338,11220.200513829866,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1578.3708753821443
t17,12374.883244122231,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11591.22736104921,3533.134153380276,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3310.723709167545,11264.971312079926,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1580.4725676263283
t18,12273.998581686988,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11490.342698613968,3504.756521587411,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3282.34607737468,12011.554497489493,0.0,-761.2950311188549,0,0,-0.0,0.0,0.0,0.0,-0.0,-1565.7607219170407
t19,11960.186075442438,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11174.027246603468,3414.3685092101377,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3191.9580649974077,11340.217452630177,0.0,-133.0426772653096,0,0,-0.0,0.0,0.0,0.0,-0.0,-1522.6760309112697
t20,11677.12421747587,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10916.561181013527,3368.9985378953043,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3118.3864270159065,11933.791884454686,0.0,-761.2950311188549,0,0,-0.0,0.0,0.0,0.0,-0.0,-1487.9981088822346
t21,11603.554255296875,0.0,-0.0,0,0,-0.0,125.54014311261221,0.0,-0.0,-0.0,-10969.105276031882,3396.392865491604,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3133.100754612207,11941.14780730933,0.0,-761.2950311188549,0,0,-0.0,0.0,0.0,0.0,-0.0,-1495.3540317368784
t22,11352.638660496967,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10559.26133488871,3279.7292681209383,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3016.437157241541,11124.157931719601,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1439.6591872660038
t23,10251.314428912236,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9457.937103303979,2964.4222482002197,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2701.1301373208225,10973.88693626045,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1289.3881918068516
t24,9190.974591441824,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8397.597265833567,2661.7275090763296,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2398.4353981969325,11591.216048652703,0.0,-761.2950311188549,0,0,-0.0,0.0,0.0,0.0,-0.0,-1145.4222730802512
t25,8504.748710502101,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7711.371384893844,2466.237156725484,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2202.945045846087,10754.768772316058,0.0,-19.42390577048718,0,0,-0.0,0.0,0.0,0.0,-0.0,-1050.8461220919735
t26,8084.395950355258,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7291.018624747001,2346.420489155611,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2083.128378276214,11027.862693962543,0.0,-349.2635180099387,0,0,-0.0,0.0,0.0,0.0,-0.0,-994.100431499007
t27,7887.881034986608,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7094.503709378351,2289.665225569882,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2026.3731146904847,10644.349777942714,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-966.7784323246157
t28,7809.064892459075,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7015.687566850818,2267.5937341754316,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2004.3016232960344,10212.379300611128,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-956.269971103696
t29,7981.409524119281,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7188.032198511024,2315.940810563275,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2052.648699683878,10801.691513293888,0.0,-150.35333692848,0,0,-0.0,0.0,0.0,0.0,-0.0,-980.4394319118113
t30,8488.481958983568,0.0,-23.666760695416087,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7671.437872679894,2454.6758993283916,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2191.383788448994,10330.53598363566,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1045.5918914815138
t31,9677.532911311793,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8884.155585703538,2800.462597841446,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2537.170486962049,5748.923234107999,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1210.5747326499536
t32,10743.199543415123,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9950.800714576153,3086.5993837648075,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2841.9672728854102,3082.957022269638,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1356.6423436207378
t33,11299.62312391226,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10515.12429507329,3226.2353206574426,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3003.824876444712,1807.7809278223738,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1433.354110533452
t34,11658.737376112504,0.0,-7.911761343209803,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10867.169731696273,3327.133567032073,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3104.7231228193423,2147.0176752632274,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1481.6930321496827
t35,11950.32695637392,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11166.671073300899,3412.2664624106665,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3189.856018197936,3321.0664191504493,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1522.6760309112697
t36,12135.82952972587,0.0,-23.666760695416087,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11328.506885957433,3458.5114919990388,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3236.1010477863083,4603.265320121986,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1543.6929533531093
t37,12184.673620155785,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11401.017737082764,3479.5319599937534,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3257.121515781023,5304.313012630833,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1554.2014145740288
t38,12319.186503402774,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11535.530620329753,3517.3688023842396,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3294.958358171509,7824.683599692466,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1572.0657986495926
t39,12290.812692092863,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11507.156809019842,3508.9606151863536,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3286.550170973623,8609.602227182431,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1568.9132602833165
t40,12229.86154187157,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11446.20565879855,3492.1442407905815,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3269.7337965778515,9072.824747653325,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1559.4556451844887
t41,12204.64037626276,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11420.984493189739,3484.787076992432,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3262.3766327797016,8202.223048945834,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1557.353952940305
t42,12098.501304325682,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11314.845421252661,3454.3073984000957,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3231.8969541873653,4223.284511001089,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1542.6421072310172
t43,11837.1995197994,0.0,-0.0,0,0,-0.0,33.260412146619,0.0,-0.0,-0.0,-11086.804048872998,3389.1439476164805,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3166.73350340375,10617.060097124093,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1512.16756969035
t44,11603.554255296875,0.0,-0.0,0,0,-0.0,100.3189775038003,0.0,-0.0,-0.0,-10943.88411042307,3371.195701693454,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3125.743590814057,11469.286271016317,0.0,-353.75687931420805,0,0,-0.0,0.0,0.0,0.0,-0.0,-1491.1506472485105
t45,11603.554255296875,0.0,-0.0,0,0,-0.0,168.14933321203534,0.0,-0.0,-0.0,-11011.140552046567,3407.954122888697,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3144.6620120093,11785.913596053433,0.0,-645.2665892524972,0,0,-0.0,0.0,0.0,0.0,-0.0,-1500.6082623473383
t46,11321.112203485953,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10527.734877877696,3270.2700575233166,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3006.9779466439195,11848.149578350087,0.0,-761.2950311188549,0,0,-0.0,0.0,0.0,0.0,-0.0,-1435.4558027776359
t47,10281.790004022881,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9488.412678414625,2973.881458797841,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2710.5893479184438,9717.517820883071,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1293.5915762952195
t48,9291.859253877066,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8498.48192826881,2690.105140869194,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2426.813029989797,8998.613268687666,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1158.0324265453548
t49,8630.854538546155,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7837.477212937898,2501.9719523164995,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2238.679841437102,9788.913914369572,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1068.7105061675372
t50,8255.689700115096,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7462.31237450684,2394.7675655434546,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2131.4754546640575,8966.628816042477,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1017.2190461850304
t51,8052.869493344245,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7259.492167735988,2336.9612785579898,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2073.6691676785927,9440.57577400403,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-989.8970470106391
t52,7987.714815521484,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7194.337489913227,2318.042857362747,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2054.7507464833493,8901.700912731547,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-981.4902780339033
t53,8130.634753971411,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7337.257428363154,2359.03276995244,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2095.740659073043,5498.039129172325,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1000.4055082315589
t54,8694.958334468547,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7901.581008860291,2513.695003141371,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2257.598262632345,7536.784962560802,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1077.117275144273
t55,9849.51345570455,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9061.754626865579,2811.08107776183,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2588.6706335490994,5905.90106768636,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1235.7950395801608
t56,10930.971513017823,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10147.315629944802,3121.13298068387,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2898.7225364711394,7923.249619030897,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1383.9643427951291
t57,11442.750998496605,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10659.095115423585,3267.225233247136,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3044.8147890344057,8934.81297554644,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1453.3201868531994
t58,11734.896166798662,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10951.240283725641,3350.2560818262587,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3127.845637613528,9038.099547723885,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1493.2523394926945
t59,11960.83577537759,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11177.17989230457,3414.368509210138,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3191.9580649974077,8056.882622188599,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1523.7268770333617
t60,12061.720437812834,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11278.064554739813,3443.7971644027384,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3221.386720190008,9373.406421865735,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1537.3878766205573
t61,12047.008091207694,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11263.352208134673,3439.593070803796,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3217.182626591065,7890.088729946028,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1535.2861843763735
t62,12070.12749301577,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11286.47160994275,3445.8992112022106,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3223.4887669894797,6878.82707928358,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1538.4387227426494
t63,11985.006059086034,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11201.350176013013,3421.725673008288,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3199.3152287955577,6866.9013208028555,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1526.8794153996375
t64,11899.884625156297,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11116.228742083276,3397.5521348143666,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3175.141690601636,6366.668410408955,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1515.320108056626
t65,11921.953145064008,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11138.297261990987,3403.858275212781,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3181.4478310000504,5634.925114946116,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1518.4726464229018
t66,11913.54608986107,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11129.89020678805,3401.756228413309,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3179.3457842005787,7363.547285549526,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1517.4218003008098
t67,11744.354103901966,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10960.698220828945,3332.3128710166843,0.0,-0.0,0,0,-0.0,9.392996123438207,0.0,0.0,-0.0,-3130.9987078127356,8170.146477095501,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1494.3031856147863
t68,11585.934442378464,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10792.557116770207,3309.6412531693218,0.0,-13.82713242597398,0,0,-0.0,9.247954894274676,0.0,0.0,-0.0,-3082.651631424892,6175.537026029062,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1471.184570928763
t69,11603.554255296875,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10813.57475477755,3090.968095624561,0.0,-0.0,0,0,-0.0,83.40185983922927,0.0,0.0,-0.0,-3088.9577718233063,6927.9686720622785,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1474.337109295039
t70,11274.8733998698,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10481.496074261544,3097.538179394585,0.0,-0.0,0,0,-0.0,8.98309699754127,0.0,0.0,-0.0,-2994.3656658470904,7641.138819193575,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1429.1507260450842
t71,10271.281185019212,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9477.903859410955,2970.728388598634,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2707.436277719237,9625.022920851048,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1292.5407301731275
t72,9261.38367876642,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8468.006353158164,2681.6969536713086,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2418.4048427919115,9211.468510058736,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1154.879888179079
t73,8561.496333121924,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7768.119007513668,2482.00250772152,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2218.710396842123,9263.238004095383,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1059.2528910687095
t74,8153.754155779487,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7360.37683017123,2365.3389103508543,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2102.0467994714572,9550.016388228758,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1002.5072004757428
t75,7899.4407358906465,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7106.06341028239,2292.818295769089,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2029.5261848896919,10506.81521732222,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-968.8801245687996
t76,7820.6245933631135,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7027.247267754857,2270.7468043746385,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2007.4546934952416,11335.460729446113,0.0,-705.2703216446348,0,0,-0.0,0.0,0.0,0.0,-0.0,-958.3716633478799
t77,7954.086594709736,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7160.70926910148,2308.583646765125,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2045.2915358857279,10541.638069791612,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-976.2360474234434
t78,8455.138764415562,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7661.979935576591,2560.4853679807,0.0,-123.12253885151615,0,0,-0.0,0.0,0.0,0.0,-0.0,-2188.230718249787,10845.09870100848,0.0,-174.79891119545937,0,0,-0.0,0.0,0.0,0.0,-0.0,-1044.5410453594218
t79,9596.83268151681,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8810.593852677841,2738.5604631800647,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2516.1500189673343,7264.246553725085,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1201.1171175511258
t80,10655.640455121642,0.0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9871.984572048621,3042.30622570369,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2819.8957814909595,4795.007952523008,0.0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1346.1338823998183
