Zone,1,2,3,4,5,6,7,8,9,10,Total
t23,1.9233980208167516e-5,1.8136929161803237e-5,5.732273324983612e-6,1.589293717909878e-5,1.6064393389156934e-5,9.077673174710937e-6,1.2807584853416457e-5,2.4602988651394546e-5,5.675733875146538e-6,5.657270002561249e-6,0.00013288176382043982
t24,1.8879782667711084e-5,1.7654179714622707e-5,5.611461796007876e-6,1.5536463524406854e-5,1.5659906288419843e-5,9.072200641910352e-6,1.235144882460246e-5,2.4138357351588186e-5,5.675770154055744e-6,5.6580049117344635e-6,0.00013023757587505956
t25,1.8830396163637235e-5,1.76009182298306e-5,5.606981285889136e-6,1.5478971272912528e-5,1.5604228567827908e-5,9.038608293577264e-6,1.2300735451465786e-5,2.4090502454761447e-5,5.67551831041835e-6,5.658604734771956e-6,0.0001298854647650922
t26,1.8837230175937778e-5,1.759474200106467e-5,5.609053803114924e-6,1.5481683122760646e-5,1.5606247685138613e-5,8.959854164372862e-6,1.23202851188148e-5,2.407857052504003e-5,5.674208947398451e-6,5.658808756940862e-6,0.00012982068430058365
t27,1.8838235578946685e-5,1.7591291345800416e-5,5.609173495288396e-6,1.5485483450642442e-5,1.5603803106498485e-5,8.04822488751196e-6,1.2351671541025791e-5,2.4072149862572932e-5,5.674583818163262e-6,5.65915372810268e-6,0.00012893377081455308
t28,1.8844633993093465e-5,1.759597663845947e-5,5.609352706314375e-6,1.5486417305822602e-5,1.5613409495883604e-5,7.985025057300943e-6,1.2379971506671149e-5,2.4073141252294354e-5,5.6753966194950395e-6,5.6592803623089806e-6,0.000128922604937644
t29,1.8852392259303617e-5,1.761111717370083e-5,5.611848788398132e-6,1.5483737124058245e-5,1.5630530025710744e-5,7.978668235378028e-6,1.2395312447361169e-5,2.409281136046629e-5,5.676094550440205e-6,5.658738403872916e-6,0.00012899125036869017
t30,1.9437173636938737e-5,1.8251109688666612e-5,5.731850491042721e-6,1.5976718073231773e-5,1.605533737307277e-5,7.975477072361642e-6,1.2398604554333024e-5,2.4763437305213142e-5,5.677122855078146e-6,5.657950942021536e-6,0.0001319247819919601
t31,1.9583484842987548e-5,1.8388546954545844e-5,5.807581487180468e-6,1.6100710615511305e-5,1.6153425196573767e-5,7.98278424630076e-6,1.2350511427031308e-5,2.4913601734183738e-5,5.676697475021465e-6,5.66367243351315e-6,0.00013262101641284935
t32,1.9608217606182977e-5,1.8389149400652944e-5,5.805657859992817e-6,1.609626148738974e-5,1.6145190635521155e-5,8.421192155400464e-6,1.2717904283479408e-5,2.4844756775014434e-5,5.677595772431544e-6,5.660819684153493e-6,0.00013336674566021898
