region,Resource,zone,Cluster,R_ID,SubsidyRevenue
NL0 0,NL0 0 coal,8,1,70,0.0
NL0 0,NL0 0 nuclear,8,1,71,0.0
NL0 0,NL0 0 offwind-ac,8,1,72,0.0
NL0 0,NL0 0 offwind-dc,8,1,73,0.0
NL0 0,NL0 0 onwind,8,1,74,0.0
NL0 0,NL0 0 solar,8,1,75,0.0
NO3 0,NO3 0 CCGT,9,1,76,0.0
NO3 0,NO3 0 OCGT,9,1,77,0.0
NO3 0,NO3 0 offwind-ac,9,1,78,0.0
NO3 0,NO3 0 offwind-dc,9,1,79,0.0
NO3 0,NO3 0 onwind,9,1,80,0.0
NO3 0,NO3 0 solar,9,1,81,0.0
SE3 2,NO3 0 coal,9,1,82,0.0
NL0 0,NO3 0 nuclear,9,1,83,0.0
SE3 0,SE3 0 CCGT,10,1,84,0.0
SE3 1,SE3 0 biomass,10,1,85,0.0
SE3 2,SE3 0 coal,10,1,86,0.0
SE3 3,SE3 0 nuclear,10,1,87,0.0
SE3 4,SE3 0 offwind-ac,10,1,88,0.0
SE3 5,SE3 0 offwind-dc,10,1,89,0.0
SE3 6,SE3 0 oil,10,1,90,0.0
SE3 7,SE3 0 onwind,10,1,91,0.0
SE3 8,SE3 0 ror,10,1,92,0.0
SE3 9,SE3 0 solar,10,1,93,0.0
DE0 0,DE0 0 hydro,2,1,94,0.0
FR0 0,FR0 0 hydro,5,1,95,0.0
GB5 0,GB5 0 hydro,7,1,96,0.0
NO3 0,NO3 0 hydro,9,1,97,0.0
SE3 0,SE3 0 hydro,10,1,98,0.0
DE0 0,DE0 0 PHS,2,1,99,0.0
FR0 0,FR0 0 PHS,5,1,100,0.0
GB5 0,GB5 0 PHS,7,1,101,0.0
NO3 0,NO3 0 PHS,9,1,102,0.0
SE3 0,SE3 0 PHS,10,1,103,0.0
BE0 0,BE0 0 Battery,1,1,104,0.0
DE0 0,DE0 0 Battery,2,1,105,0.0
DK0 0,DK0 0 Battery,3,1,106,0.0
DK3 0,DK3 0 Battery,4,1,107,0.0
FR0 0,FR0 0 Battery,5,1,108,0.0
GB4 0,GB4 0 Battery,6,1,109,0.0
GB5 0,GB5 0 Battery,7,1,110,0.0
NL0 0,NL0 0 Battery,8,1,111,0.0
NO0 0,NO0 0 Battery,9,1,112,0.0
SE3 0,SE3 0 Battery,10,1,113,0.0
