Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioH2_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SW_Bio_H2_Wood,3,2,1.822,19.3,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Wood,4,2,1.827,19.11,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Wood,5,2,1.819,19.06,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CEN_Bio_H2_Wood,6,2,1.814,19.16,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Wood,7,2,1.829,19.18,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Wood,8,2,1.819,18.99,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Wood,9,2,1.83,18.87,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CA_Bio_H2_CCS_99_Wood,1,2,1.843,19.36,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Wood,2,2,1.842,19.5,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Wood,3,2,1.822,19.3,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Wood,4,2,1.827,19.11,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Wood,5,2,1.819,19.06,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Wood,6,2,1.814,19.16,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Wood,7,2,1.829,19.18,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Wood,8,2,1.819,18.99,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Wood,9,2,1.83,18.87,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CA_Bio_H2_Agri_Res,1,3,1.72,18.33,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_Agri_Res,2,3,1.665,16.76,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SW_Bio_H2_Agri_Res,3,3,1.681,16.97,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Agri_Res,4,3,1.622,16.48,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Agri_Res,5,3,1.709,17.28,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CEN_Bio_H2_Agri_Res,6,3,1.697,17.14,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Agri_Res,7,3,1.689,17.23,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Agri_Res,8,3,1.709,17.3,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Agri_Res,9,3,1.716,17.51,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CA_Bio_H2_CCS_99_Agri_Res,1,3,1.72,18.33,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Agri_Res,2,3,1.665,16.76,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Agri_Res,3,3,1.681,16.97,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Agri_Res,4,3,1.622,16.48,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Agri_Res,5,3,1.709,17.28,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Agri_Res,6,3,1.697,17.14,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Agri_Res,7,3,1.689,17.23,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Agri_Res,8,3,1.709,17.3,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Agri_Res,9,3,1.716,17.51,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
