,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
t44,45.240190001083306,142.04001395757305,0.8959696297762868,0.4272329913624941,15.785917757640265,7.92001798807757,254.89619047878492,172.61811397918703,0.12327074960632103,1.8057258353246788
t45,45.24016539225011,142.04000048923976,0.8961365220453976,0.4272067381847699,15.785900056143813,7.9200052627834125,254.89617450711893,172.61797849573608,0.1232704318378134,1.8059501640930629
t46,45.24016494653795,142.04013407555217,0.8962385558965298,0.427330052721317,15.785899812385807,7.919988968396725,254.89617091465948,172.61822260119266,0.12328041424593482,1.805957959383356
t47,45.24016672863809,142.04013808935093,0.8963448653324578,0.42733752041591716,15.785906580044914,7.9200123030960565,254.8964707029419,172.61824736645283,0.12327855197781881,1.8059647677471897
t48,45.240174188455036,142.0401370250136,0.8963504667432809,0.42733862445695214,15.785920378548798,7.920720664411147,254.89714523169448,172.61825436200337,0.12328054959228366,1.8059627418320532
t49,45.240191500979485,142.0401335744309,0.8963499921871165,0.42733804958216476,15.785938569423898,7.920775561760832,254.89724811763958,172.6182960369044,0.12327879815657602,1.80596032024181
t50,45.240286711105995,142.04013020413754,0.8963551925352288,0.42735631444036853,15.786061885211263,7.920776249682005,254.89719016748273,172.61825792274135,0.12327628999021795,1.8059556586253724
t51,45.24036616295866,142.04022324146192,0.8963605973146478,0.4274505984332012,15.786168961716996,7.920760712830542,254.89715815257875,172.61835380772183,0.1232831757578731,1.805952096318534
t52,45.240356856911134,142.04022633843178,0.8963787628560848,0.4274553707754024,15.786157604003503,7.920758182684985,254.8971681179879,172.6183579963954,0.12328114970216025,1.8059465909009516
t53,45.240200629747726,142.04015078941126,0.8962559921077616,0.42736339037797166,15.785951563445813,7.9207572447058485,254.89715186015815,172.61827659564474,0.12327807390536667,1.8059398597639083
t54,45.24020114763016,142.04002308115506,0.8961767627276751,0.42723670036910094,15.785923680450557,7.920755941223401,254.89713708041464,172.61825369424733,0.12327337859498834,1.8059314169835023
t55,45.24019400768769,142.03986425215217,0.8957305219247823,0.4270214650274254,15.785760849944278,7.920731755467737,254.8971467776732,172.6181211924099,0.1232680455125783,1.8056159262145148
t56,45.24009887197539,142.03986738855716,0.8952559533707188,0.42633918471010895,15.785762085659087,7.920031384015907,254.89621519290068,172.61796041852955,0.12327257649518326,1.8051974239703539
t57,45.24019091602651,142.03986832749715,0.895140670345137,0.4264718237606395,15.78575133884576,7.920001719404111,254.89617927404288,172.6181097570094,0.12327152684301836,1.8052600240108783
t58,45.24020277760302,142.03986996653398,0.8953116695033958,0.4266590120520989,15.785745054282849,7.920005034696242,254.89620188205367,172.61814598266966,0.12327377784872072,1.8053667888024683
t59,45.24023178457243,142.03986845708351,0.8953387236377346,0.42668654079512996,15.785735175088881,7.920014601073379,254.8962015618508,172.618179480953,0.12327133633590641,1.8053820890898649
t60,45.24016670314729,142.0398746772519,0.8951809409623899,0.4265355092599932,15.785747361259041,7.92001971725699,254.89620800513813,172.61817831331464,0.12327323338291743,1.8052770064485977
t61,45.240055616290405,142.03987625955597,0.895701276621143,0.4270443078623227,15.785747398936568,7.920021636004181,254.8962179635179,172.61792876302624,0.12327888546482685,1.8055788998115367
t62,45.240128311583135,142.0398737258831,0.8957279229790064,0.42707826884385197,15.78574406927694,7.9200223069294715,254.89622043665122,172.61805700713433,0.12327573435543321,1.8055424478293705
t63,45.24004665758426,142.03987646850132,0.8957372651411242,0.4270858869663646,15.785748851985758,7.920022609530751,254.89623105197288,172.61793531329369,0.12327404385353494,1.805586315122075
