t,SE_Electrolyzer_H2Gen,MIDAT_Electrolyzer_H2Gen,NE_Electrolyzer_H2Gen,SE_Large_SMR_wCCS_96pct_H2Gen,MIDAT_Large_SMR_wCCS_96pct_H2Gen,NE_Large_SMR_wCCS_96pct_H2Gen,SE_ATR_wCCS_94pct_H2Gen,MIDAT_ATR_wCCS_94pct_H2Gen,NE_ATR_wCCS_94pct_H2Gen,SE_Above_ground_storage_H2Gen,MIDAT_Above_ground_storage_H2Gen,NE_Above_ground_storage_H2Gen
2493,2024.7375549890528,4234.49374372453,611.4404359714295,4.283819532816069e-25,3825.6765435905268,1514.1187619626367,8.446793672862096e-26,1.0412184141024214e-25,9.133347587175435e-26,12746.262445010947,2.1742186573743243e-26,1.8351710506738994e-26
2494,14103.591212301177,4234.49374372453,611.4404359714295,4.2810444524849445e-25,3825.676543590526,1514.1187619626357,8.452484698052316e-26,1.0415641032760313e-25,9.13281318622192e-26,667.4087876988236,1.9570487184357316e-26,1.8189445000366667e-26
2495,18222.637994901474,4234.49374372453,611.4404359714295,4.279069529298968e-25,3825.6765435905268,1514.1187619626364,8.458879463976511e-26,1.0418897124398602e-25,9.132205679186658e-26,1.7994554842903973e-26,1.8271232136764088e-26,1.8173880441797488e-26
2496,18222.637994901474,4234.49374372453,611.4404359714295,4.27800913407049e-25,3825.6765435905804,1514.118761962638,8.462156244304774e-26,1.0422091436905317e-25,9.131320519553943e-26,1.753965754062629e-26,1.8032319988880479e-26,1.814190725659413e-26
2497,18222.637994901474,4234.49374372453,611.4404359714293,4.277024305113057e-25,3825.67654359053,1514.1187619626512,8.46421368221818e-26,1.042433062466703e-25,9.129873777987159e-26,1.736609074881917e-26,1.790814800215565e-26,1.8185415051587927e-26
2498,18222.637994901474,4234.49374372453,611.4404359714293,4.276641656018653e-25,3825.676543590514,1514.1187619626367,8.466621903110377e-26,1.0426897079244752e-25,9.128538841269893e-26,1.7338817236565283e-26,1.7932598258262905e-26,1.8218553126267006e-26
2499,18222.637994901474,4234.49374372453,611.4404359714295,4.27660405475421e-25,3825.6765435905236,1514.1187619626323,8.469165817595133e-26,1.042951390733805e-25,9.127008398206046e-26,1.738171957889674e-26,1.8034680027648478e-26,1.8176756633766693e-26
2500,18222.637994901474,4234.49374372453,611.4404359714295,4.276012046988198e-25,3825.67654359054,1514.1187619626212,8.470183524259528e-26,1.0430779729075236e-25,9.124547789072293e-26,1.738985962042185e-26,1.807276944328961e-26,1.828217796442687e-26
2501,18222.637994901474,4234.49374372453,611.4404359714295,4.275244250326012e-25,3825.676543590514,1514.1187619626457,8.47059270644483e-26,1.043136613360739e-25,9.121894875946841e-26,1.735864685895817e-26,1.798351305792405e-26,1.82457454751675e-26
2502,18222.637994901474,4234.49374372453,611.4404359714295,4.2746655507176e-25,3825.6765435905304,1514.1187619626367,8.469944063472496e-26,1.0431419935736343e-25,9.118632067807222e-26,1.7177146521339002e-26,1.781590193675405e-26,1.810807779134983e-26
2503,18222.637994901474,4234.49374372453,611.4404359714295,4.2737659396706e-25,3825.6765435905318,1514.1187619626367,8.468264451245173e-26,1.043029742626972e-25,9.11465735487446e-26,1.7149290182711258e-26,1.7575642286356135e-26,1.8396287174508336e-26
