Voll,Demand_Segment,Cost_of_Demand_Curtailment_p_MWh,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1
,,,,,,,487,391.0434
,,,,,,,488,553.6828
,,,,,,,489,723.4106
,,,,,,,490,930.9432
,,,,,,,491,1063.6538
,,,,,,,492,1090.826
,,,,,,,493,1086.1004
,,,,,,,494,1053.415
,,,,,,,495,1030.9684
,,,,,,,496,986.0752
,,,,,,,497,938.4254
,,,,,,,498,841.1568
,,,,,,,499,723.4106
,,,,,,,500,578.4922
,,,,,,,501,461.13980000000004
,,,,,,,502,358.358
,,,,,,,503,258.3328
,,,,,,,504,176.0286
,,,,,,,505,63.79560000000001
,,,,,,,506,48.043600000000005
,,,,,,,507,68.915
,,,,,,,508,157.52
,,,,,,,509,324.49120000000005
,,,,,,,510,528.0858000000001
,,,,,,,511,661.1902
,,,,,,,512,757.6712
,,,,,,,513,797.0512
,,,,,,,514,843.9134
,,,,,,,515,1000.6458000000001
,,,,,,,516,1065.6228
,,,,,,,517,1097.1268
,,,,,,,518,1076.2554
,,,,,,,519,1065.6228
,,,,,,,520,1021.5172000000001
,,,,,,,521,969.1418
,,,,,,,522,856.9088000000002
,,,,,,,523,713.5656000000001
,,,,,,,524,543.8378
,,,,,,,525,413.49
,,,,,,,526,288.26160000000004
,,,,,,,527,178.39140000000003
,,,,,,,528,105.53840000000001
,,,,,,,529,98.05620000000002
,,,,,,,530,70.884
,,,,,,,531,65.3708
,,,,,,,532,96.87480000000001
,,,,,,,533,174.4534
,,,,,,,534,286.2926
,,,,,,,535,432.39240000000007
,,,,,,,536,590.7
,,,,,,,537,746.251
,,,,,,,538,827.7676
,,,,,,,539,853.7584
,,,,,,,540,890.7756
,,,,,,,541,947.8766
,,,,,,,542,990.407
,,,,,,,543,1036.4816
,,,,,,,544,1062.4724
,,,,,,,545,1010.8846000000001
,,,,,,,546,915.1912
,,,,,,,547,759.6402
,,,,,,,548,587.9434
,,,,,,,549,448.932
,,,,,,,550,347.72540000000004
,,,,,,,551,244.15600000000003
,,,,,,,552,155.55100000000002
,,,,,,,553,66.5522
,,,,,,,554,48.8312
,,,,,,,555,68.52120000000001
,,,,,,,556,159.489
,,,,,,,557,342.99980000000005
,,,,,,,558,551.32
,,,,,,,559,682.0616000000001
,,,,,,,560,781.6930000000001
,,,,,,,561,823.4358000000001
,,,,,,,562,787.9938000000001
,,,,,,,563,783.662
,,,,,,,564,812.4094
,,,,,,,565,863.6034000000001
,,,,,,,566,896.6826000000001
,,,,,,,567,969.5356000000002
,,,,,,,568,1029.3932
,,,,,,,569,1000.6458000000001
,,,,,,,570,940.7882000000001
,,,,,,,571,774.9984000000001
,,,,,,,572,569.041
,,,,,,,573,411.91480000000007
,,,,,,,574,309.92060000000004
,,,,,,,575,183.90460000000002
,,,,,,,576,103.96320000000001
,,,,,,,577,69.3088
,,,,,,,578,50.800200000000004
,,,,,,,579,71.67160000000001
,,,,,,,580,166.57740000000004
,,,,,,,581,358.358
,,,,,,,582,575.7356
,,,,,,,583,711.9904
,,,,,,,584,815.9536
,,,,,,,585,860.0592
,,,,,,,586,823.042
,,,,,,,587,818.3164
,,,,,,,588,848.2452000000001
,,,,,,,589,901.4082000000001
,,,,,,,590,936.0626000000001
,,,,,,,591,1012.4598000000001
,,,,,,,592,1075.074
,,,,,,,593,1044.7514
,,,,,,,594,982.5310000000001
,,,,,,,595,808.8652000000001
,,,,,,,596,594.2442
,,,,,,,597,430.0296
,,,,,,,598,323.70360000000005
,,,,,,,599,191.78060000000002
,,,,,,,600,108.6888
,,,,,,,601,73.24680000000001
,,,,,,,602,53.55680000000001
,,,,,,,603,75.6096
,,,,,,,604,175.6348
,,,,,,,605,378.4418
,,,,,,,606,608.0272
,,,,,,,607,752.1580000000001
,,,,,,,608,862.0282000000001
,,,,,,,609,908.4966000000001
,,,,,,,610,869.1166000000001
,,,,,,,611,864.3910000000001
,,,,,,,612,896.2888000000002
,,,,,,,613,952.2084000000001
,,,,,,,614,988.8318
,,,,,,,615,1069.5608
,,,,,,,616,1135.3254
,,,,,,,617,1103.8214
,,,,,,,618,1037.663
,,,,,,,619,854.546
,,,,,,,620,627.7172
,,,,,,,621,454.0514
,,,,,,,622,341.8184
,,,,,,,623,202.80700000000002
,,,,,,,624,114.59580000000001
,,,,,,,625,112.6268
,,,,,,,626,79.5476
,,,,,,,627,77.18480000000001
,,,,,,,628,107.90120000000002
,,,,,,,629,200.4442
,,,,,,,630,329.2168
,,,,,,,631,499.73220000000003
,,,,,,,632,678.9112
,,,,,,,633,860.4530000000001
,,,,,,,634,952.996
,,,,,,,635,983.7124000000001
,,,,,,,636,1028.9994
,,,,,,,637,1093.1888000000001
,,,,,,,638,1141.2324
,,,,,,,639,1197.152
,,,,,,,640,1228.2622000000001
,,,,,,,641,1167.2232000000001
,,,,,,,642,1055.7778
,,,,,,,643,877.3864000000001
,,,,,,,644,682.0616000000001
,,,,,,,645,520.6036
,,,,,,,646,406.40160000000003
,,,,,,,647,283.536
,,,,,,,648,183.51080000000002
,,,,,,,649,113.4144
,,,,,,,650,146.09980000000002
,,,,,,,651,53.55680000000001
,,,,,,,652,83.4856
,,,,,,,653,155.94480000000001
,,,,,,,654,255.97000000000003
,,,,,,,655,391.0434
,,,,,,,656,553.6828
,,,,,,,657,723.4106
,,,,,,,658,930.9432
,,,,,,,659,1063.6538
,,,,,,,660,1090.826
,,,,,,,661,1086.1004
,,,,,,,662,1053.415
,,,,,,,663,1030.9684
,,,,,,,664,986.0752
,,,,,,,665,938.4254
,,,,,,,666,841.1568
,,,,,,,667,723.4106
,,,,,,,668,578.4922
,,,,,,,669,461.13980000000004
,,,,,,,670,358.358
,,,,,,,671,258.3328
,,,,,,,672,176.0286
,,,,,,,673,63.79560000000001
,,,,,,,674,48.043600000000005
,,,,,,,675,68.915
,,,,,,,676,157.52
,,,,,,,677,324.49120000000005
,,,,,,,678,528.0858000000001
,,,,,,,679,661.1902
,,,,,,,680,757.6712
,,,,,,,681,797.0512
,,,,,,,682,843.9134
,,,,,,,683,1000.6458000000001
,,,,,,,684,1065.6228
,,,,,,,685,1097.1268
,,,,,,,686,1076.2554
,,,,,,,687,1065.6228
,,,,,,,688,1021.5172000000001
,,,,,,,689,969.1418
,,,,,,,690,856.9088000000002
,,,,,,,691,713.5656000000001
,,,,,,,692,543.8378
,,,,,,,693,413.49
,,,,,,,694,288.26160000000004
,,,,,,,695,178.39140000000003
,,,,,,,696,105.53840000000001
,,,,,,,697,98.05620000000002
,,,,,,,698,70.884
,,,,,,,699,65.3708
,,,,,,,700,96.87480000000001
,,,,,,,701,174.4534
,,,,,,,702,286.2926
,,,,,,,703,432.39240000000007
,,,,,,,704,590.7
,,,,,,,705,746.251
,,,,,,,706,827.7676
,,,,,,,707,853.7584
,,,,,,,708,890.7756
,,,,,,,709,947.8766
,,,,,,,710,990.407
,,,,,,,711,1036.4816
