Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_z1
,,,,,,,150,21530
,,,,,,,151,22956
,,,,,,,152,24460
,,,,,,,153,26002
,,,,,,,154,26932
,,,,,,,155,27194
,,,,,,,156,26976
,,,,,,,157,26480
,,,,,,,158,25920
,,,,,,,159,25528
,,,,,,,160,25798
,,,,,,,161,27688
,,,,,,,162,29582
,,,,,,,163,29236
,,,,,,,164,28298
,,,,,,,165,27408
,,,,,,,166,26126
,,,,,,,167,24448
,,,,,,,168,22604
,,,,,,,169,21056
,,,,,,,170,20158
,,,,,,,171,19628
,,,,,,,172,19486
,,,,,,,173,19634
,,,,,,,174,20206
,,,,,,,175,21310
,,,,,,,176,22468
,,,,,,,177,24080
,,,,,,,178,25328
,,,,,,,179,26116
,,,,,,,180,26608
,,,,,,,181,26692
,,,,,,,182,26542
,,,,,,,183,26450
,,,,,,,184,26822
,,,,,,,185,29122
,,,,,,,186,31514
,,,,,,,187,31466
,,,,,,,188,30652
,,,,,,,189,29588
,,,,,,,190,27844
,,,,,,,191,25546
,,,,,,,192,23536
,,,,,,,193,22218
,,,,,,,194,21586
,,,,,,,195,21350
,,,,,,,196,21430
,,,,,,,197,22206
,,,,,,,198,24434
,,,,,,,199,28446
,,,,,,,200,30766
,,,,,,,201,30992
,,,,,,,202,31022
,,,,,,,203,31008
,,,,,,,204,30742
,,,,,,,205,30222
,,,,,,,206,29898
,,,,,,,207,29480
,,,,,,,208,29578
,,,,,,,209,31570
,,,,,,,210,34252
,,,,,,,211,34168
,,,,,,,212,33252
,,,,,,,213,31920
,,,,,,,214,29726
,,,,,,,215,26930
,,,,,,,216,24456
,,,,,,,217,22834
,,,,,,,218,22024
,,,,,,,219,21582
,,,,,,,220,21550
,,,,,,,221,22174
,,,,,,,222,24232
,,,,,,,223,28134
,,,,,,,224,30220
,,,,,,,225,30330
,,,,,,,226,30482
,,,,,,,227,30494
,,,,,,,228,30200
,,,,,,,229,29702
,,,,,,,230,29448
,,,,,,,231,29182
,,,,,,,232,29380
,,,,,,,233,31306
,,,,,,,234,33492
,,,,,,,235,33248
,,,,,,,236,32424
,,,,,,,237,31206
,,,,,,,238,29150
,,,,,,,239,26438
,,,,,,,240,24080
,,,,,,,241,22588
,,,,,,,242,21838
,,,,,,,243,21492
,,,,,,,244,21590
,,,,,,,245,22266
,,,,,,,246,24492
,,,,,,,247,28416
,,,,,,,248,30492
,,,,,,,249,30494
,,,,,,,250,30312
,,,,,,,251,30204
,,,,,,,252,29962
,,,,,,,253,29540
,,,,,,,254,29372
,,,,,,,255,29090
,,,,,,,256,29288
,,,,,,,257,31182
,,,,,,,258,33504
,,,,,,,259,33378
,,,,,,,260,32556
,,,,,,,261,31308
,,,,,,,262,29164
,,,,,,,263,26378
,,,,,,,264,23920
,,,,,,,265,22300
,,,,,,,266,21410
,,,,,,,267,20990
,,,,,,,268,20980
,,,,,,,269,21632
,,,,,,,270,23666
,,,,,,,271,27324
,,,,,,,272,29852
,,,,,,,273,30552
,,,,,,,274,31054
,,,,,,,275,31488
,,,,,,,276,31600
,,,,,,,277,31476
,,,,,,,278,31336
,,,,,,,279,30920
,,,,,,,280,30848
,,,,,,,281,32320
,,,,,,,282,33988
,,,,,,,283,33642
,,,,,,,284,32644
,,,,,,,285,31272
,,,,,,,286,29074
,,,,,,,287,26308
,,,,,,,288,23902
,,,,,,,289,22214
,,,,,,,290,21364
,,,,,,,291,20960
,,,,,,,292,20886
,,,,,,,293,21448
,,,,,,,294,23368
,,,,,,,295,27018
,,,,,,,296,29404
,,,,,,,297,29870
,,,,,,,298,29996
,,,,,,,299,30036
,,,,,,,300,29906
,,,,,,,301,29634
,,,,,,,302,29514
,,,,,,,303,29402
,,,,,,,304,29828
,,,,,,,305,31684
,,,,,,,306,33544
,,,,,,,307,33240
,,,,,,,308,32390
,,,,,,,309,31312
,,,,,,,310,29704
,,,,,,,311,27548
,,,,,,,312,25396
,,,,,,,313,23720
,,,,,,,314,22740
,,,,,,,315,22190
,,,,,,,316,22016
,,,,,,,317,22246
,,,,,,,318,23028
,,,,,,,319,24488
,,,,,,,320,25958
,,,,,,,321,27622
,,,,,,,322,28930
,,,,,,,323,29482
,,,,,,,324,29296
,,,,,,,325,28832
,,,,,,,326,28290
,,,,,,,327,28034
,,,,,,,328,28262
,,,,,,,329,30106
,,,,,,,330,32620
,,,,,,,331,32612
,,,,,,,332,31880
,,,,,,,333,30876
,,,,,,,334,29654
,,,,,,,335,28200
,,,,,,,336,26508
,,,,,,,337,24916
,,,,,,,338,23962
,,,,,,,339,23576
,,,,,,,340,23530
,,,,,,,341,23792
,,,,,,,342,24456
,,,,,,,343,25600
,,,,,,,344,26834
,,,,,,,345,28578
,,,,,,,346,29888
,,,,,,,347,30604
,,,,,,,348,30844
,,,,,,,349,30820
,,,,,,,350,30508
,,,,,,,351,30320
,,,,,,,352,30562
,,,,,,,353,32542
,,,,,,,354,35130
,,,,,,,355,35172
,,,,,,,356,34196
,,,,,,,357,33216
,,,,,,,358,31562
,,,,,,,359,29584
,,,,,,,360,27604
,,,,,,,361,26216
,,,,,,,362,25488
,,,,,,,363,25196
,,,,,,,364,25208
,,,,,,,365,25790
,,,,,,,366,27312
,,,,,,,367,29826
,,,,,,,368,31678
,,,,,,,369,32952
,,,,,,,370,33664
,,,,,,,371,33936
,,,,,,,372,33666
,,,,,,,373,33124
,,,,,,,374,32748
,,,,,,,375,32334
,,,,,,,376,32398
,,,,,,,377,34046
,,,,,,,378,36244
,,,,,,,379,35844
,,,,,,,380,34760
,,,,,,,381,33180
,,,,,,,382,30908
,,,,,,,383,28184
,,,,,,,384,25676
,,,,,,,385,23950
,,,,,,,386,22978
,,,,,,,387,22540
,,,,,,,388,22424
,,,,,,,389,22990
,,,,,,,390,24942
,,,,,,,391,28488
,,,,,,,392,30566
,,,,,,,393,30874
,,,,,,,394,30884
,,,,,,,395,30864
,,,,,,,396,30744
,,,,,,,397,30582
,,,,,,,398,30546
,,,,,,,399,30442
,,,,,,,400,30736
,,,,,,,401,32442
,,,,,,,402,34098
,,,,,,,403,33622
,,,,,,,404,32610
,,,,,,,405,31102
,,,,,,,406,28850
,,,,,,,407,26042
,,,,,,,408,23518
,,,,,,,409,21820
,,,,,,,410,20952
,,,,,,,411,20504
,,,,,,,412,20452
,,,,,,,413,21124
,,,,,,,414,23304
,,,,,,,415,27304
,,,,,,,416,29396
,,,,,,,417,29614
,,,,,,,418,29794
,,,,,,,419,30024
,,,,,,,420,30040
,,,,,,,421,29902
,,,,,,,422,29868
,,,,,,,423,29724
,,,,,,,424,29974
,,,,,,,425,31758
,,,,,,,426,34758
,,,,,,,427,35012
,,,,,,,428,34402
,,,,,,,429,33218
,,,,,,,430,31212
,,,,,,,431,28654
,,,,,,,432,26302
,,,,,,,433,24838
,,,,,,,434,24138
,,,,,,,435,23848
,,,,,,,436,23902
,,,,,,,437,24660
,,,,,,,438,26864
,,,,,,,439,30882
,,,,,,,440,32990
,,,,,,,441,33082
,,,,,,,442,32916
,,,,,,,443,32736
,,,,,,,444,32328
,,,,,,,445,31822
,,,,,,,446,31504
,,,,,,,447,31130
,,,,,,,448,31344
,,,,,,,449,32924
,,,,,,,450,35128
,,,,,,,451,35064
,,,,,,,452,34460
,,,,,,,453,33076
,,,,,,,454,30898
,,,,,,,455,28154
,,,,,,,456,25668
,,,,,,,457,23986
,,,,,,,458,23038
,,,,,,,459,22598
,,,,,,,460,22504
,,,,,,,461,23184
,,,,,,,462,25214
,,,,,,,463,28974
,,,,,,,464,30972
,,,,,,,465,31196
,,,,,,,466,31288
,,,,,,,467,31376
,,,,,,,468,31248
,,,,,,,469,30898
,,,,,,,470,30674
,,,,,,,471,30304
,,,,,,,472,30356
,,,,,,,473,31704
,,,,,,,474,34200
,,,,,,,475,34068
,,,,,,,476,33232
,,,,,,,477,32150
,,,,,,,478,30602
,,,,,,,479,28492
,,,,,,,480,26284
,,,,,,,481,24714
,,,,,,,482,23830
,,,,,,,483,23290
,,,,,,,484,23080
,,,,,,,485,23278
,,,,,,,486,24032
,,,,,,,487,25518
,,,,,,,488,27288
,,,,,,,489,29264
,,,,,,,490,30982
,,,,,,,491,32042
,,,,,,,492,32494
,,,,,,,493,32492
,,,,,,,494,32078
,,,,,,,495,31556
,,,,,,,496,31332
,,,,,,,497,32530
,,,,,,,498,34584
,,,,,,,499,34228
,,,,,,,500,33042
,,,,,,,501,31820
,,,,,,,502,30240
,,,,,,,503,28300
,,,,,,,504,26400
,,,,,,,505,24916
,,,,,,,506,24100
,,,,,,,507,23704
,,,,,,,508,23534
,,,,,,,509,23690
,,,,,,,510,24334
,,,,,,,511,25480
,,,,,,,512,26730
,,,,,,,513,28386
,,,,,,,514,29408
,,,,,,,515,29812
,,,,,,,516,29804
,,,,,,,517,29626
,,,,,,,518,29402
,,,,,,,519,29314
,,,,,,,520,29366
,,,,,,,521,30736
,,,,,,,522,32780
,,,,,,,523,32792
,,,,,,,524,32194
,,,,,,,525,31014
,,,,,,,526,29070
,,,,,,,527,26896
,,,,,,,528,24692
,,,,,,,529,23110
,,,,,,,530,22300
,,,,,,,531,21976
,,,,,,,532,21994
,,,,,,,533,22674
,,,,,,,534,24750
,,,,,,,535,28534
,,,,,,,536,30658
,,,,,,,537,31120
,,,,,,,538,31376
,,,,,,,539,31622
,,,,,,,540,31574
,,,,,,,541,31270
,,,,,,,542,31058
,,,,,,,543,30722
,,,,,,,544,30736
,,,,,,,545,32136
,,,,,,,546,34180
,,,,,,,547,33896
,,,,,,,548,32822
,,,,,,,549,31272
,,,,,,,550,28998
,,,,,,,551,26144
,,,,,,,552,23562
,,,,,,,553,21916
,,,,,,,554,20876
,,,,,,,555,20366
,,,,,,,556,20236
,,,,,,,557,20814
,,,,,,,558,22734
,,,,,,,559,26552
,,,,,,,560,28660
,,,,,,,561,28874
,,,,,,,562,28754
,,,,,,,563,28788
,,,,,,,564,28668
,,,,,,,565,28338
,,,,,,,566,28124
,,,,,,,567,27820
,,,,,,,568,27844
,,,,,,,569,29238
,,,,,,,570,31802
,,,,,,,571,31828
,,,,,,,572,31070
,,,,,,,573,29840
,,,,,,,574,27800
,,,,,,,575,25254
,,,,,,,576,22870
,,,,,,,577,21338
,,,,,,,578,20566
,,,,,,,579,20222
,,,,,,,580,20240
,,,,,,,581,20890
,,,,,,,582,22996
,,,,,,,583,26988
,,,,,,,584,29216
,,,,,,,585,29398
,,,,,,,586,29566
,,,,,,,587,29698
,,,,,,,588,29622
,,,,,,,589,29326
,,,,,,,590,29166
,,,,,,,591,28832
,,,,,,,592,28786
,,,,,,,593,30082
,,,,,,,594,32914
,,,,,,,595,33104
,,,,,,,596,32350
,,,,,,,597,31164
,,,,,,,598,29038
,,,,,,,599,26284
,,,,,,,600,23844
,,,,,,,601,22254
,,,,,,,602,21440
,,,,,,,603,21056
,,,,,,,604,21040
,,,,,,,605,21704
,,,,,,,606,23726
,,,,,,,607,27690
,,,,,,,608,29810
,,,,,,,609,29952
,,,,,,,610,29862
,,,,,,,611,29786
,,,,,,,612,29590
,,,,,,,613,29354
,,,,,,,614,29330
,,,,,,,615,29248
,,,,,,,616,29474
,,,,,,,617,30908
,,,,,,,618,33160
,,,,,,,619,33072
,,,,,,,620,32310
,,,,,,,621,31030
,,,,,,,622,28980
,,,,,,,623,26288
,,,,,,,624,23878
,,,,,,,625,22244
,,,,,,,626,21310
,,,,,,,627,20882
,,,,,,,628,20730
,,,,,,,629,21278
,,,,,,,630,23154
,,,,,,,631,26698
,,,,,,,632,29100
,,,,,,,633,29844
,,,,,,,634,30330
,,,,,,,635,30656
,,,,,,,636,30760
,,,,,,,637,30550
,,,,,,,638,30308
,,,,,,,639,29906
,,,,,,,640,29770
,,,,,,,641,30680
,,,,,,,642,32006
,,,,,,,643,31534
,,,,,,,644,30472
,,,,,,,645,29326
,,,,,,,646,27778
,,,,,,,647,25710
,,,,,,,648,23618
,,,,,,,649,21934
,,,,,,,650,20920
,,,,,,,651,20400
,,,,,,,652,20208
,,,,,,,653,20392
,,,,,,,654,21246
,,,,,,,655,22720
,,,,,,,656,24294
,,,,,,,657,25962
,,,,,,,658,27030
,,,,,,,659,27502
,,,,,,,660,27238
,,,,,,,661,26724
,,,,,,,662,26026
,,,,,,,663,25600
,,,,,,,664,25608
,,,,,,,665,26832
,,,,,,,666,29408
,,,,,,,667,29622
,,,,,,,668,28756
,,,,,,,669,27878
,,,,,,,670,26536
,,,,,,,671,24826
,,,,,,,672,23002
,,,,,,,673,21518
,,,,,,,674,20630
,,,,,,,675,20156
,,,,,,,676,20002
,,,,,,,677,20194
,,,,,,,678,20796
,,,,,,,679,21896
,,,,,,,680,23006
,,,,,,,681,24664
,,,,,,,682,25790
,,,,,,,683,26406
,,,,,,,684,26622
,,,,,,,685,26538
,,,,,,,686,26268
,,,,,,,687,25986
,,,,,,,688,26098
,,,,,,,689,27602
,,,,,,,690,30662
,,,,,,,691,31140
,,,,,,,692,30404
,,,,,,,693,29258
,,,,,,,694,27410
,,,,,,,695,25164
,,,,,,,696,23078
,,,,,,,697,21668
,,,,,,,698,20970
,,,,,,,699,20698
,,,,,,,700,20780
,,,,,,,701,21530
,,,,,,,702,23654
,,,,,,,703,27660
,,,,,,,704,29804
,,,,,,,705,30088
,,,,,,,706,30342
,,,,,,,707,30320
,,,,,,,708,30186
,,,,,,,709,29952
,,,,,,,710,29728
,,,,,,,711,29414
,,,,,,,712,29518
,,,,,,,713,30760
,,,,,,,714,33686
,,,,,,,715,34054
,,,,,,,716,33250
,,,,,,,717,32004
,,,,,,,718,29818
,,,,,,,719,27042
,,,,,,,720,24548
,,,,,,,721,22990
,,,,,,,722,22138
,,,,,,,723,21726
,,,,,,,724,21688
,,,,,,,725,22314
,,,,,,,726,24334
,,,,,,,727,28182
,,,,,,,728,30314
,,,,,,,729,30520
,,,,,,,730,30488
,,,,,,,731,30342
,,,,,,,732,29994
,,,,,,,733,29480
,,,,,,,734,29064
,,,,,,,735,28576
,,,,,,,736,28410
,,,,,,,737,29386
,,,,,,,738,32118
,,,,,,,739,32484
,,,,,,,740,31704
,,,,,,,741,30412
,,,,,,,742,28356
,,,,,,,743,25638
,,,,,,,744,23218
,,,,,,,745,21660
,,,,,,,746,20802
,,,,,,,747,20390
,,,,,,,748,20392
,,,,,,,749,20966
,,,,,,,750,23022
,,,,,,,751,26866
,,,,,,,752,29086
,,,,,,,753,29306
,,,,,,,754,29326
,,,,,,,755,29304
,,,,,,,756,29244
,,,,,,,757,28942
,,,,,,,758,28664
,,,,,,,759,28088
,,,,,,,760,27846
,,,,,,,761,28650
,,,,,,,762,31196
,,,,,,,763,31544
,,,,,,,764,30770
,,,,,,,765,29530
,,,,,,,766,27522
,,,,,,,767,24848
,,,,,,,768,22478
,,,,,,,769,20944
,,,,,,,770,20154
,,,,,,,771,19794
,,,,,,,772,19824
,,,,,,,773,20484
,,,,,,,774,22616
,,,,,,,775,26604
,,,,,,,776,28718
,,,,,,,777,29108
,,,,,,,778,29374
,,,,,,,779,29660
,,,,,,,780,29724
,,,,,,,781,29604
,,,,,,,782,29554
,,,,,,,783,29458
,,,,,,,784,29726
,,,,,,,785,31014
,,,,,,,786,32932
,,,,,,,787,33024
,,,,,,,788,32268
,,,,,,,789,31096
,,,,,,,790,29080
,,,,,,,791,26458
,,,,,,,792,24108
,,,,,,,793,22566
,,,,,,,794,21744
,,,,,,,795,21450
,,,,,,,796,21492
,,,,,,,797,22156
,,,,,,,798,24304
,,,,,,,799,28268
,,,,,,,800,30220
,,,,,,,801,30458
,,,,,,,802,30386
,,,,,,,803,30318
,,,,,,,804,30022
,,,,,,,805,29476
,,,,,,,806,29106
,,,,,,,807,28654
,,,,,,,808,28506
,,,,,,,809,29354
,,,,,,,810,31702
,,,,,,,811,32022
,,,,,,,812,31230
,,,,,,,813,30180
,,,,,,,814,28612
,,,,,,,815,26474
,,,,,,,816,24170
,,,,,,,817,22468
,,,,,,,818,21528
,,,,,,,819,21006
,,,,,,,820,20804
,,,,,,,821,20960
,,,,,,,822,21720
,,,,,,,823,23214
,,,,,,,824,24748
,,,,,,,825,26368
,,,,,,,826,27356
,,,,,,,827,27694
,,,,,,,828,27482
,,,,,,,829,27026
,,,,,,,830,26456
,,,,,,,831,26102
,,,,,,,832,26132
,,,,,,,833,27162
,,,,,,,834,29784
,,,,,,,835,30354
,,,,,,,836,29654
,,,,,,,837,28818
,,,,,,,838,27542
,,,,,,,839,25842
,,,,,,,840,24056
,,,,,,,841,22626
,,,,,,,842,21814
,,,,,,,843,21438
,,,,,,,844,21332
,,,,,,,845,21494
,,,,,,,846,22122
,,,,,,,847,23164
,,,,,,,848,24440
,,,,,,,849,26132
,,,,,,,850,27216
,,,,,,,851,27666
,,,,,,,852,27818
,,,,,,,853,27704
,,,,,,,854,27312
,,,,,,,855,27034
,,,,,,,856,27184
,,,,,,,857,28368
,,,,,,,858,30912
,,,,,,,859,30506
,,,,,,,860,29020
,,,,,,,861,28268
,,,,,,,862,27048
,,,,,,,863,26118
,,,,,,,864,23976
,,,,,,,865,22368
,,,,,,,866,21610
,,,,,,,867,21336
,,,,,,,868,21410
,,,,,,,869,22092
,,,,,,,870,24164
,,,,,,,871,27946
,,,,,,,872,29828
,,,,,,,873,30094
,,,,,,,874,29934
,,,,,,,875,29854
,,,,,,,876,29588
,,,,,,,877,29064
,,,,,,,878,28658
,,,,,,,879,28148
,,,,,,,880,27938
,,,,,,,881,28808
,,,,,,,882,31550
,,,,,,,883,32340
,,,,,,,884,31538
,,,,,,,885,30150
,,,,,,,886,27990
,,,,,,,887,25388
,,,,,,,888,23022
,,,,,,,889,21528
,,,,,,,890,20746
,,,,,,,891,20438
,,,,,,,892,20478
,,,,,,,893,21160
,,,,,,,894,23310
,,,,,,,895,27140
,,,,,,,896,29058
,,,,,,,897,29262
,,,,,,,898,29280
,,,,,,,899,29310
,,,,,,,900,29214
,,,,,,,901,28918
,,,,,,,902,28698
,,,,,,,903,28338
,,,,,,,904,28360
,,,,,,,905,29340
,,,,,,,906,31926
,,,,,,,907,32572
,,,,,,,908,31916
,,,,,,,909,30752
,,,,,,,910,28756
,,,,,,,911,26136
,,,,,,,912,23880
,,,,,,,913,22456
,,,,,,,914,21778
,,,,,,,915,21554
,,,,,,,916,21692
,,,,,,,917,22422
,,,,,,,918,24682
,,,,,,,919,28666
,,,,,,,920,30600
,,,,,,,921,30838
,,,,,,,922,30682
,,,,,,,923,30492
,,,,,,,924,30148
,,,,,,,925,29678
,,,,,,,926,29428
,,,,,,,927,29170
,,,,,,,928,29448
,,,,,,,929,30666
,,,,,,,930,33038
,,,,,,,931,33414
,,,,,,,932,32578
,,,,,,,933,31294
,,,,,,,934,29172
,,,,,,,935,26346
,,,,,,,936,23956
,,,,,,,937,22388
,,,,,,,938,21598
,,,,,,,939,21230
,,,,,,,940,21254
,,,,,,,941,21968
,,,,,,,942,24194
,,,,,,,943,28134
,,,,,,,944,29950
,,,,,,,945,29954
,,,,,,,946,29712
,,,,,,,947,29544
,,,,,,,948,29216
,,,,,,,949,28742
,,,,,,,950,28438
,,,,,,,951,27988
,,,,,,,952,27912
,,,,,,,953,28738
,,,,,,,954,31326
,,,,,,,955,32300
,,,,,,,956,31710
,,,,,,,957,30650
,,,,,,,958,28758
,,,,,,,959,26126
,,,,,,,960,23840
,,,,,,,961,22416
,,,,,,,962,21674
,,,,,,,963,21358
,,,,,,,964,21420
,,,,,,,965,22110
,,,,,,,966,24190
,,,,,,,967,27968
,,,,,,,968,29872
,,,,,,,969,29874
,,,,,,,970,29548
,,,,,,,971,29320
,,,,,,,972,28942
,,,,,,,973,28354
,,,,,,,974,28020
,,,,,,,975,27638
,,,,,,,976,27512
,,,,,,,977,28324
,,,,,,,978,30584
,,,,,,,979,30958
,,,,,,,980,30076
,,,,,,,981,28946
,,,,,,,982,27376
,,,,,,,983,25294
,,,,,,,984,23212
,,,,,,,985,21650
,,,,,,,986,20776
,,,,,,,987,20254
,,,,,,,988,20064
,,,,,,,989,20282
,,,,,,,990,21088
,,,,,,,991,22584
,,,,,,,992,24228
,,,,,,,993,26160
,,,,,,,994,27652
,,,,,,,995,28354
,,,,,,,996,28456
,,,,,,,997,28194
,,,,,,,998,27786
,,,,,,,999,27378
,,,,,,,1000,27184
,,,,,,,1001,28018
,,,,,,,1002,30106
,,,,,,,1003,30518
,,,,,,,1004,29638
,,,,,,,1005,28670
,,,,,,,1006,27382
,,,,,,,1007,25762
,,,,,,,1008,24084
,,,,,,,1009,22844
,,,,,,,1010,22162
,,,,,,,1011,21930
,,,,,,,1012,21948
,,,,,,,1013,22244
,,,,,,,1014,22928
,,,,,,,1015,24034
,,,,,,,1016,25260
,,,,,,,1017,26984
,,,,,,,1018,28228
,,,,,,,1019,28842
,,,,,,,1020,28976
,,,,,,,1021,28854
,,,,,,,1022,28540
,,,,,,,1023,28228
,,,,,,,1024,28384
,,,,,,,1025,29586
,,,,,,,1026,32332
,,,,,,,1027,33438
,,,,,,,1028,32864
,,,,,,,1029,31714
,,,,,,,1030,29814
,,,,,,,1031,27646
,,,,,,,1032,25586
,,,,,,,1033,24188
,,,,,,,1034,23502
,,,,,,,1035,23230
,,,,,,,1036,23288
,,,,,,,1037,23968
,,,,,,,1038,26012
,,,,,,,1039,29744
,,,,,,,1040,31566
,,,,,,,1041,31704
,,,,,,,1042,31512
,,,,,,,1043,31326
,,,,,,,1044,31048
,,,,,,,1045,30458
,,,,,,,1046,30002
,,,,,,,1047,29458
,,,,,,,1048,29264
,,,,,,,1049,29962
,,,,,,,1050,32428
,,,,,,,1051,33456
,,,,,,,1052,32828
,,,,,,,1053,31662
,,,,,,,1054,29636
,,,,,,,1055,26972
,,,,,,,1056,24552
,,,,,,,1057,23006
,,,,,,,1058,22214
,,,,,,,1059,21924
,,,,,,,1060,21916
,,,,,,,1061,22590
,,,,,,,1062,24684
,,,,,,,1063,28506
,,,,,,,1064,30314
,,,,,,,1065,30432
,,,,,,,1066,30336
,,,,,,,1067,30282
,,,,,,,1068,30020
,,,,,,,1069,29674
,,,,,,,1070,29408
,,,,,,,1071,29078
,,,,,,,1072,28918
,,,,,,,1073,29526
,,,,,,,1074,31806
,,,,,,,1075,32670
,,,,,,,1076,31842
,,,,,,,1077,30604
,,,,,,,1078,28598
,,,,,,,1079,25976
,,,,,,,1080,23654
,,,,,,,1081,22076
,,,,,,,1082,21232
,,,,,,,1083,20822
,,,,,,,1084,20780
,,,,,,,1085,21356
,,,,,,,1086,23468
,,,,,,,1087,27246
,,,,,,,1088,29266
,,,,,,,1089,29664
,,,,,,,1090,29762
,,,,,,,1091,29846
,,,,,,,1092,29714
,,,,,,,1093,29362
,,,,,,,1094,29194
,,,,,,,1095,28862
,,,,,,,1096,28750
,,,,,,,1097,29462
,,,,,,,1098,31564
,,,,,,,1099,32292
,,,,,,,1100,31534
,,,,,,,1101,30246
,,,,,,,1102,28230
,,,,,,,1103,25576
,,,,,,,1104,23154
,,,,,,,1105,21686
,,,,,,,1106,20906
,,,,,,,1107,20608
,,,,,,,1108,20750
,,,,,,,1109,21420
,,,,,,,1110,23642
,,,,,,,1111,27418
,,,,,,,1112,29256
,,,,,,,1113,29490
,,,,,,,1114,29534
,,,,,,,1115,29476
,,,,,,,1116,29320
,,,,,,,1117,29140
,,,,,,,1118,29132
,,,,,,,1119,28916
,,,,,,,1120,29020
,,,,,,,1121,30066
,,,,,,,1122,32020
,,,,,,,1123,32436
,,,,,,,1124,31626
,,,,,,,1125,30370
,,,,,,,1126,28340
,,,,,,,1127,25668
,,,,,,,1128,23282
,,,,,,,1129,21646
,,,,,,,1130,20714
,,,,,,,1131,20220
,,,,,,,1132,20140
,,,,,,,1133,20662
,,,,,,,1134,22584
,,,,,,,1135,26136
,,,,,,,1136,28252
,,,,,,,1137,28850
,,,,,,,1138,29004
