Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,274,177957.0,130715.0,48513.0
,,,,,,,,275,191526.0,137464.0,50434.0
,,,,,,,,276,203639.0,142835.0,51952.0
,,,,,,,,277,212729.0,146779.0,52905.0
,,,,,,,,278,218925.0,148989.0,53405.0
,,,,,,,,279,218749.0,150560.0,53758.0
,,,,,,,,280,222556.0,151148.0,53991.0
,,,,,,,,281,220706.0,149351.0,53954.0
,,,,,,,,282,216028.0,144481.0,53191.0
,,,,,,,,283,208352.0,138217.0,51845.0
,,,,,,,,284,199800.0,132813.0,50147.0
,,,,,,,,285,191806.0,128955.0,48861.0
,,,,,,,,286,183680.0,120824.0,46710.0
,,,,,,,,287,171052.0,110643.0,43156.0
,,,,,,,,288,157854.0,102030.0,39566.0
,,,,,,,,289,146475.0,95068.0,36740.0
,,,,,,,,290,137127.0,90319.0,34738.0
,,,,,,,,291,130272.0,87144.0,33416.0
,,,,,,,,292,125669.0,85547.0,32658.0
,,,,,,,,293,123434.0,85642.0,32560.0
,,,,,,,,294,123277.0,86378.0,32920.0
,,,,,,,,295,125031.0,90691.0,34434.0
,,,,,,,,296,131466.0,98705.0,37125.0
,,,,,,,,297,145084.0,107066.0,40083.0
,,,,,,,,298,160483.0,114694.0,42454.0
,,,,,,,,299,175141.0,120639.0,44139.0
,,,,,,,,300,187192.0,124223.0,45055.0
,,,,,,,,301,196386.0,126740.0,45507.0
,,,,,,,,302,203653.0,128376.0,45453.0
,,,,,,,,303,209284.0,129471.0,45196.0
,,,,,,,,304,212852.0,130083.0,44746.0
,,,,,,,,305,213825.0,129755.0,44277.0
,,,,,,,,306,211166.0,127275.0,43976.0
,,,,,,,,307,205194.0,123168.0,43374.0
,,,,,,,,308,197334.0,119116.0,42689.0
,,,,,,,,309,189533.0,115585.0,42038.0
,,,,,,,,310,180623.0,108333.0,40290.0
,,,,,,,,311,167938.0,100149.0,37687.0
,,,,,,,,312,154696.0,92633.0,34909.0
,,,,,,,,313,142603.0,86509.0,32650.0
,,,,,,,,314,133215.0,82158.0,31129.0
,,,,,,,,315,126761.0,79440.0,30181.0
,,,,,,,,316,121972.0,77663.0,29584.0
,,,,,,,,317,119224.0,77233.0,29457.0
,,,,,,,,318,118004.0,76789.0,29516.0
,,,,,,,,319,118925.0,79837.0,30415.0
,,,,,,,,320,125019.0,87377.0,32609.0
,,,,,,,,321,138941.0,95296.0,35350.0
,,,,,,,,322,154792.0,102572.0,37649.0
,,,,,,,,323,169471.0,108579.0,39185.0
,,,,,,,,324,181980.0,113840.0,40398.0
,,,,,,,,325,192201.0,117685.0,41234.0
,,,,,,,,326,200082.0,121069.0,41854.0
,,,,,,,,327,204403.0,123636.0,42309.0
,,,,,,,,328,206602.0,125930.0,42768.0
,,,,,,,,329,207521.0,127029.0,43420.0
,,,,,,,,330,205635.0,126049.0,43842.0
,,,,,,,,331,199732.0,123027.0,43366.0
,,,,,,,,332,192852.0,119784.0,42690.0
,,,,,,,,333,186130.0,117826.0,42329.0
,,,,,,,,334,178064.0,110884.0,40590.0
,,,,,,,,335,164951.0,102242.0,37553.0
,,,,,,,,336,150960.0,94175.0,34530.0
,,,,,,,,337,106978.0,80753.0,30095.0
,,,,,,,,338,102610.0,77861.0,28547.0
,,,,,,,,339,99858.0,76112.0,27622.0
,,,,,,,,340,98577.0,75154.0,27135.0
,,,,,,,,341,98789.0,75399.0,27098.0
,,,,,,,,342,100623.0,77087.0,27643.0
,,,,,,,,343,104054.0,79833.0,28875.0
,,,,,,,,344,108961.0,83192.0,30392.0
,,,,,,,,345,115285.0,86570.0,32579.0
,,,,,,,,346,120075.0,88636.0,34250.0
,,,,,,,,347,120863.0,88763.0,35159.0
,,,,,,,,348,120057.0,88231.0,35575.0
,,,,,,,,349,119604.0,87314.0,35748.0
,,,,,,,,350,119513.0,86412.0,35633.0
,,,,,,,,351,119256.0,85579.0,35495.0
,,,,,,,,352,119081.0,86476.0,36073.0
,,,,,,,,353,120081.0,90831.0,39161.0
,,,,,,,,354,126342.0,98446.0,41587.0
,,,,,,,,355,133793.0,100009.0,41489.0
,,,,,,,,356,134656.0,98984.0,40288.0
,,,,,,,,357,131794.0,96852.0,38498.0
,,,,,,,,358,126592.0,92610.0,36030.0
,,,,,,,,359,118769.0,86538.0,32947.0
,,,,,,,,360,109963.0,80323.0,29937.0
,,,,,,,,361,101904.0,75488.0,27831.0
,,,,,,,,362,97270.0,72816.0,26653.0
,,,,,,,,363,95004.0,71608.0,25955.0
,,,,,,,,364,94634.0,71451.0,25884.0
,,,,,,,,365,96287.0,73197.0,26596.0
,,,,,,,,366,102778.0,79057.0,29042.0
,,,,,,,,367,115675.0,89225.0,33663.0
,,,,,,,,368,124754.0,95448.0,36260.0
,,,,,,,,369,127283.0,95887.0,36897.0
,,,,,,,,370,127827.0,95760.0,37352.0
,,,,,,,,371,128174.0,95888.0,37618.0
,,,,,,,,372,128604.0,95732.0,37560.0
,,,,,,,,373,129494.0,95398.0,37442.0
,,,,,,,,374,129966.0,95142.0,37398.0
,,,,,,,,375,129732.0,94189.0,37167.0
,,,,,,,,376,129101.0,93772.0,37392.0
,,,,,,,,377,129050.0,96313.0,39973.0
,,,,,,,,378,133939.0,104001.0,43140.0
,,,,,,,,379,141310.0,105706.0,43000.0
,,,,,,,,380,142373.0,104657.0,42286.0
,,,,,,,,381,139179.0,102184.0,40886.0
,,,,,,,,382,132687.0,97230.0,38367.0
,,,,,,,,383,123910.0,90075.0,34898.0
,,,,,,,,384,113277.0,82259.0,31450.0
,,,,,,,,385,104547.0,76987.0,28950.0
,,,,,,,,386,98924.0,73596.0,27521.0
,,,,,,,,387,96243.0,71895.0,26827.0
,,,,,,,,388,95296.0,71723.0,26668.0
,,,,,,,,389,96607.0,73478.0,27322.0
,,,,,,,,390,102417.0,78901.0,29690.0
,,,,,,,,391,115370.0,89115.0,34155.0
,,,,,,,,392,123977.0,95231.0,36920.0
,,,,,,,,393,126242.0,95657.0,37743.0
,,,,,,,,394,126828.0,95322.0,38254.0
,,,,,,,,395,127531.0,95214.0,38619.0
,,,,,,,,396,128094.0,94948.0,38621.0
,,,,,,,,397,128494.0,94679.0,38520.0
,,,,,,,,398,128610.0,94824.0,38469.0
