Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-24.051895444058758
