Zone,1,2,3,4,5,6,7,8,9,10
t13,-2.8965199375314027e-5,-4.218603169903443e-6,-7.483999811495179e-5,-9.685137214667127e-5,-5.013998621991983e-6,-0.0002235734679869091,-6.03532819891454e-6,-1.5279666334970247e-5,-1.9391995733634426e-5,-1.6960857876817354e-5
t14,-2.930483886560558e-5,-4.256148753928847e-6,-7.593092646927937e-5,-9.817308110739325e-5,-5.2545116308564565e-6,-0.00022805972181098045,-6.190151334084313e-6,-1.540143251509613e-5,-1.952045165533737e-5,-1.7042589296505816e-5
t15,-2.937909675954439e-5,-4.28525208282745e-6,-7.793808562833398e-5,-0.00010060958981838817,-5.431630539589734e-6,-0.0002305128590811232,-6.273234455793097e-6,-1.5453372968405003e-5,-1.9331971056788048e-5,-1.7021163664192928e-5
t16,-2.9813212043045517e-5,-4.355642053709997e-6,-7.859007072564132e-5,-0.00010140416423706208,-5.6153751065060376e-6,-0.00023393553837895568,-6.401412982046271e-6,-1.5550543788365745e-5,-1.9232254705858027e-5,-1.7226515659926008e-5
t17,-2.9248357359084726e-5,-4.312607873331609e-6,-7.162055321647169e-5,-9.295599991347363e-5,-5.44486029029729e-6,-0.0002270914489740577,-6.161774535054705e-6,-1.53614663024566e-5,-1.8930284847430348e-5,-1.66188107251076e-5
t18,-2.7800450980760645e-5,-4.217859468406054e-6,-7.020935608293592e-5,-9.125307621793772e-5,-4.717456883084279e-6,-0.0002128200794164053,-5.664129057455339e-6,-1.526124296184313e-5,-1.862446405923715e-5,-1.6572569100775416e-5
t19,-2.816225287412301e-5,-4.2887563703954825e-6,-7.477545389150301e-5,-9.676987935959986e-5,-4.799098155017223e-6,-0.00020300238849539314,-5.321629329954874e-6,-1.558969820936125e-5,-1.8837793056013725e-5,-1.692266787122339e-5
t20,-2.9057652231735146e-5,-4.3950431078833445e-6,-7.892306040954296e-5,-0.00010180820986600088,-5.007464247076874e-6,-0.0002065780613168327,-5.44032706805476e-6,-1.6131286997102087e-5,-1.8958204643304164e-5,-1.722085940416572e-5
t21,-3.0504111135898185e-5,-4.4959132174545395e-6,-8.47447573461295e-5,-0.00010904797671173242,-5.291028737264244e-6,-0.000218546863647728,-5.863257319017406e-6,-1.7121181060218472e-5,-1.934853304422023e-5,-1.7911044181675888e-5
t22,-2.992354226927361e-5,-4.56327572293126e-6,-9.248365402989909e-5,-0.0001186331816931347,-5.029385764221953e-6,-0.00023509409567539478,-6.433650322920197e-6,-1.8549712042511915e-5,-1.996753065882053e-5,-1.8794539566979804e-5
t23,-2.9999538343462347e-5,-4.673722344221299e-6,-0.00010125826181079197,-0.00012957105642148162,-5.102555503716541e-6,-0.00025863860718820905,-7.24369992288979e-6,-2.0001420131830764e-5,-2.0838393022401404e-5,-1.9835423757965616e-5
t24,-3.0484578425022935e-5,-4.684649059175214e-6,-0.00010252862578020781,-0.0001311675104648347,-5.156670582924827e-6,-0.0002700064371191316,-7.628829343463174e-6,-2.0735986721800387e-5,-2.1090525724194866e-5,-1.9888444076258113e-5
t25,-3.160722292506096e-5,-4.829552015742288e-6,-0.00010594979634138687,-0.0001354653581152463,-5.196501208583193e-6,-0.00027501043449593815,-7.795524101675257e-6,-2.174850082938683e-5,-2.134609360470383e-5,-2.0146094169868883e-5
t26,-3.2553683781704196e-5,-4.925724228911878e-6,-0.00010714143470421412,-0.00013697203115996487,-5.343585219056976e-6,-0.00027701025180980766,-7.87199888620722e-6,-2.2249109549092284e-5,-2.1483717916115347e-5,-2.0246049868810205e-5
t27,-3.3140570108279166e-5,-4.895587829035949e-6,-0.00010690721358440472,-0.00013667518688055612,-5.501353817847174e-6,-0.0002827631575016903,-8.06381644603007e-6,-2.235741525540656e-5,-2.1392406488750864e-5,-2.0203552589885e-5
t28,-3.3344601985828066e-5,-4.91109123453749e-6,-0.00010639826953599236,-0.0001360367612104449,-5.552507823851533e-6,-0.0002940675697537549,-8.444531842768765e-6,-2.249525707013925e-5,-2.130545496181674e-5,-2.0102365551451364e-5
t29,-3.24963151792604e-5,-4.698257296531326e-6,-0.00010049652515092903,-0.0001286338065013135,-5.273081908909389e-6,-0.0003063685872538151,-8.857330112960776e-6,-2.20195320736622e-5,-2.082739488649873e-5,-1.9368677014355335e-5
t30,-2.99690525163276e-5,-4.547272310585541e-6,-8.741868905982081e-5,-0.00011237113352822153,-4.803510634443976e-6,-0.0003054198742529097,-8.823021829952942e-6,-1.9948073134698665e-5,-1.929526393686556e-5,-1.7803766772008848e-5
