Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,-985.2750863991766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-1026.7434169590065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-990.0447845691941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-989.0803004267938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-1000.5511149339267,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-965.5159160970139,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-1007.2047399103961,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989.5058220747534,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1117.012538642779,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989.0813183881804,0.0
t37,1.5246702380124192e-6,2.247324955813367e-6,1.3343509702447992e-6,1.8786722225965413e-6,2.099714409661362e-6,1.095176646211316e-6,1.80176872508682e-6,1.4641814274137192e-6,1.0789156436579596e-6,1.2895434211562502e-6,1.5814318659854554e-5
t38,1.5243436434699044e-6,2.247430861560272e-6,1.3342682760651199e-6,1.878406416089433e-6,2.099297486793248e-6,1.0952080849421622e-6,1.8013232631984857e-6,1.4641561788354957e-6,1.0791902074836168e-6,1.2899295369658104e-6,1.5813553955403547e-5
t39,1.5241613732295956e-6,2.2476694034465415e-6,1.3340652980907985e-6,1.8782870668653112e-6,2.0989382276879443e-6,1.0954670248293109e-6,1.8007393686949124e-6,1.4642462151613864e-6,1.079369412101393e-6,1.290318237709331e-6,1.581326162781652e-5
t40,1.5236383638435707e-6,2.2474733031606414e-6,1.333764058165418e-6,1.87814226615334e-6,2.0983175345505496e-6,1.0958420313646325e-6,1.8005539714423066e-6,1.4640379453097091e-6,1.079605001491735e-6,1.2905326677944108e-6,1.5811907143276314e-5
t41,1.523858763161772e-6,2.2464195424217976e-6,1.33356885558265e-6,1.8771811696664764e-6,2.096022196201736e-6,1.0962327083727727e-6,1.8000957695316823e-6,1.4641258261814111e-6,1.078931070274962e-6,1.2899743289755871e-6,1.5806410230370846e-5
t42,1.5226729033181643e-6,2.246318076671127e-6,1.3334189552011151e-6,1.8770719603989143e-6,2.0953171326275887e-6,1.0964978908162272e-6,1.8007327113476877e-6,1.4640657018299884e-6,1.0786755714066319e-6,1.2902471236508903e-6,1.5805018027268336e-5
t43,1.5216462995023656e-6,2.24682772962453e-6,1.3334374882781288e-6,1.8774168586935937e-6,2.095773529515439e-6,1.096873753797428e-6,1.8028364231252785e-6,1.4647003785573301e-6,1.079004512796029e-6,1.2903168146098971e-6,1.580883378850002e-5
t44,1.521473943646369e-6,2.247316328468489e-6,1.333593322550237e-6,1.8783165510384622e-6,2.095984058357655e-6,1.0970934791838822e-6,1.8057783180079454e-6,1.4656098324326103e-6,1.0792960014467432e-6,1.290457674923355e-6,1.581491951005575e-5
t45,1.5218178535763151e-6,2.2476657940329706e-6,1.3336720377779844e-6,1.8788308964106257e-6,2.0960185335330147e-6,1.0971324193020708e-6,1.8076365770540776e-6,1.4662465718338032e-6,1.0794496399437058e-6,1.290590400377366e-6,1.5819060723841935e-5
t46,1.5239874754454838e-6,2.2472695126971505e-6,1.3338724451902361e-6,1.8789387423359882e-6,2.094915218122542e-6,1.097687157449359e-6,1.8074610978663286e-6,1.4667794828423647e-6,1.078770377844263e-6,1.2899743642749002e-6,1.5819655874068617e-5
