,Negative Emissions,Negative Emissions,Negative Emissions
t46,2702.606169321099,609.7461341778967,228.90966849648225
t47,2702.606169321099,609.7461341778967,228.90966849648225
t48,2702.606169321099,609.7461341778967,228.90966849648225
t49,2702.606169321099,609.7461341778967,228.90966849648225
t50,2702.606169321099,609.7461341778967,228.90966849648225
t51,2702.606169321099,609.7461341778967,228.90966849648225
t52,2702.606169321099,609.7461341778967,228.90966849648225
t53,2702.606169321099,609.7461341778967,228.90966849648225
t54,2702.606169321099,609.7461341778967,228.90966849648225
t55,2702.606169321099,609.7461341778967,228.90966849648225
t56,2702.606169321099,609.7461341778967,228.90966849648225
t57,2702.606169321099,609.7461341778967,228.90966849648225
t58,2702.606169321099,609.7461341778967,228.90966849648225
t59,2702.606169321099,609.7461341778967,228.90966849648225
t60,2702.606169321099,609.7461341778967,228.90966849648225
t61,2702.606169321099,609.7461341778967,228.90966849648225
t62,2702.606169321099,609.7461341778967,228.90966849648225
t63,2702.606169321099,609.7461341778967,228.90966849648225
t64,2702.606169321099,609.7461341778967,228.90966849648225
t65,2702.606169321099,609.7461341778967,228.90966849648225
t66,2702.606169321099,609.7461341778967,228.90966849648225
t67,2702.606169321099,609.7461341778967,228.90966849648225
t68,2702.606169321099,609.7461341778967,228.90966849648225
t69,2702.606169321099,563.5925696193461,228.90966849648225
t70,2702.606169321099,609.7461341778967,228.90966849648225
t71,2702.606169321099,609.7461341778967,228.90966849648225
t72,2702.606169321099,609.7461341778967,228.90966849648225
t73,2702.606169321099,609.7461341778967,228.90966849648225
t74,2702.606169321099,609.7461341778967,228.90966849648225
t75,2702.606169321099,609.7461341778967,228.90966849648225
t76,2702.606169321099,609.7461341778967,228.90966849648225
t77,2702.606169321099,609.7461341778967,228.90966849648225
t78,2702.606169321099,609.7461341778967,228.90966849648225
t79,2702.606169321099,609.7461341778967,228.90966849648225
t80,2702.606169321099,609.7461341778967,228.90966849648225
t81,2702.606169321099,609.7461341778967,228.90966849648225
t82,2702.606169321099,609.7461341778967,228.90966849648225
t83,2702.606169321099,609.7461341778967,228.90966849648225
t84,2702.606169321099,609.7461341778967,228.90966849648225
t85,2702.606169321099,609.7461341778967,228.90966849648225
t86,2702.606169321099,609.7461341778967,228.90966849648225
t87,2702.606169321099,609.7461341778967,228.90966849648225
t88,2702.606169321099,609.7461341778967,228.90966849648225
t89,2702.606169321099,609.7461341778967,228.90966849648225
t90,2702.606169321099,609.7461341778967,228.90966849648225
t91,2702.606169321099,609.7461341778967,228.90966849648225
t92,2702.606169321099,609.7461341778967,228.90966849648225
t93,2702.606169321099,609.7461341778967,228.90966849648225
t94,2702.606169321099,609.7461341778967,228.90966849648225
t95,2702.606169321099,609.7461341778967,228.90966849648225
t96,2702.606169321099,609.7461341778967,228.90966849648225
t97,2702.606169321099,609.7461341778967,228.90966849648225
t98,2702.606169321099,609.7461341778967,228.90966849648225
t99,2702.606169321099,609.7461341778967,228.90966849648225
t100,2702.606169321099,609.7461341778967,228.90966849648225
t101,2702.606169321099,609.7461341778967,228.90966849648225
t102,2702.606169321099,609.7461341778967,228.90966849648225
t103,2702.606169321099,609.7461341778967,228.90966849648225
t104,2702.606169321099,609.7461341778967,228.90966849648225
t105,2702.606169321099,609.7461341778967,228.90966849648225
t106,2702.606169321099,609.7461341778967,228.90966849648225
t107,2702.606169321099,609.7461341778967,228.90966849648225
t108,2702.606169321099,609.7461341778967,228.90966849648225
t109,2702.606169321099,609.7461341778967,228.90966849648225
t110,2702.606169321099,609.7461341778967,228.90966849648225
t111,2702.606169321099,609.7461341778967,228.90966849648225
t112,2702.606169321099,609.7461341778967,228.90966849648225
t113,2702.606169321099,609.7461341778967,228.90966849648225
t114,2702.606169321099,609.7461341778967,228.90966849648225
t115,2702.606169321099,609.7461341778967,228.90966849648225
t116,2702.606169321099,609.7461341778967,228.90966849648225
t117,2702.606169321099,609.7461341778967,228.90966849648225
t118,2702.606169321099,609.7461341778967,228.90966849648225
t119,2702.606169321099,609.7461341778967,228.90966849648225
t120,2702.606169321099,609.7461341778967,228.90966849648225
t121,2702.606169321099,609.7461341778967,228.90966849648225
t122,2702.606169321099,609.7461341778967,228.90966849648225
t123,2702.606169321099,609.7461341778967,228.90966849648225
t124,2702.606169321099,609.7461341778967,228.90966849648225
t125,2702.606169321099,609.7461341778967,228.90966849648225
t126,2702.606169321099,609.7461341778967,228.90966849648225
t127,2702.606169321099,609.7461341778967,228.90966849648225
t128,2702.606169321099,609.7461341778967,228.90966849648225
t129,2702.606169321099,609.7461341778967,228.90966849648225
t130,2702.606169321099,609.7461341778967,228.90966849648225
t131,2702.606169321099,609.7461341778967,228.90966849648225
t132,2702.606169321099,609.7461341778967,228.90966849648225
t133,2702.606169321099,609.7461341778967,228.90966849648225
t134,2702.606169321099,609.7461341778967,228.90966849648225
t135,2702.606169321099,609.7461341778967,228.90966849648225
t136,2702.606169321099,609.7461341778967,228.90966849648225
t137,2702.606169321099,609.7461341778967,228.90966849648225
t138,2702.606169321099,609.7461341778967,228.90966849648225
t139,2702.606169321099,609.7461341778967,228.90966849648225
t140,2702.606169321099,609.7461341778967,228.90966849648225
t141,2702.606169321099,609.7461341778967,228.90966849648225
t142,2702.606169321099,609.7461341778967,228.90966849648225
t143,2702.606169321099,609.7461341778967,228.90966849648225
t144,2702.606169321099,609.7461341778967,228.90966849648225
t145,2702.606169321099,609.7461341778967,228.90966849648225
t146,2702.606169321099,609.7461341778967,228.90966849648225
t147,2702.606169321099,609.7461341778967,228.90966849648225
t148,2702.606169321099,609.7461341778967,228.90966849648225
t149,2702.606169321099,609.7461341778967,228.90966849648225
t150,2702.606169321099,609.7461341778967,228.90966849648225
t151,2702.606169321099,609.7461341778967,228.90966849648225
t152,2702.606169321099,609.7461341778967,228.90966849648225
t153,2702.606169321099,609.7461341778967,228.90966849648225
t154,2702.606169321099,609.7461341778967,228.90966849648225
t155,2702.606169321099,609.7461341778967,228.90966849648225
t156,2702.606169321099,609.7461341778967,228.90966849648225
t157,2702.606169321099,609.7461341778967,228.90966849648225
t158,2702.606169321099,609.7461341778967,228.90966849648225
t159,2702.606169321099,609.7461341778967,228.90966849648225
t160,2702.606169321099,609.7461341778967,228.90966849648225
t161,2702.606169321099,609.7461341778967,228.90966849648225
t162,2702.606169321099,609.7461341778967,228.90966849648225
t163,2702.606169321099,609.7461341778967,228.90966849648225
t164,2702.606169321099,609.7461341778967,228.90966849648225
t165,2702.606169321099,609.7461341778967,228.90966849648225
t166,2702.606169321099,609.7461341778967,228.90966849648225
t167,2702.606169321099,609.7461341778967,228.90966849648225
t168,2702.606169321099,609.7461341778967,228.90966849648225
