,Capture,Capture,Capture
t69,3405.2828879710337,710.1264530874984,288.42610731477976
t70,3405.2828879710337,768.2799293113683,288.42610731477976
t71,3405.2828879710337,768.2799293113683,288.42610731477976
t72,3405.2828879710337,768.2799293113683,288.42610731477976
t73,3405.2828879710337,768.2799293113683,288.42610731477976
t74,3405.2828879710337,768.2799293113683,288.42610731477976
t75,3405.2828879710337,768.2799293113683,288.42610731477976
t76,3405.2828879710337,768.2799293113683,288.42610731477976
t77,3405.2828879710337,768.2799293113683,288.42610731477976
t78,3405.2828879710337,768.2799293113683,288.42610731477976
t79,3405.2828879710337,768.2799293113683,288.42610731477976
t80,3405.2828879710337,768.2799293113683,288.42610731477976
t81,3405.2828879710337,768.2799293113683,288.42610731477976
t82,3405.2828879710337,768.2799293113683,288.42610731477976
t83,3405.2828879710337,768.2799293113683,288.42610731477976
t84,3405.2828879710337,768.2799293113683,288.42610731477976
t85,3405.2828879710337,768.2799293113683,288.42610731477976
t86,3405.2828879710337,768.2799293113683,288.42610731477976
t87,3405.2828879710337,768.2799293113683,288.42610731477976
t88,3405.2828879710337,768.2799293113683,288.42610731477976
t89,3405.2828879710337,768.2799293113683,288.42610731477976
t90,3405.2828879710337,768.2799293113683,288.42610731477976
t91,3405.2828879710337,768.2799293113683,288.42610731477976
t92,3405.2828879710337,768.2799293113683,288.42610731477976
t93,3405.2828879710337,768.2799293113683,288.42610731477976
t94,3405.2828879710337,768.2799293113683,288.42610731477976
t95,3405.2828879710337,768.2799293113683,288.42610731477976
t96,3405.2828879710337,768.2799293113683,288.42610731477976
t97,3405.2828879710337,768.2799293113683,288.42610731477976
t98,3405.2828879710337,768.2799293113683,288.42610731477976
t99,3405.2828879710337,768.2799293113683,288.42610731477976
t100,3405.2828879710337,768.2799293113683,288.42610731477976
t101,3405.2828879710337,768.2799293113683,288.42610731477976
t102,3405.2828879710337,768.2799293113683,288.42610731477976
t103,3405.2828879710337,768.2799293113683,288.42610731477976
t104,3405.2828879710337,768.2799293113683,288.42610731477976
t105,3405.2828879710337,768.2799293113683,288.42610731477976
t106,3405.2828879710337,768.2799293113683,288.42610731477976
t107,3405.2828879710337,768.2799293113683,288.42610731477976
t108,3405.2828879710337,768.2799293113683,288.42610731477976
t109,3405.2828879710337,768.2799293113683,288.42610731477976
t110,3405.2828879710337,768.2799293113683,288.42610731477976
t111,3405.2828879710337,768.2799293113683,288.42610731477976
t112,3405.2828879710337,768.2799293113683,288.42610731477976
t113,3405.2828879710337,768.2799293113683,288.42610731477976
t114,3405.2828879710337,768.2799293113683,288.42610731477976
t115,3405.2828879710337,768.2799293113683,288.42610731477976
t116,3405.2828879710337,768.2799293113683,288.42610731477976
t117,3405.2828879710337,768.2799293113683,288.42610731477976
t118,3405.2828879710337,768.2799293113683,288.42610731477976
