Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None
178,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
179,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
180,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
181,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
182,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
183,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
184,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
185,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
186,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
187,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
188,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
189,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
190,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
191,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
192,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
193,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
194,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
195,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
196,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
197,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
198,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
199,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
200,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
201,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
202,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
203,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
204,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
205,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
206,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
207,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
208,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
209,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
210,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
211,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
212,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
213,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
214,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
215,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
216,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
217,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
218,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
219,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
220,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
221,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
222,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
223,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
224,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
225,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
226,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
227,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
228,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
229,2.95348,4.6755,6.35178,6.35178,10.04668,2.05,0.445466,0.0
