Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,,211,69613,44748,28273
,,,,212,69613,44748,28273
,,,,213,69613,44748,28273
,,,,214,69613,44748,28273
,,,,215,69613,44748,28273
,,,,216,69613,44748,28273
,,,,217,69613,44748,28273
,,,,218,69613,44748,28273
,,,,219,69613,44748,28273
,,,,220,69613,44748,28273
,,,,221,69613,44748,28273
,,,,222,69613,44748,28273
,,,,223,69613,44748,28273
,,,,224,69613,44748,28273
,,,,225,69613,44748,28273
,,,,226,69613,44748,28273
,,,,227,69613,44748,28273
,,,,228,69613,44748,28273
,,,,229,69613,44748,28273
,,,,230,69613,44748,28273
,,,,231,69613,44748,28273
,,,,232,69613,44748,28273
,,,,233,69613,44748,28273
,,,,234,69613,44748,28273
,,,,235,69613,44748,28273
,,,,236,69613,44748,28273
,,,,237,69613,44748,28273
,,,,238,69613,44748,28273
,,,,239,69613,44748,28273
,,,,240,69613,44748,28273
,,,,241,69613,44748,28273
,,,,242,69613,44748,28273
,,,,243,69613,44748,28273
,,,,244,69613,44748,28273
,,,,245,69613,44748,28273
,,,,246,69613,44748,28273
,,,,247,69613,44748,28273
,,,,248,69613,44748,28273
,,,,249,69613,44748,28273
,,,,250,69613,44748,28273
,,,,251,69613,44748,28273
,,,,252,69613,44748,28273
,,,,253,69613,44748,28273
,,,,254,69613,44748,28273
,,,,255,69613,44748,28273
,,,,256,69613,44748,28273
,,,,257,69613,44748,28273
,,,,258,69613,44748,28273
,,,,259,69613,44748,28273
,,,,260,69613,44748,28273
,,,,261,69613,44748,28273
,,,,262,69613,44748,28273
,,,,263,69613,44748,28273
,,,,264,69613,44748,28273
,,,,265,69613,44748,28273
,,,,266,69613,44748,28273
,,,,267,69613,44748,28273
,,,,268,69613,44748,28273
,,,,269,69613,44748,28273
,,,,270,69613,44748,28273
,,,,271,69613,44748,28273
,,,,272,69613,44748,28273
,,,,273,69613,44748,28273
,,,,274,69613,44748,28273
,,,,275,69613,44748,28273
,,,,276,69613,44748,28273
,,,,277,69613,44748,28273
,,,,278,69613,44748,28273
,,,,279,69613,44748,28273
,,,,280,69613,44748,28273
,,,,281,69613,44748,28273
,,,,282,69613,44748,28273
,,,,283,69613,44748,28273
,,,,284,69613,44748,28273
,,,,285,69613,44748,28273
,,,,286,69613,44748,28273
,,,,287,69613,44748,28273
,,,,288,69613,44748,28273
,,,,289,69613,44748,28273
,,,,290,69613,44748,28273
,,,,291,69613,44748,28273
,,,,292,69613,44748,28273
,,,,293,69613,44748,28273
,,,,294,69613,44748,28273
,,,,295,69613,44748,28273
,,,,296,69613,44748,28273
,,,,297,69613,44748,28273
,,,,298,69613,44748,28273
,,,,299,69613,44748,28273
,,,,300,69613,44748,28273
,,,,301,69613,44748,28273
,,,,302,69613,44748,28273
,,,,303,69613,44748,28273
,,,,304,69613,44748,28273
,,,,305,69613,44748,28273
,,,,306,69613,44748,28273
,,,,307,69613,44748,28273
,,,,308,69613,44748,28273
,,,,309,69613,44748,28273
,,,,310,69613,44748,28273
,,,,311,69613,44748,28273
,,,,312,69613,44748,28273
,,,,313,69613,44748,28273
,,,,314,69613,44748,28273
,,,,315,69613,44748,28273
,,,,316,69613,44748,28273
,,,,317,69613,44748,28273
,,,,318,69613,44748,28273
,,,,319,69613,44748,28273
,,,,320,69613,44748,28273
,,,,321,69613,44748,28273
,,,,322,69613,44748,28273
,,,,323,69613,44748,28273
,,,,324,69613,44748,28273
,,,,325,69613,44748,28273
,,,,326,69613,44748,28273
,,,,327,69613,44748,28273
,,,,328,69613,44748,28273
,,,,329,69613,44748,28273
,,,,330,69613,44748,28273
,,,,331,69613,44748,28273
,,,,332,69613,44748,28273
,,,,333,69613,44748,28273
,,,,334,69613,44748,28273
,,,,335,69613,44748,28273
,,,,336,69613,44748,28273
,,,,337,69613,44748,28273
,,,,338,69613,44748,28273
,,,,339,69613,44748,28273
,,,,340,69613,44748,28273
,,,,341,69613,44748,28273
,,,,342,69613,44748,28273
