Time_Index,Nuclear_1,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear_3,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear_4,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear_5,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear_6,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,OCGT_F_1,OCGT_F_2,OCGT_F_3,OCGT_F_4,OCGT_F_5,OCGT_F_6,CCGT_CCS_1,CCGT_CCS_2,CCGT_CCS_3,CCGT_CCS_4,CCGT_CCS_5,CCGT_CCS_6,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat_1,Storage_bat_2,Storage_bat_3,Storage_bat_4,Storage_bat_5,Storage_bat_6
12,1,0.381493314,0.653203523,0.626042516,0.52737968,0.55245795,0.532498454,1,0.605273121,0.501137075,0.660837935,0.297475767,0.192214877,0.151887215,1,0.589537055,0.606261483,0.676284102,0.127098702,0.07827219,0.039475588,1,0.701804854,0.136215456,0.161516824,0.015667971,1,0.598222557,0.517378263,0.673756091,0.149345252,0.055838003,0.054526324,1,0.713887465,0.41161054,0.673378475,0.095764155,0.116171459,0.04602135,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.443153215,0.142703,1,1,1,1,1,1,1,1,1,1,1
13,1,0.381493314,0.653203523,0.640735469,0.565744853,0.583445875,0.553959928,1,0.605273121,0.501137075,0.673601508,0.299487872,0.207918745,0.178073485,1,0.589537055,0.606261483,0.686566153,0.143151619,0.096683342,0.056915745,1,0.711346957,0.184195393,0.208912048,0.034445683,1,0.598222557,0.517378263,0.682399861,0.146654882,0.06673293,0.066448451,1,0.713887465,0.41161054,0.675416062,0.097831845,0.136918993,0.062969726,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416917959,0.153006677,1,1,1,1,1,1,1,1,1,1,1
14,1,0.381493314,0.653203523,0.676497072,0.597788607,0.598032917,0.556946962,1,0.605273121,0.501137075,0.712466678,0.308277494,0.225438969,0.210372524,1,0.589537055,0.606261483,0.720964204,0.162261152,0.127050906,0.083427841,1,0.742756088,0.206115106,0.22408369,0.066632078,1,0.598222557,0.517378263,0.721625474,0.151659824,0.078599341,0.077795928,1,0.713887465,0.41161054,0.712512157,0.096061009,0.156778718,0.072943552,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.438445653,0.158660719,1,1,1,1,1,1,1,1,1,1,1
15,1,0.381493314,0.653203523,0.691765988,0.613894409,0.602821042,0.552727487,1,0.605273121,0.501137075,0.737477532,0.31349931,0.231767718,0.231507366,1,0.589537055,0.606261483,0.745269993,0.166484329,0.128575228,0.070758622,1,0.76264306,0.247955152,0.211111021,0.095929065,1,0.598222557,0.517378263,0.755792477,0.140565885,0.083802182,0.090319273,1,0.713887465,0.41161054,0.751206838,0.097533656,0.173264161,0.079363978,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.445979031,0.188286621,1,1,1,1,1,1,1,1,1,1,1
16,1,0.381493314,0.653203523,0.514129435,0.590460557,0.563080024,0.48346626,1,0.605273121,0.501137075,0.648458436,0.322318418,0.236995764,0.234930313,1,0.589537055,0.606261483,0.666389074,0.151314302,0.111813393,0.074301955,1,0.678060556,0.280168648,0.215552469,0.083411204,1,0.598222557,0.517378263,0.699134345,0.150885753,0.105072366,0.109492773,1,0.713887465,0.41161054,0.719302569,0.097514248,0.182873439,0.082637504,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.490358278,0.224802221,1,1,1,1,1,1,1,1,1,1,1
17,1,0.381493314,0.653203523,0.129629001,0.691009011,0.640851253,0.520177609,1,0.605273121,0.501137075,0.237542589,0.398427831,0.287514613,0.250639284,1,0.589537055,0.606261483,0.263872032,0.185564406,0.140493803,0.084154481,1,0.269069522,0.275882372,0.273757339,0.114864524,1,0.598222557,0.517378263,0.314073258,0.153459878,0.117058415,0.143695882,1,0.713887465,0.41161054,0.376948871,0.101070814,0.183145052,0.071285111,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.544910492,0.242812602,1,1,1,1,1,1,1,1,1,1,1
18,1,0.381493314,0.653203523,0,0.790635673,0.733255791,0.600100022,1,0.605273121,0.501137075,0.01,0.559937069,0.446314872,0.300203803,1,0.589537055,0.606261483,0.010781929,0.311337298,0.233310653,0.135623717,1,0.011176453,0.393642633,0.409176567,0.263445167,1,0.598222557,0.517378263,0.018565639,0.27181291,0.217190381,0.243244849,1,0.713887465,0.41161054,0.034132902,0.178185814,0.294657353,0.13789769,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.677563801,0.24242606,1,1,1,1,1,1,1,1,1,1,1
19,1,0.381493314,0.653203523,0,0.815186519,0.769104798,0.619692802,1,0.605273121,0.501137075,0,0.652604555,0.499233869,0.30141478,1,0.589537055,0.606261483,0,0.453024417,0.361607237,0.187187698,1,0,0.510586493,0.508931497,0.390213209,1,0.598222557,0.517378263,0,0.357478028,0.277352595,0.27776811,1,0.713887465,0.41161054,0,0.262500929,0.367478484,0.182191403,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.756309509,0.253507263,1,1,1,1,1,1,1,1,1,1,1
20,1,0.381493314,0.653203523,0,0.812953075,0.766313436,0.607735163,1,0.605273121,0.501137075,0,0.683265547,0.500032443,0.29603286,1,0.589537055,0.606261483,0,0.528727492,0.436764617,0.213272898,1,0,0.626679646,0.602633331,0.470963937,1,0.598222557,0.517378263,0,0.421112911,0.293749135,0.246878642,1,0.713887465,0.41161054,0,0.347598624,0.392391914,0.186122789,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.766145348,0.283933296,1,1,1,1,1,1,1,1,1,1,1
21,1,0.381493314,0.653203523,0,0.80785902,0.758957343,0.607674053,1,0.605273121,0.501137075,0,0.695415928,0.493743869,0.282137912,1,0.589537055,0.606261483,0,0.568126143,0.463032696,0.212234892,1,0,0.606969499,0.557902686,0.428655491,1,0.598222557,0.517378263,0,0.459860377,0.284903846,0.215157107,1,0.713887465,0.41161054,0,0.442970077,0.415745101,0.189618697,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.765223287,0.322976617,1,1,1,1,1,1,1,1,1,1,1
22,1,0.381493314,0.653203523,0,0.796512175,0.744937796,0.604090222,1,0.605273121,0.501137075,0,0.70704347,0.483128733,0.267531177,1,0.589537055,0.606261483,0,0.599061791,0.468828383,0.185443455,1,0,0.580471804,0.530282248,0.444188282,1,0.598222557,0.517378263,0,0.459782902,0.272433188,0.211434693,1,0.713887465,0.41161054,0,0.505648463,0.43329643,0.188999326,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.751766959,0.389204545,1,1,1,1,1,1,1,1,1,1,1
23,1,0.381493314,0.653203523,0,0.787269307,0.742175918,0.617189026,1,0.605273121,0.501137075,0,0.713739346,0.475092958,0.2462595,1,0.589537055,0.606261483,0,0.59618718,0.456718906,0.175155046,1,0,0.587297616,0.548239647,0.521682445,1,0.598222557,0.517378263,0,0.47571728,0.277881437,0.209511705,1,0.713887465,0.41161054,0,0.552353154,0.450488207,0.193713421,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.799136708,0.3963682,1,1,1,1,1,1,1,1,1,1,1
24,1,0.381493314,0.653203523,0,0.776027932,0.732025957,0.590794464,1,0.605273121,0.501137075,0,0.721099521,0.470003681,0.223450128,1,0.589537055,0.606261483,0,0.615438748,0.479746209,0.171515347,1,0,0.624919127,0.590770462,0.515350961,1,0.598222557,0.517378263,0,0.495097461,0.274249298,0.20027962,1,0.713887465,0.41161054,0,0.586649221,0.458633568,0.191878179,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.798472135,0.470388685,1,1,1,1,1,1,1,1,1,1,1
25,1,0.381493314,0.653203523,0,0.7668554,0.731558964,0.58400221,1,0.605273121,0.501137075,0,0.72282393,0.463977775,0.21810993,1,0.589537055,0.606261483,0,0.648282684,0.506792233,0.191871849,1,0,0.561356748,0.547684914,0.451006783,1,0.598222557,0.517378263,0,0.525412487,0.280056745,0.192726604,1,0.713887465,0.41161054,0,0.588636376,0.459296015,0.188797674,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.838380372,0.476654895,1,1,1,1,1,1,1,1,1,1,1
26,1,0.381493314,0.653203523,0,0.767115522,0.733224054,0.574734865,1,0.605273121,0.501137075,0,0.723606393,0.452775137,0.203916487,1,0.589537055,0.606261483,0,0.692909997,0.555650505,0.219097567,1,0,0.550802859,0.531031978,0.411998606,1,0.598222557,0.517378263,0,0.533017841,0.287010699,0.18961045,1,0.713887465,0.41161054,0,0.576902586,0.45024591,0.180492817,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.839606257,0.487045505,1,1,1,1,1,1,1,1,1,1,1
27,1,0.381493314,0.653203523,0,0.772420146,0.72920837,0.578748765,1,0.605273121,0.501137075,0,0.727441971,0.459061395,0.204028896,1,0.589537055,0.606261483,0,0.746930082,0.61629978,0.291203252,1,0,0.50367303,0.484178661,0.363445754,1,0.598222557,0.517378263,0,0.55057331,0.278557082,0.171120702,1,0.713887465,0.41161054,0,0.563177252,0.443910486,0.169211493,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833980949,0.43430661,1,1,1,1,1,1,1,1,1,1,1
28,1,0.381493314,0.653203523,0,0.77661754,0.721186226,0.564505506,1,0.605273121,0.501137075,0,0.728439604,0.450281125,0.202970455,1,0.589537055,0.606261483,0,0.768198114,0.632673219,0.279044084,1,0,0.498352961,0.478080938,0.315766337,1,0.598222557,0.517378263,0,0.55555201,0.278716152,0.170433844,1,0.713887465,0.41161054,0,0.540332851,0.428479793,0.163727601,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.821238568,0.397413883,1,1,1,1,1,1,1,1,1,1,1
29,1,0.381493314,0.653203523,0,0.779741142,0.721660877,0.554049763,1,0.605273121,0.501137075,0,0.729615132,0.441830214,0.199135904,1,0.589537055,0.606261483,0,0.770384824,0.635493673,0.286720622,1,0,0.531459916,0.489584317,0.287202508,1,0.598222557,0.517378263,0,0.550476924,0.284551178,0.168627884,1,0.713887465,0.41161054,0,0.519703865,0.424930913,0.161677713,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.793508502,0.335423817,1,1,1,1,1,1,1,1,1,1,1
30,1,0.381493314,0.653203523,0,0.777738552,0.724947854,0.543001894,1,0.605273121,0.501137075,0,0.724982213,0.426912397,0.178077066,1,0.589537055,0.606261483,0,0.769636086,0.629556374,0.282115222,1,0,0.516811546,0.504213686,0.312766944,1,0.598222557,0.517378263,0,0.561589918,0.293422484,0.172548175,1,0.713887465,0.41161054,0,0.5024905,0.41435892,0.158133723,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.721405777,0.313026241,1,1,1,1,1,1,1,1,1,1,1
31,1,0.381493314,0.653203523,0.187713078,0.779588463,0.724506286,0.527772629,1,0.605273121,0.501137075,0.168308371,0.727671689,0.429953335,0.173008384,1,0.589537055,0.606261483,0.167611382,0.771287948,0.624817264,0.277146822,1,0.16726328,0.521667799,0.507205798,0.31908148,1,0.598222557,0.517378263,0.12830122,0.560642316,0.297775668,0.174201824,1,0.713887465,0.41161054,0.082119726,0.478432806,0.40083022,0.144587175,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.648693473,0.277348098,1,1,1,1,1,1,1,1,1,1,1
32,1,0.381493314,0.653203523,0.598250041,0.770899385,0.710617692,0.50665037,1,0.605273121,0.501137075,0.614191422,0.72581828,0.420636722,0.167527831,1,0.589537055,0.606261483,0.630132028,0.75919743,0.605771184,0.263373168,1,0.637229454,0.523093956,0.514637656,0.315653597,1,0.598222557,0.517378263,0.574138769,0.554785685,0.299301441,0.171349122,1,0.713887465,0.41161054,0.499628291,0.448817921,0.382931313,0.130378791,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.583183214,0.255629694,1,1,1,1,1,1,1,1,1,1,1
33,1,0.381493314,0.653203523,0.721568551,0.728716388,0.671733252,0.49187177,1,0.605273121,0.501137075,0.765831895,0.660458415,0.339596892,0.136497606,1,0.589537055,0.606261483,0.780218623,0.668295498,0.482878634,0.201157572,1,0.78840049,0.414685642,0.374124019,0.192112299,1,0.598222557,0.517378263,0.770843203,0.477324718,0.220895383,0.114873978,1,0.713887465,0.41161054,0.757899653,0.370222387,0.297637916,0.107191426,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.526015416,0.234928036,1,1,1,1,1,1,1,1,1,1,1
34,1,0.381493314,0.653203523,0.68852456,0.630976333,0.573260489,0.449392452,1,0.605273121,0.501137075,0.737588955,0.515936114,0.232668337,0.111698838,1,0.589537055,0.606261483,0.751677717,0.418501988,0.228374462,0.074249448,1,0.765373236,0.291578767,0.226840593,0.049975857,1,0.598222557,0.517378263,0.748590635,0.343518176,0.113200901,0.05159048,1,0.713887465,0.41161054,0.748856921,0.17961075,0.147391729,0.06150941,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.424757528,0.221982092,1,1,1,1,1,1,1,1,1,1,1
35,1,0.381493314,0.653203523,0.632238364,0.603642032,0.572544141,0.490990156,1,0.605273121,0.501137075,0.68575672,0.451918544,0.245470941,0.157122274,1,0.589537055,0.606261483,0.702422225,0.296038375,0.18864695,0.087842301,1,0.722046631,0.25550526,0.189248637,0.040064524,1,0.598222557,0.517378263,0.695894954,0.271876079,0.112215969,0.068176306,1,0.713887465,0.41161054,0.698996958,0.117358811,0.153136843,0.076225737,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.332462029,0.192840824,1,1,1,1,1,1,1,1,1,1,1
36,1,0.381493314,0.653203523,0.610754037,0.607442702,0.595450111,0.53512713,1,0.605273121,0.501137075,0.658651717,0.462978036,0.285151625,0.204217457,1,0.589537055,0.606261483,0.675239904,0.267353161,0.198480382,0.111208317,1,0.695985779,0.243122052,0.187837666,0.045863119,1,0.598222557,0.517378263,0.664822314,0.292542049,0.148116331,0.103990966,1,0.713887465,0.41161054,0.663477652,0.119846646,0.169801581,0.097176037,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.253734656,0.167421654,1,1,1,1,1,1,1,1,1,1,1
37,1,0.381493314,0.653203523,0.629791373,0.61712042,0.597520485,0.555968954,1,0.605273121,0.501137075,0.674652825,0.481343477,0.323230536,0.267204348,1,0.589537055,0.606261483,0.68597576,0.288863988,0.226154434,0.148000626,1,0.706915462,0.250614963,0.208538215,0.04966836,1,0.598222557,0.517378263,0.673842387,0.310435281,0.17999816,0.145545325,1,0.713887465,0.41161054,0.667526102,0.128373211,0.189138217,0.119838274,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.170228317,0.132329312,1,1,1,1,1,1,1,1,1,1,1
38,1,0.381493314,0.653203523,0.682139083,0.616020194,0.603168332,0.568761487,1,0.605273121,0.501137075,0.718067889,0.498631901,0.34839264,0.308078584,1,0.589537055,0.606261483,0.721580412,0.282353754,0.228632956,0.180272877,1,0.744847716,0.22949239,0.195136797,0.05164971,1,0.598222557,0.517378263,0.712282495,0.320929541,0.20096879,0.166627618,1,0.713887465,0.41161054,0.706494133,0.135434021,0.210254422,0.134922863,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.124572975,0.112160315,1,1,1,1,1,1,1,1,1,1,1
39,1,0.381493314,0.653203523,0.717763849,0.599685778,0.598569853,0.564049737,1,0.605273121,0.501137075,0.750162961,0.493676963,0.357472878,0.322672815,1,0.589537055,0.606261483,0.746402174,0.294483462,0.257136142,0.206689172,1,0.771963613,0.227227341,0.214084943,0.085065184,1,0.598222557,0.517378263,0.743928635,0.327767186,0.22590475,0.201191824,1,0.713887465,0.41161054,0.744935804,0.142781627,0.22597388,0.149144205,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.143680654,0.079888262,1,1,1,1,1,1,1,1,1,1,1
40,1,0.381493314,0.653203523,0.545724439,0.565283653,0.566386111,0.517860488,1,0.605273121,0.501137075,0.657265148,0.48037769,0.354157688,0.318844301,1,0.589537055,0.606261483,0.665812197,0.282272371,0.234760867,0.182312708,1,0.697433952,0.208556082,0.220238541,0.101053794,1,0.598222557,0.517378263,0.679226821,0.343457053,0.252551505,0.238075948,1,0.713887465,0.41161054,0.709555514,0.144920951,0.241414522,0.157190193,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22613485,0.07094765,1,1,1,1,1,1,1,1,1,1,1
41,1,0.381493314,0.653203523,0.141187734,0.652549724,0.617320702,0.514814782,1,0.605273121,0.501137075,0.226196409,0.503763933,0.354810581,0.271934212,1,0.589537055,0.606261483,0.257812938,0.291991027,0.228574914,0.171407269,1,0.280955132,0.249065759,0.239708977,0.117394794,1,0.598222557,0.517378263,0.289303542,0.326127702,0.25082265,0.233434349,1,0.713887465,0.41161054,0.362465615,0.139108659,0.224684678,0.134405315,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.452219819,0.078311425,1,1,1,1,1,1,1,1,1,1,1
42,1,0.381493314,0.653203523,0,0.770909117,0.710702058,0.576156061,1,0.605273121,0.501137075,0.01,0.678761927,0.481987699,0.321510931,1,0.589537055,0.606261483,0.01,0.468860106,0.398846599,0.257795478,1,0.011457629,0.39268664,0.403462272,0.305090778,1,0.598222557,0.517378263,0.015240437,0.476680114,0.383557507,0.345137445,1,0.713887465,0.41161054,0.030982507,0.214275817,0.338636175,0.196780695,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.611720805,0.094180882,1,1,1,1,1,1,1,1,1,1,1
43,1,0.381493314,0.653203523,0,0.803149484,0.741314465,0.598989802,1,0.605273121,0.501137075,0,0.75020856,0.544722677,0.343387895,1,0.589537055,0.606261483,0,0.559514178,0.48858487,0.312996816,1,0,0.407501391,0.467174085,0.314724007,1,0.598222557,0.517378263,0,0.571342265,0.478031299,0.408434481,1,0.713887465,0.41161054,0,0.256075141,0.390287336,0.240681868,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.688311446,0.133943716,1,1,1,1,1,1,1,1,1,1,1
44,1,0.381493314,0.653203523,0,0.80381026,0.749208341,0.614505342,1,0.605273121,0.501137075,0,0.770608542,0.540646248,0.31139756,1,0.589537055,0.606261483,0,0.580012525,0.489844456,0.307739512,1,0,0.348152994,0.363840007,0.276401802,1,0.598222557,0.517378263,0,0.618841935,0.490081629,0.371460093,1,0.713887465,0.41161054,0,0.264505452,0.386209635,0.225119851,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.670864265,0.199229657,1,1,1,1,1,1,1,1,1,1,1
45,1,0.381493314,0.653203523,0,0.798841805,0.744688616,0.606571781,1,0.605273121,0.501137075,0,0.773696485,0.510229456,0.285228396,1,0.589537055,0.606261483,0,0.606822429,0.510905085,0.308026661,1,0,0.34886532,0.33377948,0.454713621,1,0.598222557,0.517378263,0,0.6397682,0.468475672,0.315001517,1,0.713887465,0.41161054,0,0.274261812,0.377650262,0.213109962,0.415844513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.686642059,0.258624038,1,1,1,1,1,1,1,1,1,1,1
