Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
,,,,,,,54,14,82.37,31.02,63.89,21.81,46.43,0
,,,,,,,55,17.32,101.88,38.37,79.03,26.98,57.43,0
,,,,,,,56,19.85,116.77,43.97,90.58,30.92,65.82,0
,,,,,,,57,20.91,123.06,46.34,95.46,32.58,69.37,0
,,,,,,,58,20.01,117.76,44.35,91.35,31.18,66.38,0
,,,,,,,59,19.9,117.1,44.1,90.84,31.01,66.01,0
,,,,,,,60,20.63,121.4,45.72,94.17,32.15,68.43,0
,,,,,,,61,21.93,129.01,48.58,100.08,34.16,72.72,0
,,,,,,,62,22.77,133.97,50.45,103.93,35.47,75.52,0
,,,,,,,63,24.62,144.89,54.56,112.39,38.36,81.67,0
,,,,,,,64,26.14,153.82,57.93,119.32,40.73,86.71,0
,,,,,,,65,25.41,149.52,56.31,115.99,39.59,84.28,0
,,,,,,,66,23.89,140.59,52.94,109.06,37.23,79.25,0
,,,,,,,67,19.68,115.78,43.6,89.81,30.66,65.26,0
,,,,,,,68,14.45,85.01,32.02,65.95,22.51,47.92,0
,,,,,,,69,10.46,61.53,23.17,47.73,16.29,34.68,0
,,,,,,,70,7.87,46.31,17.44,35.92,12.26,26.11,0
,,,,,,,71,4.67,27.46,10.34,21.3,7.27,15.48,0
,,,,,,,72,2.64,15.55,5.85,12.06,4.12,8.76,0
,,,,,,,73,1.76,10.36,3.9,8.04,2.74,5.84,0
,,,,,,,74,1.29,7.6,2.86,5.89,2.01,4.28,0
,,,,,,,75,1.82,10.71,4.03,8.31,2.84,6.04,0
,,,,,,,76,4.23,24.87,9.36,19.29,6.58,14.02,0
,,,,,,,77,9.1,53.54,20.16,41.53,14.18,30.18,0
,,,,,,,78,14.62,86,32.39,66.71,22.77,48.48,0
,,,,,,,79,18.08,106.38,40.06,82.52,28.17,59.97,0
,,,,,,,80,20.72,121.92,45.91,94.58,32.28,68.73,0
,,,,,,,81,21.84,128.48,48.39,99.67,34.02,72.43,0
,,,,,,,82,20.9,122.96,46.3,95.38,32.56,69.31,0
,,,,,,,83,20.78,122.27,46.04,94.85,32.37,68.92,0
,,,,,,,84,21.54,126.76,47.74,98.33,33.56,71.45,0
,,,,,,,85,22.89,134.7,50.73,104.49,35.67,75.93,0
,,,,,,,86,23.77,139.88,52.68,108.51,37.04,78.85,0
,,,,,,,87,25.71,151.28,56.97,117.35,40.06,85.28,0
,,,,,,,88,27.3,160.61,60.48,124.59,42.53,90.53,0
,,,,,,,89,26.53,156.12,58.79,121.1,41.34,88,0
,,,,,,,90,24.95,146.79,55.28,113.87,38.87,82.75,0
,,,,,,,91,20.54,120.89,45.52,93.77,32.01,68.14,0
,,,,,,,92,15.09,88.76,33.43,68.86,23.5,50.04,0
,,,,,,,93,10.92,64.24,24.19,49.83,17.01,36.21,0
,,,,,,,94,8.22,48.35,18.21,37.51,12.8,27.26,0
,,,,,,,95,4.87,28.67,10.8,22.24,7.59,16.16,0
,,,,,,,96,2.76,16.23,6.11,12.59,4.3,9.15,0
,,,,,,,97,1.86,10.95,4.12,8.49,2.9,6.17,0
,,,,,,,98,1.36,8.03,3.02,6.23,2.13,4.52,0
,,,,,,,99,1.92,11.31,4.26,8.77,2.99,6.38,0
,,,,,,,100,4.46,26.27,9.89,20.38,6.96,14.81,0
,,,,,,,101,9.61,56.55,21.3,43.87,14.97,31.88,0
,,,,,,,102,15.44,90.85,34.21,70.47,24.06,51.21,0
,,,,,,,103,19.1,112.37,42.32,87.17,29.75,63.34,0
,,,,,,,104,21.89,128.79,48.5,99.91,34.1,72.6,0
,,,,,,,105,23.07,135.72,51.11,105.28,35.94,76.51,0
,,,,,,,106,22.07,129.89,48.91,100.76,34.39,73.22,0
,,,,,,,107,21.95,129.16,48.64,100.19,34.2,72.8,0
,,,,,,,108,22.76,133.9,50.42,103.87,35.45,75.48,0
,,,,,,,109,24.18,142.29,53.58,110.38,37.68,80.21,0
,,,,,,,110,25.11,147.76,55.65,114.62,39.13,83.29,0
,,,,,,,111,27.16,159.8,60.18,123.96,42.31,90.08,0
,,,,,,,112,28.83,169.65,63.89,131.6,44.92,95.63,0
,,,,,,,113,28.03,164.91,62.1,127.93,43.67,92.96,0
,,,,,,,114,26.35,155.06,58.39,120.28,41.06,87.41,0
,,,,,,,115,21.7,127.7,48.09,99.06,33.81,71.98,0
,,,,,,,116,15.94,93.77,35.31,72.74,24.83,52.86,0
,,,,,,,117,11.53,67.86,25.56,52.64,17.97,38.25,0
,,,,,,,118,8.68,51.08,19.24,39.62,13.52,28.79,0
,,,,,,,119,5.15,30.28,11.4,23.49,8.02,17.07,0
,,,,,,,120,2.91,17.15,6.46,13.3,4.54,9.67,0
,,,,,,,121,2.86,16.85,6.35,13.07,4.46,9.5,0
,,,,,,,122,2.02,11.89,4.48,9.22,3.15,6.7,0
,,,,,,,123,1.96,11.51,4.34,8.93,3.05,6.49,0
,,,,,,,124,2.74,16.15,6.08,12.52,4.27,9.1,0
,,,,,,,125,5.09,29.95,11.28,23.24,7.93,16.88,0
,,,,,,,126,8.36,49.18,18.52,38.15,13.02,27.73,0
,,,,,,,127,12.69,74.67,28.12,57.93,19.77,42.09,0
,,,,,,,128,17.24,101.41,38.19,78.67,26.85,57.17,0
,,,,,,,129,21.85,128.57,48.42,99.74,34.04,72.48,0
,,,,,,,130,24.2,142.38,53.62,110.45,37.7,80.26,0
,,,,,,,131,24.98,147.01,55.36,114.04,38.93,82.87,0
,,,,,,,132,26.13,153.73,57.89,119.25,40.7,86.66,0
,,,,,,,133,27.76,163.36,61.52,126.73,43.26,92.09,0
,,,,,,,134,28.98,170.5,64.21,132.26,45.15,96.11,0
,,,,,,,135,30.4,178.88,67.36,138.76,47.37,100.84,0
,,,,,,,136,31.19,183.51,69.11,142.36,48.59,103.45,0
,,,,,,,137,29.64,174.38,65.67,135.27,46.17,98.3,0
,,,,,,,138,26.81,157.73,59.4,122.36,41.77,88.91,0
,,,,,,,139,22.28,131.07,49.36,101.68,34.71,73.89,0
,,,,,,,140,17.32,101.91,38.38,79.06,26.99,57.45,0
,,,,,,,141,13.22,77.76,29.28,60.32,20.59,43.83,0
,,,,,,,142,10.32,60.7,22.86,47.09,16.07,34.22,0
,,,,,,,143,7.2,42.38,15.96,32.88,11.22,23.89,0
,,,,,,,144,4.66,27.41,10.32,21.26,7.26,15.45,0
,,,,,,,145,2.88,16.96,6.39,13.16,4.49,9.56,0
,,,,,,,146,3.71,21.82,8.22,16.92,5.78,12.3,0
,,,,,,,147,1.36,7.99,3.01,6.2,2.12,4.51,0
,,,,,,,148,2.12,12.48,4.7,9.68,3.3,7.03,0
