Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights,Rep_Periods,Timesteps_per_Rep_Period
,,,,107,1448.131236,9605.272852,3533.3914,8087.46069,3300.992491,6104.659449,0,,,,,
,,,,108,1450.423962,9704.276824,3572.099296,8167.74025,3333.759541,6165.256885,0,,,,,
,,,,109,1426.039858,9781.652895,3604.691568,8184.853983,3340.744712,6178.174847,0,,,,,
,,,,110,1417.87417,9800.084275,3601.631084,8137.909838,3321.583906,6142.739989,0,,,,,
,,,,111,1414.322493,9733.754698,3569.035927,8120.014474,3314.279702,6129.232028,0,,,,,
,,,,112,1407.092647,9715.494428,3558.855361,8074.62807,3295.754706,6094.973001,0,,,,,
,,,,113,1379.455933,9600.592236,3518.10979,8034.955044,3279.561692,6065.026603,0,,,,,
,,,,114,1365.736799,9530.083718,3488.570059,8061.523761,3290.406027,6085.081473,0,,,,,
,,,,115,1372.10746,9563.842726,3499.781754,8126.152781,3316.785124,6133.865407,0,,,,,
,,,,116,1407.329603,9783.890751,3572.093479,8317.857127,3395.031515,6278.569635,0,,,,,
,,,,117,1515.568065,10403.38584,3792.100499,8632.407672,3523.419031,6516.001881,0,,,,,
,,,,118,1530.576095,10556.64094,3892.940856,8431.081232,3441.245269,6364.034607,0,,,,,
,,,,119,1457.44616,10171.70048,3759.506444,8038.734304,3281.104242,6067.879303,0,,,,,
,,,,120,1342.437767,9458.31458,3489.593454,7466.55039,3047.560627,5635.977613,0,,,,,
,,,,121,1215.494302,8571.215855,3155.5066,6855.287462,2798.066452,5174.577904,0,,,,,
,,,,122,1102.404952,7716.567768,2823.456499,6299.317461,2571.140737,4754.914965,0,,,,,
,,,,123,1040.071064,7078.84161,2568.810115,5970.211965,2436.812446,4506.496202,0,,,,,
,,,,124,1008.885624,6753.132075,2434.357738,5789.606918,2363.096365,4370.170061,0,,,,,
,,,,125,995.9446634,6577.523971,2365.099726,5710.571933,2330.837304,4310.512069,0,,,,,
,,,,126,990.861375,6542.883946,2353.895716,5764.440252,2352.824294,4351.173502,0,,,,,
,,,,127,1025.911132,6700.08237,2421.124005,6103.089504,2491.047981,4606.79618,0,,,,,
,,,,128,1152.985886,7362.100582,2676.780926,6925.417849,2826.690997,5227.514437,0,,,,,
,,,,129,1342.639373,8662.797813,3200.315565,7619.065208,3109.811349,5751.100401,0,,,,,
,,,,130,1413.694997,9421.916426,3491.630088,7928.611462,3236.156304,5984.755257,0,,,,,
,,,,131,1450.73036,9648.434123,3573.116963,8113.544101,3311.638743,6124.347996,0,,,,,
,,,,132,1495.104919,9830.091533,3638.303371,8244.282181,3365.001033,6223.033045,0,,,,,
,,,,133,1493.633221,9990.234745,3724.876212,8296.771744,3386.425267,6262.653751,0,,,,,
,,,,134,1480.958726,10040.75583,3743.208748,8223.936491,3356.696699,6207.675503,0,,,,,
,,,,135,1448.280559,9975.294852,3706.545891,8169.671025,3334.547609,6166.714292,0,,,,,
,,,,136,1425.034116,9901.847223,3666.819913,8096.982112,3304.878772,6111.846506,0,,,,,
,,,,137,1398.36851,9706.057881,3592.468053,8020.159248,3273.522613,6053.858289,0,,,,,
,,,,138,1365.750526,9578.968551,3531.349882,7990.033114,3261.226276,6031.118174,0,,,,,
,,,,139,1382.511858,9590.69441,3524.225196,8027.866037,3276.66823,6059.675607,0,,,,,
,,,,140,1443.446743,9773.079436,3589.408785,8227.040733,3357.963732,6210.018679,0,,,,,
,,,,141,1524.496248,10317.89324,3793.121567,8460.200924,3453.130815,6386.015029,0,,,,,
,,,,142,1509.107337,10361.9472,3843.034921,8277.354831,3378.500025,6247.997279,0,,,,,
,,,,143,1451.68932,10015.90072,3721.821343,7973.995027,3254.680142,6019.012142,0,,,,,
,,,,144,1365.54094,9483.196413,3531.355194,7506.209883,3063.748117,5665.913795,0,,,,,
,,,,145,1240.151785,8722.941442,3252.268179,6949.464592,2836.505958,5245.665644,0,,,,,
,,,,146,1137.593615,7947.57399,2937.531414,6466.630739,2639.431625,4881.208078,0,,,,,
,,,,147,1064.878975,7355.571871,2702.240671,6167.473994,2517.32727,4655.395537,0,,,,,
,,,,148,1040.863334,7019.639125,2568.811437,5970.066485,2436.753067,4506.38639,0,,,,,
,,,,149,1034.009774,6840.093016,2505.662418,5873.794677,2397.458592,4433.717523,0,,,,,
,,,,150,1028.603995,6766.812385,2488.3459,5871.22064,2396.407969,4431.774563,0,,,,,
,,,,151,1063.010597,6835.812418,2513.81026,5988.051701,2444.093945,4519.962173,0,,,,,
,,,,152,1117.285556,7124.928363,2626.869382,6294.745137,2569.274489,4751.463637,0,,,,,
,,,,153,1192.107321,7650.612182,2840.773174,6645.633844,2712.493854,5016.325025,0,,,,,
,,,,154,1292.016876,8222.822352,3067.908344,7076.63733,2888.413012,5341.659465,0,,,,,
,,,,155,1365.939962,8816.535515,3315.414286,7350.365737,3000.13849,5548.27793,0,,,,,
,,,,156,1385.689255,9109.109813,3430.513183,7473.237341,3050.289985,5641.025125,0,,,,,
,,,,157,1389.826535,9156.673709,3434.591038,7479.892426,3053.006336,5646.048584,0,,,,,
,,,,158,1367.43888,9056.017816,3372.459171,7383.527382,3013.673807,5573.309341,0,,,,,
,,,,159,1335.551133,8880.493372,3288.932364,7247.478979,2958.144046,5470.615899,0,,,,,
,,,,160,1311.875937,8664.650827,3206.432822,7146.004986,2916.726239,5394.020266,0,,,,,
,,,,161,1287.404034,8511.045292,3126.980562,7098.564652,2897.362907,5358.21087,0,,,,,
,,,,162,1294.401337,8457.008752,3097.442964,7149.137084,2918.004641,5396.384468,0,,,,,
,,,,163,1317.809461,8604.404951,3144.300296,7286.428612,2974.041798,5500.016258,0,,,,,
,,,,164,1385.486803,8972.514503,3262.448443,7660.092862,3126.55727,5782.069313,0,,,,,
,,,,165,1489.564297,9654.697721,3514.03408,7901.235295,3224.982399,5964.0909,0,,,,,
,,,,166,1465.668541,9648.615294,3564.967483,7756.186065,3165.778845,5854.603363,0,,,,,
,,,,167,1407.332439,9362.222708,3459.035008,7508.214842,3064.566464,5667.427199,0,,,,,
,,,,168,1323.407711,8898.234285,3299.122071,7138.847211,2913.804708,5388.617362,0,,,,,
